# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
		10.bf.8^		Не сомневаюсь. Ладно, пойдём...|Da bin ich mir sicher. Gut, gehen wir schon.

	10.bf.8b@21@Происходит то, что я вас зову к себе в комнату. Дальше всё увидите... Ну всё, пойдём!|Ich sage dir, du sollst in mein Zimmer gehen. Gehen wir schon!
		10.bf.8^		<i>идти с Алисой</i>|<i>folge Alice</i>

	10.bf.8@26@a-alisacome-4@Вон там паук... был... Убей его, Макс!|Da, wo Spinne war. Los, töte sie, Max!
		10.bf.9^		Не вижу никакого паука...|Ich sehe nichts.

	10.bf.9@22@Значит, убежал... Тебе повезло!|Muss weggelaufen sein. Du hast Glück!
		10.bf.10a^		Зря разбудила! Разве это повезло?|Du hast mich grundlos geweckt, was ist daran gut?
		10.bf.10b^		А почему это мне повезло?|Wie habe ich Glück?

	10.bf.10b@21@a-alisacome-5@Потому, что тебе не надо его убивать...|Du musst die Spinne nicht töten.
		10.bf.10^		Ладно, что дальше?|Gut, was jetzt?

	10.bf.10a@21@a-alisacome-5@Конечно! Так бы ты тупо спал, а сейчас..|Nun, anstatt nur zu schlafen....
		10.bf.10^		И что сейчас?|Was schwebt dir vor?

	10.bf.10@46@Да, Алиса, зачем вам я? Может быть, я пойду? А то что-то спать хочется, да ещё голая перед вами, неловко как-то...|Warum bin ich hier, Alice? Ich will wirklich schlafen und ich fühle mich nicht wohl, wenn ich nackt vor dir stehe....
		10.bf.11^		<i>далее</i>|<i>fortfahren</i>

	10.bf.11@21@Нет уж. Пойдём на кровать, поболтаем...|Nein, lass uns ins Bett gehen und uns unterhalten.
		10.bf.12^		Ну пойдём...|Lass uns gehen....

	10.bf.12@25@a-alisacome-6@В общем, я долго думала насчёт того, что мне тогда тётя Кира рассказала и я бы хотела услышать это от тебя, Лиза... Ты правда трахалась с Максом?|Also, ich habe viel darüber nachgedacht, was Tante Kira mir erzählt hat, und ich will es immer noch von dir hören, Lisa. Bist du der verfickte Max?
		10.bf.13^		<i>далее</i>|<i>fortfahren</i>

	10.bf.13@40@Ну да... Ты же всё знаешь, к чему вопрос?|Ja ja.... Du weißt das alles schon, warum fragst du?
		10.bf.14^		<i>далее</i>|<i>fortfahren</i>

	10.bf.14@22@Но как? Ты же недавно говорила, что до сих пор девочка. Обманула?|Aber wie? Hast du mir nicht kürzlich gesagt, dass du noch Jungfrau bist? Hast du mich angelogen?
		10.bf.15^		Про анальный секс слышала?|Hast du noch nichts von Analsex gehört?

	10.bf.15@24@a-alisacome-7@Что?! Ты хочешь сказать, что позволяешь Максу засовывать этот его член в свою попку? И тебе не больно?|War!? Willst du mir erzählen, dass du zulässt, dass Max dir das Monster in den Arsch schiebt? Tut es nicht weh?
		10.bf.16^		<i>далее</i>|<i>fortfahren</i>

	10.bf.16@46@Ну... Сначала было больно. Но мы тренировались. Сначала анальная пробка, потом постепенно, со смазкой... Я думала, тётя Кира всё рассказала тебе...|Zuerst schon, aber wir übten weiter.... Warte, hat Tante Kira dir nicht alles erzählt?
		10.bf.17^		Похоже, ничего Алиса не знала и мы всё разболтали...|Sieht so aus, als wäre Alice nicht so sachkundig, wie wir dachten.

	10.bf.17@22@a-alisacome-6@Ну почему. Я просто не верю, что твоя попка способна принять такой член, так сказать...|Ich weiß, ich kann einfach nicht glauben, dass du das wirklich durchziehen kannst.
		10.bf.18^		Тебе что, продемонстрировать?|Willst du eine Demonstration?

	10.bf.18@42@Макс! Не болтай ерунду. Не будем же мы трахаться на глазах у Алисы только, чтобы ей что-то доказать...|Sei nicht albern, Max! Wir ficken nicht vor Alice, nur um uns zu beweisen.
		10.bf.19^		А почему нет?|Warum nicht?

	10.bf.19@21@a-alisacome-7@Действительно, почему нет? На глазах у нашей тёти делали же это и не раз, насколько я поняла... Просто мне кажется, вы меня разводите...|Ja, warum nicht? Du hast es mehr als einmal vor unserer Tante getan, wenn ich richtig verstanden habe.... Ich kann es immer noch nicht glauben.
		10.bf.20^		Кто кого ещё разводит...|Ich bin dabei, wenn du es bist, Lisa.

	10.bf.20@46@Ну я не знаю, Алиса. Мне кажется, не стоит. Я стесняюсь это делать вот так, демонстративно...|Ich weiß nicht, Alice.... Ich fühle mich nicht wohl dabei, es so dreist vor anderen Leuten zu tun.
		10.bf.21^		Слушай, ну почему нет?|Warum nicht?

	10.bf.21@43@Ага, тебе дай только лишний повод в меня что-то засунуть... Ладно, Макс, давай сделаем это. Всё равно она от нас не отстанет...|Du willst nur deinen Schwanz in etwas stecken.... Aber sie wird es nicht in Ruhe lassen, bringen wir es einfach hinter uns....
		10.bf.22^		Ну давай!|Okay!

	10.bf.22@21@a-alisacome-6@А вы в какой позе это делаете обычно? Сзади?|Wie machst du das normalerweise? Doggy Style?
		10.bf.23^		Ну, да...|Ja

	10.bf.23@25@А можете ради меня попробовать позу наездницы. Ну, чтобы Лиза была сверху. Мне кажется, что это невозможно с таким членом...|Könntest du stattdessen das Cowgirl probieren? Ich glaube nicht, dass es mit so einem Schwanz möglich ist.
		10.bf.24^		Да всё мы можем, правда, Лиза?|Sicher können wir das. Richtig, Lisa?

	10.bf.24@41@Ну мы не пробовали, но думаю, что получится... У тебя смазка есть? А вот, вижу, есть. Возьму немного. Макс, ложись, попробуем...|Das haben wir noch nie gemacht, aber wir können es versuchen.... Hast du Gleitgel? Ah, da ist es. Leg dich hin, Max.
		10.bf.25^		<i>лечь</i>|<i>hinlegen</i>

	10.bf.25@4@a-alisacome-9@<i>Да уж, не ожидал я такого от сестрёнки... Точнее, от обеих! Одна посреди ночи позвала потрахаться, другая ещё и на член сама залезла... А я во всём виноват, да?</i>|<i>Ich kann es nicht glauben! Eine Schwester will mich eine andere ficken sehen, und Lisa ist gerade auf meinen Schwanz geklettert.... Das ist alles meine Leistung!</i>
		10.bf.26^		<i>далее</i>|<i>fortfahren</i>

	10.bf.26@25@a-alisacome-8@Ну ничего себе! Не верю своим глазам! И без подготовки, просто раз и всё... Сколько же раз вы этим занимались?|Unglaublich! Keine Vorbereitung, du bist einfach untergegangen und.... Wie oft hast du es schon getan?
		10.bf.27^		Ну...|Nun ja....

	10.bf.27@26@a-alisacome-10@Ясно... Ну вы продолжайте, не обращайте на меня внимания, а я со всех сторон на вас посмотрю... Считайте, что меня тут нет!|Ich verstehe. Nun, kümmere dich nicht um mich, tu so, als wäre ich nicht mal hier. Ich werde einfach herumlaufen und dich aus verschiedenen Blickwinkeln betrachten. Ich kann es immer noch nicht glauben....
		10.bf.28^		Хм, ну ладно...|Sicher

	10.bf.28@4@a-alisacome-9@<i>А поза и правда отличная! И почему мы раньше такую не пробовали? Хотя, Лизе не просто... Но она старается. И, кажется, даже получает удовольствие!</i>|<i>Die Pose fühlt sich ziemlich gut an! Warum haben wir es nicht früher versucht? Aber Lisa fühlt sich nicht sehr wohl.... Aber sie versucht es. Und ich bin sicher, es gefällt ihr!</i>
		10.bf.29^		<i>продолжать</i>|<i>fortfahren</i>

	10.bf.29@3@a-alisacome-10@<i>Интересно, а чего Алиса кругами вокруг нас ходит? Неужели, настолько любит подглядывать? Да и чёрт с ней... Раз нравится, пусть... Лично мне нравится!</i>|<i>Ich frage mich, warum Alice immer noch herumläuft.... Ist sie wirklich so scharf darauf, uns zu beobachten? Aber es macht mir nichts aus. Sie kann alles sehen, was sie will!</i>
		10.bf.30^		<i>далее</i>|<i>fortfahren</i>

	10.bf.30@5@a-alisacome-12@<i>О да, Лиза, у тебя получается всё лучше и лучше... Похоже, она завелась как следует! Эх, не видно где там Алиса и что делает...</i>|<i>Lisa wird besser darin. Und sie scheint es jetzt wirklich zu mögen! Ich kann Alice nicht sehen....</i>
		10.bf.31^		<i>далее</i>|<i>fortfahren</i>

	10.bf.31@25@a-alisacome-11@Очень хорошо... Больше страсти! Активнее!|Sehr gut.... Mehr Leidenschaft! Schneller!
		10.bf.32^		Что?!|Was!?

	10.bf.32@50@a-alisacome-13@Алиса! Ты что, на на видео записала?! Зачем?|Alice!? Hast du gerade ein Video von uns gemacht!? Warum?
		10.bf.33^		Блин...|Mist....

	10.bf.33@21@a-alisacome-14@Затем, что мне нужен был стимул для вас. А компромат - это очень хороший стимул. Правда, Макс?|Ich brauchte etwas mehr Motivation für euch beide. Und der Clip von euch beiden wird perfekt für den Job sein. Stimmt's, Max?
		10.bf.34^		Но зачем?!|Aber warum brauchst du es überhaupt?

	10.bf.34@25@Затем, что теперь вы в моих руках. Лично я не прочь получить в своё распоряжение пару новых игрушек. И да, я о вас... Да и вы сами очень рады будете этому...|Dann bist du jetzt in meiner Hand. Persönlich bin ich nicht abgeneigt, dir ein paar neue Spielzeuge zur Verfügung zu stellen. Und ja, ich rede von dir... Ja, und du selbst wirst sehr glücklich darüber sein...
		dm<2&10.bf.35a^	Почему?|Warum?
		dm>1&10.bf.35b^	Почему?|Warum?

	10.bf.35a@21@a-alisacome-15@Потому, что Лизе нравится подчиняться и она будет рада поиграть в мои игры... А ты... Да, ты сказал, что любишь, когда всё под контролем, но ещё ты любишь трахаться, поэтому...|Weil Lisa sich gerne unterwirft und gerne mit mir spielt. Und du.... Ich bin sicher, du fickst gerne mehr, als du gerne die Kontrolle hast.
		10.bf.35^		А если откажемся?|Und wenn wir nein sagen?

	10.bf.35b@21@a-alisacome-15@Потому, что Лизе нравится подчиняться и она будет рада поиграть в мои игры... Да и ты сам намекнул, что не прочь... К тому же, сомневаюсь, что ты откажешься от лишнего секса, поэтому...|Weil Lisa sich gerne unterwirft und gerne mit uns spielt. Und du.... Hast du nicht angedeutet, dass es dir mit so etwas gut geht? Außerdem bin ich sicher, dass du keinen Sex ablehnen wirst, der dir in den Weg kommt.
		10.bf.35^		А если откажемся?|Und wenn wir nein sagen?

	10.bf.35@28@Ну если вы хотите по плохому, то это видео посмотрит мама. Догадываетесь, что будет? Я не зря попросила вас сделать это в такой позе. Со стороны не очевидно, что ты трахаешь Лизу в попку...|Dann werde ich das Video mit Mom teilen. Sie können sich ihre Reaktion vorstellen. Weißt du noch, wie ich dich gebeten habe, es in der Cowgirl-Position zu tun? Damit Mom nicht merkt, dass du es in den Arsch machst....
		10.bf.36^		Ты всё задумала с самого начала!|Also hast du das von Anfang an geplant?

	10.bf.36@25@Ну да... А что такого? Может быть, я тоже люблю эти ваши игры, просто хочу попробовать другую сторону, так сказать... Лиза, а ты что молчишь?|Well, Ja ja... Ich mag diese Spiele und jetzt möchte ich versuchen, für die andere Mannschaft zu spielen, sozusagen.... Was hältst du davon, Lisa?
		10.bf.37^		<i>далее</i>|<i>fortfahren</i>

	10.bf.37@46@Ну... Я не знаю, чего ты от нас попросишь... К тому же, если ты это покажешь маме, то меня сильно накажут, а Макса могут и в лагерь отправить...|Ich weiß noch nicht, was du fragen wirst. Und ich will wirklich nicht, dass du Mom das Video zeigst. Ich bekomme großen Ärger und Max wird wahrscheinlich ins Militärlager geschickt....
		10.bf.38^		Да никто меня не отправит!|Niemand schickt mich irgendwohin!

	10.bf.38@25@Вот послушай нашу младшую сестрёнку, она лучше тебя понимает ситуацию. Да и жаловаться вам не на что... пока что... Так что, нечего возмущаться...|Hör auf deine Schwester, Max, sie hat die Situation besser im Griff. Und Sie haben sowieso nichts zu beklagen. Im Moment jedenfalls....
		10.bf.39^		И чего ты хочешь?|Gut, was willst du?

	10.bf.39@21@Хочу, чтобы вы делали всё, что я попрошу. Захочу, будете меня ублажать, а захочу... Хотя, нет, вы ещё не готовы... Ну всё, уже поздно, всем пора спать. Идите к себе, обдумайте всё. Спокойной ночи!|Ich will, dass du alles tust, was ich will. Aber nicht heute, es ist spät. Geh in dein Zimmer und denk an heute. Gute Nacht.
		leave!set_nomorespiders_0!set_spiderinbed_0!set_sub_4!set_poss.rol_4^			Да уж...|Mist....



# --- 1.0: Диалог с Лизой после компромата Алисы

	10.bg.0.init@0@И что ты думаешь насчёт Алисы?|Was hältst du von Alice?
	10.bg.0@40@Хм... Думаю, что теперь у неё есть видео, где мы с тобой трахаемся. Что ещё тут думать?|Ich glaube, sie hat ein Video von uns beiden auf dem wir fickenUnd du hast kein Problem damit?.
		10.bg.1^		И что, ты не против?|And you're fine with this?

	10.bg.1@46@А что мы можем сделать? Считай, в её руках... Ну или ещё где, не знаю же я что она там задумала...|Wir können nichts dagegen tun. Außerdem weiß ich nicht, was sie von uns will.
		10.bg.2^		Может быть, стащить телефон и всё стереть?|Vielleicht sollten wir ihr Telefon stehlen und das Video löschen?

	10.bg.2@40@Думаешь, она об этом не подумала? Наверняка, куда-то скопировала уже всё. Такое видео уж точно в одном экземпляре она не стала бы хранить...|Sie hat wahrscheinlich einen Haufen Backups überall. Hast du irgendeine Idee, wie man jeden einzelnen von ihnen bekommt? Tue ich nicht.
		10.bg.3^		Ты как-то слишком спокойна...|Du bist schrecklich ruhig wegen der Situation.

	10.bg.3@41@Ну а что, это же игра. Она не показалась мне агрессивной и на тирана не похожа. Наверняка, придумает какие-то забавные задания, мы их выполним и успокоится...|Sie ist keine Tyrannin, Max. Alice will nur spielen, daran ist nichts auszusetzen.
		10.bg.4^		А если нет?|And if we don't play along?

	10.bg.4@40@Макс, я не думаю, что она пойдёт к маме с этим. Скорее всего, это просто для того, чтобы бы не слишком возмущались... Хотя, я не знаю что у неё в голове...|Ich bezweifle, dass es überhaupt kritisch wird. Ich denke nicht, dass sie dich weg haben will, plus wir haben es auf <i>ihrem Bett</i> gemacht und sie war im selben Raum und hat uns gefilmt. Wenn Mom das Video sieht, würde Alice wahrscheinlich mehr Ärger bekommen als ich. Ich glaube nicht, dass sie etwas tun wird. Ich hoffe zumindest....
		10.bg.5^		Вот и я тоже...|Ja ja...

	10.bg.5@41@Но если она маме это покажет, то вот увидишь, ты точно попадёшь в тот военный лагерь. И мне достанется капитально по той самой попке, которую ты так любишь...|Aber dein Arsch wird definitiv ins Militärlager geworfen, wenn Mom das Video sieht. Und mein Arsch wird viel schlimmere Dinge sehen als dein Schwanz darin....
		10.bg.6^		Такое возможно...|Wahrscheinlich...

	10.bg.6@43@К тому же, теперь ты поймёшь каково это быть на моём месте, когда ты со мной делал... всякое разное... Не знаю как тебе, а меня это заводило...|Hey, wenigstens wirst du wissen, wie es sich anfühlt, an meiner Stelle zu sein, wenn du alles Mögliche machst..... Ich weiß nicht, wie es dir geht, aber es macht mich an.
		dm<2&10.bg.7^	Не уверен, что меня будет...|ch bin mir nicht sicher, ob es mir gefallen wird.
		dm>1&10.bg.7^	Ну, може? быть...|Vielleicht....

	10.bg.7@41@Короче, не будем гадать. Подождём, пока она попросит чего-то, а там уже и будем радоваться или плакать...|Ich denke, wir sollten uns keine Sorgen machen. Warten wir erst mal ab, was sie von uns will.
		leave!set_sub_5!set_poss.rol_5^			Согласен...|Du hast Recht.



# --- 1.0: Диалог с Алисой по поводу компромата

	10.bh.0.init@0@Алиса, что ты задумала?|Was hast du vor, Alice?
	10.bh.0@22@Ты о том видео? Ничего конкретного... Пока что... А что, тебя это беспокоит?|Du meinst über das Video und unsere Spiele? Noch nichts. Warum, stört es dich?
		10.bh.1^		Очень!|Natürlich!

	10.bh.1@21@Это ещё почему? Я же сказала, что вам понравится... Ну, может быть. Но ничего ещё не произошло из-за чего стоило бы жаловаться...|Warum? Ich habe dir gesagt, dass es dir gefallen wird. Nun, wahrscheinlich. Aber es ist noch nichts Schlimmes passiert, so dass du dir keine Sorgen machen musst.
		10.bh.2^		А вдруг...|But what if...

	10.bh.2@20@Макс! Я тебе не враг и очень хорошо к тебе отношусь. Даже люблю тебя... как брата... Просто, доверься мне...|Max! Ich bin nicht dein Feind, und ich behandle dich sehr gut. Ich liebe dich sogar... wie ein Bruder... Vertrau mir einfach...
		10.bh.3^		Хм...|Hm...

	10.bh.3@21@К тому же, мне показалось, что тебе понравились те наши игры с Катей... Разве нет?|Mochten Sie unsere Spiele mit Kate nicht?
		10.bh.4a^		Не особо...|Nicht wirklich...?
		10.bh.4b^		Ну, типа того...|Ich tat es

	10.bh.4a@25@Да? Мне кажется, ты лукавишь... Она говорила мне делать разное и я это делала, а удовольствие получал ты... И ты жалеешь о чём-то?|Ja, ja, richtig. Kate hat mir befohlen, dir auf alle möglichen Arten zu gefallen, und jetzt hat es dir plötzlich nicht gefallen?
		10.bh.4^		Ну...|Nun ja....

	10.bh.4b@25@Вот именно. Вспомни, когда она мне приказывала делать разные вещи, тебе разве не было приятно?|Genau. Erinnerst du dich, wie sie mir sagte, ich solle dir auf alle möglichen Arten gefallen?
		10.bh.4^		Ну да...|Ja ja...

	10.bh.4@21@Вот теперь я сама хочу попробовать эту роль... Но с Катей это не получается. Она совершенно не хочет подчиняться, даже в шутку...|Jetzt will ich nur noch eine andere Rolle ausprobieren. Und ich kann es nicht mit Kate machen, weil sie zu stur ist. Sie ist wirklich gegen die Idee der Unterwerfung, wir hatten kürzlich sogar einen Streit darüber.
		10.bh.5^		Почему, кстати?|So schlimm, hm?

	10.bh.5@20@Я не знаю. Мы даже с ней поссорились из-за этого однажды... Для неё это всё, как будто не игра... Может быть, с головой что-то... Я не знаю...|Ja ja, sie nimmt die ganze Unterwerfungssache viel ernster als ich.
		10.bh.6^		Ого!|<i>fortfahren</i>

	10.bh.6@21@Да забей. Наши отношения с Катей не должны никак тебя беспокоить, разберёмся. А вот поиграть мне всё равно хочется... И нет лучших игрушек, чем вы с Лизой. Учитывая, её вкусы...|Keine Sorge, meine Beziehung zu Kate geht dich nichts an. Ich will nur etwas Spaß haben, und Lisa scheint ein perfektes Spielzeug zu sein. Ich bin sicher, du willst dir keine Gelegenheit zum Ficken entgehen lassen, oder?
		10.bh.7^		Ну ладно...|Wenn du es so sagst....

	10.bh.7@25@Вот и хорошо, что ты согласился... Но учти, я могу попросить всё что угодно и вы будете должны это сделать... Всё, что угодно!|Toll, ich bin froh, dass du an Bord bist. Und denk dran, ich kann <b>alles</b> verlangen, was ich will! Muahahahaha!
		10.bh.8^		Только я смирился...|Treib es nicht zu weit.

	10.bh.8@33@Да я же тебя дразню! Ладно, всё равно пока ничего не придумала, так что, можешь расслабиться...|Ich mache nur Spaß, Max. Ich habe sowieso noch keine Ideen. Also mach dir keine Sorgen.
		leave!set_sub_6!set_dcd.sub_5!set_poss.rol_6^			Ну да...|Okay



# --- 1.0: Ответвление в просмотре ТВ с Анной

	10.ca.0@60@e-Mom-max-tv-start-1-t2@Что предлагаешь посмотреть, сынок?|Was willst du sehen, Sohn?
		dcd.motv>0&10.ca.bad.1^			Может ?ыть, что-то такое...|Wie wäre es mit etwas.... Heißem?
		dcd.motv=0&motv<2&10.ca.1^		Может быть, что-то такое...|Wie wäre es mit etwas.... Heißem?
		dcd.motv=0&motv=2&10.ca.15^		Может быть, что-то такое...|Wie wäre es mit etwas.... Heißem?
		dcd.motv=0&motv=3&10.ca.30^		Может быть, что-то такое...|Wie wäre es mit etwas.... Heißem?
		dcd.motv=0&motv>3&10.ca.46^		Может быть, что-то такое...|Wie wäre es mit etwas.... Heißem?

	10.ca.bad.1@62@Ой, нет, нет, сынок. Я не уверена, что стоит делать это так часто... Давай в другой раз...|Ich denke nicht, dass wir es so oft tun sollten, Sohn. Ein anderes Mal, okay?
		leave!lock!add_dcd.motv_-1^		Ладно, мам. Я тогда пойду...|Okay. Ich werde dann gehen.

	10.ca.1@69@Ну не знаю, сынок... А вдруг, кто-то войдёт? Да и ты опять перевозбудишься, что мне с тобой делать?|Ich weiß nicht, Sohn. Was, wenn jemand hierher kommt? Und du wirst wieder aufgeregt sein, was würde ich dann tun?
		10.ca.2^		Ну не знаю...|Ich weiß nicht....

	10.ca.2@67@Ладно, включай, если считаешь, что это хорошая идея...|Nun, wenn du denkst, dass es eine gute Idee ist.... Du kannst es anmachen.
		10.ca.3^		Конечно, мам!|Okay!

	10.ca.3@62@a-motv-1-1@Понятно всё с твоим фильмом... Видимо, сюжета ждать не стоит?|Ich verstehe, was für einen Film du gesehen hast.... Es wird keine große Verschwörung geben, oder?
		10.ca.4^		Я не знаю, не смотрел ещё...|Ich weiß nicht, ich habe es nicht gesehen.

	10.ca.4@62@a-motv-1-2@И где же ты нашёл этот фильм? Только не говори, что у тёти Киры...|Wo hast du diesen Film gefunden? Sag mir nicht, es ist von Tante Kira....
		10.ca.5^		Ну... купил...|Ich habe ihn gekauft.
		10.ca.5^		Нет, что ты...|Nein

	10.ca.5@69@p-mtv-2@Ну, как и следовало ожидать, ты опять возбудился. А я тебе говорила, что не стоит такое включать. Что вот мне с тобой теперь делать? Может быть, сам как-то сбросишь напряжение?|Und natürlich bist du jetzt hart. Ich sagte doch, wir hätten es uns nicht ansehen sollen. Was soll ich jetzt mit dir machen? Vielleicht könntest du etwas alleine machen?
		10.ca.6^		Руки болят, мам...|Meine Hände tun mir weh, Mama.

	10.ca.6@73@p-mtv-3@Эх, ладно. Помогу тебе в этот раз. Но только смотри, чтобы это не стало традицией. Я конечно, люблю традиции, но не такие...|Gut, ich helfe dir. Aber nicht zur Gewohnheit machen. Das ist keine Art Familientradition, die wir haben sollen.
		10.ca.7^		Гы...|Heh

	10.ca.7@67@a-motv-1-3@Ох, Макс, ну у тебя и фильмы... Даже мне стало жарко...|Das ist ein richtiger gelier Film, Max. Ich bin jetzt ganz heiß....
		10.ca.8^		Да снимай полотенце!|Warum wirst du das Handtuch dann nicht los?

	10.ca.8@75@p-mtv-5@Хорошо, сынок, но руками ничего не трогать! Ты меня понял? Просто смотри фильм...|Nun, mein Sohn, aber berühre nichts mit deinen Händen! Du hast mich verstanden? Schau dir den Film an...
		10.ca.9^		Ладно, мам...|Okay, Mom

	10.ca.9@69@Давай больше не будем такое включать, когда в любой момент может кто-то увидеть это всё?|Wir sollten uns das nicht ansehen, was ist, wenn uns jemand erwischt?
		10.ca.10^		Да никто не увидит!|Niemand wird uns erwischen!

	10.ca.10@73@a-motv-1-4@Да уж... А если и увидит, то не знаю даже что и сказать... Поэтому, давай побыстрее, чтобы нас не поймали...|Richtig.... Ich kann mir nicht mal vorstellen, wie ich das alles erklären soll.... Beeilen wir uns, bevor uns jemand erwischt.
		10.ca.11^		Ага, мам...|Okay

	10.ca.11@60@a-mtv-0@Ох, сынок... Я даже не знаю... У меня рука устала, а ты всё не кончаешь. Ты не заболел? Обычно же не так у тебя всё происходит?|Weißt du, Sohn.... Meine Hand ist schon müde, aber du bist noch nicht gekommen.... Ich fange an zu glauben, dass es ein Problem mit dir gibt. Bist du sicher, dass es dir gut geht?
		10.ca.12^		Нет, мам, вс? супер!|Alles ist großartig, Mom!

	10.ca.12@69@Ну я не знаю... Думаю, мне придётся остановиться. Дальше уже как-нибудь сам. Я и правда устала... Да и опасно это, вдруг кто-то заметит...|Ich weiß nicht.... Ich denke, wir müssen für heute aufhören. Du musst ohne mich weitermachen, ich bin zu müde. Und ich fürchte, jemand könnte uns sehen.
		10.ca.13^		Ладно, ?ам...|Okay, Mom

	10.ca.13@73@a-mtv-1@Может быть, тебе к врачу обратиться? Это же не нормально, когда ты сидишь голый перед... таким фильмом, тебе помогает голая женщина и ты не кончаешь...|Vielleicht solltest du zum Arzt gehen? Du sitzt nackt direkt vor.... dem Film und eine nackte Frau hilft dir, aber du bist trotzdem nicht gekommen....
		10.ca.14^		Да всё нормально, мам!|Alles ist Okay, Mom!

	10.ca.14@60@Ну хорошо... Ладно, давай одеваться. Я посмотрю что-нибудь другое, а ты попробуй как-нибудь сам. Хорошо?|Okay.... Dann ziehen wir uns an. Ich sehe mir etwas anderes an, und du solltest versuchen, dein Problem irgendwie zu lösen. Okay?
		leave!lock!set_dcd.motv_3!set_motv_2!set_sideeffect_1!set_mobe_1!max_cam.4.grow_300!set_moba_1^		Ага, спасибо, мам!|Okay, Danke, Mom!

	10.ca.15@62@Ты опять предлагаешь смотреть тот фильм? И ты снова возбудишься и опять не сможешь кончить?|Wirst du hart werden und wieder nicht abspritzen?
		10.ca.16^		Может быть, я вылечился!|Vielleicht bin ich besser geworden?

	10.ca.16@69@Ну если только с целью выяснить, всё ли у тебя в порядке... Ладно, включай, посмотрим на твою реакцию...|Nun, ich schätze, wir sollten überprüfen, ob das wahr ist.... Gut, schalte es ein, lass uns deine Reaktion beobachten.
		10.ca.17^		Ага!|Okay!

	10.ca.17@67@a-motv-1-2@А чем тебе так понравился этот фильм? Или просто других не нашёл?|Was gefällt dir an diesem Film überhaupt so gut? Oder ist das nur der erste, den du dir gegriffen hast?
		10.ca.18^		Да какой есть...|Es ist nur ein zufälliger Film.
		10.ca.18^		Ну да...|Ja ja...

	10.ca.18@69@p-mtv-2@Понятно... Ну что же, пока у тебя вполне здоровая реакция для твоего организма... Ладно, помогу и в этот раз. Надеюсь, твой недуг прошёл...|Ich verstehe. Nun, sieht so aus, als hättest du bisher eine gesunde Reaktion. Ich schätze, das ist mein Stichwort.... Mal sehen, ob du dein Problem losgeworden bist.
		10.ca.19^		Да это не недуг...|Es ist kein Problem....

	10.ca.19@67@a-motv-1-3@Ну я не знаю, называй как хочешь, но в такой ситуации ты просто обязан кончить!|Ich bin mir ziemlich sicher, dass du in einer Situation wie dieser kommen sollst.
		10.ca.20^		Полотенце...|Das Handtuch....

	10.ca.20@62@p-mtv-5@Да, да... Но повторюсь, ничего не трогай! Просто смотри фильм и постарайся кончить как можно скорее, пока нас не поймали за этим делом...|Ja ja, Ja ja... Nochmal, fass nichts an. Einfach den Film anschauen und versuchen, so schnell wie möglich zu kommen, bevor wir erwischt werden.
		10.ca.21^		Ага, постараюсь...|Ich werde es versuchen.

	10.ca.21@60@a-motv-1-4@Ну как, ты уже близко, сынок? А то я боюсь, что ещё пять минут и моя рука отвалится...|Bist du bereit, Sohn? Meine Hand ist schon müde.
		10.ca.22^		Ну... так...|Nicht.... wirklich....

	10.ca.22@67@a-mtv-1@Так, ладно. Придётся воспользоваться запасным способом. Конечно, это не совсем правильно, но больше ничего не остаётся...|Ich verstehe. Ich schätze, ich werde einen Notfallplan verwenden müssen. Es ist nicht sehr anständig, aber was soll ich sonst tun?
		10.ca.23^		Ты о чём?|Was meinst du damit?

	10.ca.23@75@Придётся включить порно вместо твоей эротики. Может быть, ты просто привык к чему-то... более жёсткому...|Ich werde echte Pornos statt dieser Erotik anschalten. Vielleicht brauchst du nur etwas mehr Motivation.
		10.ca.24^		Ну давай... А откуда?|Sicher.... Wie kommt es, dass du Pornos hast?

	10.ca.24@69@a-motv-2-1@Так и знала, что спросишь... Это осталось от Эрика. Мы иногда смотрели... всякое разное. Но думаю, ты и так это прекрасно знаешь...|Ich wusste, du würdest fragen.... Es ist von Eric. Manchmal haben wir.... ein paar Sachen gesehen. Ich bin sicher, du weißt alles darüber.
		10.ca.25^		Понятно...|Ich verstehe

	10.ca.25@67@a-motv-2-2@Тебе нравится? Надеюсь, я не пожалею, что включила такой фильм?|Gefällt es dir? Ich werde es nicht bereuen, dass ich die Pornos gemacht habe, oder?
		10.ca.26^		Всё супер, мам, продолжай!|Alles ist großartig, Mom, weiter!

	10.ca.26@69@a-motv-2-3@И что я делаю... Со своим сыном, голая, глядя на такой фильм... Эх... Ой, я это вслух сказала? Извини, сынок, не отвлекайся...|Was mache ich hier.... Mit einem Sohn, nackt, Pornos gucken.... Habe ich es laut gesagt? Es tut mir leid. Sohn, konzentriere dich.
		10.ca.27^		Ага...|Okay

