# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
		07.acd.24^		Ну вот! И я денег не беру!|Siehst du! Und du darfst meinen Teil behalten!

	07.acd.24@22@p-blog-28@Ещё бы ты и деньги брал за такое... Ну всё, мне надо тут прибраться, иди... И Макс, ты ничего не забыл? Шорты, например?|Ja, als ob du es verdienst, mein Geld zu nehmen, nachdem, was ich getan habe.... Okay, ich muss alles aufräumen, los.... Hast du etwas vergessen, Max? Wie, ich weiß nicht, Shorts, vielleicht?
		leave!set_poss.blog_16!max_cam.1.grow_250!set_blop_4!set_dcd.blop_1!time^			Ага, точно!|Oh, richtig!



# --- 0.7: Вторая совместная с Алисой трансляция

	07.ace.1@23@p-blog-9@Опять без стука? Пришёл подглядывать или что?|Kein Klopfen mehr? Bist du hergekommen, um zuzusehen, oder was?
		07.ace.2^							Я пришёл помочь тебе заработать!|Ich bin gekommen, um dir zu helfen, etwas Geld zu verdienen!
		spun.alisa>0&atouch<3&08.ead.0^		Пришло время тебя наказать...|Bestrafungszeit!
		spun.alisa>0&atouch>2&08.eae.0^		Пришло время тебя наказать...|Bestrafungszeit!

	07.ace.2@20@p-blog-8@Ну если так, то проходи...|Okay, dann kannst du reinkommen.
		07.ace.3^		А ты чего не голая?|Warum bist du nicht nackt?

	07.ace.3@23@Да ещё не успела. К тому же, есть шанс, что ещё и заплатят за это... Так. Ну что, ставлю категорию «пары», как в прошлый раз?|Ich bin noch nicht dazu gekommen. Es gibt immer eine Chance, dass die Leute dafür bezahlen.... Also, in die Kategorie "Paare" wechseln, wie beim letzten Mal?
		07.ace.4^		Конечно!|Ja!

	07.ace.4@21@p-blog-10@А вот и первый клиент... О, сразу заплатили за то, чтобы я что-то с себя сняла... О, а если всё сниму, ещё заплатит! Хорошая была идея сразу не раздеваться...|Und hier ist ein erster Kunde.... Oh, man hat mich gerade bezahlt, damit ich ein paar Sachen ausziehe.... Und wenn ich alles ausziehe, werden sie mir noch mehr geben! Gut, dass ich mich vorher nicht ausgezogen habe.
		07.ace.5^		Точно!|Richtig...

	07.ace.5@25@p-blog-7@Макс, ты там куда заглядываешь? Чего-то не видел?|Warum starrst du mich an, Max? Nichts, was du nicht schon mal gesehen hast, oder?
		07.ace.6^		Да так, любуюсь...|Ich kann den Anblick vor mir nicht ignorieren.
		07.ace.6^		А вдруг?|Ich werde nie müde, dich zu sehen

	07.ace.6@22@Похоже, тебе придётся тоже снять шорты. Клиент что-то задумал...|Sieht so aus, als müsstest du deine Shorts auch ausziehen. Der Kunde hat sich etwas einfallen lassen....
		07.ace.7^		Да легко!|Einfach!

	07.ace.7@21@p-blog-19@Кажется, пришла твоя очередь...|Sieht aus, als wärst du dran....
		07.ace.8^		Очередь что?|Mit was bin ich an der Reihe?

	07.ace.8@25@Поработать. Язычком... И не смотри на меня так, сам смотри что пишет... Справишься?|Um deine Zunge zu benutzen.... Und schau mich nicht so an, du kannst die Bitte für dich selbst sehen.... Kannst du es tun?
		07.ace.9^		Меня уговаривать не надо!|Du musst mich nicht überzeugen!

	07.ace.9@21@p-blog-20@Точно! По твоей ухмылке видно, что ты только и ждал чего-то подобного!|Richtig.... Deiner Visage nach zu urteilen, hast du auf so etwas gewartet!
		07.ace.10^		Это всё клиент!|Ich folge nur der Bitte des Kunden!

	07.ace.10@33@p-blog-21@Ого... Макс... А ты знаешь, что делаешь... О, клиенту тоже нравится... Хотя, чёрт с ним, с клиентом, продолжай!|Wow.... Max.... Du weißt, was du tust, nicht wahr? Dem Kunden gefällt es auch.... Aber wer kümmert sich um dich, mach weiter!
		07.ace.11^		<i>особо постараться</i>|<i>noch mehr anstrengen</i>

	07.ace.11@21@p-blog-22@Макс! Я... я... кончила... Я не собиралась, но... ты так это делаешь... Надо бы выяснить откуда такие навыки... Ох, а ты полон сюрпризов! Ну всё, хватит...|Max! Ich bin.... Ich.... komme... Das wollte ich nicht, aber.... Du bist so gut.... Ich frage mich, wo du so gut bist.... Du bist voller Überraschungen! Okay, das reicht....
		07.ace.12^		<i>далее</i>|<i>fortfahren</i>

	07.ace.12@31@p-blog-12@Ого, хорошо сегодня заработала... Может быть, продолжим?|Wow, ich habe heute eine Menge Geld.... Sollen wir weitermachen?
		07.ace.13^		Да я легко!|Warum nicht!

	07.ace.13@22@p-blog-15@Хорошо, посмотрим кто там что ещё захочет от нас...|Okay, mal sehen, was sie sonst noch wollen....
		07.ace.14^		Я на всё готов!|Ich bin für alles bereit!

	07.ace.14@21@Прямо на всё? А если нас попросят... О нет. Это не вариант!|Alles? Aber was, wenn sie fragen.... Oh, nein. Das mache ich nicht!
		07.ace.15^		Что там такое?|Was wollen die denn?

	07.ace.15@23@Да сам читай, хочет, чтобы ты меня трахнул! Я пока к такому не готова, да ещё со своим братом...|Lies es selbst, sie wollen, dass du mich fickst! Ich bin nicht bereit dafür, besonders mit meinem eigenen Bruder....
		07.ace.16^		Шутишь? В этом весь смысл!|Willst du mich verarschen? Das ist der Punkt!
		07.ace.16^		Да за это заплатят кучу денег!|Sie werden dir eine Menge Geld zahlen!
		07.ace.16^		После всего, что уже было?|Nach allem, was wir bereits getan haben?

	07.ace.16@32@p-blog-23@Макс, я тебе сказала, что не буду с тобой трахаться. Во всяком случае, не сейчас!|Ich habe dir gesagt, Max, ich werde nicht mit dir ficken. Zumindest nicht jetzt!
		07.ace.17^		Но ты знала на что шла...|Aber du wusstest, worauf du dich einlässt.

	07.ace.17@21@Если будешь настаивать, я сейчас тебя прямо в таком виде за дверь выставлю. Всё, иди погуляй. Я на сегодня закончила!|Wenn du darauf bestehst, dass ich dich so rausschmeiße! Wir sind fertig, verschwinde!
		leave!set_poss.blog_17!max_cam.1.grow_250!set_blop_5!set_dcd.blop_1!time^			Эх, ла?но...|Schön...



# --- 0.7: Третья совместная трансляция с Алисой

	07.acf.1@21@p-blog-4@А, Макс... Опять пришёл на голую сестру поглазеть?|Hey, Max.... Bist du wieder gekommen, um deine nackte Schwester anzustarren?
		07.acf.2^							Почему поглазеть, не только!|Warum starrst du mich nur an, ich will mehr als das!
		07.acf.2^							Глазеть? Нет... Я тут, чтобы сделать с тобой кое-что... перед камерой...|Starren? Nein, ich bin hergekommen, um etwas mit dir zu machen.... vor der Kamera....
		spun.alisa>0&atouch<3&08.eac.0^		Пришло время тебя наказать...|Bestrafungszeit!
		spun.alisa>0&atouch>2&08.aeb.0^		Пришло время тебя наказать...|Bestrafungszeit!

	07.acf.2@23@p-blog-5@Вот именно! Я думаю, что нам надо установить некоторые границы. Подрочить там тебе или пусть тебя с твоим... ловким язычком кое-куда, это ещё ладно, но трахаться...|Richtig.... Ich denke, wir sollten ein paar Grenzen setzen. Ich habe keine Probleme mit einem Handjob oder mit deiner.... Zunge, aber Ficken ist....
		07.acf.3^		Думаешь, есть разница?|Wo ist der Unterschied?

	07.acf.3@21@Конечно, есть! Это тебе без разницы куда пихать свой член, а для меня всё имеет значение!|Du magst dich vielleicht nicht darum kümmern, deinen Schwanz irgendwo hinzuschieben, aber das ist wichtig für mich!
		07.acf.4^		Но ты же игрушками пользуешься?|Aber du benutzt ständig Spielzeug!
		07.acf.4b^		А размер, он имеет значение?|Was ist mit meiner Größe? Müsste das nicht für irgendwas gelten?

	07.acf.4b@22@Вот именно! Ещё и размер... Потом ходить больно будет...|Ja, ich werde eine Woche lang nicht mehr laufen können, nachdem du das Monster rein geschoben hast!
		07.acf.5^		Хорошо. У меня есть последний довод...|Okay, ich habe noch ein Argument....

	07.acf.4@20@p-blog-4@Пользуюсь. Только не говори, что я должна представлять вместо тебя резиновый член. Не выйдет!|Ich weiß es. Und sag mir nicht, dass ich so tun soll, als wärst du einer von denen, es wird nicht funktionieren.
		07.acf.5^		Хорошо. У меня есть последний довод...|Okay, ich habe noch ein Argument....

	07.acf.5@23@Дай догадаюсь. Скажешь, что за это хорошо платят? Думаешь, я этого не знаю? Но лучше уж никак, чем такой ценой...|Lass mich raten, du wirst etwas über eine gute Bezahlung sagen? Das weiß ich schon, aber nicht mit diesem Preis....
		07.acf.6^		А где ты будешь деньги брать? У мамы? А наряды, а косметика, развлечения?|Woher willst du dann dein Geld nehmen? Mom fragen? Was ist mit all den Klamotten, Make-up und Feiern?

	07.acf.6@32@p-blog-5@Опять ты за своё... Чувствую себя какой-то проституткой...|Ich fühle mich wie eine Hure....
		07.acf.7^		Никто тебя такой не считает!|Niemand denkt das!

	07.acf.7@23@Правда? Ну, ладно. Конечно, ты скажешь что угодно, лишь бы потрахаться... Но ладно. Так уж и быть. К тому же, мне и правда нужны деньги...|Wirklich? Nun..... Andererseits würdest du alles sagen, nur um zu ficken.... Aber gut. Ich brauche das Geld wirklich....
		07.acf.8^		Я готов!|Ich bin bereit!

	07.acf.8@21@p-blog-7@Ладно, давай посмотрим, кто там у нас сегодня и что хочет. Может быть, не придётся... И снимай шорты уже...|Gut, mal sehen, was die Leute heute wollen. Vielleicht müssen wir das nicht tun.... Zieh deine Hose aus.
		07.acf.9^		Ага...|Sicher

	07.acf.9@22@p-blog-11@Ну вот видишь, клиент хочет, чтобы я просто тебе подрочила...|Siehst du, der Kunde will nur, dass ich dir einen runterhole.
		07.acf.10^		Так я не против...|Es macht mir nichts aus.

	07.acf.10@23@p-blog-17@А теперь... Блин. Ладно... Придётся немного потрахаться. И я не спрашиваю, против ты или нет, давай уже...|Und jetzt.... Mist. Schön.... Wir müssen ficken. Ich werde dich nicht fragen, ob du einverstanden bist, lass uns anfangen....
		07.acf.11^		Хы...|Heh
		07.acf.11^		С удовольствием, сестрёнка!|Mit Vergnügen, Schwester!

	07.acf.11@28@p-blog-24@Только в киску! Никакого анала. Ты меня понял? Моя попка не выдержит этого...|Nur Pussy! Denk nicht mal an anal! Mein Arsch wird dich nicht überleben....
		07.acf.12^		Выдержит, не сомневайся...|Das wird er, mach dir keine Sorgen.

	07.acf.12@23@Макс! Я тебе всё сказала! Или в киску или никуда. И давай, не тяни время, клиент ждёт...|Max! Ich sagte nein! Muschi oder nichts. Und vergeude keine Zeit, der Kunde wartet.
		07.acf.13^		Теперь я твой клиент!|Ich bin jetzt dein Kunde!
		07.acf.13^		Как скажешь...|Okay...

	07.acf.13@4@p-blog-25@<i>Наконец-то! Алиса сама попросила её трахнуть! Блин, да ради этого я бы сделал что угодно! Ах да, я и сделал... Ну, теперь моя награда, держись!</i>|<i>Endlich! Alice hat mich gebeten, sie zu ficken! Ich würde alles dafür tun! Was ich tat.... Meine Belohnung, ich komme.!</i>
		07.acf.14^		<i>трахать Алису</i>|<i>ficke Alice</i>

	07.acf.14@3@p-blog-26@<i>Похоже, ей это и самой начинает нравиться... Да определённо! А мне то как...</i>|<i>Sie ist auch dabei.... So gut....</i>
		07.acf.15^		<i>продолжить</i>|<i>fortfahren</i>

	07.acf.15@26@Макс, я сейчас кончу... Только... ты не вздумай кончать в меня, понял? Можешь на попку, но не в меня! Иначе оторву тебе что нибудь...|Ich komme, Max.... Nur.... Denk nicht mal daran, drinnen zu kommen! Du kannst auf meinen Hintern spritzen, wenn du willst, aber nicht in mich! Du wirst es bereuen, wenn du es tust....
		07.acf.16^		<i>кончить на её попку</i>|<i>spritz auf ihren Arsch</i>

	07.acf.16@21@p-blog-27@Спасибо, Макс. Я знаю, мужики иногда не слушают и делают что попало... Если бы ты кончил в меня, это точно был бы последний раз...|Danke, Max. Ich weiß, dass Männer manchmal nicht zuhören.... Wenn du drinnen gekommen wärst, wäre das unser letztes Mal.
		07.acf.17^		Хорошо, что я тебя слушаю, да?|Gut, dass ich dann zugehört habe.

	07.acf.17@22@p-blog-28@Верно. Ну всё, Макс, я тут приведу себя в порядок... И да, мне понравилось, если тебе интересно. Даже очень... И шорты не забудь!|Richtig.... Okay, Max, ich muss alles aufräumen. Ich habe es übrigens genossen. Sehr sogar.... Vergiss deine Shorts nicht!
		leave!set_poss.blog_18!max_cam.1.grow_250!set_blop_6!set_dcd.blop_1!time^			Ого!|Wow!



# --- 0.7: Четвёртая попытка совместной трансляции с Алисой

	07.acg.0@23@p-blog-9@Макс? Опять без стука? Поработать пришёл или развлечься?|Max? Kein Klopfen mehr? Geschäftlich oder privat?
		07.acg.1^							И то и другое!|Beides!
		07.acg.1a^							Поработать. Это же работа?|Business
		07.acg.1b^							Развлечься, конечно!|Vergnügen, Natürlich!
		spun.alisa>0&atouch<3&08.ead.0^		Пришло время тебя наказать...|Bestrafungszeit!
		spun.alisa>0&atouch>2&08.eae.0^		Пришло время тебя наказать...|Bestrafungszeit!

	07.acg.1b@21@Не сомневаюсь, но именно об этом я и хотела бы поговорить с тобой...|Natürlich.... Ich wollte übrigens darüber reden.
		07.acg.2^		Ладно... что-то случилось?|Ist etwas passiert?

	07.acg.1a@21@Да, хорошо, что ты так к этому относишься. Именно об этом я и хотела бы поговорить...|Ich mag es, wenn du es ernst nimmst. Ich wollte übrigens darüber reden.
		07.acg.2^		Что-то случилось?|Ist etwas passiert?

	07.acg.1@21@Хорошо, но я хотела об этом поговорить...|Gut, ich wollte darüber reden....
		07.acg.2^		Что-то случилось?|Ist etwas passiert?

	07.acg.2@23@Ну, не совсем. Просто, я для себя решила как к этому всему относиться и как будет лучше нам с тобой построить отношения из-за... ну ты понял...|Nicht wirklich. Ich dachte über diese ganze Situation und die neue Entwicklung in unserer Beziehung nach....
		07.acg.3^		Почти...|Okay...

	07.acg.3@21@Короче, я буду заниматься этим как и ранее одна, но если ты заглянешь, то с одним клиентом поработаем вместе. Но только с одним в день...|Ich habe mich entschieden, es weiterhin alleine zu machen, aber wenn du Lust hast, mitzumachen, können wir zusammen arbeiten. Aber nur mit einem Kunden pro Tag.
		07.acg.4^		Хорошо, но почему?|Okay, aber warum?

	07.acg.4@20@Я не хочу, чтобы это всё превращалось в какую-то рутину. Вот мы с тобой потрахались и мне очень понравилось. Да, да, но не зазнавайся!|Ich will das nicht zur Routine machen. Wir haben gefickt und ich mochte es wirklich. Ja, habe ich, aber das ist nicht der Grund, weiterzumachen....
		07.acg.5^		Гы... Постой, так в в чём тогда проблема?|Heh.... Was, was ist dann das Problem?

	07.acg.5@23@Я боюсь, что если это всё станет рутиной, то чувства пропадут и это будет что-то вроде механического секса. Ну вот как с резиновой игрушкой, о чём мы и говорили...|Ich habe Angst, diese ganze Sache in eine Routine zu verwandeln, die Gefühle werden aufhören und es wird sich in einen mechanischen leidenschaftslosen Sex verwandeln. Wie mit einem Gummispielzeug....
		07.acg.6^		Понял... Значит, для тебя это не просто секс?|Ich verstehe... Warte, bedeutet das für dich mehr als nur Sex?

	07.acg.6@20@Я не знаю, Макс. До того раза это было баловство, но... В общем, не могу объяснить. И не хочу. Ты меня понимаешь, Макс?|Ich weiß nicht, Max. Wir haben vorhin nur herumgealbert, aber.... Ich kann das nicht erklären. Hast du mich verstanden, Max?
		07.acg.7^		Думаю, я тебя услышал...|Ich glaube schon
		07.acg.7^		Понимаю...|Ich verstehe dich

	07.acg.7@21@Хорошо. Я рада. Тогда приходи, когда захочешь, порадуем наших клиентов. Ну и друг друга иногда. Главное, не надоедай и держи всё в секрете. Хорошо?|Gut. Ich bin froh. Dann kannst du vorbeikommen, zur Freude unserer Kunden. Und unsere auch. Langeweile mich nicht und sag es niemandem, okay?
		07.acg.8^		Конечно! А сегодня что?|Natürlich! Wie wär's mit heute?

	07.acg.8@22@Сегодня я не в том настроении. Давай в другой раз, хорошо?|Ich bin heute nicht in der Stimmung, ein anderes Mal.
		leave!set_poss.blog_19!max_cam.1.grow_250!set_blop_7!set_dcd.blop_1!lock^			Ага!|Okay



# --- 0.7: Основной периодический эвент с трансляцией

	07.ach.1@21@p-blog-4@Макс? Рада тебя видеть. Ну что, поможешь сестрёнке немного заработать?|Schön, dich zu sehen, Max. Also, wirst du deiner Schwester helfen, etwas Geld zu verdienen?
		webrules=0&07.ach.2!max_cam.1.grow_250!set_dcd.blop_1^		Я всегда рад! <i>(снять шорты)</i>|Immer! <i>(Hose ausziehen)</i>
		webrules>0&dcd.webrules=0&11.ba.0!max_cam.1.grow_250!set_dcd.blop_1^		Я всегда рад!|Immer!
		webrules>0&dcd.webrules>0&07.ach.2!max_cam.1.grow_250!set_dcd.blop_1^		Я всегда рад! <i>(снять шорты)</i>|Immer! <i>(Hose ausziehen)</i>
		spun.alisa>0&atouch<3&08.eac.0^								Пришло время тебя наказать...|Bestrafungszeit!
		spun.alisa>0&atouch>2&08.aeb.0^								Пришло время тебя наказать...|Bestrafungszeit!

	07.ach.2@33@p-blog-12@Ну давай посмотрим, какой извращенец к нам сегодня заглянет в приват...|Mal sehen, was für ein Perverser sich uns heute anschließt....
		bloc=0&07.aci.0^		<i>ждать клиента</i>|<i>auf Kunden warten</i>
		bloc=1&07.acj.0^		<i>ждать клиента</i>|<i>auf Kunden warten</i>
		bloc=2&07.ack.0^		<i>ждать клиента</i>|<i>auf Kunden warten</i>



# --- 0.7: Трансляция, вариант 1

	07.aci.0@25@p-blog-15@Хм... Ну что же, поласкать себя на камеру? Легко...|Hm.... Mich vor der Kamera anfassen? Einfach....
		07.aci.1^		<i>далее</i>|<i>fortfahren</i>

	07.aci.1@22@p-blog-13@Макс... Не смотри на меня так... Лучше присоединяйся... Всмысле, то же самое делай... Видишь, клиент этого хочет... Ты же не хочешь, чтобы он остался недоволен?|Max.... Sieh mich nicht so an.... Setz dich stattdessen zu mir.... Mach das Gleiche, meine ich.... Siehst du, der Kunde will das.... Du willst ihn doch nicht unglücklich machen, oder?
		07.aci.2^		Да легко!|Sicher

	07.aci.2@2@p-blog-14@<i>Жаль, что сегодня клиент не особо требовательный... Но тоже хорошо. Может быть, ещё что-то перепадёт?</i>|<i>Schade, dass der Kunde heute nicht viel verlangt hat.... Aber das ist auch schön. Vielleicht bekomme ich noch mehr?</i>
		07.aci.3^		<i>продолжить</i>|<i>fortfahren</i>

	07.aci.3@21@p-blog-16@Макс, мне кажется, что тебе нужна помощь... Ты же не возражаешь?|Ich glaube, du brauchst Hilfe, Max.... Es macht dir doch nichts aus, oder?
		07.aci.4^		О, конечно нет!|Natürlich nicht!

	07.aci.4@4@p-blog-17@<i>А ведь клиент этого не просил! Это её инициатива! Ох, сестрёнка, да... Мне с тобой очень повезло... Какие у неё ручки... О да...</i>|<i>Die Kundin hat nicht danach gefragt, es war ihre Idee! Ja, Schwester.... Ich bin so glücklich mit dir.... ihre Hände sind so gut.... Oh, ja....</i>
		07.aci.5^		<i>кончить!</i>|<i>spritzen!</i>

	07.aci.5@33@p-blog-18@Ох, Макс, сколько спермы... Видимо, и правда понравилось... Да и нашему клиенту, кстати, тоже. Спасибо тебе ещё раз за участие... Думаю, тебе пора, а я пока приберусь...|So viel Sperma heute, Max.... Ich schätze, du hast es wirklich genossen.... Und unser Klient auch. Danke für deine Hilfe. Ich denke, du solltest gehen, ich muss aufräumen.
		leave!set_bloc_1!time^			Тебе спасибо!|Danke!



# --- 0.7: Трансляция, вариант 2

	07.acj.0@22@p-blog-15@Макс, похоже сегодня моя очередь получать удовольствие... Ты же не откажешь обнажённой девушке в маленькой радости?|Sieht so aus, als wäre ich an der Reihe, mich zu freuen.... Du wirst einer nackten Dame doch nicht in einer kleinen Freude verwehren, oder?
		07.acj.1^		Ты о чём?|Was meinst du damit?

	07.acj.1@21@p-blog-19@Не притворяйся, всё ты понял... Моя киска тебя заждалась уже... И никуда не спеши, дай мне насладиться. Уж очень хорошо ты это делаешь...|Du weißt, was ich meine.... Meine Muschi wartet auf dich.... Und keine Eile, lass mich den Moment genießen. Du bist wirklich gut darin....
		07.acj.2^		Для тебя всё, что угодно, сестрёнка!|Alles für dich, Schwesterherz!

	07.acj.2@25@p-blog-20@Кстати, ты мне расскажешь, где ты научился это делать так хорошо? Но в другой раз... Приступай...|Du musst mir sagen, wo du das gelernt hast.... Aber ein anderes Mal. Fang an!
		07.acj.3^		Конечно!|Sicher

	07.acj.3@21@p-blog-21@Да, Макс... продолжай... Наш клиент очень доволен и даже заплатил небольшой бонус... Да...|Ja, Max.... Mach weiter.... Unser Kunde ist sehr zufrieden und hat uns sogar einen netten Bonus gegeben.... Ja....!
		07.acj.4^		<i>продолжить</i>|<i>fortfahren</i>

	07.acj.4@4@p-blog-22@<i>Кто бы мог подумать, что моя старшая сестра будет просить меня ласкать её киску языком? Даже если рассказать кому-то, ни за что не поверят!</i>|<i>Wer hätte gedacht, dass meine ältere Schwester mich bittet, ihre Pussy zu ficken? Und ich kann auch niemandem davon erzählen, niemand würde mir glauben!</i>
		07.acj.5^		<i>продолжить</i>|<i>fortfahren</i>

	07.acj.5@26@p-blog-20@Ох, Макс, остановись... Я уже кончила... Это было... было... просто не передать... Ты очень... способный брат...|Oh, Max, hör auf.... Ich bin gerade erst gekommen.... Es war.... war....unglaublich.... Du bist der beste Bruder aller Zeiten!
		07.acj.6^		Что там клиент?|Was ist mit dem Kunden?

	07.acj.6@22@Клиент? Ах да... Всё в порядке, как видишь, он тоже очень доволен... Думаю, на сегодня хватит. Я и так уже без сил, даже не чувствую своих ног... Спасибо тебе...|Der Kunde? Oh, ja.... Alles in Ordnung, er ist sehr glücklich. Ich denke, es reicht für heute. Ich kann meine Beine nicht spüren.... Ich danke dir.
		leave!set_bloc_2!time^			Обращайся!|Jederzeit!



# --- 0.7: Трансляция, вариант 3

	07.ack.0@22@p-blog-15@Кажется, нам предлагают немного разогреться... Порадуем клиента?|Ich glaube, sie wollen, dass wir uns aufwärmen.... Sollte unser Kunde zufrieden sein?
		07.ack.1^				Конечно!|Immer!

	07.ack.1@21@p-blog-14@Похоже, этого ему уже недостаточно и он хочет... Ну ты и сам видишь, чего он хочет... Даже спрашивать тебя не буду, хочешь ли ты...|Okay, er will mehr, und es ist.... nun, du kannst selbst sehen, was er will.... Ich werde nicht mal fragen, ob du es willst....
		07.ack.2^				И правильно!|Das ist richtig!

	07.ack.2@23@p-blog-24@Макс, только не в попку, хорошо? И не кончай в меня, я сегодня без таблеток...|Aber nicht in den Arsch! Und komm nicht drinnen, ich nehme heute keine Pille.
		07.ack.3^				Хорошо...|Okay

	07.ack.3@25@p-blog-25@Ох, Макс... Я и забыла уже это чувство... Настоящий член гораздо лучше любой игрушки... А когда он ещё и такой, как у тебя... Ладно, чего завис? Трахни меня уже!|Oh, Max.... Ich vergaß, wie du dich in mir fühlst.... Echt ist besser als jedes Spielzeug.... Besonders, wenn es wie deins ist.... Worauf wartest du, fick mich schon!
		blol=0&07.ack.4^		Ага!|Ja, ja!
		blol>1&07.ack.4^		Ага!|Ja, ja!
		blol=1&07.acm.0^		Ага!|Ja, ja!

	07.ack.4@4@p-blog-26@<i>О да, сестрёнка... Как же я люблю наши совместные, так сказать, веб-трансляции... Она же мне за это ещё и благодарна! И даже намекает на то, что не только из-за денег...</i>|<i>Oh, ja, Schwester.... Ich liebe unsere Streams so sehr.... Und sie ist dankbar für meine Hilfe! Und sie tut nicht einmal mehr so, als ob sie es nur wegen des Geldes tut....</i>
		07.ack.5^				<i>продолжить</i>|<i>fortfahren</i>

	07.ack.5@26@p-blog-25@Макс... Я уже близко... Быстрее... быстрее... Только не кончай в меня, можешь на попку... Да... я... А...|Ich bin nah dran, Max.... Schneller.... Schneller... Aber komm nicht drinnen, du kannst auf meinen Hintern abspritzen.... Ja.... Ich... Ah....
		07.ack.6^				<i>кончить на её попку</i>|<i>spritze auf ihren Arsch</i>

	07.ack.6@21@p-blog-27@Макс... Сегодня ты превзошёл себя... Мне очень понравилось. Только не зазнавайся. Всё это только для дела, верно?|Du warst heute außergewöhnlich gut, Max.... Ich habe es geliebt. Werd nicht übermütig. Es ist alles nur für die Show, richtig?
		07.ack.7^				Конечно!|Sicher...

	07.ack.7@33@p-blog-28@Хорошо. Но на сегодня хватит... К тому же, клиент явно в восторге. Буду ждать твоего следующего визита, Макс...|Gut. Okay, das reicht für heute. Der Kunde ist auch glücklich. Ich warte auf deinen nächsten Besuch, Max.
		leave!set_bloc_0!time^		А я то как буду...|Das werde ich auch



# --- 0.7: Сцена, где Лиза ловит Макса, трахающего Алису

	07.acm.0@4@p-blog-26@<i>О да, сестрёнка... Как же ты хороша... Интересно, если я в неё кончу, Алиса сильно расстроится? Может быть, попробовать?</i>|<i>Oh, ja, Schwester.... Du bist so gut.... Ich frage mich, ob sie sauer sein wird, wenn ich in ihr komme? Soll ich es versuchen?</i>
		07.acm.1^		<i>далее</i>|<i>fortfahren</i>

	07.acm.1@50@p-busted-1@Макс? Алиса?! Что происходит? Вы что, трахаетесь?!|Max? Alice!? Was ist hier los? Fickst du sie etwa?!
		07.acm.2^		Э...|Em...

	07.acm.2@26@p-busted-3@Лиза, это не то, что ты думаешь. Макс мне помогает с одним делом... Хотя это и выглядит всё, как будто... Блин, Макс, объясни ты...|Lisa, es ist nicht so, wie es aussieht. Max hilft mir bei etwas.... Auch wenn es so aussieht, als ob wir.... Mist, Max, versuch Lisa die Situation zu erklären....
		07.acm.3^		Я помогаю Алисе заработать деньги!|Ich helfe Alice, Geld zu verdienen!

	07.acm.3@44@p-busted-2@Заработать деньги? Не поняла. Алиса, ты что, трахаешься с Максом за деньги?!|Geld verdienen? War? Alice, fickst du mit Max für Geld?
		07.acm.4^		Нет, это не то...|Nicht ganz....

	07.acm.4@21@p-busted-3@Да уж, Макс, помог... Нет, я позирую перед камерой за деньги. Но если девушка одна, это не приносит так много прибыли, как если снимается пара... Вот Макс и составил такую пару...|Gute Erklärung, Max.... Nein, ich posiere vor der Kamera für das Geld. Aber wenn das Mädchen allein ist, ist es nicht so profitabel wie der Stream eines Pärchens.... Also hilft mir Max aus....
		07.acm.5^		Да, всё так!|Ja, das ist richtig!

	07.acm.5@49@p-busted-2@Значит, вы не просто трахаетесь, но и делаете это перед всеми, кто готов платить? С ума сойти! Алиса, ты всегда вся из себя, а тут такое... И ты, Макс, тоже хорош... Я то думала...|Also fickt ihr euch nicht nur gegenseitig, sondern ihr tut es für jeden, der bereit ist zu zahlen? Ich kann es nicht glauben! Ich würde nie glauben, dass du so etwas tun würdest, Alice.... Und du, Max.... Und ich dachte, du bist....
		07.acm.6^		Это всё с целью помочь Алисе!|Ich versuche, Alice zu helfen!

	07.acm.6@25@Лиза, прекращай этот цирк. Думаешь, я не знаю про тебя и Макса? Или про тётю Киру?|Du kannst diesen Zirkus bleiben lassen Lisa. Denkst du, ich weiß nichts über Max und dich? Oder Tante Kira?
		07.acm.7^		Что?!|Was!?

	07.acm.7@46@Что ты знаешь?|Was weißt du schon?
		07.acm.8^		Блин...|Mist......

	07.acm.8@21@Да всё знаю. Ты стала озабоченной с того дня, как мы переехали в этот дом, это все заметили. Да и Кира, когда напьётся в клубе, всякое рассказывает, в том числе и про ваши эти уроки секс-воспитания!|Ich weiß alles. Jeder hat bemerkt, wie pervers du geworden bist, nachdem wir in dieses Haus gezogen sind. Und manchmal, wenn Kira sich im Club betrinkt, redet sie über alles Mögliche, auch über deinen Sexunterricht!
		07.acm.9^		Да уж...|Wow...

	07.acm.9@42@p-busted-3@Но это нечестно! Вообще, во всём Макс виноват! Это он начал ко мне приставать, а теперь вижу, что и к тебе...|Das ist nicht fair! Es ist alles Max' Schuld! Er ist derjenige, der mich anmacht.... Und bei dir sieht es auch so aus....
		07.acm.10^		Вы вроде были не против...|Ihr wart beide damit einverstanden.

