# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

		05.les4.26^		Ого... Я столько от тебя не слышал... такого...|Wow. So etwas habe ich noch nie von dir gehört....

	05.les4.26@101@Ну вот, Макс, будешь чаще радовать сестрёнку, будешь чаще слышать подобное. Лиза, ты же не против, если Макс иногда будет таким образом тебя радовать?|Nun, dann kannst du es deiner Schwester öfter recht machen, damit du solche Sachen hörst, Max. Du hast doch nichts dagegen, dass er dir das ab und zu antut, oder, Lisa?
		05.les4.27^		Лично я не против, если что...|Es macht mir nichts aus.

	05.les4.27@41@Ну, посмотрим на его поведение. Ой. Я не чувствую своих ног и в голове такой туман...|Wir werden sehen.... Ich spüre meine Beine nicht und ich fühle mich wie in einem Nebel....
		05.les4.28^		Ты что, в первый раз кончила?|War das dein erster Orgasmus?

	05.les4.28@48@Дурак! Нет, конечно... Но так... да, это совсем иначе. Не знаю, не могу объснить, да и не хочу. Просто... нет слов...|Idiot! Natürlich nicht.... Aber nichts dergleichen.... Ja, das ist ganz anders. Ich weiß nicht, wie ich das erklären soll, und ich will es auch nicht.
		05.les4.29^		<i>далее</i>|<i>fortfahren</i>

	05.les4.29@114@Похоже, Макс сдал экзамен досрочно. Молодец. Справился на отлично. Ну что, в следующий раз вас ждёт кое-что ещё более интересное...|Sieht so aus, als hätte Max seine Prüfung beim ersten Versuch bestanden. Gute Arbeit, du bekommst eine Eins+. Nächstes Mal bekommst du etwas noch Besseres....
		05.les4.30^		Ого. Это что?|Und was ist das?

	05.les4.30@46@Только не секс. Я не хочу терять невинность таким образом, тётя Кира!|Nur kein Sex. Ich will meine Jungfräulichkeit nicht so verlieren, Tante Kira!
		05.les4.31^		<i>далее</i>|<i>fortfahren</i>

	05.les4.31@114@Ну почему сразу не секс... Секс, вполне себе, просто... другой. Всё узнаете в следующий раз. А теперь мне пора, да и вы измотаны... Спокойной ночи!|Warum nicht Sex.... Es wird Sex sein, nur.... andere Art. Du wirst es das nächste Mal sehen. Ich sollte jetzt gehen, wir sind alle müde. Gute Nacht!
		leave!set_kiravisit_5!set_kiranight_1!set_dcd.kiranight_3!set_poss.sed_33!max_cam.0.grow_250^		Спокойной ночи, тётя Кира!|Gute Nacht, Tante Kira!



# --- 0.5: 5й урок|5. Lektion mit Kira

	05.les5.0@114@m-k-33@Доброй ночи! Не ждали?|Hallo, alle zusammen! Du hast mich heute nicht erwartet, was?
		05.les5.1^		Ого, отличный наряд!|Wow, tolles Outfit!

	05.les5.1@113@m-k-34@Я рада, что тебе нравится, Макс, а ты, Лиза, снимай трусики. Нам с тобой нужно в ванную комнату.|Ich bin froh, dass es dir gefällt, Max. Zieh dein Höschen aus, Lisa, wir müssen ins Bad.
		05.les5.2^		Кажется, что-то намечается...|Irgendwas kocht hier....

	05.les5.2@46@Э... зачем? Я перед сном ванну принимала... И зачем раздеваться? В таком виде по дому ходить? Голой?!|W-warum? Ich nahm ein Bad, bevor ich ins Bett ging. Und warum ausziehen? Warum willst du, dass wir nackt im Haus herumlaufen?
		05.les5.3^		Сколько вопросов...|So viele Fragen....

	05.les5.3@101@Лиза, просто снимай трусики и пойдём, по пути всё расскажу!|Zieh einfach dein Höschen aus und lass uns gehen, ich sage es dir auf dem Weg.
		05.les5.4^		Ух...|Wow...

	05.les5.4@40@Ну... хорошо, как скажешь, тётя Кира...|Nun.... Okay, was immer du sagst, Tante Kira....
		05.les5.5^		<i>далее</i>|<i>fortfahren</i>

	05.les5.5@114@m-k-35@Макс, нас не будет какое-то время, не теряй, сиди тут и жди... А ещё лучше - готовься. Только не кончи в предвкушении раньше времени, у нас на твой член большие планы...|Wir werden eine Weile in einem Bad sein, warte hier auf uns. Oder noch besser - sei bereit. Aber komm nicht zu früh, wir haben große Pläne an deinem Schwanz....
		05.les5.6^		Ого...|Wow

	05.les5.6@113@m-k-36@Всё, девочки готовы. О, Макс, я смотрю ты тоже. Очень хорошо... Тогда приступим к новому уроку. Лиза уже в курсе, а тебе сообщаю, что тема сегодняшнего занятия - анальный секс.|Okay, die Mädchen sind bereit. Oh, du bist auch bereit, Max. Das ist gut. Dann lasst uns mit der heutigen Lektion beginnen. Wie Lisa bereits weiß, ist das Thema der heutigen Lektion Analsex.
		05.les5.7^		Вах...|Was...

	05.les5.7@101@m-k-37@Я знала, что тебе понравится, Макс! Итак. Лиза... Я знаю, что тебя это всё пугает, но этот вид секса - лучший способ получать удовольствие, сохраняя девственность. И в сочетании с другими видами он весьма неплох!|Ich wusste, es würde dir gefallen, Max! Also, Lisa.... Ich weiß, es klingt beängstigend, aber diese Art von Sex ist der beste Weg, um Freude mit deiner Unversehrtheit zu haben. Und es ist wirklich gut, wenn es mit anderen Möglichkeiten kombiniert wird!
		05.les5.8^		<i>далее</i>|<i>fortfahren</i>

	05.les5.8@46@Я видела, как это делается... в интернете. Но мне кажется, что это как-то... противоестественно, что ли... И как от этого можно получить удовольствие? Я думала, что только киска для этого подходит...|Ich habe einige Pornos gesehen und es sieht irgendwie.... unnatürlich aus, denke ich.... Wie könnte es angenehm sein? Ich dachte, man kann sich nur am Vaginalsex erfreuen....
		05.les5.9^		<i>далее</i>|<i>fortfahren</i>

	05.les5.9@101@Я понимаю твои сомнения, но просто поверь мне. Многим мужчинам очень нравится анал. Но при правильном подходе и женщина может получить от него огромное удовольствие.|Ich verstehe deine Sorgen, aber vertrau mir einfach hier. Viele Männer lieben anal. Und wenn man es richtig macht, kann die Erfahrung der Frau auch sehr angenehm sein.
		05.les5.10^		А мне всё нравится!|Ich liebe alles!

	05.les5.10@100@m-k-38@Так, Макс, сейчас ты должен будешь делать всё медленно, нежно и только то, что я тебе скажу. Если сделаешь что-то не то, Лизе может не понравиться и в следующий раз она откажется. Ты меня понял?|Nun, Max, ich möchte, dass du alles langsam und vorsichtig machst. Und tu nur, was ich dir sage. Wenn du etwas falsch machst, dann wird es Lisa wahrscheinlich nicht gefallen und sie wird es das nächste Mal ablehnen. Hast du verstanden?
		05.les5.11^		Да, всё ясно.|Ja

	05.les5.11@101@Очень хорошо. А ты, Лиза, вставай на четвереньки и чуть-чуть прогнись...|Sehr gut. Nun, Lisa, geh in die Hundestellung und beug dich ein bisschen nach unten....
		05.les5.12^		Ух...|Oh...

	05.les5.12@113@m-k-39@Вот так... Макс, а ты чего там сидишь? Оттуда же ничего не видно, подойди, этот урок больше для тебя, чем для Лизы...|Ja, so.... Warum sitzt du da, Max? Du kannst nichts von da drüben sehen, komm näher, das ist deine Lektion.
		05.les5.13^		Хорошо, иду.|Okay, Ich komme

	05.les5.13@101@m-k-40@Ей я уже объяснила всё что нужно о гигиене, а вот как и что делать дальше - уже нужно знать тебе, в первую очередь.|Ich habe ihr schon alles erklärt, was sie über Hygiene wissen muss, dieser Teil ist für dich.
		05.les5.14^		Ага, смотрю и запоминаю.|Okay, ich sehe zu.

	05.les5.14@100@Так вот, прежде чем вставить свой член, а в твоём случае огромный член, необходимо немного растянуть её дырочку. Можно это делать пальчиками. Лучше, если есть смазка, но подойдёт и обычная слюна...|Also, bevor du deinen Schwanz in ihren Arsch steckst, musst du zuerst ihr Loch dehnen. Du kannst das mit den Fingern machen. Am besten mit Gleitmittel, aber auch mit Speichel.
		05.les5.15^		Угу...|Okay

	05.les5.15@101@Вот, видишь, сначала один, затем можно второй, но спешить не надо. Особенно в первый раз. Лиза, ты не против, если то же самое сейчас сделает Макс?|Sieht so aus, zuerst eine, dann einen weiteren. Keine Eile, besonders wenn es das erste Mal ist. Lisa, es macht dir doch nichts aus, wenn Max meinen Platz einnimmt, oder?
		05.les5.16^		<i>далее</i>|<i>fortfahren</i>

	05.les5.16@40@m-k-41@Нет, но... аккуратно если... Да, так не больно...|Nein, aber sei vorsichtig, Max. Tue mir nicht weh.
		05.les5.17^		<i>подвигать пальчиком немного</i>|<i>einen Finger hineinstecken</i>

	05.les5.17@100@Очень хорошо, Макс. Не спеши. Сейчас я схожу за одной игрушкой и всё-таки принесу смазку, чтобы ощущения были максимально приятными. Потому что твой член и правда разорвёт любую неподготовленную девушку...|Sehr gut, Max. Langsam, das ist kein Rennen. Jetzt werde ich mir ein Spielzeug und etwas Gleitmittel besorgen, um das Erlebnis so angenehm wie möglich zu gestalten. Ich fürchte nämlich, du könntest tatsächlich etwas in einem Neuling zerreißen.
		05.les5.18^		<i>вставить два пальчика</i>|<i>einen weiteren Finger hineinstecken</i>

	05.les5.18@46@m-k-42@Ой, Макс, это слишком! Больно! Давай дождёмся тётю Киру...|Au, Max, das ist zu viel! Es tut weh! Warten wir auf Tante Kira.
		05.les5.19^		Ладно, ладно...|Okay, okay

	05.les5.19@101@m-k-43@Вот эту игрушку мы сейчас засунем в тебя, Лиза. Не пугайся, это не больно, особенно с лубрикантом.|Das werden wir jetzt in dich reinstecken, Lisa. Keine Sorge, es tut nicht weh, vor allem nicht mit dem Gleitmittel.
		05.les5.20^		Лубри... что?|Gleit.... was?

	05.les5.20@100@Лубрикант.  Это специальная смазка для анального секса. Макс, пожалуйста, уступи мне место.|Was glaubst du, woher das Wort "Gleitmittel" kommt, du Genie? Dies ist eine Tube Gleitmittel, die speziell für den Analsex entwickelt wurde. Lass uns nochmal tauschen, Max.
		05.les5.21^		Конечно!|Sicher

	05.les5.21@101@m-k-44@Если вставить эту игрушку в попку, анальное отверстие сохранить эластичность и не будет больно, если заменить потому пробку чем-то побольше...|Wenn du dieses Spielzeug in deinen Arsch steckst, dann bleibt das Loch elastisch und du wirst nicht verletzt, wenn du es später durch etwas Größeres ersetzt....
		05.les5.22^		А как долго её надо... носить или что дальше?|Und wie lange sollte sie es tragen? Und was kommt danach?

	05.les5.22@112@m-k-45@Ну в данном случае мы дадим её попке привыкнуть, пока я на себе показываю что такое анальный секс, а потом мы её вытащим и ты трахнешь свою сестрёнку...|Nun, heute geben wir dem Loch etwas Zeit, sich an das Spielzeug zu gewöhnen, während ich an meinem Beispiel etwas Analsex zeige, und dann ziehen wir das Spielzeug raus und du fickst deine Schwester.
		05.les5.23^		Отличный план!|Ich mag diesen Plan!

	05.les5.23@41@Эй, я ещё ни на что не согласилась! И вообще, сначала покажи всё на тёте Кире, мне нужно наглядное пособие, так сказать... Тётя Кира, ты же не против?|Hey, ich habe mich noch auf nichts geeinigt! Zuerst will ich sehen, wie du es mit Tante Kira machst. Zu sehen, wie professionell es ist, sollte ein gutes Beispiel sein.... Es macht dir doch nichts aus, oder, Tante Kira?
		05.les5.24^		<i>далее</i>|<i>fortfahren</i>

	05.les5.24@114@m-k-46@Ой, Лиза, я никогда не против секса. С кем угодно и куда угодно. Ну, в разумных пределах, конечно. Ладно, Макс, покажи на что ты способен...|Ich bin immer bereit für etwas Sex. Mit jedem, in jedem Loch. Nun, relativ gesehen. Okay, Max, zeig mir, was du kannst....
		05.les5.25^		Делаю это только ради тебя, сестрёнка!|Ich tue das nur für dich, Schwester!

	05.les5.25@48@m-k-47@Такие жертвы, Макс... Тётя Кира, он так легко в тебя вошёл! Тебе и правда приятно?|Aber du hast schon so viel für mich geopfert, Max, ich bin es nicht wert.... Tante Kira, es ging so einfach! Fühlt es sich wirklich gut an?
		05.les5.26^		<i>далее</i>|<i>fortfahren</i>

	05.les5.26@114@Не то слово, Лиза! Это... бесподобно! А теперь глубже, Макс! Ещё... Я готова принять его целиком!|Es ist unglaublich, Lisa! Tiefer, Max! Mehr.... Ich bin bereit, das ganze Ding zu nehmen!
		05.les5.27^		Как скажешь, тётя Кира...|Wie du willst, Tante Kira.

	05.les5.27@41@m-k-48@Невероятно! Он весь в тебе! Как он там помещается?! Ой... Тётя Кира, ты и правда вся мокрая... Неужели это так приятно, что можно даже... кончить?|Unglaublich! Das ganze Ding ist in dir! Wie passt das ganze Ding rein? Oh.... Tante Kira, du bist so nass.... Ist es wirklich so gut, dass man sogar.... abspritzen kann?
		05.les5.28^		<i>кончить!</i>|<i>spritzen!</i>

	05.les5.28@113@Ещё как приятно, Лиза... Тебе ещё столько предстоит узнать... Макс, ты что, уже кончил? Не удержался, значит...|Zur Hölle ja....! Du musst so viele Dinge lernen.... Bist du schon gekommen, Max? Ich schätze, es hat sich auch für dich gut angefühlt....
		05.les5.29^		Ну... я...|Oh... Ich...

	05.les5.29@40@m-k-49@Ой, а это всё у тебя не вытечет обратно?|Oh, wird jetzt nicht alles wieder auslaufen?
		05.les5.30^		<i>далее</i>|<i>fortfahren</i>

	05.les5.30@101@Если чуть-чуть постараться, то нет. Думаю, все вопросы отпадут, когда попробуешь... Правда, я не знаю какое время потребуется Максу, чтобы восстановить свои силы...|Nicht, wenn du es aufhalten willst. Ich denke, alle deine Fragen werden beantwortet, wenn du es versuchst.... Ich weiß nicht, wie viel Ruhezeit Max jetzt braucht....
		05.les5.31^		Да я быстро! Готовься, сестрёнка!|Es wird nicht lange dauern. Mach dich bereit, Schwester!

	05.les5.31@40@m-k-50@Э... Нет. Я что-то пока не готова к такому... Конечно, я не против, но... в другой раз. Да и ты сегодня... сдулся, так сказать, как удачно для меня...|Em.... Nein. Ich bin noch nicht bereit.... Es macht mir nichts aus, aber.... Ein anderes Mal Und du bist.... sozusagen erledigt. Ich Glückspilz.
		05.les5.32^		Да это дело пяти минут!|Gib mir nur fünf Minuten!

	05.les5.32@41@Нет, нет, не сегодня. Я всё поняла, буду тренироваться с этой игрушкой, но вот сегодня точно нет. Боюсь, просто разойдусь по швам от твоей штуки...|Nein, heute nicht. Ich werde in der Zwischenzeit mit dem Spielzeug üben. Ich habe Angst, dass du mich mit deinem Ding in zwei Hälften reißt....
		05.les5.33^		Зря отказываешься...|Ihr Schaden

	05.les5.33@100@Макс, не дави на Лизу. Если она говорит нет, значит нет. Я приду ещё, может быть и не раз, так что, её попка никуда не денется, а ты и правда сегодня получил даже больше, чем ожидал. Верно?|Dräng deine Schwester nicht, Max. Nein bedeutet nein. Ich komme bald wieder, warte nur ein bisschen. Vor allem, weil du sowieso schon gekommen bist, oder?
		05.les5.34^		Ну... да...|Ich schätze

	05.les5.34@114@m-k-33@Отлично. Тогда, до следующего раза. В этот раз я вам не советую тренироваться вместе, но тебе Лиза, как минимум, стоит почаще играть с пробкой... Ну всё, спокойной ночи!|Großartig. Bis zum nächsten Mal dann. Diesmal solltet ihr nichts zusammen machen. Aber Lisa, du solltest weiter mit dem Plug üben.
		leave!set_kiravisit_6!set_kiranight_1!set_dcd.kiranight_4!set_poss.sed_34!max_cam.0.grow_250^		Спокойной ночи, тётя Кира!|Gute Nacht, Tante Kira!



# --- 0.5: 6й урок. Лиза снова отказывается|6. Lektion mit Kira, Lisa weigert sich wieder anal

	05.les6.0@114@m-k-33@Доброй ночи! Скучали без меня?|Hallo, alle zusammen! Ihr habt mich vermisst?
		05.les6.1^		Конечно, только тебя и ждём!|Natürlich!

	05.les6.1@113@m-k-34@Так я тебе и поверила Макс. Ладно, Лиза, снимай трусы, пойдём в ванную. Надеюсь, в этот раз уговаривать не придётся...|Okay, Lisa, zieh dein Höschen aus, lass uns baden gehen. Ich hoffe, ich muss heute nichts erklären, oder?
		05.les6.2^		О, а я тогда буду готовиться, так сказать...|Okay, ich werde warten und mich dann fertig machen.

	05.les6.2@114@m-k-35@Только не перестарайся, сегодня тебе трахать две попки, а то в прошлый раз ты кончил слишком быстро...|Sei nicht zu aufgeregt, du wirst heute zwei Ärsche ficken, und das letzte Mal bist du zu früh gekommen.
		05.les6.3^		Ладно, я справлюсь...|Okay

	05.les6.3@101@m-k-36@Ну всё, мы готовы! Сегодня повторим тему прошлого урока. Лиза сказала, что она тренировала свою попку, как я просила, так что... Давай, занимай позу!|Wir sind bereit! Heute haben wir das gleiche Thema wie unsere letzte Lektion. Lisa hat mir gesagt, dass sie mit dem Stecker trainiert, wie ich sie gebeten habe. Nun, geht in Position!
		05.les6.4^		<i>далее</i>|<i>fortfahren</i>

	05.les6.4@114@m-k-39@Макс! Опять ты там застрял. Ты собираешься смотреть или трахнешь нас уже наконец!|Was machst du da drüben, Max? Komm hier rüber! Starrst du uns nur an oder fickst du uns?
		05.les6.5^		Я что-то загляделся... Конечно, иду!|Sorry, die Aussicht ist zu schön.... Ich komme!

	05.les6.5@112@m-k-44@Так, пока эта попка ожидает, другая тебя уже заждалась!|Fangen wir noch mal bei mir an.
		05.les6.6^		Ну, так я готов!|Ich bin bereit!

	05.les6.6@43@m-k-47@Тётя Кира, а мне показалось, что ты именно этого и хотела, а всё это обучение так, для прикрытия?|Weißt du, Tante Kira, es fühlt sich irgendwie so an, als wäre das die ganze Zeit dein Ziel gewesen, und alles Bildungsgespräch nur Tarnung, richtig?
		05.les6.7^		Э...|Em...

	05.les6.7@101@m-k-48@Да, Лиза... Да... показалось...|Ja, Lisa.... Ja.... Fühlt sich einfach so an....
		05.les6.8^		Может быть, ты хочешь занять её место?|Vielleicht willst du ihren Platz einnehmen?

	05.les6.8@41@m-k-46@Ой, нет, Макс, я пока посмотрю. Ты продолжай, это очень интересно. Я как-то пока не уверена, что готова...|Nein, Max, ich schaue nur zu. Mach weiter, das ist sehr interessant. Ich bin immer noch nicht sicher, ob ich bereit bin....
		05.les6.9^		В смысле?! Я этого давно ждал!|Was? Darauf habe ich lange gewartet!

	05.les6.9@43@m-k-47@Ну... тебе всё нравится, как я вижу, тёте Кире тем более... И мне любопытно и возбуждающе... на это смотреть... Думаю, меня сегодня трахать вовсе не обязательно...|So wie ich das sehe, genießt du die aktuelle Situation, genau wie Tante Kira.... Und ich mag es.... zuzusehen... Ich glaube nicht, dass du mich heute ficken musst.
		05.les6.10^		Блин!|Misst!

	05.les6.10@112@m-k-51@Лиза! Это же... всё ради... тебя... Да! Давай, вставай на четвереньки... Макс... тебя... да... да...|Lisa! Das ist.... alles für dich.... Ja! Komm schon, geh in die Position.... Max wird.... ja.... Ja!
		05.les6.11^		<i>продолжить</i>|<i>fortfahren</i>

	05.les6.11@41@m-k-58@Ой, тётя Кира, ты что делаешь? Ты уже... кончила? И что сейчас?|Bist du gerade gekommen, Tante Kira? Was jetzt?
		05.les6.12^		Отличная идея, тётя Кира!|Das ist eine tolle Idee, Tante Kira!

	05.les6.12@48@m-k-60@И что, вот так можно сразу после попки и... в рот? Но...|Also kannst du ihn einfach in den Mund nehmen, gleich nachdem er in deinem Arsch war? Aber....
		05.les6.13^		Не только... можно... но и... нужно! <i>кончить</i>|Nicht nur.... können.... sondern... sollten! <i>spritzen!</i>

	05.les6.13@101@m-k-59@Да, Лиза, так можно. Я же тебе всё рассказала про гигиену, теперь ты знаешь что и как. А когда ты очень возбуждена, то у тебя не будет ни малейших сомнений, что ты хочешь это сделать... Понимаешь?|Doch, Lisa, das kannst du. Ich habe dir von der Hygiene erzählt, das solltest du schon wissen. Und wenn du wirklich geil bist, wirst du keine Zweifel haben, ob du das willst oder nicht.
		05.les6.14^		<i>далее</i>|<i>fortfahren</i>

	05.les6.14@40@Ну... Не особо, если честно. Я конечно возбуждена, но... Всё это так неожиданно... К тому же, Макс уже кончил... Давайте в другой раз продолжим?|Ich bin mir nicht so sicher, um ehrlich zu sein. Ich bin gerade ziemlich geil, aber.... Das ist so unerwartet....\nJetzt, wo Max wieder gekommen ist, lass uns das ein anderes Mal verschieben, okay?
		05.les6.15^		<i>далее</i>|<i>fortfahren</i>

	05.les6.15@101@m-k-50@Ох, Лиза, ты не понимаешь от чего отказываешься! Член твоего брата творит чудеса!|Du hast keine Ahnung, was du verpasst, Lisa! Der Schwanz deines Bruders ist wunderbar!
		05.les6.16^		Послушай мнение эксперта!|Das ist die Meinung des Experten!

	05.les6.16@100@Это в последний раз, Лиза! Если и на следующем уроке станешь отказываться, мы с Максом тебя свяжем и оттрахаем так, что неделю ходить не сможешь! Правда, племянник?|Das ist das letzte Mal, Lisa! Wenn du das nächste Mal ablehnst, fesseln Max und ich dich und ficken dich so sehr, dass du eine Woche lang nicht laufen kannst! Richtig, Neffe?
		05.les6.17^		Обязательно! Я даже верёвки подготовлю!|Richtig! Ich hole sogar ein Seil für diesen Anlass!

	05.les6.17@40@Эй! Не надо! В следующий раз я сделаю это, клянусь!|Hey! Bitte nicht! Ich mache das nächstes Mal, versprochen!
		05.les6.18^		То-то же...|Das ist besser

	05.les6.18@100@m-k-33@Ну смотри, Лиза. Я ведь не шутила... А то всё выглядит так, как будто я прихожу сюда не тебя учить, а ищу повод, чтобы с Максом на твоих глазах потрахаться в попку...|Das war kein Witz, Lisa, denk daran.... Ich will nicht, dass du denkst, dass ich nur hier bin, um gefickt zu werden, es geht nur um deine Ausbildung, nicht darum, dass ich von Max in den Arsch gefickt werde.
		05.les6.19^		Да я не против...|Es macht mir nichts aus, um ehrlich zu sein.

	05.les6.19@114@Не сомневаюсь, Макс! Но это всё ради вас, ради вашего образования... сексуального образования... Ладно. В общем, Лиза, тренируйся дальше с пробкой, а я к вам ещё загляну. Спокойной ночи!|Und das Wasser ist nass. Aber das ist alles für deine Sexualerziehung. Wie auch immer, Lisa, übe weiter mit dem Plug und warte auf meinen nächsten Besuch. Gute Nacht!
		leave!set_kiravisit_7!set_kiranight_1!set_dcd.kiranight_4!set_poss.sed_35!max_cam.0.grow_250^			Спокойной ночи!|Gute Nacht!



# --- 0.5: 7й урок. Лиза наконец-то соглашается|7. Kira's Lektion, anal + Lisa

	05.les7.0@114@m-k-33@Доброй ночи! Чего не спим? Кто-то хочет потрахаться? Я да, а вы?|Hallo, alle zusammen! Warum bist du wach, will jemand ficken? Ich will es! Was ist mit dir?
		05.les7.1^		Вот это приветствие!|Das ist eine richtige Begrüßung!

	05.les7.1@113@m-k-35@Я знала, что тебе понравится! О, Лиза, уже без трусов, отлично, побежали в ванную, а то... ну в общем, время летит! Макс, ты тоже знаешь что делать...|Ich wusste, es würde dir gefallen. Oh, Lisa ist schon nackt, toll. Lass uns baden gehen. Du weißt, was zu tun ist, Max.
		05.les7.2^		Конечно!|Natürlich!

	05.les7.2@101@m-k-36@Скоро мы уже будем понимать друг друга без слов, верно? Лиза... Ты знаешь что делать... И ты Макс иди сюда...|Bald werden wir uns ohne Worte verstehen, oder? Du weißt, was zu tun ist, Lisa.... Komm her, Max.
		05.les7.3^		<i>далее</i>|<i>fortfahren</i>

	05.les7.3@112@m-k-44@Вот так... Сегодня тебе не удастся увернуться от огромного члена своего брата. Готовься морально, а Макс пока потренируется... Да, Макс?|So.... Du wirst dem riesigen Schwanz deines Bruders heute nicht entkommen können, also mach dich bereit, während Max übt.... Stimmt's, Max?
		05.les7.4^		Поворачивайся, тётя Кира!|Dreh dich um, Tante Kira!

	05.les7.4@46@m-k-47@Я всё-таки не уверена, что он сможет... что поместится такое... такой... во мне. Может быть, я не знаю, есть другие пробки, чтобы ещё потренироваться?|Ich bin mir immer noch nicht sicher, ob er in mich passt.... diesmal. Hast du noch andere Plugs zum trainieren?
		05.les7.5^		Лиза!|Lisa!

	05.les7.5@101@m-k-48@Макс, не обращай на неё внимание. Мы её предупредили, что если будет отказываться, изнасилуем. Верёвки и наручники у меня тоже есть... О да, Макс, быстрее!|Kümmere dich nicht um sie, Max. Wir haben sie gewarnt, wenn sie das heute nicht tut, nehmen wir sie uns einfach mit Gewalt. Ich habe Seile und Handschellen.... Ja, Max, schneller!
		05.les7.6^		Конечно, тётя Кира!|Natürlich, Tante Kira!

	05.les7.6@113@m-k-51@Ну, Лиза, пришёл твой час... Пока вставай рядом, да, Макс... да...|Nun, Lisa, deine Zeit ist gekommen.... Komm hier rüber, neben mich.... Ja, Max....
		05.les7.7^		<i>ускориться</i>|<i>mach schneller</i>

	05.les7.7@114@m-k-52@Лиза, не бойся, тебе очень понравится! Я обещаю... да... очень... понравится... Ну всё, Макс, пока ты не кончил в мою попку, пора поработать над сестрёнкой!|Keine Sorge, Lisa, es wird dir gefallen! Ich verspreche.... Ja...! Du wirst es lieben.... Okay, Max, zieh dich zurück, bevor du wieder in meinen Arsch kommst. Jetzt ist deine Schwester dran!
		05.les7.8^		Наконец-то!|Na endlich!

	05.les7.8@100@m-k-57@Так, Макс, не спеши... Смазки побольше и медленно-медленно, движениями туда-сюда постепенно проникай внутрь... А ты Лиза, чуть-чуть потерпи, пусть твоя попка расслабится...|Langsam und vorsichtig, Max. Mehr Gleitmittel und se-e-e-e-e-e-e-e-hr langsam beginnen tiefer zu schieben.... Du musst ein bisschen durchhalten, Lisa, bis dein Arsch sich genug dehnt....
		05.les7.9^		<i>глубже</i>|<i>tiefer</i>

	05.les7.9@101@m-k-53@Ну, Лиза, чувствуешь его член в себе? Это же не так страшно и больно, как ты думала?|Also, Lisa, kannst du seinen Schwanz in dir spüren? Das ist nicht so beängstigend und schmerzhaft, wie du dachtest, oder?
		05.les7.10^		<i>продолжить</i>|<i>fortfahren</i>

	05.les7.10@41@m-k-54@Н-нет... Такие необычные ощущения... Ну, немного больно, но... ещё и приятно... Только, Макс, не так быстро...|N-nein.... Fühlt sich wirklich seltsam an.... Es gibt ein bisschen Schmerz, aber.... fühlt sich auch gut an.... Mach einfach langsam, Max.
		05.les7.11^		Ну и тугая же у тебя попка...|Dein Arsch ist so eng....

	05.les7.11@4@m-k-53@<i>Наконец-то! Я трахаю свою младшую сестрёнку прямо в попку! О таком не только не думал, но даже не мечтал! Ох... Что-то я уже на грани... Ещё чуть-чуть... И...</i>|<i>Endlich! Ich ficke meine kleine Schwester direkt in ihr enges Arschloch! Davon habe ich überhaupt nicht geträumt! Oh.... ich bin schon nah dran.... Nur ein bisschen und....</i>
		05.les7.12^		<i>кончить!</i>|<i>spritzen!</i>

	05.les7.12@42@m-k-50@Эй! Макс! Ты что сейчас сделал? Кончил в меня?! Из меня же сейчас польётся! Ну ты и придурок!|Hey! Max! Was hast du gemacht? Bist du gerade erst reingekommen!? Es wird jetzt auslaufen! Du bist so ein Idiot!
		05.les7.13^		Ну, я не специально...|Es tut mir leid, ich wollte nicht.

	05.les7.13@44@Ага, случайно засунул свой член и накачал меня своей спермой... Так я тебе и поверила... Всё, никогда больше!|Ja, du hast mir aus Versehen deinen Schwanz in den Arsch geschoben und ihn mit deiner Ficksahne gefüllt.... Nie wieder!
		05.les7.14^		Ну, блин...|Oh, komm schon!

	05.les7.14@101@m-k-61@Так, Лиза, пойдём снова в ванную, я тебе всё покажу и расскажу что делать в подобных случаях. И не переживай, Лиза это сказала от неожиданности. Думаю, следующего раза она будет ждать как и ты...|Okay, Lisa, lass uns nochmal baden gehen, ich zeige dir, was du in solchen Situationen tun solltest. Und keine Sorge, Max, Lisa war nur überrascht. Ich glaube, sie wird auf das nächste Mal genauso warten wie du....
		05.les7.15^		Даже так...|Oh, na dann....

	05.les7.15@42@Ничего подобного! Это был первый и последний раз! У меня попка теперь болит и эта сперма там, внутри меня... Макс! Ну что за дела, вообще... Это тебе надо всему учиться!|Nein, das war das einzige Mal, dass du das tun konntest! Mein Arsch tut weh und er ist voller Sperma.... Max! Wie konntest du das tun.... Du bist derjenige, der lernen sollte!
		05.les7.16^		Вот и будем с тобой практиковаться...|Okay, wir werden weiter üben.

	05.les7.16@114@Ни в коем случае, Макс! Анальным сексом, да еще с таким «удавом» как у тебя, необходимо заниматься под бдительным присмотром опытного инструктора. По крайней мере, пока не получите достаточно опыта.|Auf keinen Fall, Max! Du bist nicht erfahren genug, um das alleine zu tun. Besonders, wenn du das mit deiner Python machst. Du musst weiter unter Aufsicht üben.
		05.les7.17^		Ладно, ладно...|Okay, okay

