# --- Разговор с Эриком после ужина, где определяется формат будущих отношений|Erstes Gespräch mit Eric, wenn Max entscheidet, ob er mit oder gegen ihn ist.

	eric.give.alisa.alco.3@90@У тебя? Требование?! Макс, знаешь, что... засунь это требование себе в жопу. Вот у меня есть. Если будешь за нами с Алисой подглядывать, то я тебя спалю. Мигом в лагерь улетишь. Понял?|Du? Forderungen!? Du kannst sie dir sonst wohin stecken. <b>Ich</b> haben Forderungen. Wenn ich dich dabei erwische, wie du auf mich und Alice ausspionierst, gehst du ins Lager, klar?
		eric.give.alisa.alco.4^							Но...|Aber...

	eric.give.alisa.alco.4@80@Мне надоело с тобой болтать. Всё разрулили, Алиса моя. Кира твоя. Должен быть доволен. А теперь свали отсюда нахрен!|Ich habe diese Unterhaltung satt. Alice gehört mir, Kira gehört dir. Und jetzt verschwinde!
		leave!set_poss.sac_5^							Эх...|Misst...



# --- 0.4: Эрик требует внимания|Geldbeutel-Ereignis-Start

	specialevent.8@88@n-setup-1@Прежде, чем мы начнём, я бы хотел кое о чём рассказать... Это очень важно и отнеситесь к моим словам серьёзно.|Bevor wir anfangen, möchte ich dich etwas fragen.... Das ist sehr wichtig, und ich möchte, dass du das ernst nimmst.
		specialevent.8.step.2^							О чём речь?|Was gibt's denn?
		specialevent.8.step.2^							Что случилось?|Ist etwas passiert?

	specialevent.8.step.2@62@Макс! Тебя это тоже касается. Точнее, именно тебя это и касается. Но пусть всё скажет Эрик.|Max! Das betrifft auch dich. Eigentlich bist du der Hauptgrund für diese Unterhaltung. Aber ich werde Eric alles erzählen lassen.
		specialevent.8.step.3^							Опять какую-то фигню придумали...|Noch eine seiner dummen Ideen....

	specialevent.8.step.3@88@Что-то ты очень весел, Макс, для того, кто украл мой бумажник...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Du hast viel zu gute Laune für jemanden, der meine Brieftasche gestohlen hat....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		specialevent.8.step.4^							Что? Ничего я не крал!|Was!? Ich habe nichts gestohlen!

	specialevent.8.step.4@62@Макс. У Эрика есть обоснованные подозрения и просто так такими обвинениями он бросаться не станет. Так что, давай не прикидывайся дурачком. Пока не поздно, нужно всё уладить.|Max, Eric hat gute Gründe, dich zu verdächtigen, und er würde nicht ohne Grund eine solche Anklage erheben. Also spiel nicht den Narren, lass es uns klären, bevor es zu spät ist.
		specialevent.8.step.5!setupsum^					Что уладить? Я ничего не брал!|Womit umgehen? Ich habe nichts genommen!

	specialevent.8.step.5@88@Именно это и сказал бы вор. В общем, в бумажнике было $*var_setupsum* и теперь ты должен их вернуть. Через неделю повторим этот разговор на этом месте и если деньги не вернёшь, точно отправляешься в военный лагерь. Всё понял?|Das würde ein Dieb sagen. Wie auch immer, in der Brieftasche waren $*var_setupsum* und jetzt musst du es zurückgeben. Wir werden dieses Gespräch in einer Woche fortsetzen, und wenn du mir mein Geld nicht zurückgibst, gehst du ins Lager.
		specialevent.8.step.6^							Ты эту сумму с потолка взял? А почему не миллион или миллиард?|Hast du dir gerade diese Summe aus dem Arsch gezogen? Warum fragst du nicht nach einer Million oder einer Milliarde Dollar?

	specialevent.8.step.6@62@Макс! Ты как со взрослыми разговариваешь? Если Эрик говорит, значит точно уверен в твоей виновности. Так что, давай без истерик!|Pass auf, was du sagst, Max! Wenn Eric sagt, du warst es, dann ist er absolut sicher, dass du schuldig bist. Also versuche nicht, dich unschuldig zu verhalten.
		specialevent.8.step.7^							Так какие доказательства? Он же врёт!|Er lügt! Er hat keine Beweise!

	specialevent.8.step.7@88@Я видел, как ты копался в моих вещах. Я тогда не придал этому значения, но теперь понял, что ты делал.|Ich habe dich meine Sachen durchwühlen sehen. Ich habe nicht viel darüber nachgedacht, aber jetzt weiß ich, was du getan hast.
		specialevent.8.step.8^							Ну и когда такое типа случилось?|Und wann ist das “passiert”?

	specialevent.8.step.8@62@Всё, Макс. Мне это надоело. Твоё слово против слова Эрика. И поверь, у тебя нет шансов. Так что, признайся и верни все деньги, которые взял у Эрика. Больше я ничего слышать не хочу. Закончили.|Das reicht, Max. Es steht dein Wort gegen das von Eric, und du hast keine Chance. Also gib einfach zu, was du getan hast und gib das Geld zurück, das du Eric gestohlen hast.
		dinner.default!set_poss.wallet_1!add_mom.mood_-100!add_mom.inf_20!add_alisa.inf_20!add_liza.inf_20!set_can.setupmax_2!set_dcd.setupsum_10^		Блин...|Misst...



# --- 0.4: Разговор с Эриком насчёт денег|Gespräch mit Eric über das Geld

	eric.setupsum.init@0@Я не брал твои деньги!|Ich habe dein Geld nicht genommen!
	eric.setupsum@86@Не знаю, не знаю... Мне вот кажется, что брал! И предлагаю тебе их вернуть при всех, перед ужином.|Ich weiß nicht, ich glaube, du hast.... Ich gebe dir die Möglichkeit, es mir beim Abendessen vor allen zurückzugeben.
		eric.setupsum.more^										Мне нужно ещё время!|Ich brauche mehr Zeit!
		allmymoney=1&eric.setupsum.more.all^					Я хочу отдать тебе деньги|Ich gebe dir "dein" Geld "zurück".
		item.wallet=-5&eric.setupsum.more.found^				А ведь я нашёл твой бумажник...|Ich habe deine Brieftasche gefunden....
		leave!set_dcd.aboutsum_1^								Да пошёл ты...|Fick dich....

	eric.setupsum.more@90@Ага! Вот видишь, не брал он... Ладно, уболтал. За $300 я готов подождать ещё недельку...|Hast du nicht gerade gesagt, dass du sie nicht genommen hast? Gut, ich warte noch eine Woche, wenn du mir $300 gibst.
		money>299&eric.setupsum.more.give!add_money_-300^		Держи $300...|Hier $300...
		leave!set_dcd.aboutsum_1^								Да пошёл ты...|Fick dich....

	eric.setupsum.more.give@86@Ну вот, а говоришь денег нет. Ну всё, теперь вали отсюда. И постарайся больше не задерживать, а то я проценты начну считать. Уж поверь, я умею их считать...|Großartig. Jetzt verschwinde, bevor ich anfange, die Zinsen auf die Summe zu addieren.
		leave!set_dcd.aboutsum_1!add_dcd.setupsum_7^			Ага...|Okay...

	eric.setupsum.more.all@87@Вот это ты молодец. Что, собрал всю сумму, $*var_setupsum*? Молодец, Макс! Но не спеши. Я хочу, чтобы ты это сделал перед всеми, когда сядем ужинать в назначенное время. Пусть всё будет красиво...|Großartig. Also, hast du die ganze Summe gespart, $*var_setupsum*? Jetzt will ich, dass du mir beim Essen vor allen Anwesenden das Geld gibst.
		leave!set_dcd.aboutsum_1^								Ладно...|Schön

	eric.setupsum.more.found@80@Что?! Это ты сделал? Ну всё, Макс... Тебе конец...|Was!? Das warst du? Du bist fertig, Max....
		eric.setupsum.more.found.2^								Ты же сам меня обвинил в краже?|Hast du mich nicht gerade wegen Diebstahl beschuldigt?

	eric.setupsum.more.found.2@88@Да, но... Хватит валять дурака. Отдавай бумажник! Там у меня права...|Ja, aber.... Genug von diesem Zirkus. Gib mir meine Brieftasche zurück! Ich habe den Führerschein da drin....
		eric.setupsum.more.found.3^								Именно о них я и хотел с тобой поговорить... Кто такой Виктор Моро?|Genau darüber wollte ich sprechen.... Wer ist Victor Moro?

	eric.setupsum.more.found.3@92@Так, Макс. Я скажу это один раз. Отдай мои права, бумажник и деньги, которые ты задолжал. И тогда... возможно, ты останешься жив.|Ich werde es nur einmal sagen, Max. Gib mir meinen Ausweis, meine Brieftasche und mein Geld, dann <i>werde</i> ich dich nicht töten.
		eric.setupsum.more.found.4^								Я так не думаю.|Das glaube ich nicht.

	eric.setupsum.more.found.4@90@Значит, решил меня шантажировать? Ну ну... Ладно, чего ты хочешь?|Also hast du beschlossen, mich zu erpressen? Viel Glück.... Gut, was willst du?
		eric.setupsum.more.found.5a^							Хочу, чтобы ты свалил из этого дома навсегда!|Ich will, dass du dieses Haus für immer verlässt!
		eric.setupsum.more.found.5b^							Хочу, чтобы ты отстал от моей семьи!|Ich will, dass du meine Familie in Ruhe lässt!
		eric.setupsum.more.found.5c^							Хочу, чтобы ты отстал от сестёр и не трогал тётю!|Ich will, dass du meine Schwestern und meine Tante in Ruhe lässt!
		eric.setupsum.more.found.5d^							Хочу много денег!|Ich will viel Geld!

	eric.setupsum.more.found.5a@92@Не подходит. Даже обсуждать не буду. Думаю вот что с тобой сделать... Конечно, если ты не сбавишь обороты и не попросишь что попроще...|Nee. Ich denke, ich würde es vorziehen, dich stattdessen loszuwerden. Es sei denn, du wolltest etwas anderes verlangen?
		eric.setupsum.more.found.5b^							Хочу, чтобы ты отстал от моей семьи!|Ich will, dass du meine Familie in Ruhe lässt!
		eric.setupsum.more.found.5c^							Хочу, чтобы ты отстал от сестёр и не трогал тётю!|Ich will, dass du meine Schwestern und meine Tante in Ruhe lässt!
		eric.setupsum.more.found.5d^							Хочу много денег!|Ich will viel Geld!

	eric.setupsum.more.found.5b@93@Не дождёшься, Макс. Ты же помнишь, что твоя мама меня любит? Ты хочешь разбить ей сердце? Нет, я останусь.|No, Max. Have you forgotten how much your mother loves me? You wouldn't want to break her heart, would you? I'm staying.
		eric.setupsum.more.found.5c^							Хочу, чтобы ты отстал от сестёр и не трогал тётю!|I want you to leave my sisters and my aunt alone!
		eric.setupsum.more.found.5d^							Хочу много денег!|Ich will viel Geld!

	eric.setupsum.more.found.5c@89@А вот это можно устроить... Всё равно, девчонки неопытные. Столько времени тратить на то, чтобы их правильно воспитать под себя... Вот только и у меня есть требование.|Ich schätze, ich könnte das arrangieren.... Deine Schwestern sind sowieso unerfahren. Sie richtig zu unterrichten ist ohnehin zu aufwendig.... Aber ich habe auch eine Forderung.
		eric.setupsum.more.found.6^								Какое?|Was?

	eric.setupsum.more.found.5d@87@А не охренел ли ты, Макс? Это я тебя на деньги развожу, а не ты меня. Что-то ты попутал... И сколько ты хочешь?|Warst du für eine Sekunde verwirrt oder so? Ich bin derjenige, der das Geld von dir verlangt.... Wie viel willst du überhaupt?
		eric.setupsum.more.found.money.1^						$10000|$10000
		eric.setupsum.more.found.money.1^						$100000|$100000
		eric.setupsum.more.found.money.1^						$1000000|$1000000

	eric.setupsum.more.found.money.1@90@Ясно. А ты знаешь, что я могу просто отобрать у тебя свой бумажник, права и все твои деньги. А потом отправлю тебя в лагерь. И прослежу, чтобы ты ещё и в армию оттуда отправился... А я тем временем тут...|Ich verstehe. Du verstehst doch, dass ich dir einfach meine Brieftasche, meinen Ausweis und dein Geld wegnehmen kann, oder? Und dann schicke ich dich ins Lager. Und ich sorge dafür, dass du als nächstes zur Armee gehst.... Und du weißt, was ich <i>dann</i> hier tun werde....
		eric.setupsum.more.found.money.2^						Ну ты и подонок...|Du bist so ein Arschloch....
		eric.setupsum.more.found.alt.1^							Давай я просто оставлю свои деньги себе.|Wie wäre es, wenn ich einfach mein Geld behalte.

	eric.setupsum.more.found.money.2@87@Ну для тебя может быть. А для твоей мамы я самый любимый мужчина. Так что, сбавь обороты. Я могу тебе оставить сестёр. И даже тётю. Но потребую кое-что взамен...|Für dich. Aber für deine Mom bin ich ihr Lieblingsmensch. Also wie wäre es, wenn du deine Forderungen senkst. Ich kann dir deine Schwestern geben. Und sogar deine Tante. Aber ich habe auch eine Forderung.
		eric.setupsum.more.found.6^								Что именно?|Was?

	eric.setupsum.more.found.6@80@Ты ни при каких обстоятельствах не называешь имя, написанное на правах. Никому и никогда. Вообще, забываешь о нём. Во-вторых, конечно, всё отдаёшь, включая все твои деньги. Вообще все, какие у тебя есть. Ну а в-третьих...|You will never ever use the name on the ID to anyone. You just forget about it. Also, you'll give me all your money. And...
		eric.setupsum.more.found.7^								Не слишком ли жирно?|Fragst du nicht zu viel?

	eric.setupsum.more.found.7@90@Нет, в самый раз. Учти, я тебе сестёр оставляю и даже тётю... Так вот, а в-третьих, ты больше мне не возражаешь ни в чём. Делаешь что я прошу и не вмешиваешься в наши с твоей мамой отношения, что бы не происходило...|Nein, das ist in etwa richtig. Vergiss nicht, du bekommst deine Schwestern und sogar deine Tante.... Wie auch immer, du wirst mir in Zukunft nie widersprechen und das tun, was ich dir sage, und du wirst meine Beziehung zu deiner Mom nicht stören, egal was passiert.
		eric.setupsum.more.found.8^								А что может произойти?|Was hast du mit ihr vor?

	eric.setupsum.more.found.8@80@Вот именно это тебя и не касается. Ты просто закрываешь глаза на нас с твоей мамой. И да, я всем скажу, что нашёл деньги и бумажник. Так что ты перестанешь быть вором в глазах семьи. Ну так что, согласен?|Das geht dich nichts an. Du schließt einfach die Augen bei allem, was ich mit deiner Mom mache. Oh, und ich werde jedem sagen, dass ich meine Brieftasche gefunden habe, du wirst kein Dieb in den Augen deiner Familie sein. Also, abgemacht?
		eric.setupsum.more.found.agree^							Конечно!|Ja
		eric.setupsum.more.found.no^							Нет!|Nein

	eric.setupsum.more.found.no@89@Ясно. Ну, права я у тебя забираю. Ты как-то глупо поступил, что мне их показал. Бумажник, конечно, тоже. И официально ты должен $*var_setupsum*. Причём, отдать придётся перед всеми. Да, и трахать я буду кого хочу. Это твой выбор. Пока!|I see. Well, I'm going to take my ID from you. You really shouldn't have showed it to me, that was pretty stupid. And my wallet. And you still owe me $*var_setupsum*, you'll give it to me in front of everyone. And I'm going to fuck anyone I want. Your choice. Bye.
		leave!set_item.wallet_-1!set_poss.wallet_10!lock^		Блин...|Scheisse!

	eric.setupsum.more.found.agree@90@Правильное решение, Макс. Учти, если где-то назовёшь то имя или нарушишь наш уговор, я тебя не в лагерь отправлю, а куда подальше. Ты меня понял?|Gute Wahl. Denk dran, Max, wenn du jemals diesen Namen sagst oder unseren Deal brichst, schicke ich dich nicht nur ins Lager, ich schicke dich noch weiter. Hast du verstanden?
		eric.setupsum.more.found.agree.2^						Понял, понял... Держи права и бумажник...|Ich habe es verstanden.... Hier ist deine Brieftasche und dein Ausweis.

	eric.setupsum.more.found.agree.2@81@А ты ничего не забыл, Макс? Деньги. Все. Сейчас же!|Hast du nicht etwas vergessen, Max? Geld, alles, was du hast, sofort!
		eric.setupsum.more.found.giveallmoney^					Ладно... держи...|Gut, hier....
		eric.setupsum.more.found.no^							Я передумал. Хрен ты что получишь от меня!|Ich habe meine Meinung geändert, du bekommst nichts von mir!

	eric.setupsum.more.found.giveallmoney@88@Ого. А я думал у тебя ни гроша... Ну что, поздравляю, Макс. Только что ты начал новую жизнь! А теперь вали отсюда, пока я не передумал.|Wow. Und ich dachte, du wärst mittellos.... Glückwunsch, Max, du hast gerade ein neues Leben begonnen! Jetzt verschwinde, bevor ich meine Meinung geändert habe.
		leave!set_money_0!getbackliza!set_erictaboo_1!set_poss.wallet_20!set_can.setupmax_3!set_item.wallet_-1!freealisa!set_poss.sac_6^			Ок...|Okay...

	eric.setupsum.more.found.alt.1@83@Ну хорошо. И к чему тогда весь этот пафос? Отдавай права и бумажник. Я всем скажу, что нашёл его. А ты убирайся отсюда. Больше нам не о чём разговаривать.|Okay. Was sollte das mit dem Geld? Gib mir meine Brieftasche und ich sage allen, dass ich sie gefunden habe. Jetzt verschwinde, wir haben nichts mehr zu bereden.
		leave!set_poss.wallet_30!set_can.setupmax_3!set_item.wallet_-1!lock^		Отлично!|Großartig!



# --- 0.4: Финальный эвент в конфликте с Эриком|Letztes Ereignis in Erics Konflikt

	specialevent.9@88@n-setup-1@Итак, пришёл момент истины. Я дал достаточно времени Максу, чтобы он вернул мне мои деньги при всех. Там было, если не ошибаюсь, $*var_setupsum*. Ну что, ты готов?|Nun, der Moment der Wahrheit, Leute. Ich gab Max viel Zeit, mir mein Geld zurückzugeben. Wenn ich mich richtig erinnere, war es $*var_setupsum*. Also, hast du das Geld?
		allmymoney=1&specialevent.9.give!removemoney!add_mom.mood_100!set_can.setupmax_3^		Держи...|Hier...
		specialevent.9.nomoney^																	У меня нет денег!|Ich habe das Geld nicht.

	specialevent.9.give@75@Молодец, Макс. Я знала, что ты правильно поступишь! Ну а теперь, пришло время поужинать. Давайте, садитесь за стол...|Gut, Max. Ich wusste, du würdest das Richtige tun. Nun, lass uns zu Abend essen.
		item.wallet=-5&dinner.default!set_poss.wallet_50!set_dcd.ericphone_3^					Хорошо...|Okay
		item.wallet>-5&dinner.default!set_poss.wallet_40^										Хорошо...|Okay

	specialevent.9.nomoney@62@Тогда, Макс, нам не остаётся другого выбора, кроме как отправить тебя в летний лагерь. Надеюсь, там сделают из тебя ответственного человека.|Dann haben wir keine andere Wahl, als dich ins Lager zu schicken. Ich hoffe, sie bringen dir etwas Verantwortung bei.
		specialevent.9.nomoney.2^								Но мам, это всё Эрик подстроил!|Aber Mom, Eric hat mich reingelegt!

	specialevent.9.nomoney.2@60@Не хочу ничего слышать про это. Всё. Собираешь вещи и едешь. Давно надо было это сделать, но всё я тебя жалела. В результате докатились, воруешь в собственном доме! Всё, разговор окончен.|Ich will es nicht hören. Pack deine Sachen und geh. Das hätte ich schon vor langer Zeit tun sollen. Sieh dich an, du stiehlst in deinem eigenen Haus!
		endgame.1^												Но...|Aber...



# --- 0.4: Макс пытается напоить Эрика пивом со снотворным|Max versucht, Eric dazu zu bringen, ein Bier mit einer Schlaftablette zu trinken.

	eric.try.sleeping.init@0@У меня есть кое-что для тебя...|Ich habe etwas für dich....
	eric.try.sleeping@81@Что?|Was?
		item.beer=-5&item.sleeping=-5&eric.try.sleeping.step.2!set_dcd.trysleeping_1^			Я подумал, что нам стоит дружить...|Ich bin des Kämpfens müde und kam mit einem Friedensangebot....
		leave^													А, нет, ничего, забудь...|Oh.... Nichts, egal....

	eric.try.sleeping.step.2@86@Ты что-то задумал, Макс? Если так, то я тебя выведу на чистую воду...|Was hast du dummes vor, Max? Wenn ja, dann ertränke ich dich im Pool ...
		random.social.4=1&eric.try.sleeping.step.3.good^		Я принёс пиво! [skill.social_4]|Ich habe etwas Bier [skill.social_4]
		random.social.4=0&eric.try.sleeping.step.3.bad^			Я принёс пиво! [skill.social_4]|Ich habe etwas Bier [skill.social_4]

	eric.try.sleeping.step.3.bad@81@<color=orange><i>Эрик вам не поверил...</i></color>\nПиво? Да хоть водку! Что-то у тебя какой-то хитрый вид. Я сегодня не в настроении. Так что, извини...|<color=orange><i>Eric hat dir nicht geglaubt</i></color>\nBier? Du siehst komisch aus und ich bin heute nicht in Stimmung. Tut mir leid, aber nein.
		leave^													Ну и ладно...|Schön...

	eric.try.sleeping.step.3.good@90@<color=lime><i>Кажется, Эрик вам поверил!</i></color>\nОго... Мы вроде с тобой не друзья, но почему бы и нет... Одна банка всего? Ну, ничего, давай сюда своё пиво...|<color=lime><i></i>Eric hat dir geglaubt</color>\nSicher, warum nicht.... Nur eine Dose? Okay, gib es mir....
		random.dex.4=1&eric.try.sleeping.step.3.good.good^		Открыть пиво и бросить таблетку [skill.dex_4]|Öffne das Bier und wirf die Schlaftablette hinein. [skill.dex_4]
		random.dex.4=0&eric.try.sleeping.step.3.good.bad^		Открыть пиво и бросить таблетку [skill.dex_4]|Öffne das Bier und wirf die Schlaftablette hinein. [skill.dex_4]

	eric.try.sleeping.step.3.good.bad@81@<color=orange><i>Эрик что-то заподозрил...</i></color>\nПостой... Что-то здесь не чисто. Такой сервис, ещё и открыл... Ты явно что-то задумал, Макс. Нет, я передумал. И пиво своё забирай...|<color=orange><i>Der Versuch ist fehlgeschlagen!</i></color>\nWarte.... Die ganze Situation ist verdächtig.... Du willst mir was anhängen, Max. Nein, ich habe meine Meinung geändert. Du kannst dein Bier mitnehmen.
		leave!set_item.beer_-4^									Блин...|Misst

	eric.try.sleeping.step.3.good.good@87@<color=lime><i>Эрик ничего не заметил!</i></color>\nОго, какой сервис! Даже банку открыл... Кажется, ты не так безнадёжен, Макс... Эх, хорошо... Ладно, будем считать, я оценил твой шаг навстречу...|<color=lime><i>Der Versuch ist gelungen</i></color>\nWow, du hast sogar die Dose geöffnet, huh.... Vielleicht bist du doch nicht so schlecht, Max. Ich betrachte das als Friedensangebot....
		leave!set_item.beer_-4!set_item.sleeping_-4!set_dcd.trysleeping_1!set_eric.mustsleep_1^			Ну, я рад...|Okay, ich bin froh....



# --- 0.5: Макс посылает Эрика куда подальше. Фактически объявление войны (если сейчас мир)|Kampfansage an Eric (Freundschaftsroute)

	eric.ass.init@0@Перемирию конец!|Unsere Freundschaft ist vorbei!
	eric.ass@81@Любопытно. В каком смысле?|Was meinst du damit?
		eric.ass.1^			В том смысле, что иди в жопу! Я не буду с тобой мириться!|Ich meine, fick dich selbst! Ich werde dich nicht mehr mit meiner Familie machen lassen, was du willst!
		leave^				А? Нет, ничего...|Nichts, vergiss es.

	eric.ass.1@87@Ты объявляешь мне войну? Отлично! Всё равно твоя рожа мне надоела. Ну ничего, готовься. Скоро в армию отправишься!|Erklärst du den Krieg? Großartig. Ich konnte dein dummes Gesicht sowieso nicht ausstehen. Dann mach dich bereit für das Militärlager.
		leave!ericwar^		Да пошёл ты!|Fick dich!
