# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
		alisa.blo.4^		Как у тебя со скромностью дела?|Du bist nicht zu schüchtern, oder?

	alisa.blo.4@26@Кажется, я знаю к чему ты клонишь, Макс. Наверняка, ты насмотрелся каких-нибудь девочек, которые крутят задницами перед камерами за деньги? Нет, я на это не соглашусь!|Ich sehe, wie es läuft, Max. Du willst, dass ich ein Cam Girl bin und meinen Arsch für Geld vor der Kamera schütteln. Nein, das nicht.
		alisa.blo.5^		Воу... Я не думал об этом, но если ты говоришь...|Wow.... Das hatte ich nicht im Sinn, aber diese Idee ist noch besser.

	alisa.blo.5@21@Я знаю, что на этом можно много заработать, но вдруг кто-то из моих друзей или знакомых увидит... Нет, я на это не пойду.|Ich weiß, dass ich auf diese Weise viel Geld verdienen könnte, aber was ist, wird mich jemand erkennen.... Nein, so etwas kann ich nicht machen.
		alisa.blo.6^		Ну давай что-то попроще...|Du musst kein Cam Girl sein.

	alisa.blo.6@22@Попроще? Это как? Раздеваться частично? |Was meinst du damit? Ein paar Klamotten anbehalten?
		alisa.blo.7^		Ты можешь рекламировать что-то...|Du kannst für etwas werben.

	alisa.blo.7@25@Макс, да все блогеры что-то рекламируют. Ты снова не изобрёл велосипед...|Alle Blogger werben, du hast das Rad nicht erfunden, Max.
		alisa.blo.8^		Я имею в виду другое...|Das ist es nicht, wovon ich rede.

	alisa.blo.8@22@Хорошо, я внимательно слушаю...|Okay, Ich höre
		alisa.blo.9^		Ты можешь рекламировать нижнее бельё или игрушки для взрослых.|Du könntest für Dessous oder Spielzeug für Erwachsene werben.

	alisa.blo.9@21@Макс... Это не очень отличается от той идеи с позированием перед камерами за деньги... Хотя, в этом что-то есть, конечно. И я не об игрушках для взрослых...|Das klingt nicht anders als ein Cam Girl zu sein, Max. Obwohl.... Deine Dessous-Idee hat vielleicht etwas Gutes.
		alisa.blo.10^		Значит, нижнее бельё?|Also, Unterwäsche?

	alisa.blo.10@23@Ну можно попробовать. Однако, главная проблема остаётся в силе, у меня нет нижнего белья, даже чтобы просто начать... И денег нет на него...|Ich schätze, ich könnte es versuchen. Aber ich habe immer noch das Hauptproblem, ich habe nichts zum Anziehen.
		alisa.blo.11^		Ну а если я тебе его подарю?|Was, wenn ich dir eine Unterwäsche kaufe?

	alisa.blo.11@22@Ты подаришь мне нижнее бельё? На какие деньги? И что я за это буду тебе должна?|Und wie würdest du das Geld bekommen? Und was schulde ich dir?
		alisa.blo.12a^		Ничего...|Nichts
		alisa.blo.12b^		Может, попозируешь для меня...|Du könntest für mich posieren.
		alisa.blo.12c^		Ну, отсосать, например...|Du könntest mir einen blasen

	alisa.blo.12a@21@И давно ты в альтруисты записался?|Und wann wurdest du ein Heiliger?
		alisa.blo.13^		Я просто хочу помочь...|Ich will dir nur helfen.

	alisa.blo.12b@22@Только и всего? Если там что-то приличное, то почему нет...|Das ist alles? Wenn du mir eine anständige Unterwäsche gibst, warum nicht?
		alisa.blo.13^		Было бы супер!|Es wäre toll!

	alisa.blo.12c@22@Очень смешно, Макс... Надеюсь, у тебя просто дурацкое чувство юмора, а не шары зачесались, а то сейчас получишь по ним...|Sehr witzig, Max. Ich hoffe, es war ein Witz und du hast keinen Juckreiz in deinen Eiern, denn wenn du ihn hast, würde ich ihn gerne aus dir rausschmeißen.
		alisa.blo.13^		Да, я пошутил, забудь. Ну так что?|Ich habe nur Spaß gemacht. Also, stimmst du zu?

	alisa.blo.13@33@Давай попробуем, но я не уверена и ничего не обещаю. Твои вложения могут оказаться бесполезными... Для начала мне нужно бельё просто для того, чтобы заинтересовать людей.|Ich werde nichts versprechen. Deine Investition darf keine Früchte tragen. Aber für den Anfang brauche ich Unterwäsche, um ein Publikum anzuziehen.
		alisa.blo.14^		Для начала?|Für den Anfang?

	alisa.blo.14@20@Ага. Затем, уже нужно будет найти рекламодателей, которые будут присылать бельё, которое я и буду рекламировать. Обычно это так делается... Или ты думал, что мне кто-то будет платить за моё же бельё?|Ja. Dann kann ich Inserenten finden, die mir die Dessous schicken, die ich tragen werde. So wird das normalerweise gemacht.
		alisa.blo.15^		Ну, если это так делается...|Okay, wenn das so gemacht wird.

	alisa.blo.15@22@Да, Макс. Причём, желающих на этом зарабатывать больше, чем желающих за это платить. И в этом главная проблема. Но как я уже сказала, я могу попробовать. Если купишь что-то, посмотрим...|Ja, Max. Und die Zahl der Menschen, die bereit sind, für diese Sache zu zahlen, ist geringer als die Zahl der Menschen, die bereit sind, dies zu tun. Was mein Hauptproblem ist, der Wettbewerb. Aber ich bin bereit, es zu versuchen, wenn du mir eine neue Unterwäsche kaufst.
		leave!ericbuyalisa!set_poss.blog_3^		Посмотрим...|Wir werden sehen....



# --- 0.3: Разговор с Алисой насчёт того, что она согласилась на подарки Эрика|Gespräch mit Alice, nachdem sie Erics Geschenke bekommen hat.

	alisa.aboutericgits.init@0@Ты берёшь подарки от Эрика?|Du nimmst Geschenke von Eric an?
	alisa.aboutericgits@20@Ну, допустим... А что тут такого?|Und was ist, wenn ich es tue?
		alisa.aboutericgits.1^		Нижнее бельё?!|Unterwäsche!?

	alisa.aboutericgits.1@32@Макс, ты подглядывал? Я никому не говорила, да и Эрик, скорее всего, тоже...|Hast du mir nachspioniert, Max? Ich habe es nie jemandem erzählt und Eric hat dir wahrscheinlich auch nichts gesagt....
		alisa.aboutericgits.2^		А это важно?|Spielt das eine Rolle?

	alisa.aboutericgits.2@22@Ну, если ты подглядывал, то да, это важно. Это вмешательство в личную жизнь, и может караться... Куда там тебя ударить?|Ob du mir nachspioniert hast oder nicht? Natürlich ist es wichtig. Es ist ein großer Eingriff in meine Privatsphäre und es wird bestraft, indem es dich in die....
		alisa.aboutericgits.3^		Ага, а если ты голой задницей крутишь перед Эриком это нормально?|Und die Tatsache, dass du Eric deinen nackten Arsch zeigst, ist irgendwie okay?

	alisa.aboutericgits.3@33@Ну ладно, мы квиты... Так ты чего хотел, Макс?|Gut, gut. Was willst du überhaupt?
		alisa.aboutericgits.4^		Я думал, ты от меня подарки будешь принимать...|Ich dachte, du wolltest nur Geschenke von mir nehmen....

	alisa.aboutericgits.4@22@А я тебе такого не обещала. Ты подкинул отличную идею насчёт рекламы нижнего белья, но у тебя явно денег не столько, сколько у Эрика. А он только и рад мне что-то дарить...|Das habe ich nie gesagt. Du hast mir eine tolle Idee wegen Werbung gehabt, aber du hast nicht so viel Geld wie Eric. Und er freut sich immer, wenn Er mir Geschenke macht.
		alisa.aboutericgits.5^		Значит, продалась Эрику...|Also, du hast dich an Eric verkauft.

	alisa.aboutericgits.5@29@Ну ты и придурок, Макс! Всё, вали отсюда. Что хочу, то и делаю. И никому я ничем не обязана. Ни Эрику, ни перед тобой отчитываться!|Fick dich selbst, Max! Ich kann Was auch immer ich will und ich schulde nichts. Ich muss mich weder Eric noch dir gegenüber rechtfertigen!
		leave!set_alisa.talk.eric.under_2!add_alisa.mood_-50^		Ладно...|Schön



# --- 0.3: Макс дарит чёрный комплект нижнего белья Алисе|Max gibt Alice schwarzes Unterwäscheset

	alisa.blackstart.init@0@У меня есть кое-что, о чём мы беседовали...|Ich habe etwas, worüber wir gesprochen haben.
	alisa.blackstart@22@И что же это? Я должна угадать?|Und was ist das? Muss ich raten?
		alisa.blackstart.1^			Нижнее бельё...|Dessous

	alisa.blackstart.1@31@Ой. Это супер! Симпатичное? Дай посмотреть...\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Wow, das ist toll! Ist es süß? Lass mich sehen...\n\n<color=lime><i><b>Achtung:</b> deine Beziehung ist verbessert worden.</i></color>
		alisa.blackstart.2!add_alisa.rep_1^		Ну что, примеришь при мне?|Willst du es jetzt anprobieren?

	alisa.blackstart.2@30@e-anw-start-1@Примерю при тебе? Об этом мы не договаривались. Я покажусь в нём, но... Хотя, ладно. Примерю при тебе, но ты не подглядывай! Увижу, что смотришь, получишь и пойдёшь в бассейн. Вниз головой.|Direkt vor dir? Das ist nicht das, worauf wir uns geeinigt haben, aber gut. Ich probiere es an, wenn du nicht guckst, während ich mich umziehe. Wenn ich dich erwische, fliegst du in den Pool.
		alisa.blackstart.3^			Опять угрозы...|Musst du mir ständig drohen?

	alisa.blackstart.3@33@e-anw-start-2@Макс, у тебя же есть инстинкт самосохранения, верно? Не вздумай подглядывать!|Ich hoffe, du hast genug Selbsterhaltung, um mich nicht anzugucken. Denk nicht mal dran!
		alisa.blackstart.4^			Ага...|Ja...

	alisa.blackstart.4@21@e-anw-black-1@Ну, как тебе? Хорошо сидит? Вроде бы немного лифчик не того размера... Или нет... Ну, Макс, чего молчишь?|Also, was denkst du? Wie sieht es aus? Ich bin mir nicht sicher, ob der BH gut sitzt.... oder ist es in Ordnung.... Warum sagst du nichts, Max?
		alisa.blackstart.5^			Ну, я... э...|Oh, Ich... ähm...

	alisa.blackstart.5@22@e-anw-black-2@Контуженый что ли? Я тебя спрашиваю хорошо сидит или нет... Хотя... по тебе же всё сразу видно. Значит, всё в порядке...|Hast du einen Schlaganfall oder so was? Wie ist es?..... Oh.... Ich verstehe. Dann ist es wohl Schön.
		alisa.blackstart.6^			Ага, полный п-порядок!|Ja, das ist es wirklich.... beeindruckend.

	alisa.blackstart.6@33@e-anw-black-3@Ну, спасибо тебе. Да, в этом точно можно покрасоваться перед камерами. Не уверена, что даст эффект, но я же одета... В общем, я попробую!|Ich danke dir. Das kann ich vor der Kamera zeigen. Ich bin mir nicht sicher, ob es reicht, da ich nicht nackt bin, aber ich werde es versuchen!
		alisa.blackstart.7^			Этого достаточно?|Ist das genug?

	alisa.blackstart.7@22@Сомневаюсь, если честно. Ты знаешь... Давай попробуем на всякий случай ещё кое-что. Поищи что-нибудь более сексуальное. Ничего не обещаю, но вдруг поможет...|Ich bin mir nicht sicher, um ehrlich zu sein. Vielleicht könnten wir etwas Sexyeres versuchen? Ich verspreche nichts, aber es könnte helfen.
		leave!set_can.buylingerie_1!set_poss.blog_4!add_alisa.mood_200!set_item.blackunderwear_1!add_alisa.inf_-30!move_sisroom!time^		Не за что...|Gern geschehen



# --- 0.3: Макс дарит Алисе ещё одно чёрное платье|Max schenkt Alice ein weiteres schwarzes Kleid

	alisa.newdress.init@0@Ты любишь платья?|Magst du Kleider?
	alisa.newdress@22@Дурацкий вопрос, Макс. Все девушки любят платья! Но ты же не просто так решил это спросить?|Was für eine dumme Frage, Max. Alle Mädchen lieben sie! Aber du fragst nicht nur, oder?
		alisa.newdress.1^			Конечно, нет...|Natürlich nicht...

	alisa.newdress.1@21@Тогда, рассказывай, к чему это всё?|Okay, sag mir, worum es hier geht.
		alisa.newdress.2^			Ну, я купил тебе одно...|Ich habe dir eines gekauft.

	alisa.newdress.2@31@Макс! Ты супер! Давай, показывай... Какая красота! Если размер подойдёт, я даже при тебе его примерю, если хочешь...|Max! Du bist so großartig! Komm schon, zeig es mir.... Das ist so schön! Wenn die Größe stimmt, probiere ich es vor dir aus, wenn du willst....
		alisa.newdress.3^			Конечно хочу!|Natürlich, das tue ich!

	alisa.newdress.3@33@e-anw-start-1@Главное условие - не подглядывать, пока я переодеваюсь. Если замечу, то сначала получишь, а потом поползёшь отсюда...|Aber nicht gucken, während ich mich umziehe. Wenn ich dich sehe, wirst du eine Woche lang nicht laufen können!
		alisa.newdress.4^			Какая ты агрессивная...|Du bist so aggressiv....

	alisa.newdress.4@31@e-anw-start-2@Я? Ты что, я же просто душка! Но подглядывать всё равно нельзя!|Nein, bin ich nicht, ich bin ein Süßer! Aber du kannst immer noch nicht zusehen!
		alisa.newdress.5^			Ладно, ладно...|Gut, gut

	alisa.newdress.5@33@e-anw-dress-1@Ну... Как тебе, Макс? Хорошо сидит?|Also, wie gefällt es dir, Max?
		alisa.newdress.6^			Шикарно!|Es steht dir wirklich gut!

	alisa.newdress.6@31@e-anw-dress-2@Блин... Мне тоже нравится! А длина, спереди ничего не видно?|Ja, es gefällt mir auch! Wie ist die Länge, kann man vorne etwas sehen?
		alisa.newdress.7^			Н... нет...|N-Nein...

	alisa.newdress.7@33@e-anw-dress-3@Заикаешься, Макс? Хороший знак! А сзади как, хорошо? Попку не видно?|Hast du deine Fähigkeit zu sprechen verloren, Max? Sollte ein gutes Zeichen sein! Was ist mit der Rückseite? Kannst du meinen Arsch sehen?
		alisa.newdress.8^			Под платьем или вообще?|Meinst du unter deinem Kleid oder allgemein?

	alisa.newdress.8@31@e-anw-dress-4@Очень смешно, Макс... Я вот только забыла спросить... А за что такая щедрость? Ты же не просто так решил мне подарить это платье?|Sehr witzig, Max. Oh, ich hätte fast vergessen zu fragen. Warum so großzügig? Du hast nicht zufällig entschieden, mir jetzt ein Kleid zu schenken, oder?
		alisa.newdress.9a^			Почему? Просто так...|Warum nicht? Vielleicht wollte ich dir einfach so ein Kleid geben, ohne Bedingungen?
		alisa.newdress.9b^			А на что я могу расчитывать?|Was würdest ihr im Gegenzug für mich tun?

	alisa.newdress.9a@33@e-anw-dress-2@Ну, если так... То спасибо тебе большое! Теперь у меня есть выбор в чём ходить в клубы... Конечно, оно слишком... Но мне нравится, когда слишком...|Nun, dann.... Dann vielen Dank, Max! Jetzt habe ich die Wahl für einen Club. Es ist allerdings etwas zu freizügig. Aber ich mag es, wenn es zu freizügig ist....
		leave!set_item.partydress_1!add_alisa.mood_250!add_alisa.inf_-50!move_sisroom!time^		Не за что, Алиса...|Gern geschehen, Alice

	alisa.newdress.9b@33@На мою благодарность и улыбку, конечно!|Ich bin bereit, dir meine Dankbarkeit und mein flottes Lächeln zu schenken, Natürlich!
		leave!set_item.partydress_1!add_alisa.mood_250!add_alisa.inf_-50!move_sisroom!time^		Ну да, именно на это я и расчитывал...|Ja, das ist genau das, was ich erwartet habe....




# --- 0.3: Макс дарит Алисе чёрное боди|Max gibt Alice schwarzen Body

	alisa.bod.init@0@Помнишь, ты намекала, что нужно более откровенное нижнее бельё?|Erinnerst du dich, dass du angedeutet hast, dass du freizügigere Dessous willst?
	alisa.bod@22@Я на это намекала? Может быть, тебе захотелось так услышать?|Habe ich das? Vielleicht ist es das, was du hören wolltest?
		alisa.bod.1^		Так тебе надо или нет?|Willst du es oder nicht?

	alisa.bod.1@33@e-anw-start-1@Давай сюда, посмотрим... Конечно надо! Если не будешь смотреть, то я даже при тебе примерю...|Mal sehen, was du hast.... Natürlich tue ich das! Wenn du nicht guckst, probiere ich es sogar vor dir an....
		alisa.bod.2^		Конечно!|Sicher!

	alisa.bod.2@32@e-anw-start-2@Макс! Ты пялишься на мой зад? Тут же кругом зеркала и я всё вижу! Быстро отвернись!|Max! Starrst du mich an? Es sind überall Spiegel und ich sehe alles! Dreh dich sofort um!
		alisa.bod.3^		Эх...|Aw...

	alisa.bod.3@31@e-anw-lin@Макс... Я вот только не поняла... А где верх? Он куда-то упал или что это?|Max.... wo ist das Top von diesem Ding? Hast du ihn verloren oder so?
		alisa.bod.4^		Ну, это такое боди, без верха...|Genau so ist es gestaltet, es hat kein Oberteil.

	alisa.bod.4@33@И что ты предлагаешь, мне в таком виде перед камерой крутиться? Серьёзно?|Und das soll ich vor der Kamera tragen?
		alisa.bod.5^		Ты сама сказала более откровенное...|Du hast selbst gesagt, dass du etwas freizügigeres willst.

	alisa.bod.5@29@Ты знаешь, я могла бы раздеться до гола с таким успехом...|Ja, richtig, ich könnte genauso gut nackt sein.
		alisa.bod.6^		Значит, не нравится?|Also gefällt es dir nicht?

	alisa.bod.6@31@Ну почему... Очень нравится. Вот только это не для моего блога, но применение я обязательно найду... Кое-кому очень понравится...|Nein, ich liebe es sehr, aber ich werde es nicht in meinem Blog tragen. Ich kenne jemanden, der das sehr zu schätzen weiß....
		alisa.bod.7^		Кому же это?|Und wer soll das sein?

	alisa.bod.7@22@Ну уж точно не тебе!|Definitiv nicht du!
		alisa.bod.8^		Мне же интересно!|Komm schon, ich will es wissen!

	alisa.bod.8@31@Не сомневаюсь. Ну всё, Макс. Спасибо тебе ещё раз за этот шикарный подарок. А ты не безнадёжен...|Da bin ich mir sicher. Das reicht, Max. Danke für dieses herrliche Geschenk. Ich schätze, du bist doch nicht so hoffnungslos....
		alisa.bod.9^		А что с блогом?|Und was ist mit deinem Blog?

	alisa.bod.9@21@Да, кстати об этом... Со мной уже кое-кто связался и мы договорились, что я могу начать рекламировать некоторые товары. Мне будут их присылать курьером, а платить через биткойны, представляешь!|Oh, ja, deswegen.... Ich wurde kontaktiert und wir hatten einen Deal, also kann ich jetzt mit der Werbung beginnen. Sie schicken mir Dessous per Kurier und bezahlen mich mit Bitcoin, kannst du dir das vorstellen?
		alisa.bod.10^		Значит, тебя можно поздравить?|Also sind Glückwünsche angebracht?

	alisa.bod.10@31@Ага. Кажется, твой план удался!|Ja. Sieht aus, als hätte dein Plan funktioniert!
		alisa.bod.11^		Может быть, ради такого дела покажешь сиськи?|Kannst du mir deine Brüste aus diesem Anlass zeigen?

	alisa.bod.11@33@Макс! Ну ты и придурок, а... Всё, мы закончили...|Komm schon, Max, sei kein Idiot.... Okay, die Show ist vorbei.
		leave!set_poss.blog_5!add_alisa.mood_200!set_item.lingerie_1!set_dcd.alisasad_7!add_alisa.inf_-40!move_sisroom!time^		Эх...|Aw...



# --- 0.3: Разговор с Алисой через неделю насчёт блога|Gespräch mit Alice nach dem Bloggespräch

	alisa.sad.init@0@Ну что, как твой блог?|Also, wie ist dein Blog?
	alisa.sad@20@Ты знаешь, Макс, не очень...|Eigentlich nicht so toll.
		alisa.sad.1^		А что такое?|Was ist denn los?

	alisa.sad.1@23@Ну я отработала неделю... Мне присылали бельё, а вот сегодня заплатили какие-то гроши...|Nun, ich habe meine Arbeit eine Woche lang gemacht, sie schicken mir Dessous, aber.... Sie bezahlten mir fast nichts.
		alisa.sad.2^		Почему?|Warum?

	alisa.sad.2@20@Ну они объяснили это так, что бельё, которое мне высылали и есть основная плата за работу, а эти копейки возмещение остальных расходов типа того же интернета...|Sie sagten mir, dass die Unterwäsche, die sie mir schicken, das ist, was ich für meinen Job bekomme und sie schicken mir ein paar Pennys, um meine Ausgaben wie die Internetverbindung zu decken.
		alisa.sad.3^		Так найди других!|Dann suchen wir uns einen anderen Inserenten!

	alisa.sad.3@23@Да я как дура подписала контракт... Теперь с нижним бельём могу работать только с ними. И почему я не читаю мелкий шрифт? Блин. Что делать?|Ich habe einen Exklusivvertrag unterschrieben, ich kann nur für ihre Dessous werben. Ich hätte das Kleingedruckte lesen sollen.... Ich weiß nicht, was ich jetzt tun soll.
		alisa.sad.4^		А контракт на любую деятельность?|Deckt dieser Vertrag alles ab?

	alisa.sad.4@20@Ты имеешь в виду, могу ли я рекламировать что-то другое? Да, могу... Но что? Я так надеялась, что твоя идея с нижним бельём сработает и крутилась как дурочка в таком виде, а всё зря...|Du meinst, ob ich für andere Produkte werben kann? Keine Unterwäsche? Ich kann, aber was? Ich hatte gehofft, deine Dessous-Idee würde funktionieren, und ich habe mich so sehr bemüht, mich im Nichts zu zeigen, und jetzt ist alles umsonst....
		alisa.sad.5^		Не зря. У тебя аудитория есть!|Nicht umsonst, Du hast ein Publikum!

	alisa.sad.5@23@И что мне им теперь показывать? Не снова же крема и лаки, как раньше? Большинство зрителей это озабоченные мужики, которым нравится на меня смотреть...|Und was soll ich ihnen zeigen? Ich kann nicht zurück zum Nagellack, die meisten meiner Zuhörer sind pervers, die mich nur noch mehr anstarren....
		alisa.sad.6^		Я предлагал два варианта...|Nun, ich hatte am Anfang zwei Ideen.

	alisa.sad.6@20@А какой второй? Я что-то не помню...|Was war der andere? Ich kann mich nicht erinnern.
		alisa.sad.7^		Ну, ты можешь рекламировать игрушки для взрослых, например... Или раздеваться...|Sie könnten zum Beispiel für Spielzeug für Erwachsene werben.... Oder zieh dich aus

	alisa.sad.7@33@Ну раздеваться перед камерой я не планирую... Да и игрушки на камеру использовать это ещё хуже...|Nun, ich habe nicht vor, mich vor der Kamera auszuziehen. Und die Verwendung von Spielzeug wird immer schlimmer.
		alisa.sad.8^		Их же не обязательно использовать. Можно рассказывать об этом...|Ich habe nicht davon gesprochen, sie zu benutzen. Du könntest einfach von ihnen erzählen.

	alisa.sad.8@31@И тогда вся аудитория будет состоять из озабоченных мужиков, которые только и ждут, пока я что-то куда-то себе запихну, да?|Und dann wird mein gesamtes Publikum mit perversen Kerlen gefüllt sein, die darauf warten, zu sehen, wenn ich etwas in mich schiebe!
		alisa.sad.9^		Блин, на такое даже я бы подписался...|Ja, sogar ich würde das abonnieren....

	alisa.sad.9@33@Не сомневаюсь... Но нет, Макс. Идея дурацкая. Даже просто раздеваться на камеру и то лучше, чем с этими игрушками возиться...|Da bin ich mir sicher. Aber nein, Max. Das ist keine gute Idee. Selbst das Ausziehen ist besser als diese ganze Spielzeug-Sache.
		alisa.sad.10^		Так в чём проблема?|Was ist dann das Problem?

	alisa.sad.10@20@Кроме того, что это как-то низко? Вдруг меня увидят мои друзья или знакомые? Это же такой позор!|Neben der Tatsache, dass es extrem erniedrigend ist? Was, wenn mich jemand, den ich kenne, sieht? Ich werde es nicht mehr aushalten können!
		alisa.sad.11^		А вот тут есть решение!|Dafür gibt es eine Lösung!

	alisa.sad.11@23@Это какое? Я слушаю. Только не предлагай загримироваться!|Welche Lösung? Ich hoffe, du redest nicht von einem schweren Make-up oder so.
		alisa.sad.12^		Можно запретить этому региону смотреть твои трансляции...|Sie können bestimmten Regionen verbieten, Deine Streams zu sehen.

	alisa.sad.12@20@А так можно? И самое главное, кто это сможет сделать?|Ist das wirklich möglich? Und wer könnte so etwas tun?
		alisa.sad.13^		Ну, например... я...|Nun.... Ich könnte

	alisa.sad.13@31@Макс! Ты меня удивляешь всё больше. Такое ощущение, что ты всё это делаешь для себя. Или мне только кажется?|Du bist voller Überraschungen, Max! Ich kann das Gefühl nicht loswerden, dass du das alles für deine eigenen Ziele tust.
		alisa.sad.14^		Кажется. Я делаю это для тебя!|Du bildest dir etwas ein, ich tue alles nur für dich!

	alisa.sad.14@22@Ну, допустим. Вот только мне кажется, что я буду как какая-то проститутка...|Nun, vielleicht. Aber diese ganze Sache fühlt sich an wie Prostitution....
		alisa.sad.15^		Тебе не обязательно трахаться на камеру...|Du musst nicht vor der Kamera ficken.

	alisa.sad.15@33@Макс, об этом и речи не шло! Я именно про стриптиз или как там это называется... Да и что мама скажет?|Das habe ich nicht gemeint! Ich rede von Striptease oder wie auch immer es heißt. Und was würde Mom sagen?
		alisa.sad.16^		Мама не узнает. И увидеть не сможет. И никто ей не расскажет...|Sie wird nie davon erfahren. Sie wird nicht sehen können und niemand wird es ihr sagen.

	alisa.sad.16@22@В общем, я подумаю, Макс, но ничего не обещаю...|Schön, ich werde darüber nachdenken, Max, aber ich verspreche nichts.
		leave!set_poss.blog_6!add_alisa.mood_100!set_dcd.alisasad_2^		Подумай...|Lassen dir Zeit



# --- 0.3: Пытаемся убедить Алису насчёт её блога и того, чтобы она раздевалась перед камерой за деньги|Ich versuche Alice davon zu überzeugen, sich vor der Kamera auszuziehen.

	alisa.trycam.init@0@Подумала насчёт камер?|Hast du etwas über deinen Blog entschieden?
	alisa.trycam@22@Ты о том, чтобы раздеваться за деньги? У меня эта идея не выходит из головы, так как нужны деньги, но блин... Я не могу через себя переступить...|Redest du davon, für Geld zu strippen? Ich brauche das Geld wirklich, also kann ich nicht aufhören, darüber nachzudenken, aber ich kann mich nicht davon überzeugen, es zu tun.
		random.social.1=1&alisa.trycam.ok^		Ты заработаешь кучу денег! [skill.social_1]|Du wirst viel Geld verdienen! [skill.social_1]
		random.social.1=0&alisa.trycam.no^		Ты заработаешь кучу денег! [skill.social_1]|Du wirst viel Geld verdienen! [skill.social_1]

	alisa.trycam.no@21@<color=orange><i>Убеждение не удалось!</i></color>\nДа я это понимаю, Макс. Но мысль о том, что на меня будут пялиться толпы озабоченных мужиков меня останавливает...|<color=orange><i>Überredung fehlgeschlagen!</i></color>\nDas verstehe ich, Max, aber ich will nicht, dass ein Haufen Perverser mich nackt anschaut....
		leave!set_dcd.alisasad_2^				Ну, подумай ещё...|Okay, Alice

	alisa.trycam.ok@31@<color=lime><i>Убеждение удалось!</i></color>\nТы знаешь... Была не была! В конце концов, если ты сделаешь так, чтобы меня не могли увидеть мои друзья и знакомые... |<color=lime><i>Überredung erfolgreich!</i></color>\nDu weißt schon.... Scheiß drauf, ich bin dabei! Wenn du deine Magie tust, damit mich niemand, den ich kenne, sehen kann....
		alisa.trycam.ok.1^						Считай, уже сделано!|Betrachten Sie es als erledigt!

	alisa.trycam.ok.1@33@А ты не будешь подглядывать? Потому-что для себя то ты наверняка лазейку сделаешь. Я тебя знаю!|Und wirst du zusehen? Du wirst wahrscheinlich einen Weg offen lassen, um selbst nachzusehen, nicht wahr?
		alisa.trycam.ok.2^						Что ты! Как я могу? Нет, ни за что!|Was!? Nein! Wie könnte ich? Natürlich will ich nichts dergleichen!

	alisa.trycam.ok.2@25@Да, Макс, так я тебе и поверила... Ну ладно. Я попробую. Изучу какие есть подобные сервисы, где сколько платят и... попробую. Если удастся на этом заработать, то я столько себе куплю... Ух!|Ja, richtig.... Gut. Ich werde es versuchen. Ich schaue mir die verfügbaren Webseiten an, wer was bezahlt und versuche es dann. Und wenn ich etwas Geld verdienen kann, kann ich so viel kaufen....
		alisa.trycam.ok.3^						Ага...|Ja...

	alisa.trycam.ok.3@31@Ладно, спасибо тебе в очередной раз, Макс! Ты всё время мне помогаешь со всем этими моими историями. Я рада, что у меня такой брат...\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Okay, danke nochmal, Max. Du hilfst mir bei allem. Ich bin wirklich froh, dass ich einen Bruder wie dich habe.\n\n<color=lime><i><b>Achtung:</b> deine Beziehung ist verbessert worden.</i></color>
		leave!add_alisa.rep_1!set_poss.blog_7!add_alisa.mood_200^		А я рад, что у меня такая сестра!|Und ich bin froh, eine Schwester wie dich zu haben!



# --- 0.3: Алиса просит денег у Макса|Alice bittet Max um Geld.

	alisa.needmoney.init@0@Алиса, чего такая грустная?|Warum so schlecht drauf, Alice?
	alisa.needmoney@20@Да нормальная, вроде... А что? Хочешь помочь?|Mir geht's gut.... Was, willst du helfen?
		alisa.needmoney.1^		Конечно! Чем?|Natürlich. Welche Art von Hilfe brauchst du?

	alisa.needmoney.1@22@Ты знаешь, лучшие друзья девушек это бриллианты... А они стоят денег. Нет, бриллианты мне не нужны. А вот деньги да. У тебя есть?|Du weißt, dass Diamanten die besten Freundinnen sind, oder?\nNun, sie kosten Geld. Ich brauche keine Diamanten, aber ich brauche das Geld. Hast du welches?
		money>19&alisa.needmoney.2^								А сколько надо?|Wieviel brauchst du?
		leave!set_dcd.alisaneedmoney_3!add_alisa.mood_-50^		Денег нет, но ты держись...|Tut mir leid, ich habe keins.

	alisa.needmoney.2@33@Макс, ну что за вопрос. Мне нужны все деньги, какие есть. Не спрашивай зачем. Я девочка, а девочки любят красивые вещи... Если сможешь что-то дать, я буду очень рада...|Was ist das für eine Frage, Max? Ich brauche soviel du entbehren kannst. Und frag mich nicht warum, ich bin ein Mädchen, und Mädchen mögen schöne Dinge.... Wenn du welches hättest, würdest du mich sehr glücklich machen....
		money>14&alisa.needmoney.small!add_money_-15!add_alisa.mood_30!set_dcd.alisaneedmoney_1!add_alisa.inf_-5^				$15 устроит?|Sind $15 gut genug?
		money>29&alisa.needmoney.small!add_money_-30!add_alisa.mood_50!set_dcd.alisaneedmoney_1!add_alisa.inf_-10^				$30 устроит?|Sind $30 gut genug?
