# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?

	12.ca.18@75@d-mm-31@Кажется, у тебя волшебный крем и ручки... Даже следов не осталось! Теперь буду ждать тебя после каждых съёмок!|Your hands and your lotion are magical... Look, no marks! I'll always be waiting for you after doing my movies!
		leave!set_masx_1!set_dcd.masx_1!set_poss.car_44!set_pjob_8!time!max_cam.2.grow_300!lock_momroom_5^			Супер!|Super!



# --- 0.12: Главный эвент с массажем (с разветвлениями)

	12.cb.0@75@d-mm-1@Ох, сынок... Ты пришёл! Я так рада... У тебя тот волшебный крем с собой?|Hi, son, you came! I'm so glad to see you. Do you have your magic lotions with you?
		12.cb.1^		Конечно, мам!|Of course, mom!

	12.cb.1@67@d-mm-3@Смотри, с чем тебе придётся сегодня поработать...|Look at what you'll have to deal with today...
		12.cb.2^		С удовольствием, мам!|With pleasure, mom!

	12.cb.2@75@d-mm-4@Ну всё, моя попка тебя ждёт... Ой, как пошло звучит, ну да ладно...|Okay, my ass is waiting for you, Max... Wait, that sounds so dirty...
		masx=1&12.cb.3^		Я готов!|I'm ready!
		masx=2&12.cb.15^	Я готов, как всегда!|I'm always ready!
		masx=3&12.cb.28^	Уже иду!|I'm coming!
		masx=4&12.cb.41^	Конечно, мам!|I'll fix you right away!
		masx=5&12.cc.0^		Бегу, мам!|Get ready
		masx=6&12.cc.18^	Тогда начнём!|Let's start



# --- 0.12: Массаж №2

	12.cb.3@69@d-mm-5@Знаю, тебе интересно, что было сегодня... Рассказать?|Do you want to know what I did today on the set?
		12.cb.4^		Конечно!|Of course!

	12.cb.4@60@d-mm-6@Я вошла в тёмную комнату. Ко мне подошли две симпатичные девушки в латексе, сняли всю одежду... И привязали к кресту, представляешь?|I walked into the dark room. Two beautiful ladies in latex came over to me and took all my clothes off... And then they tied me to the cross, can you imagine?
		12.cb.5^		Ох...|Oh...

	12.cb.5@73@d-mm-7@Если мои рассказы - это слишком для тебя, то могу просто лежать молчать и получать удовольствие от твоих нежных и сильных ручек...|If my stories are too much for you, I can lie quietly and enjoy your strong and gentle hands...
		12.cb.6^		Нет уж, продолжай!|No, continue!

	12.cb.6@69@d-mm-8@Затем, включился свет и я оказалась перед толпой людей. Они всё это время сидели там в темноте и ждали, рассматривая меня...|Then they turned on the lights and there was a huge crowd of people. They were all sitting in the darkness and waiting for me. Looking at me...
		12.cb.7^		Ага, а дальше?|Then what?

	12.cb.7@73@d-mm-9@А дальше они начали вытворять друг с дружкой такое, о чём мама не должна рассказывать сыну...|Then they started doing something to each other... Something a mother shouldn't tell about to her son...
		12.cb.8^		Мне - можно!|You can tell <i>me</i>

	12.cb.8@69@d-mm-12@Я даже не знаю, что было большим мучением. То, что было потом, или то, что мне можно было смотреть и... я не могла получить удовольствие, понимаешь?|I don't even know what was more torturous. What happened next or the fact that I could only watch, but couldn't... get any release, if you know what I mean.
		12.cb.9^		Понимаю...|I do...

	12.cb.9@67@d-mm-10@Когда они наигрались друг с дружкой, немного поработали с моей попкой, а потом... я удовлетворила обеих своим язычком...|After they played around with each other they worked on my ass and then... I satisfied both of them with my tongue...
		12.cb.10^		Ух...|Wow...

	12.cb.10@69@И я не знаю... Мне кажется, если бы ко мне кто-то прикоснулся... там... то я бы сразу кончила... Так возбудилась, даже не верится...|I think... if anyone touched me back then I would... cum right away, from a single touch... I was so horny...
		12.cb.11^		<i>подразнить маму</i>|<i>tease mom</i>

	12.cb.11@4@d-mm-11@<i>Ого... Я думал, мама сразу дёрнется и выгонит меня с криками, но... нет, она замерла и... ждёт продолжения?</i>|<i>Huh, I was afraid she'd throw me out, but she froze and... waiting for me to go on?</i>
		12.cb.12^		<i>продолжать</i>|<i>continue</i>

	12.cb.12@68@d-mm-13@Макс! Что ты делаешь! Это уже... не тот массаж, на который я рассчитывала... Прекрати! Я не для того тебе рассказала эту историю...|Max! What are you doing? That's not the kind of massage we agreed on... Stop! That's not why I told you this story...
		12.cb.13^		Извини, мам...|I'm sorry, mom

	12.cb.13@69@d-mm-10@Это моя вина, я не подумала, что ты воспримешь мои слова как руководство к действию... Думаю, на сегодня хватит...|It's my fault, I didn't think you might take it as a call to action. I think that's enough for today.
		12.cb.14^		Хорошо...|Okay

	12.cb.14@73@d-mm-31@Спасибо тебе за массаж, сынок. Уже всё прошло, нет и следов... У тебя такие нежные и... шаловливые пальчики... Но было очень приятно...|Thank you for the massage, son. I feel much better, and there are no marks left... your hands are so gentle and... naughty... I loved it.
		leave!set_masx_2!set_dcd.masx_1!set_poss.car_45!time!max_cam.2.grow_300!lock_momroom_5^		Обращайся, мам!|Anytime, mom!



# --- 0.12: Массаж №3

	12.cb.15@62@d-mm-5@Макс, только давай в этот раз не распускай руки...|Just keep your hands in check, Max, okay?
		12.cb.16^		Разве тебе не нравится?|Didn't you like the last time?

	12.cb.16@69@d-mm-6@Очень нравится. Но дело не в этом. Ты мой сын и делать такие вещи... это неправильно...|Yes, I did. But it doesn't matter, you're my son and doing this is... wrong...
		12.cb.17^		Но мне же ты помогаешь!|But you're helping me!

	12.cb.17@73@d-mm-7@Да, но... я забочусь о твоём здоровье. К тому же, ты сам не можешь себя удовлетворить, этот твой туннельный синдром...|Yes, but I'm concerned about your health. Besides, you can't help yourself because you have your syndrome.
		12.cb.18^		А я забочусь о твоём здоровье!|I'm concerned about your health too!

	12.cb.18@67@d-mm-8@Спасибо, сынок. Но мне кажется, что ты не только об этом заботишься, а просто... Тебе не хватает чего-то. И я не та, кто тебе нужен...|Thanks, son, but I'm not sure that's the only thing you're concerned about. I think you're craving someone and I'm afraid I'm not someone who can satisfy you.
		12.cb.19^		Но почему, мам?|Why not, mom?

	12.cb.19@75@d-mm-9@Именно потому, что я твоя мама! Да, я рада, что у нас такие... отношения, но... Ох, как же хорошо... У тебя талант, сынок...|Because I'm your mom, Max! I'm happy we're so... close, but... Oh, this feels so good... You're a natural, Max.
		12.cb.20^		Я стараюсь...|I try

	12.cb.20@67@И это очень... заметно... Ты не представляешь, как мне тяжело держать себя в руках... Мне кажется, стоит... закончить этот... массаж...|I can... feel that... You have no idea how hard it is for me to control myself... I think we should stop before I...
		12.cb.21^		<i>прикоснуться к её киске</i>|<i>touch her pussy</i>

	12.cb.21@68@d-mm-13@Макс! Ну что за дела? Я же тебя просила... Прекрати, немедленно!|Max! I told you not to do this... Stop right now!
		12.cb.22^		Блин...|Crap...

	12.cb.22@62@d-mm-18@Макс! Ты ведёшь себя как ребёнок... хотя, неудачное сравнение. Ты пользуешься моей слабостью и хочешь... я не знаю...|Stop acting like a child, Max...! That hardly applies to you, but... Stop exploiting my weakness and pushing me into... Who knows what...
		12.cb.23^		Я хочу помочь!|I just want to help! We both know you want it too!

	12.cb.23@69@d-mm-17@Ну не так же... Мне просто нужен мужчина и всё наладится, возможно... Ну или я не знаю... Всё очень сложно...|Not like this, Max... I just need some man and everything will work itself out... Maybe... Everything is so complicated...
		12.cb.24^		Не нужен тебе какой-то мужчина, если есть я!|You don't need some man, you need me!

	12.cb.24@62@Всё сынок, разговор окончен. Спасибо тебе за массаж, как всегда всё чудесно, но... Теперь я не смогу уснуть из-за этого всего...|This conversation is over. Thanks for the massage, you were amazing, but... How am I supposed to sleep after this...
		12.cb.25^		Поговори с Кирой!|You should talk to aunt Kira

	12.cb.25@69@Зачем? Чтобы она меня убедила, что всё в порядке и ты... мы... можем чуть больше, чем я думаю? Я же знаю её наизусть!|Why, so she can convince me everything is fine and we should, I don't know, do something together? I already know what she's going to say.
		12.cb.26^		И она права...|And she'll be right

	12.cb.26@73@Ох, сынок... Ладно, я тебя услышала... Кажется, тебе пора...|Come on, son... Fine, I've heard you and I'll think about it. I think you should go now.
		12.cb.27^		До следующего раза?|Till next time?

	12.cb.27@67@d-mm-31@Да... Буду ждать. Только ты способен доставить мне такое удовольствие... Ох, как это звучит нелепо...|Yes, I'll be waiting. You're the only one who can give me so much pleasure... I can't believe how dirty this sounds...
		leave!set_masx_3!set_dcd.masx_3!set_poss.car_46!max_cam.2.grow_300!time!lock_momroom_5^		Пока, мам!|Bye, mom



# --- 0.12: Массаж №4

	12.cb.28@69@d-mm-6@Ты знаешь, Макс... Я много думала после прошлого раза. И да, я пообщалась с Кирой на эту тему...|I had some time to think about what you said... And I've talked to Kira, too...
		12.cb.29^		И что она сказала?|And?

	12.cb.29@73@d-mm-7@Ну... Не то, что я ожидала, как это ни странно... Она предложила свою помощь для решения... моей проблемы...|Surprisingly, she didn't say what I expected from her. She told me she can... help me out with my... issue.
		12.cb.30^		Ты имеешь в виду секс?|You mean have sex with you?

	12.cb.30@67@d-mm-8@Да, что же ещё... Но я же не лесбиянка! Конечно, мне нравится этот... новый опыт, но... я люблю мужчин, особенно... ой, меня заносит...|Yes, or course. But I'm not a lesbian! I enjoyed our... experiments, but... I love men, especially... I shouldn't say that.
		12.cb.31^		Продолжай!|Go on!

	12.cb.31@69@d-mm-9@Твои прикосновения меня так заводят... Я не могу себя контролировать и несу всякие глупости...|When you touch me I get so turned on... I can't control myself and say silly things...
		12.cb.32^		Всё в порядке, мам...|It's okay, mom

	12.cb.32@73@d-mm-10@В общем, я решила, что если выбирать между Кирой и... тобой, то дам тебе один шанс. В конце концов, мы уже так далеко зашли...|Well, I've decided. If I have to choose between Kira and... you, then I can give one chance. We've come so far already anyway...
		12.cb.33^		<i>ласкать маму пальчиком</i>|<i>caress mom with a finger</i>

	12.cb.33@4@d-mm-14@<i>Мама замолчала... И начала так дышать... Похоже, в этот раз у меня и правда есть шанс сделать чуть больше, чем обычно...</i>|<i>Mom got so quiet... Her breathing is so... Looks like I finally can do more...</i>
		12.cb.34^		<i>продолжать</i>|<i>continue</i>

	12.cb.34@62@d-mm-12@А ты не стал терять времени, сынок... Как же это приятно... Всё, я себя не контролирую, доверюсь твоим ручкам...|You don't waste your time, do you, son... This feels so good... I can't control myself anymore, I'm thrusting myself in your hands...
		12.cb.35^		<i>продолжать</i>|<i>continue</i>

	12.cb.35@67@d-mm-15@Ох, сынок... у тебя просто волшебные ручки... Как же я соскучилась по настоящему мужчине...|Wow, son... Your hands feel like magic... I've missed a real man so much...
		12.cb.36^		Я твой мужчина!|I'm your real man!

	12.cb.36@75@d-mm-12@Да, но... Да, продолжай... мне так нравится... Ещё немного и я... да... чуть быстрее... ещё... ох, сынок...|Yes, but... Yes, go on... I love it... I'm almost... Yes, faster... Yes, son...
		12.cb.37^		<i>ускориться</i>|<i>speed up</i>

	12.cb.37@4@d-mm-16@<i>Определённо, маме нравится этот массаж... Ого, да она уже кончает! Так... я всё правильно делаю? Похоже, что да... точно правильно...</i>|<i>Mom is definitely enjoying this massage... I think she's cumming! I'm definitely doing something right.</i>
		12.cb.38^		<i>далее</i>|<i>continue</i>

	12.cb.38@67@d-mm-12@Всё, сынок... остановись... Мне надо отдышаться... Это лучший массаж в моей жизни... Спасибо тебе!|Okay, son, you can stop... Let me catch my breath... Thank you!
		12.cb.39^		Обращайся мам, в любое время!|Anytime, mom

	12.cb.39@75@Конечно, я буду жалеть, что позволила тебе такое... А с другой стороны, я так рада, что позволила это тебе... Ох, всё сложно... Но я ни о чём не жалею!|I'm going to regret doing this, but... But I'm so happy I let you do it... Why does everything has to be so complicated... But I'm not regretting anything!
		12.cb.40^		Супер, мам!|That's great, mom!

	12.cb.40@67@d-mm-31@Ну всё, на сегодня хватит... Буду ждать следующего раза, сынок!|Okay, that's enough for today... I'll be waiting for you, son!
		leave!set_masx_4!set_dcd.masx_1!set_poss.car_47!max_cam.2.grow_300!time!lock_momroom_5^		Я тоже, мам!|Me too!



# --- 0.12: Массаж №5

	12.cb.41@62@d-mm-6@Макс, я не буду делать вид, что мне не понравилось в прошлый раз... Но пусть это останется в секрете, хорошо?|Max, I'm not going to pretend I didn't like our last massage session, but... We have to keep it a secret, okay?
		12.cb.42^		От кого, мам?|From whom?

	12.cb.42@69@Как от кого? От всех! От твоих сестёр, даже Кире ничего не говори, а то начнёт меня подкалывать или шутить на эту тему...|Everyone! Your sisters, obviously, but I don't want you to tell anything to Kira either. She's never gonna let it go and I don't want to hear about it for the rest of my life.
		12.cb.43^		Хорошо, мам!|Okay, mom

	12.cb.43@73@Обещаешь, Макс? Потому что я не знаю что скажу Алисе или Лизе, если они узнают про... про это всё...|Do you promise, Max? I can't imagine what am I supposed to say to Alice or Lisa if they ever learn about all this.
		12.cb.44^		Мам, расслабься!|Don't worry, mom. You're in good hands

	12.cb.44@67@Хорошо, к тому же, это так легко сделать в твоих руках... Ох, как же ты меня выручаешь с этим... массажем...|Yes, that's certainly true... I can't thank you enough for your... massages.
		12.cb.45^		<i>приступить к особому массажу</i>|<i>start the special massage</i>

	12.cb.45@4@d-mm-11@<i>Хватит разговоров, пора начать самое интересное... Если то, что я делаю ей нравится, то... может быть... будет и продолжение?</i>|<i>Enough talking, let's get to the main event... I wonder, since she's enjoying what I'm doing now, maybe we'll do more?</i>
		12.cb.46^		<i>продолжать</i>|<i>continue</i>

	12.cb.46@75@d-mm-12@Сынок... Ты - чудо. Как мне с тобой повезло... Ох, ты не представляешь как это приятно... И мне так этого не хватает...|Son... You're so amazing... I'm so lucky, you can imagine how good it feels... I've missed this...
		12.cb.47^		<i>продолжать</i>|<i>continue</i>

	12.cb.47@4@d-mm-15@<i>Ну всё, мама в моих руках... Конечно, можно позволить чуть больше, но... Потом не даст это повторить. Поэтому не буду спешить...</i>|<i>Mom is finally in my hands... I think I can finally try something new... But I don't think I should hurry, I don't want to spook her.</i>
		12.cb.48^		<i>продолжать</i>|<i>continue</i>

	12.cb.48@67@d-mm-16@О да, сынок, это... Так хорошо... Спасибо тебе, мне понравилось...|Yes, son... so good... Thank you, It feels so good...
		12.cb.49^		Но ты не кончила?|But you didn't cum?

	12.cb.49@69@d-mm-17@Нет... Но это не тот вопрос, который стоит задавать своей маме... Ничего страшного, мне было приятно...|No... You shouldn't ask your mother this question, Max... Don't worry about it, I liked it.
		12.cb.50^		Так не пойдёт!|No, that's not good enough!

	12.cb.50@73@d-mm-19@Что? Что ты делаешь, сынок? Нам нельзя это делать, я твоя мама! Остановись!|What? What are you doing, son? We can't do this, I'm your mom! Stop!
		12.cb.51^		Мам, доверься мне!|Trust me, mom

	12.cb.51@69@d-mm-21@Я... я не могу сопротивляться... Это не в моих силах... Как же хорошо... Да, продолжай... ещё... ещё...|I... I can't say no to you anymore... This feels so good... Yes... don't stop...
		12.cb.52^		<i>продолжать</i>|<i>continue</i>

	12.cb.52@4@d-mm-22@<i>Если так и дальше пойдёт, мама сама будет меня просить сделать для неё... что-нибудь такое... И я, конечно, соглашусь. Я даже жду этого!</i>|<i>Mom seems to really enjoy our times... She might even ask me for more... I can't wait!</i>
		12.cb.53^		<i>продолжать</i>|<i>continue</i>

	12.cb.53@75@d-mm-20@Ну вот, сынок... Опять довёл маму до оргазма... Как же пошло звучит... но... так приятно... Спасибо тебе...|Wow, son... You gave me another orgasm... I can't believe I say this things to my son, but it felt so good... Thank you.
		12.cb.54^		Для тебя - всё, что угодно!|Anything for you, mom

	12.cb.54@69@d-mm-31@Ох, сынок... Я бы тоже помогла тебе как-то расслабиться, но... в другой раз, хорошо?|I could help you out too, but I'm too tired. I'll do it next time, okay?
		leave!set_masx_5!set_dcd.masx_1!set_poss.car_48!max_cam.2.grow_300!time!lock_momroom_5^		Конечно, без проблем, мам!|Of course, mom, no problem



# --- 0.12: Массаж №6

	12.cc.0@75@d-mm-6@Ты бы знал, как я этого ждала, сынок... Моей попке очень нужна твоя забота... и не только ей...|You have no idea how much I waited for this, son. My ass is ready for you... Amongst other things...
		12.cc.1^		Я рад, мам...|Glad to hear this

	12.cc.1@69@d-mm-7@Я была такой эгоисткой... Ты делал для меня такое, а я... просто сидела и балдела... а ты оставался неудовлетворённым...|I was so selfish before... You've done so much for me and I... just sat there... And I left you unsatisfied again.
		12.cc.2^		Не страшно...|It's okay

	12.cc.2@67@Ничего подобного! Сегодня я это исправлю... Но сначала поработай над моей попкой, пожалуйста, как ты умеешь...|Absolutely not! I'm going to make up for it today... But first please work your magic on my ass...
		12.cc.3^		Ага...|Sure

	12.cc.3@4@d-mm-8@<i>Интересно, что же задумала мама? На что она намекает? Неужели... нет. Пожалуй, сегодня ей нужно сделать особый массаж, даже по моим меркам...</i>|<i>I wonder what mom is planning to do. What if... No. I think I need to try something new today, even better than last time.</i>
		12.cc.4^		У меня идея, переворачивайся...|Turn around, mom

	12.cc.4@69@d-mm-17@Что такое, сынок? У тебя устали руки? Ничего страшного, мне уже понравилось всё, что ты сделал...|What happened, son? Are you hands tired? Don't worry, I liked what you did today too...
		12.cc.5^		Ну уж нет!|Hell no!

	12.cc.5@67@d-mm-20@А, ты решил просто... сменить позу? Хорошо, я вся в твоих руках...|Oh, you just want to... change the position? Okay, I'm all yours...
		12.cc.6^		Ох...|Oh...

	12.cc.6@75@d-mm-23@Сынок, ты что такое удумал? Решил, что просто ласкать маму пальчиками уже недостаточно? Ты не слишком торопишься?|What are you going to do, son? Do you think your fingers aren't enough anymore? Don't you think you're moving too fast?
		12.cc.7^		Ты не пожалеешь!|You won't regret it

	12.cc.7@67@d-mm-26@Ох, я знаю... Уже не жалею... После того, что ты вытворял на съёмочной площадке, я только об этом и думала... Упс... проговорилась...|Oh, I know... I'm not regretting anything... After what you did on the movie set I couldn't stop thinking about it... Sorry, I wasn't supposed to say this...
		12.cc.8^		<i>продолжать</i>|<i>continue</i>

	12.cc.8@4@d-mm-25@<i>Думала? О том, что я ласкал её киску на глазах у Алисы? Вау... А я думал, она всё забыла как страшный сон... Ну тогда держись, мам...</i>|<i>Oh, so she kept thinking about that time I ate her out in front of Alice... I was afraid she blocked it out like a nightmare... Well, get ready, mom!</i>
		12.cc.9^		<i>очень постараться</i>|<i>go all out</i>

	12.cc.9@75@d-mm-26@Ах... Ты что такое вытворяешь? Где ты этому научился?! Ох... Это... невероятно... Я и секунды больше не продержусь... Ох, я кончаю, сынок...|Oh... How are you doing this? Where did you learn it!? Wow... This is... unbelievable... I'm cuming, son...
		12.cc.10^		<i>далее</i>|<i>continue</i>

	12.cc.10@67@d-mm-23@Ну, сынок... Ты даёшь! Это ещё приятнее, чем я могла себе представить... Просто нет слов... И моё тело меня больше не слушается...|Wow, son... This is even better than I could imagine... I don't know what to say... I can't move my body...
		12.cc.11^		Обращайся, мам...|Anytime, mom

	12.cc.11@62@Ну уж нет... Снимай шорты. Я же вижу, ты возбуждён... Мама тоже сделает тебе приятно...|Stay right here... Take off your shorts, I see how hard you are. Mom is going to help you out.
		12.cc.12^		<i>снять шорты</i>|<i>take off shorts</i>

	12.cc.12@67@d-mm-27@Какой же он у тебя огромный... Только не делай глупости... Я знаю, что ты только и думаешь о том, как бы вогнать его в меня, но... не стоит...|It's so huge... Just don't do anything stupid, Max. I know you can't wait to shove it in me, but we can't.
		12.cc.13^		Почему?|Why not?

	12.cc.13@69@d-mm-29@Потому, Макс, что я так сказала... Не думай об этом. Просто, наслаждайся и получай удовольствие... Я знаю, что в этот раз ты кончишь быстро...|Because I said so. Don't think about it. Just enjoy the moment. I know you're not going to last today...
		12.cc.14^		<i>наслаждаться</i>|<i>enjoy</i>

	12.cc.14@67@d-mm-28@Можешь кончать мне на животик, измажь меня всю своей спермой... Я уже соскучилась по этому ощущению... Но только не делай глупостей...|You can cum on my tummy, cover me with your cum... I've missed this feeling so much... But don't do anything stupid...
		12.cc.15^		<i>далее</i>|<i>continue</i>

	12.cc.15@4@d-mm-29@<i>Кажется, мама только и ждёт этих моих... глупостей... Но рисковать не стоит... пока... Ох, одни эти мысли заставили бы меня кончить, а тут...</i>|<i>She keeps saying I shouldn't do anything stupid... I think just sitting here and not fucking her right here and now sounds like the stupidest thing I've ever done! And I'm pretty sure mom thinks the same way... But I </i>really</i> can't risk being wrong on this one... Just thinking about it takes me over the edge...</i>
		12.cc.16^		<i>кончить маме на животик</i>|<i>cum on mom's stomach</i>

	12.cc.16@67@d-mm-30@Молодец, сынок... Ты такой послушный... Я боялась, что ты выйдешь из под контроля и попытаешься... Но я рада, что ты держишь себя в руках...|Great job, son... You're so good... I was afraid you'd lose control and try to... But I'm glad you could keep yourself in check.
		12.cc.17^		Конечно, мам!|Of course, mom

	12.cc.17@75@d-mm-31b@Если я скажу, что только и буду ждать наш следующий сеанс... массажа, то я не скажу ничего нового, верно?|I can't wait for our next time. I'm sure you know this already...
		leave!set_masx_6!set_dcd.masx_1!set_poss.car_49!max_cam.2.grow_300!time!lock_momroom_5^		Верно, мам!|I do, mom



# --- 0.12: Массаж №7 (периодический эвент)

	12.cc.18@73@d-mm-7@Как же я жду эти прикосновений... Не поверишь, только об этом и думала сегодня на работе...|You have to idea how much I waited for this... I couldn't think about anything else all day...
		12.cc.19^		Я тоже ждал...|Me too

	12.cc.19@67@d-mm-6@Сынок, начинай уже... Ты специально тянешь, чтобы я набросилась на тебя?|Hurry up, son, I can't wait... Are you teasing me on purpose so I jump you myself?
		12.cc.20^		Ого... Нет, но...|Wow... no, but now that you put this thought in my head...

	12.cc.20@69@d-mm-8@О да... Наконец-то... Сегодня так досталось моей попке, если бы не ты, я бы даже лежать на спине не смогла...|Yes...! Finally... My ass had so much work, if it weren't for you I wouldn't be able to sleep on my back.
		12.cc.21^		Ага...|I'm always happy to help

	12.cc.21@4@d-mm-9@<i>Похоже, мама и правда очень возбудилась... Ну ничего, сейчас я поработаю над её киской как следует!</i>|<i>Looks like mom is extremely horny already. That's okay, I can help her with that!</i>
		12.cc.22^		<i>далее</i>|<i>continue</i>

	12.cc.22@73@d-mm-10@Сынок, мне кажется, крем уже впитался... Может быть, перейдём к... следующим процедурам? Конечно, если ты не против...|I think the lotion has already soaked in. Maybe you should... go to the next procedure? If you don't mind, of course.
		12.cc.23^		<i>оставить её на животе</i>|<i>keep her on her stomach</i>
		12.cc.35^		Может быть, сядешь?|Turn around

	12.cc.23@4@d-mm-14@<i>Похоже, маме уже и не нужен никакой массаж кроме такого... Значит, я иду в верном направлении!</i>|<i>This is obviously the real reason we're going this. We're moving in the right direction!</i>
		12.cc.24^		<i>продолжить</i>|<i>continue</i>

	12.cc.24@69@d-mm-12@Ох, сынок... Кажется, я могу кончить за несколько секунд, если ты будешь продолжать... Не верю, что говорю это вслух...|Wow, son... I'm about to cum already... I can't believe I'm saying this out loud.
		12.cc.25^		А я продолжу!|And I'll never get tired of hearing it!

	12.cc.25@67@d-mm-15@Да... Ещё чуть-чуть и я закричу! Это просто божественно... Как мне повезло, что ты рядом... всегда рядом...|Yes... I feel like I'm about to scream! I'm in heaven... I'm so lucky with you... always right next to me...
		12.cc.26^		А мне то как повезло!|I'm the lucky one!

	12.cc.26@73@d-mm-11@Сынок, мне кажется, твои пальчики стали... проникать туда, куда... не нужно... но... продолжай... Так приятно...|I think your fingers are getting somewhere they're not supposed to... but... don't stop... So good...
		12.cc.27!set_mwill_0^		Конечно!|Sure
		stp=1&13.ad.0^				<i>остановиться</i>|<i>stop</i>
		stp=2&13.ae.0^				Может быть, иначе продолжим?|Maybe we should do something else?

	12.cc.27@67@d-mm-16@Ох... Я не могу больше... Я кончаю... да... |Oh... Right there... I'm cumming... Yes!
		12.cc.28^		<i>далее</i>|<i>continue</i>

	12.cc.28@75@d-mm-20@Ох, сынок... Ты у меня чудо... Если бы не ты, то... даже не знаю что делала бы... Пришлось бы обратиться к Кире...|You're so amazing, son... If it weren't for you, I'd have to... I don't even know... I guess I'd have to ask Kira for assistance.
		12.cc.29^		Не стоит, я всегда рядом!|No need, I'm always happy to help!

	12.cc.29@67@Это точно... Ну что, теперь моя очередь. Снимай шорты, бегом!|That's right... Okay, my turn. take off your shots, Max.
		12.cc.30^		Конечно! <i>(снять шорты)</i>|Sure! <i>(take off shorts)</i>

	12.cc.30@69@d-mm-27@Как же повезёт женщинам, которые... окажутся на моём месте... Жаль, что я твоя мама... Ну давай его сюда, я соскучилась...|You're going to make some lucky woman so happy one day... Too bad I'm your mom... Give it to me, I've missed him...
		12.cc.31^		Ох...|Oh...

	12.cc.31@4@d-mm-28@<i>Кажется, она только и думает об этом... И я тоже... Значит, скоро повезёт ещё одной женщине, даже несмотря на то, что она моя мама...</i>|<i>I think she can't stop thinking about it... Neither can I... I think I'm going to make mom into this one lucky woman...</i>
		12.cc.32^		<i>наслаждаться</i>|<i>enjoy</i>

	12.cc.32@69@d-mm-29@Он у тебя такой горячий... и твёрдый... не думала, что буду только и думать о том, чтобы прийти домой, раздеться и ждать сына...|It's so hot and hard... I never thought there'll be the time when I couldn't wait to come home, undress and wait for you...
		12.cc.33^		Ох, мам... <i>(кончить!)</i>|Wow, mom... <i>(cum!)</i>

	12.cc.33@67@d-mm-30@Ого, как много... Даже на киску попало... Но не переживай, всё в порядке. Я всё уберу... как только смогу встать после твоего массажа...|So much... You even got some on my pussy... But don't worry, everything is okay. I'll clean everything up. Once I'll be able to move after the incredible orgasm you gave me.
		12.cc.34b^		<i>далее</i>|<i>continue</i>

	12.cc.35@68@d-mm-17@Что ты задумал? Хотя, я всё знаю, что у тебя там в голове... Я так понимаю, нужно раздвинуть ножки?|Are you planning something? I know what you're thinking about... Should I spread my legs?
		12.cc.36^		Точно!|Do it

	12.cc.36@62@d-mm-20@Ну, я тебе подчиняюсь... Делай, что считаешь нужным... Только не перестарайся...|As you say, Max... Do anything you want with me... Just don't lose your mind...
		12.cc.37^		Всё всё?|<b>Anything</b> I want?

	12.cc.37@67@d-mm-24@Нет, не всё всё, но... ты на правильном пути... Как же я жду, пока твой язычок прикоснётся ко мне...|No, not anything... But you're going in the right direction... I can't wait to feel your tongue on my pussy...
		12.cc.38^		<i>ласкать маму</i>|<i>pleasure mom</i>

	12.cc.38@69@d-mm-25@Ты знаешь, сынок... у тебя... талант! Ни один мужчина не делал для меня ничего подобного... Ох, это... нет слов, как приятно...|You're a natural, Max! No man has ever made me feel anything like this... I can't describe this...
		12.cc.39!set_mwill_0^		<i>продолжать</i>|<i>continue</i>
		stp=1&13.ad.2^				<i>остановиться</i>|<i>stop</i>
		stp=2&13.ae.2^				Может быть, попробуем кое-что другое?|Maybe we should try something else?

	12.cc.39@4@d-mm-26@<i>А мне как приятно, что моя мама считает меня лучшим мужчиной... И не просто мужчиной, а её мужчиной! Хотя сама и не до конца это понимает...</i>|<i>Always nice to hear I'm the best man in her life. And not just a man, but her man! Even if she can't embrace it completely yet...</i>
		12.cc.40^		<i>стараться</i>|<i>go all out</i>

	12.cc.40@75@d-mm-23@Ох... Сынок, это было... нечто! Я просто... Извини, не знаю даже что сказать... Так хорошо...|Wow, son, that was... I don't know what to say...
		12.cc.41^		Я старался, мам...|I was trying my best, mom

	12.cc.41@67@Это очень заметно... Причём, ты превзошёл даже свою тётю... Ну всё, снимай шорты, я тоже постараюсь для тебя...|I can see that... I think you're even better than your aunt... Now take off your shorts, It's my time to try...
		12.cc.30^		<i>снять шорты</i>|<i>take off shorts</i>

	12.cc.34@73@d-mm-31@Спасибо тебе за массаж и за... за всё, что ты делаешь для меня, сынок. Я буду ждать с удовольствием следующего раза...|Thank you for the massage and... for everything you do for me, son. I'll be waiting for our next time...
		leave!set_dcd.masx_1!max_poss.car_50!max_cam.2.grow_300!time!lock_momroom_5^		Я тоже, мам... я тоже...|Me too, mom. Me too

	12.cc.34b@73@d-mm-31b@Спасибо тебе за массаж и за... за всё, что ты делаешь для меня, сынок. Я буду ждать с удовольствием следующего раза...|Thank you for the massage and... for everything you do for me, son. I'll be waiting for our next time...
