# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!

	kira.tv.alone.talk.9@113@Макс, тебе тесно в твоих шортах? Что ты там прячешь? Стесняешься меня? Мы с тобой сидим, смотрим порно, а ты прикрываешься?|Fühlst du dich wohl in deinen Shorts, Max? Warum versteckst du dich, bist du schüchtern? Wir schauen zusammen Pornos, du musst dich nicht bedecken.
		kira.tv.alone.talk.10^				<i>убрать руки</i>|<i>Hände weg nehmen</i>

	kira.tv.alone.talk.10@114@e-kira-mtv-7@И что, ты стесняешься меня? После всего, что было? Если хочешь, можешь даже снять шорты, чтобы резинка ничего не передавливала...|Du musst dich nicht für mich schämen, besonders nach allem, was wir zusammen gemacht haben. Du kannst deine Shorts auch ausziehen, wenn du willst.
		kira.tv.alone.talk.11^				Меня уговаривать не надо...|Danke

	kira.tv.alone.talk.11@112@e-kira-mtv-8@Ну вот, так же лучше? Ох, я всё не могу привыкнуть, что он у тебя такой... В общем, если хочешь, можешь себя трогать. Как я уже говорила, фильм от этого становится интереснее...|Das ist doch viel besser, oder? Ich kann mich immer noch nicht an deine Größe gewöhnen.... Wie auch immer, du kannst dich anfassen, wenn du willst. Wie gesagt, es wird die Erfahrung verbessern.
		kira.tv.alone.talk.12^				Да для меня ты интереснее фильма...|Du bist besser als jeder andere Film.

	kira.tv.alone.talk.12@114@Спасибо, Макс... Это приятно слышать... Но ты так всё пропустишь самое интересное на экране...|Danke, Max. Es ist sehr schön zu hören. Aber du wirst die besten Teile auf dem Bildschirm verpassen.
		kira.tv.alone.talk.13^				Ага...|Ja ja
		kira.tv.alone.talk.alt.1^			Может быть, ты мне поможешь?|Willst du mir helfen?

	kira.tv.alone.talk.13@4@<i>С ума сойти... Я дрочу на глазах у своей тёти перед огромным экраном, на котором показывают порно... А ещё она ласкает свою грудь... Я сейчас кончу!</i>|<i>Ich kann nicht glauben, dass ich vor meiner Tante wichse, während ich Pornos gucke. Während sie mit ihren Titten spielt. Ich werde abspritzen!</i>
		kira.tv.alone.talk.14^				<i>кончить</i>|<i>spritzen</i>

	kira.tv.alone.talk.14@114@Что, ты уже? Так быстро... Ну, иди приведи себя в порядок и ложись спать. Тебе уже пора. Я тоже скоро... заканчиваю... Да, не забудь свои шорты...|Was, jetzt schon? So schnell. Nun, mach dich sauber und geh schlafen, es ist spät. Ich werde.... auch bald fertig werden. Vergiss deine Shorts nicht.
		leave!sleep^						Спокойной ночи...|Gute Nacht

	kira.tv.alone.talk.alt.1@113@Ну, Макс, это будет называться уже не совместным просмотром порно и может перейти... сам знаешь к чему. Да и дома кое-кто есть, если ты не забыл... Так что, давай сам...|Aber wir wären nicht in der Lage, einen Film zu sehen, und es kann zu.... Weißt du was. Und wir sind nicht allein im Haus. Also solltest du es selbst tun.
		kira.tv.alone.talk.13^				Ага...|Ja ja

	kira.tv.alone.talk.4@113@e-kira-mtv-2@Да, да... Момент вполне подходящий... Ну что же, давай приступим.|Sicher, sieht nach einer angemessenen Zeit aus.
		count.kira.kisses=0&kira.tv.alone.kiss.0!set_poss.sed_7^	С чего начать?|Wovon sollen wir ausgehen?
		count.kira.kisses=1&kira.tv.alone.kiss.1^					Как в прошлый раз?|Wie beim letzten Mal?
		count.kira.kisses>1&kira.tv.alone.kiss.2^					Отлично!|Großartig!


	kira.tv.alone.kiss.0@101@Очень важная часть поцелуя - это прелюдия. Если ты накинешься на девушку в первый раз и начнёшь целовать, пусть даже и хорошо, то скорее всего, получишь отказ...|Einer der wichtigsten Bestandteile eines Kusses ist ein Vorspiel. Wenn du einfach auf ein Mädchen springst und sie aus heiterem Himmel küsst, egal wie gut dein Kuss sein wird, wird sie dich wahrscheinlich abweisen.
		kira.tv.alone.kiss.0.m1!add_skill.kiss_10!add_count.kira.kisses_1^		И что делать?|Und was soll ich tun?

	kira.tv.alone.kiss.0.m1@103@Ну, с прелюдиями я тебе не помогу, тут всё индивидуально. Просто, поймай нужный момент и попробуй меня поцеловать как умеешь, для начала...|Ich kann dir dabei nicht helfen, es ist bei jedem Mädchen anders. Du musst den richtigen Moment finden. Was unsere Lektionen angeht, küss mich, mal sehen, womit wir arbeiten.
		kira.tv.alone.kiss.0.m2^			Да это легко!|Einfach!

	kira.tv.alone.kiss.0.m2@112@e-kira-mtv-3@А вот и нет. Излишняя самоуверенность на многих действует, но скромных девушек может отпугнуть. Ты должен чувствовать ту, с которой планируешь... что ты там планируешь...|Nicht wirklich, nein. Selbstüberschätzung funktioniert nicht bei jedem Mädchen, man kann ein Mädchen verscheuchen, wenn es schüchtern ist. Du solltest das Mädchen spüren, mit dem du planst.... was auch immer du planst.
		kira.tv.alone.kiss.0.m3^			Тётя Кира, хватит меня дразнить!|Genug mit dem Hänselei!
		kira.tv.alone.kiss.0.m3^			Да я всё это и так знаю!|Das weiß ich!

	kira.tv.alone.kiss.0.m3@113@e-kira-mtv-4@Ну хорошо. Давай приступим...|Okay, dann lass uns anfangen.
		kira.tv.alone.kiss.0.m4^			<i>поцеловать</i>|<i>küssen</i>

	kira.tv.alone.kiss.0.m4@4@e-kira-mtv-5@<i>Ого... Какой горячий ротик... И она так ловко орудует язычком... Так... И что мне, как... Эх, учиться мне ещё и учиться... А что, я очень даже не против такому учиться вечно!</i>|<i>Wow.... sie ist so heiß.... und sie ist wirklich gut mit ihrer Zunge.... Ich sollte das versuchen.... Ich habe so viel zu lernen.... Es macht mir nichts aus, das für immer zu lernen!</i>
		kira.tv.alone.kiss.0.m5^			<i>продолжить</i>|<i>fortfahren</i>

	kira.tv.alone.kiss.0.m5@114@e-kira-mtv-3@Ну всё, на сегодня хватит. Конечно, получается у тебя пока не очень. Но ты знаешь где меня найти, если захочешь потренироваться ещё... А теперь марш спать!|Okay, das reicht für heute. Du musst noch viel lernen, aber du weißt, wo du mich findest, wenn du wieder üben willst. Jetzt geh schlafen.
		leave!sleep^						Конечно! Спасибо, тётя Кира!|Okay. Danke, Tante Kira.


	kira.tv.alone.kiss.1@101@e-kira-mtv-4@В прошлый раз я тебе рассказала про прелюдии, но с ними мы разобрались. Так что, давай просто будем повышать твою технику опытным путём...|Ich habe dir letztes Mal etwas Theorie gesagt, jetzt lass uns einfach weiter deine praktischen Fähigkeiten ausbauen.
		kira.tv.alone.kiss.1.m1!add_skill.kiss_5!add_count.kira.kisses_1^		Ой, я только за!|Ich bin immer dafür!

	kira.tv.alone.kiss.1.m1@4@e-kira-mtv-5@<i>Как же это приятно... Она такая... и такое делает язычком... Ух... Кажется, я начинаю возбуждаться...</i>|<i>Das fühlt sich so gut an.... was sie mit ihrer Zunge macht.... Ich werde hart.</i>
		kira.tv.alone.kiss.1.m2^						<i>далее</i>|<i>fortfahren</i>

	kira.tv.alone.kiss.1.m2@112@e-kira-mtv-3@Ну, уже лучше. Но на сегодня хватит. А то у тебя будет мозоль на языке... А теперь бегом спать! Я тут планирую ещё немного фильмы посмотреть...|Du machst Fortschritte. Wir sollten für heute aufhören, bevor du dir die Zunge wund reibst. Geh schlafen.
		leave!sleep^						Конечно! Спасибо, тётя Кира! Спокойной ночи!|Danke, Tante Kira! Gute Nacht


	kira.tv.alone.kiss.2@112@e-kira-mtv-4@Столько энтузиазма... Меня начинают посещать мысли, что делаешь ты это уже даже не ради обучения поцелуям...|Du bist so begeistert. Ich fange an zu bezweifeln, dass du es tust, um zu lernen, wie man küsst....
		kira.tv.alone.kiss.2.m1!add_skill.kiss_5!add_count.kira.kisses_1^		Не отвлекайся!|Lass dich nicht ablenken!

	kira.tv.alone.kiss.2.m1@4@e-kira-mtv-5@<i>Кажется, мне никогда не надоест это делать с такой женщиной... Ну и что, что она моя тётя... Но она так классно целуется!</i>|<i>Ich glaube nicht, dass ich jemals müde werde, so eine Schönheit zu küssen. Es ist mir egal, dass sie meine Tante ist, sie ist so toll!</i>
		kira.tv.alone.kiss.2.m2^			<i>далее</i>|<i>fortfahren</i>

	kira.tv.alone.kiss.2.m2@113@e-kira-mtv-3@Остановись, Макс... Хорошего помаленьку. У тебя уже получается гораздо лучше, чем раньше. Но если захочешь попрактиковаться ещё... Но сейчас пора спать.|Du solltest aufhören, Max. Genug für heute. Du bist viel besser als vorher, aber du bist immer willkommen für weitere Übung.... Aber jetzt solltest du schlafen gehen.
		leave!sleep^						Спокойной ночи, тётя Кира!|Gute Nacht, Tante Kira!


	kira.tv.alone.next.3@3@e-kiratv-6@<i>Ну, тётя Кира даёт! Игрушка у неё что надо! Интересно, а она не боится, что своим жужжанием она разбудит кого-то посреди ночи?</i>|<i>Wow, sie ist so.... Und ihr Spielzeug ist auch toll! Hat sie keine Angst, jemanden mit diesem Summen mitten in der Nacht aufzuwecken?</i>
		kira.tv.alone.t.1!max_cam.4.grow_300^					<i>набл?дать</i>|<i>zusehen</i>

	kira.tv.alone.t.1@4@e-kiratv-7@<i>Ого... К шуму прибора добавились и стоны тёти Киры... Да, она точно не боится никого разбудить! Эх... Отсюда почти ничего не видно...</i>|<i>Wow.... sie fängt jetzt an zu jammern.... Ja, sie denkt definitiv nicht daran, jemanden aus Versehen aufzuwecken! Ich kann von hier aus nicht viel sehen.</i>
		kira.tv.alone.t.2^					<i>Выбрать более удачную точку для обзора</i>|<i>Blickwinkel ändern</i>

	kira.tv.alone.t.2@3@e-kiratv-8@<i>Да, так немного лучше... Она так увлечена, что ничего не замечает! Интересно, что она скажет, если меня заметит?</i>|<i>Ja, das ist viel besser.... Sie ist so involviert, dass sie nichts sehen kann! Ich frage mich, wie sie auf mich reagieren wird.</i>
		kira.tv.alone.t.3^					<i>подойти чуть ближе</i>|<i>näher kommen</i>

	kira.tv.alone.t.3@4@e-kiratv-9@<i>Не, ничего она не замечает. Кажется, даже своё порно на экране уже не смотрит... Чёрт, в шортах стало тесно... Может, мне тоже себя развлечь?</i>|<i>Sie bemerkt mich immer noch nicht. Ich glaube, sie kümmert sich auch nicht mehr um Pornos. Ich bin gerade so hart.... Vielleicht könnte ich etwas Spaß haben?</i>
		kira.tv.alone.t.4^					<i>достать член</i>|<i>Schwanz herausholen</i>

	kira.tv.alone.t.4@103@e-kiratv-10@Макс! Ты... ты почему не спишь... и что ты делаешь?!|Max! Du.... Warum bist du nicht im Bett.... und was machst du!?
		kira.tv.alone.t.5a^					Что я делаю?! А ты?|Was mache ich hier? Was ist mit dir?
		kira.tv.alone.t.5b^					Да вот, наблюдаю...|Ich sehe dich an....

	kira.tv.alone.t.5a@101@Я... Ну... Решила расслабиться перед... сном... Может быть, ты тоже пойдёшь спать? Можешь в душ сходить, сбросить... напряжение, я тоже скоро закончу...|Ich.... nun.... Ich wollte mich etwas entspannen.... Vielleicht solltest du schlafen gehen? Du kannst duschen gehen, um etwas Druck abzulassen, ich werde auch abspritzen....
		kira.tv.alone.t.6^					А эта штука и сейчас работает внутри тебя, да?|Funktioniert das Ding noch in dir?

	kira.tv.alone.t.5b@101@Так неловко... Макс... Давай сделаем вид, что ничего не было, а? И я сделаю вид, что не видела что ты делаешь, глядя на меня...|Max.... Tun wir so, als hätten wir nichts gesehen. Ich tue so, als ob ich dich nicht gesehen hätte....
		kira.tv.alone.t.6^					А эта штука и сейчас работает внутри тебя, да?|Funktioniert das Ding noch in dir?

	kira.tv.alone.t.6@104@Макс... Пожалуйста, иди спать... Я постараюсь не шуметь... И пусть это будет наш секрет, хорошо?|Max.... bitte geh schlafen.... Ich werde versuchen, ruhig zu sein.... kann es unser Geheimnis sein?
		can.fuckkira>0&kira.tv.fck.1!max_cam.4.grow_300!add_kira.inf_-30^		Ну уж нет, я тоже хочу кое-что!|Nein, ich will auch etwas!
		can.fuckkira=0&leave!sleep!max_can.talkkiratoy_1^						Хорошо. Но мне понравилось то, что я видел...|Okay. Aber ich mochte, was ich sah.

	kira.tv.fck.1@112@Ну, иди сюда... Всё равно, ты меня поймал. Придётся, тебя подкупить за твоё молчание, верно? Снимай шорты!|Okay, komm her.... Du hast mich erwischt, also muss ich für dein Schweigen bezahlen, richtig? Zieh deine Hose aus.
		kira.tv.fck.2^			Меня уговаривать не нужно!|Du musst mich nicht überzeugen!

	kira.tv.fck.2@103@e-kiratv-11@Ты же никому не скажешь об этом, верно?|Du wirst es niemandem erzählen, oder?
		kira.tv.fck.3^			Само собой!|Natürlich!

	kira.tv.fck.3@4@e-kiratv-12@<i>Ох, как она сосёт... Да так глубоко... Похоже, у неё чёрный пояс по минету! Блин, я уже на грани... Вот вот и кончу... А она ускоряет темп!</i>|<i>Sie lutscht meinen Schwanz.... so tief... Sie ist eine Blowjob-Königin! Mist, ich werde nicht durchhalten.... Ich bin dabei zu kommen.... sie ist noch schneller!</i>
		kira.tv.fck.4^			<i>кончить!</i>|<i>spritzen!</i>

	kira.tv.fck.4@7@e-kiratv-13@<i>А... Я кончаю... Прямо ей в рот! Она всё глотает! О боже... Кажется, я её люблю! Хотя, что я болтаю... Но как же это приятно!</i>|<i>Oh.... ich komme.... direkt in ihren Mund! Und sie hat alles verschluckt! Ich glaube, ich bin verliebt! Warte, was ich denke.... Aber sie ist so gut.</i>
		kira.tv.fck.5^			<i>далее</i>|<i>fortfahren</i>

	kira.tv.fck.5@112@e-kiratv-14@Ну вот. Понравилось? И ни капли мимо... |Hat es dir gefallen? Und kein einziger Tropfen ist daneben gegangen....
		kira.tv.fck.6^			Ты потрясающая!|Du bist unglaublich!

	kira.tv.fck.6@114@Да, мне такое говорили... Мужчины... в подобных ситуациях. Я рада, что смогла снять твоё напряжение. И... я тоже кончила, пока ты стонал, если что... А теперь, давай спать!|Ja, ich habe so etwas in ähnlichen Situationen gehört. Ich bin froh, dass ich dir geholfen habe, etwas Druck abzulassen. Und.... Ich bin mit dir gekommen.... Jetzt lass uns schlafen gehen.
		leave!sleep!max_can.talkkiratoy_2^		Ага...|Ja ja



# --- 0.3: Разговор с Кирой насчёт ночного эвента с игрушкой|Gespräch nach der Nacht mit einem Spielzeug

	kira.about.toy.init@0@Насчёт игрушки...|Über das Spielzeug....
	kira.about.toy@103@Какой игрушки? А... Ты про то что было ночью?|Welches Spielzeug? Redest du von dieser Nacht?
		kira.about.toy.1^						Ну да...|Ja ja

	kira.about.toy.1@101@Предлагаю забыть об этом и никогда больше не возвращаться к этой теме...|Vergessen wir es und reden wir nie wieder darüber.
		can.talkkiratoy=1&kira.about.toy.2a^	Почему?!|Warum!?
		can.talkkiratoy=2&kira.about.toy.2b^	Почему?!|Warum!?

	kira.about.toy.2a@113@Макс, ну что за глупый вопрос! Потому, что ты не должен был меня видеть в такой ситуации... Я даже слезть с этой штуки не могла, перепугалась... Да ещё ты с членом в руках...|Komm schon, Max! Du hättest mich nicht in so einer Situation erwischen sollen.... Ich konnte nicht mal von dem Ding klettern, ich hatte Angst.... Und du warst genau vor mir, mit deinem Schwanz in der Hand....
		kira.about.toy.3a^			Извини, не хотел тебя напугать...|Tut mir leid, ich wollte dich nicht erschrecken....
		kira.about.toy.3a^			Так тебя я или член напугал?|Hattest du Angst vor mir oder meinem Schwanz?

	kira.about.toy.2b@113@Потому, что есть что-то неправильное в этом всём. Нет, мне очень понравилось и я даже кончила, пока тебе... Ну ты понял. Но Макс... А если бы нас кто-то увидел?|Weil alles falsch ist. Ich meine, ich mochte es wirklich und ich kam, während ich.... du weißt schon. Aber Max.... Was, wenn uns jemand sehen würde?
		kira.about.toy.3b^			Все спят в это время!|Alle schlafen zu der Zeit so!

	kira.about.toy.3a@114@Ну ты не столько напугал, сколько... порадовал. Но не стоит размахивать своим, даже таким... удачным хозяйством, перед своими родственниками...|Ich hatte nicht so viel Angst wie ich.... froh war. Aber du solltest nicht vor deinen Verwandten dein.... außergewöhnliches... Ding herumschwingen....
		kira.about.toy.4a^			Порадовал?|Fröhlich?
		kira.about.toy.4b^			Ладно, я понял...|Okay, ich verstehe

	kira.about.toy.3b@114@Ну ты же не спал... Вдруг, кто-то проснётся воды попить, а тут картина маслом: тётя отсасывает своему племяннику, сидя на механическом члене... Меня просто не пустят в этот дом больше...|Das warst du nicht! Was, wenn jemand ein Glas Wasser will und mich einen Vibrator reiten und deinen Schwanz lutschen sieht? Ich würde aus dem Haus geworfen werden....
		kira.about.toy.4c^			Не переживай, что-нибудь придумали бы...|Wir hätten uns etwas überlegt.

	kira.about.toy.4a@103@Макс... Надеюсь, что ты всё понял, что я хотела сказать... |Max.... Ich hoffe, du verstehst, was ich sagen will.
		kira.about.toy.4b^			Ага, типа того...|Ja, so was in der Art.

	kira.about.toy.4b@113@В общем, постарайся забыть... Хотя, ты такое не забудешь. Наверняка, ещё девстенник, а значит, будешь только об этом и думать в ближайшее время... Эх. Ладно. Главное, никому не рассказывай!|Wie auch immer, versuch es zu vergessen.... du wirst so etwas nicht vergessen. Du bist wahrscheinlich noch Jungfrau, es wird dir noch eine ganze Weile nichts anderes einfallen.... Sag es wenigstens niemandem!
		leave!set_can.talkkiratoy_3^	Конечно!|Sicher!

	kira.about.toy.4c@113@Что-то я сомневаюсь, что твоих или даже моих ораторских навыков хватило бы, чтобы это объяснить. Ну, как бы то ни было, нас не заметили, можно вздохнуть спокойно. Главное - никому ни слова!|Ich glaube nicht, dass wir in der Lage wären, aus dieser Sache herauszukommen.... Jedenfalls wurden wir nicht erwischt, also müssen wir uns keine Sorgen machen. Aber du darfst es niemandem sagen!
		leave!set_can.talkkiratoy_3^	Само собой!|Natürlich!



# --- 0.3: Ночная сцена с купающейся Кирой|Nachtveranstaltung mit Kira im Pool

	kira.swim.night@4@e-kira-swim-night-1@<i>Ого... Тётя Кира купается голой! Интересно, стоит ей показываться на глаза или пойти спать? А то уже поздно...</i>|<i>Wow! Tante Kira schwimmt nackt! Ich frage mich, ob ich mich zeigen könnte oder ob ich einfach schlafen gehen sollte....</i>
		kira.swim.night.next.1^			Купаешься?|Schwimmen?
		leave!sleep^					<i>идти спать</i>|<i>schlafen gehen</i>

	kira.swim.night.next.1@103@e-kira-swim-night-2@Ой, Макс... Я думала, что все уже спят. Хотела немного поплавать... А ты чего не спишь?|Max? Ich dachte, alle schlafen. Ich wollte eine Weile schwimmen. Warum bist du nicht im Bett?
		kira.swim.night.next.2^			Да, что-то не спится... К тебе можно?|Ich konnte nicht schlafen. Kann ich mich dir anschließen?

	kira.swim.night.next.2@113@Ну, бассейн большой. К тому же, это ваш дом. Кому как не тебе решать?|Es gibt genug Platz, und es ist nicht einmal mein Haus, bestimme selbst.
		max.imp=0&kira.swim.night.next.3!max_cam.6.grow_250^		Отлично! <i>(снять шорты)</i>|Großartig! <i>(Hosen ausziehen)</i>
		leave!sleep^												Ты знаешь, я пойду спать...|Ich glaube, ich gehe schlafen.

	kira.swim.night.next.3@114@e-kira-swim-night-3@А ты не из стеснительных, Макс... Решил впечатлить меня своим хозяйством?|Du bist nicht schüchtern, oder, Max? Hast du dich entschieden, mich zu beeindrucken?
		kira.swim.night.next.4^			Ну ты же голая...|Aber du bist auch nackt.

	kira.swim.night.next.4@113@Абсолютно. Ладно, ныряй, а то я не могу спокойно на это смотреть...|Ich schätze schon. Okay, beeil dich und geh in den Pool, ich kann mir deinen Schwanz nicht lange ansehen....
		can.fuckkira>0&kira.swim.night.next.5b!add_kira.inf_-10^	<i>нырнуть</i>|<i>schwimmen gehen</i>
		can.fuckkira=0&kira.swim.night.next.5a^						<i>нырнуть</i>|<i>schwimmen gehen</i>

	kira.swim.night.next.5a@112@e-kira-swim-night-4@Какая же прозрачная вода в вашем бассейне... Тебя не смущает мой вид? Хотя я вижу, что тебе он нравится... Очень хорошо вижу...|Das Wasser ist so durchsichtig.... Meine Nacktheit stört dich nicht, oder? Oh, ich kann sehen, dass es dir gefällt.... Ich sehe es sehr deutlich.
		kira.swim.night.e.1^			Может быть, поможешь с этим?|Vielleicht kannst du mir dabei helfen?

	kira.swim.night.e.1@113@А что, сам не справишься? Я напротив тебя абсолютно голая... Неужели, недостаточно для тебя?|Kannst du dir nicht selbst helfen? Ich bin nackt direkt neben dir, ist das genug für dich?
		kira.swim.night.e.2^			Ну, так не интересно...|Das macht keinen Spaß.

	kira.swim.night.e.2@114@Может быть, мне интересно... Хотя, ты прав. В воде это лучше не делать, здесь твоя семья купается. Представляю о чём они подумают, если увидят следы твоего... экстаза...|Vielleicht macht es mir Spaß.... Du hast allerdings Recht. Wir sollten nichts im Wasser machen, deine Familie schwimmt hier. Was ist, wenn sie die Ergebnisse deiner.... Aufregung sehen?
		kira.swim.night.e.3^			Ну, я бы не стал тут...|Ich wollte es nicht hier tun.

	kira.swim.night.e.3@113@Вот и я об этом. Ладно, Макс, беги спать. Уже поздно. А то если нас заметят тут, будет много вопросов... Спокойной ночи! И шорты не забудь...|Gute Idee. Okay, Max, geh schlafen. Es ist spät, und wir wollen nicht so erwischt werden.... Gute Nacht.
		leave!sleep^					Эх... Спокойной ночи!|Oh... Gute Nacht

	kira.swim.night.next.5b@112@e-kira-swim-night-4@Значит, тебе не спится? Решил охладиться или наоборот, поискать приключений?|Ich kann nicht schlafen, sagst du. Wolltest du dich abkühlen, oder wolltest du etwas Heißes?
		kira.swim.night.f.1^			И то и другое...|Beides...

	kira.swim.night.f.1@113@Понятно. Я могу как-то помочь тебе в поисках приключений?|Ich verstehe. Und kann ich dir irgendwie helfen?
		who.watch=-1&kira.swim.night.f.2^		Если только снять напряжение, а то...|Du könntest mir helfen, etwas Druck abzulassen....
		who.watch>-1&kira.swim.night.n.1^		Если только снять напряжение, а то...|Du könntest mir helfen, etwas Druck abzulassen....

	kira.swim.night.f.2@114@e-kira-swim-night-5@Ну, если ты так настаиваешь... А тебя заводит, что тебя может кто-то увидеть со своей обнажённой тётей, крепко сжимающей твой огромный член?|Wenn du darauf bestehst.... Was hältst du von der Möglichkeit, dass dich jemand mit deiner nackten Tante sieht, die deinen großen Schwanz hält?
		kira.swim.night.f.3a^			О да!|So heiß!
		kira.swim.night.f.3b^			Не особо...|Nicht so toll

	kira.swim.night.f.3a@113@Значит, любишь, когда за тобой наблюдают?|Also magst du es, beobachtet zu werden?
		kira.swim.night.f.4^			Ну, смотря кто...|Kommt darauf an, wer zuschaut....

	kira.swim.night.f.3b@113@Значит, не любишь, когда за тобой наблюдают?|Also magst du es nicht, beobachtet zu werden?
		kira.swim.night.f.4^			Ну, смотря кто...|Kommt darauf an, wer zuschaut....

	kira.swim.night.f.4@114@e-kira-swim-night-6@Ну хорошо. Представь, что ты занимаешься чем-то таким, как то, что происходит сейчас... И ты знаешь, что кто-то за тобой подглядывает... Кого бы ты предпочёл в качестве такого наблюдателя?|Okay. Stell dir vor, du tust, was wir gerade tun.... Und du weißt, dass dich jemand beobachtet.... Wen willst du als Beobachter haben?
		kira.swim.night.f.5a!set_who.watch_0^			Лиза...|Lisa
		kira.swim.night.f.5b!set_who.watch_1^			Алиса...|Alice
		kira.swim.night.f.5c!set_who.watch_2^			Мама...|Mom
		kira.swim.night.f.5d!set_who.watch_3^			Кто-то, кого не знаю...|Irgendein Fremder
		kira.swim.night.f.5e!set_who.watch_4^			Ты...|Du
		kira.swim.night.f.5f!set_who.watch_5^			Никто...|Niemand

	kira.swim.night.f.5a@112@Лиза? Ты хочешь, чтобы за тобой подглядывала младшая сестрёнка? А ты думаешь или фантазируешь о ней... в сексуальном плане? Мне ты можешь сказать, в конце концов, я твоя тётя и ласкаю твой член...|Lisa? Du willst, dass deine jüngere Schwester dich anstarrt? Phantasierst du über sie auf sexuelle Weise? Du kannst mir sagen, ich meine, ich bin deine Tante und ich wichse dich gerade....
		kira.swim.night.f.yes^			Да...|Ja...
		kira.swim.night.f.no^			Нет, что ты...|Nein, natürlich nicht

	kira.swim.night.f.5b@112@Алиса? Ты хочешь, чтобы за тобой подглядывала старшая сестрёнка? А ты думаешь или фантазируешь о ней... в сексуальном плане? Мне ты можешь сказать, в конце концов, я твоя тётя и ласкаю твой член...|Alice? Du willst, dass deine ältere Schwester dich anstarrt? Phantasierst du über sie auf sexuelle Weise? Du kannst mir sagen, ich meine, ich bin deine Tante und ich wichse dich gerade....
		kira.swim.night.f.yes^			Да...|Ja...
		kira.swim.night.f.no^			Нет, что ты...|Nein, natürlich nicht

	kira.swim.night.f.5c@112@Мама? Ты хочешь, чтобы за тобой наблюдала мама? Любопытно... Ты думаешь или фантазируешь о ней... в сексуальном плане? Мне ты можешь сказать, в конце концов, я твоя тётя и ласкаю твой член...|Mom? Willst du, dass deine Mutter dich anstarrt? Phantasierst du über sie auf sexuelle Weise? Du kannst mir sagen, ich meine, ich bin deine Tante und ich wichse dich gerade....
		kira.swim.night.f.yes^			Да...|Ja...
		kira.swim.night.f.no^			Нет, что ты...|Nein, natürlich nicht

	kira.swim.night.f.yes@103@Интересно, что она скажет на это...|Ich frage mich, was sie dazu sagen würde....
		kira.swim.night.f.wtf^			Что?!|Was!?
		kira.swim.night.f.wtf^			Ты же не расскажешь?!|Du wirst es ihr nicht sagen, oder?

	kira.swim.night.f.wtf@114@Да расслабься, а то такой напряжённый во всех местах... Я шучу, конечно. То, что мы с тобой делаем это большой большой секрет от всех...|Ganz ruhig, Max. Du bist überall so angespannt.... Natürlich mache ich Witze. Was wir tun, ist ein großes Geheimnis vor allen....
		kira.swim.night.you^			Ну а ты?|Was ist mit dir?

	kira.swim.night.f.no@114@Ой, да ладно, Макс! У тебя все мысли только о сексе. Неужели никогда о ней не думал в этом плане? Не поверю... Обо мне же думал?|Oh, komm schon, Max! Du denkst nur an Sex. Hast du noch nie so über sie nachgedacht? Ich glaube dir nicht.... Du hast von mir geträumt, oder?
		kira.swim.night.you^			Кстати, а ты?|Und was ist mit dir?

	kira.swim.night.f.5d@112@Понятно... Стесняешься знакомых людей, но готов открыться незнакомым в надежде, что никогда их не встретишь... Ну что же, понимаю...|Ich verstehe. Du bist zu schüchtern, um so etwas vor jemandem zu tun, den du kennst, aber ein Fremder ist nicht jemand, dem du dich stellen müsstest.... Ich verstehe.
		kira.swim.night.you^			Ну а ты?|Was ist mit dir?

	kira.swim.night.f.5e@113@Я? Ты хочешь, чтобы я подглядывала, когда ты занимаешься чем-то таким? Тебя так заводит мысль обо мне или я сама?|Du willst, dass ich dich beobachte, wenn du so etwas machst? Bist du so scharf auf mich?
		kira.swim.night.you^			Кстати, ну а ты?|Und was ist mit dir?

	kira.swim.night.f.5f@113@Понятно... Стеснительный мальчик... Ну что же, имеешь право на такие причуды. Да я шучу. Наоборот, это нормально. Но... скучно...|Ich verstehe.... Du bist so schüchtern.... Nun, ich schätze, das ist normal. Aber ein bisschen langweilig.
		kira.swim.night.you^			Ну а ты?|Was ist mit dir?

	kira.swim.night.you@101@e-kira-swim-night-5@Не поняла... А что я?|Was ist mit mir?
		kira.swim.night.you.watch^		Любишь подглядвать за другими?|Guckst du gerne anderen Leuten zu?

	kira.swim.night.you.watch@113@Да... Я обожаю это делать. Особенно, когда кто-то себя ласкает, а я ласкаю себя... Думаю, ты меня понимаешь...|Ja, ich liebe es. Besonders, wenn jemand mit sich selbst spielt und ich mich berühre.... Das verstehst du doch, oder?
		kira.swim.night.you.watch.yes^	Конечно...|Natürlich....

	kira.swim.night.you.watch.yes@114@Вот и славно... Ты знаешь, моя рука устала, да и кончать в бассейн негигиенично... Так что, давай в другой раз продолжим. Я же планировала отдохнуть... А тебе пора спать...|Großartig.... Weißt du, meine Hand ist müde und du solltest sowieso nicht in den Pool kommen.... Lass uns das ein anderes Mal fortsetzen. Ich wollte mich entspannen.... Und du solltest schlafen gehen.
		leave!max_cam.6.grow_350!sleep^					Эх... Ну, ладно...|Ow... Okay...

