# Все игровые вариативные диалоги|alle Dialoge

	ean.suck.1@31@e-as-1@<color=lime><i>Убеждение удалось!</i></color>\nНу, если ты настаиваешь... Только никому ни слова, что я сосала член б?ату, хорошо?|<color=lime><i>Überzeugung erfolgreich!</i></color>\nWenn Du darauf bestehst.... Aber du darfst niemandem erzählen, dass ich den Schwanz meines Bruders gelutscht habe, okay?
		ean.suck.2^				Конечно!|Sicher!

	ean.suck.2@4@e-as-2@<i>Похоже, моя старшая сестрёнка та ещё шлюшка... Если она делает такое со своим братом, то что же было в клубе и как она потеряла трусы? Ох, остаётся только догадываться...</i>|<i>Sieht aus wie meine Schwester, ist eine große Schlampe.... Wenn sie bereit ist, das mit ihrem Bruder zu tun, was hat sie dann in dem Club gemacht, in dem sie ihr Höschen verloren hat? Ich kann nur raten....</i>
		ean.suck.3^				<i>взять её голову руками</i>|<i>den Kopf halten</i>

	ean.suck.3@3@e-as-3@<i>Но что самое замечательное в этой истории, так это то, что она потом ничего не вспомнит! Пока она пьяная, её можно развести, наверное, почти на что угодно? Но пока и это сойдёт...</i>|<i>Und das Beste an dieser ganzen Situation ist, dass sie sich an nichts erinnern wird! Und während sie betrunken ist, können wir so ziemlich alles tun. Das ist aber gut genug für heute....</i>
		ean.suck.4^				<i>продолжить</i>|<i>fortfahren</i>

	ean.suck.4@7@<i>А у Алисы отлично получается сосать даже такой огромный член! Интересно, где она тренировалась? А ещё более интересно, насколько глубоко она может его взять!</i>|<i>Alice macht einen tollen Job, einen so großen Schwanz zu lutschen! Ich frage mich, wo sie das alles gelernt hat. Und ich will wirklich wissen, wie tief sie mich nehmen kann!</i>
		ean.suck.5^				<i>проверить это!</i>|<i>schieben ihn tiefer</i>

	ean.suck.5@4@e-as-4@<i>Ого! Она смогла вместить половину моего члена! Да сестрёнка молодец! Ой... Кажется, я сейчас кончу прямо ей в горло... Да... Я кончаю...</i>|<i>Wow! Sie passt auf die Hälfte meines Schwanzes! Sie ist so toll....! Sieht so aus, als würde ich ihr direkt in den Hals spritzen.... Ja.... Ich komme....</i>
		ean.suck.6^				<i>кончить!</i>|<i>Spritzen!</i>

	ean.suck.6@27@e-as-5@Макс! Ну что ха херня?! Я чуть не подавилась! Предупреждать же надо... я даже сделать ничего не смогла, ты держал мою голову, пока всё не выплеснул в меня. Пришлось всё проглотить...|Was zum Teufel, Max!? Ich bin fast erstickt! Du hättest mich warnen sollen.... Ich konnte nicht einmal etwas tun, weil du mir den Kopf gehalten hast. Ich musste alles schlucken....
		ean.suck.7^				Не всё. На губах осталось. Слижи!|Nicht alles, du hast was auf den Lippen. Leck es ab!
		ean.suck.7^				Зато, бесплатно поужинала...|Nun, du kannst sagen, dass du ein kostenloses Abendessen hattest.

	ean.suck.7@24@Ах! Да ты совсем охренел! А ну-ка вали отсюда!|Was! Hast du den Verstand verloren? Verschwinde von hier!
		ean.pool.naked!set_max.cum_2^		<i>бежать!</i>|<i>lauf!</i>

	ean.8.ok.ok.bad@28@<color=orange><i>Очень, очень плохая идея...</i></color>\nЗнаешь, что... Макс... Вали отсюда. Я тебе точно напинаю по шарам за такие намёки! Всё, вали отсюда!|<color=orange><i>Extrem schlechte Idee....</i></color>\nWeißt du was, Max? Raus hier. Ich sollte dir in die Eier treten, wenn du das sagst.
		ean.pool.naked^			Ладно, ладно <i>(уйти голым)</i>|Okay, okay <i>(gehe nackt)</i>
		ean.pool.pants^			Ладно, ладно <i>(надеть шорты)</i>|Okay, okay <i>(gehe in shorts)</i>

	ean.nodom@21@<color=orange><i>Кажется, нехватает авторитета...</i></color>\nМакс! Вали отсюда нахрен, пока я тебе не напинала по шарам! Иди лучше проведай тётю Киру, а я справлюсь!|<color=orange><i>Nicht genügend Autorität</i></color>\nVerschwinde hier, bis ich dir in die Eier getreten habe! Sieh nach Tante Kira, ich bin Fertig!
		ean.pool.pants^			Ухожу, ухожу...|Okay, ich gehe.

	ean.8.ok.5.no@21@<color=orange><i>Убеждение не удалось!</i></color>\nКомандовать Лизой будешь, а мне ты не указ. Я сказала, вали отсюда, пока не случилось чего...|<color=orange><i>Überzeugung fehlgeschlagen!</i></color>\nDu kannst Lisa Befehle geben, jetzt verschwinde.
		ean.pool.naked^			Ладно, ладно <i>(уйти голым)</i>|Okay, okay <i>(gehe nackt)</i>
		ean.pool.pants^			Ладно, ладно <i>(надеть шорты)</i>|Okay, okay <i>(gehe in shorts)</i>

	ean.8.no@22@e-an-6@<color=orange><i>Убеждение не удалось!</i></color>\nН-нет, Макс, вали отсюда. Иди лучше тётю Киру проведай, как она там... А тут дальше я сама справлюсь. Кажется, уже протрезвела...|Nein, Max, verschwinde. Du solltest nach Tante Kira sehen. Ich werde hier sicher sein, ich glaube, ich bin nüchtern genug.
		ean.pool.pants^			Ладно, не упади тут...|Okay, aber fall nicht hin


	ean.pool.pants@113@e-kn-1@А, Макс... Ну, как там Алиса? Она в порядке?|Max? Wie geht es Alice? Ist das okay?
		ean.pool.pants.1^		Да, в полном...|Jaja, Sie ist Ok

	ean.pool.pants.1@114@Ну что, пойдёшь спать?|Also, sollen wir schlafen gehen?
		can.fuckkira>0&ean.pool.pants.stay^		Я бы поплавал с тобой...|Ich würde lieber mit dir schwimmen....
		can.fuckkira=0&ean.pool.pants.no^		Я бы поплавал с тобой...|Ich würde lieber mit dir schwimmen....

	ean.pool.pants.no@112@Макс, ты же видишь, что я голая... Что про нас подумают? Иди спать, я уже устала и тоже скоро лягу...|Siehst du nicht, dass ich nackt bin, Max? Was werden die Leute denken? Geh schlafen, ich bin müde und werde nicht lange bleiben.
		leave!sleep^			Хорошо...|Fein

	ean.pool.pants.stay@112@Ну, тогда раздевайся! Раз уж я голая, то ты просто обязан снять шорты...|Klar, steig ein! Und da ich nackt bin, musst du deine Shorts ausziehen....
		max.imp=0&max.cum=0&ean.pool.pants.stay.1^	Конечно!|Sicher!
		max.imp=0&max.cum>0&ean.pool.cm.1^			Конечно!|Sicher!
		max.imp>0&ean.pool.imp^						Конечно!|Sicher!

	ean.pool.imp@103@e-kn-2@Оу... Макс... Я тебя больше не возбуждаю? Обычно так так напряжён, а сейчас... Видимо, устал? Ну да, уже поздно... Знаешь, я думаю, что тебе пора спать, да и мне тоже... Так что...|Oh, Max.... Bin ich nicht mehr attraktiv genug für dich? Normalerweise bist du so hart, aber jetzt.... Ich schätze, Du bist müde? Es ist ziemlich spät.... Weißt du, ich denke, du solltest schlafen gehen, und ich auch, also....
		leave!sleep^			Блин...|Misst

	ean.pool.pants.stay.1@113@e-kn-2@Да, так гораздо лучше. А теперь ныряй... поплаваем немного...|Das ist schon besser. Und jetzt tauchen, lass uns ein bisschen schwimmen.
		ean.pool.hj.1^			<i>нырнуть</i>|<i>tauchen</i>


	ean.pool.cm.1@113@e-kn-2@Да, так гораздо лучше... Постой... Ты чем там с Алисой занимался?|Das ist schon besser. Warte.... was hast du mit deiner Schwester gemacht?
		ean.pool.cm.2^			Э... Ничем...|Emmmm.... nichts?
		ean.pool.cm.2^			В каком смысле?|Was meinst du damit?

	ean.pool.cm.2@112@Ну, твой член измазан спермой... Сознавайся, подглядывал за голой сестрой?|Da ist Sperma auf deinem Schwanz.... Hast du deiner Schwester nachspioniert?
		ean.pool.cm.3a^				Ну, типа того...|Etwas wie dieses
		ean.pool.cm.3b^				Не, она мне просто подрочила...|Nein, sie hat mir nur einen runtergeholt.
		max.cum=2&ean.pool.cm.3c^	Нет, она мне отсосала...|Nein, sie hat meinen Schwanz gelutscht.

	ean.pool.cm.3a@113@Понятно. А я хотела тебя подразнить... Ну, теперь иди спать, раз и на голых женщин посмотрел и даже кончить умудрился...|Ich verstehe. Und ich wollte dich ärgern.... Nun, dann solltest du schlafen gehen, denn du hast schon ein Auge auf mich geworfen und bist sogar gekommen....
		ean.pool.cm.4^				Я ещё полон сил!|Ich bin immer noch voller Energie!

	ean.pool.cm.3b@113@Очень смешно, Макс... Ладно, раз ты все свои дела здесь закончил, то надевай шорты и иди спать. Уже поздно...|Sehr lustig, Max.... Nun, da du fertig bist, solltest du deine Shorts anziehen und schlafen gehen. Es ist schon spät.
		ean.pool.cm.4^				Я ещё полон сил!|Ich bin immer noch voller Energie!

	ean.pool.cm.3c@113@Ого! Даже так... Ну, у тебя и фантазии... Ещё скажи, что и проглотила всё?|Du hast eine ziemliche Fantasie.... sag mir, hat sie auch geschluckt?
		ean.pool.cm.4^				Ну, почти всё, как видшь... Но я ещё кое-что могу!|Fast alles.... Aber wie du siehst, kann ich weitermachen!

	ean.pool.cm.4@114@В этом я не сомневаюсь, да и вижу сама всё... Но тебе уже пора спать. Давай, спокойной ночи!|Kein Zweifel, zumal ich die Beweise sehen kann.... Aber es ist spät, also solltest du schlafen gehen. Gute Nacht.
		leave!sleep^			Блин... Ну, ладно...|Mist.... Fein

	ean.pool.naked@113@e-kn-2@Оу... Макс... Ты такой... мужественный... Ты там что-то сделал с Алисой?|Wow, Max, du bist so.... Männlich.... hast du etwas mit Alice gemacht?
		max.cum=0&can.fuckkira>0&ean.pool.naked.ok^		Она в порядке...|Sie ist super
		max.cum>0&can.fuckkira>0&ean.pool.cm.2^			Всё в порядке, а что?|Sie ist super, aber?
		can.fuckkira=0&ean.pool.naked.no^				Она в порядке...|Sie ist super

	ean.pool.naked.no@114@Ну, я рада. А теперь найди свои шорты и бегом спать, пока тебя кто-то не увидел в таком виде! И без разговоров!|Ich bin froh. Jetzt zieh deine Shorts an, bevor du nackt erwischt wirst, und geh schlafen!
		leave!sleep^			Хорошо...|Fein

	ean.pool.naked.ok@114@Я рада. И ты, я вижу, тоже в полном порядке... Ну, спускайся сюда...|Ich bin froh. Und ich kann sehen, dass du auch Super bist.... Komm her....
		ean.pool.hj.1^			<i>спуститься в бассейн</i>|<i>steig in den Pool</i>

	ean.pool.hj.1@112@e-kira-swim-night-4@Я сегодня не долго, так, приду в себя и спать... Так что...|Ich werde nicht lange hier sein, gerade genug Zeit, um zur Besinnung zu kommen und dann werde ich schlafen gehen, also....
		ean.pool.hj.2^			Что, даже не поможешь племяннику?|Du willst nicht mal deinem Neffen helfen?

	ean.pool.hj.2@103@А в чем нужна помощь моему племяннику? Или это ты так намекаешь на то, чтобы я взяла твой огромный член и что-то начала с этим делать? Так я же намёков не понимаю... Что мне сделать?|Und welche Art von Hilfe brauchst Du? Redest du von deinem großen Schwanz? Ich weiß nicht, wovon Du redest.... Was soll ich tun?
		ean.pool.hj.3^			Да всё ты понимаешь!|Du weißt genau, wovon ich rede.

	ean.pool.hj.3@114@e-kira-swim-night-5@Ох, Макс... Разбаловала я тебя... Вот найдёшь себе девушку, что будешь делать? Ко мне бегать, если она не даст или мне больше ничего не достанется?|Max.... Ich habe dich verwöhnt.... Was machst du, wenn du dir eine Freundin suchst? Wirst du zu mir kommen, wenn sie nicht rausgeht, oder werde ich zurückgelassen?
		ean.pool.hj.4^			Для тебя мой член вне очереди!|Du wirst immer die oberste Priorität meines Schwanzes sein!

	ean.pool.hj.4@112@e-kira-swim-night-6@Ой, Макс... Это так мило... Но девушку тебе нужно найти. Потому-что если нас поймают, то придётся тебе делать всё самому...|Danke, Max.... Aber du solltest dir trotzdem eine Freundin suchen. Und wenn wir erwischt werden, musst du das selbst machen.
		ean.pool.hj.5^			Не поймают!|Wir werden nicht geschnappt

	ean.pool.hj.5@113@Тебе напомнить, что твоя старшая сестра в нескольких метрах от нас принимает душ?|Hast du vergessen, dass deine Schwester direkt neben uns duscht?
		ean.pool.hj.6^			Да она пьяна и ничего не вспомнит!|Sie ist betrunken und wird sich an nichts erinnern!

	ean.pool.hj.6@114@e-kira-swim-night-5@Любопытно... Ну ладно, Макс, я устала. Ты уж как-нибудь сам, только не делай это в бассейне, да и в душ с членом в руках не вбегай, пока там Алиса...|Neugierig.... Okay, Max, ich bin müde. Beende es alleine, aber tu es nicht im Pool, und du solltest wahrscheinlich nicht mit deinem harten Schwanz duschen gehen, während Alice auch noch da ist.
		ean.pool.hj.7^			И что же мне делать?|Und was soll ich tun?

	ean.pool.hj.7@113@e-kira-swim-night-4@Постарайся расслабиться и успокоиться... Продолжим с тобой как-нибудь в другой раз... А сейчас пора спать и тебе и мне...|Versuchen Sie sich zu entspannen und zu beruhigen.... Wir machen mit dem ein anderes Mal weiter.... Lass uns schlafen gehen.
		leave!sleep^			Вот облом... Ладно, спокойной ночи...|Misst... Fein, Gute Nacht



# --- 0.3: Особая доставка для Киры|Sonderlieferung für Kira

	specialevent.6@138@e-delivery-1@Здравствуйте! По этому адресу на сегодня назначена доставка. Распишитесь?|Hallo! Ich habe eine Bestellung für diese Adresse. Darf ich Sie bitten, hier zu unterschreiben?
		specialevent.6.next.1^		Конечно! А что тут?|Sicher, was ist da drin?

	specialevent.6.next.1@138@Так... В накладной написано следующее... Постойте, тут сказано, что это товар для взрослых. А вы что-то не очень похожи на взрослого...|Mal sehen.... Warte, hier steht, dass das aus einem Laden für Erwachsene kommt. Du siehst nicht wie ein Erwachsener aus....
		specialevent.6.next.2^		Да я взрослый! Просто, в трусах документы не ношу...|Ich bin erwachsen, ich habe nur keinen Ausweis in meiner Hose.

	specialevent.6.next.2@138@Ну, хорошо. У меня всё равно времени мало. Так, распишитесь, но посылку не открывайте. Отдайте её некой... Кире... фамилию не могу разобрать...|Okay, ich habe sowieso nicht viel Zeit. Unterschreiben Sie bitte für das Paket, aber öffnen Sie es nicht. Geben Sie es an.... Kira irgendwas. Ich kann den Nachnamen nicht lesen....
		specialevent.6.next.3^		Всё верно, она у нас живёт. Давайте!|Jaja, sie wohnt hier, ich gebe es ihr.

	specialevent.6.next.3@4@<i>Интересно, что же она там такое заказала... Тяжёлая коробка... Для взрослых... Нужно будет понаблюдать за ней, вдруг это что-то интересное...</i>|<i>Ich frage mich, was sie bestellt hat. Es ist schwer. Nur für Erwachsene.... Ich sollte Tante Kira beobachten, es könnte etwas Interessantes sein.</i>
		leave!move_pool!set_kira.toy_1!can^		Спасибо, до свидания!|Danke, Auf Wiedersehen!



# --- 0.3: Установка новой скрытой камеры в различные локации|Installing hidden cams everywhere

	install.cam.0@4@<i>В этой комнате столько всего может происходить... Думаю, зрителям понравится! Главное - спрятать все провода, чтобы Лиза не заметила новую микро-камеру...</i>|<i>In diesem Raum kann viel passieren.... Ich denke, die Zuschauer werden es mögen! Ich muss alle Kabel verstecken, aber ich kann nicht zulassen, dass Lisa meine neue Kamera findet.</i>
		leave!set_item.cam_-4!set_cam.0.status_1!add_cameras_1!time^		<i>закончить</i>|<i>beenden</i>

	install.cam.1@4@<i>Пусть зрители посмотрят, чем Алиса занимается в своей комнате, когда её не видят... Я бы и сам был бы рад посмотреть, но пока такой функции у меня нет...</i>|<i>Jetzt können die Zuschauer sehen, was Alice in ihrem Zimmer macht, wenn niemand da ist. Ich würde es gerne selbst sehen, zu schade, dass ich diese Funktionalität noch nicht habe.</i>
		leave!set_item.cam_-4!set_cam.1.status_1!add_cameras_1!time^		<i>закончить</i>|<i>beenden</i>

	install.cam.2@4@<i>Конечно, здесь редко происходят события. Зато, когда они происходят, то здесь такое... Думаю, зрители будут рады таким моментам...</i>|<i>In diesem Raum ist nicht viel los. Aber wenn etwas passiert, ist es wirklich interessant. Ich denke, die Zuschauer werden sie genießen.</i>
		leave!set_item.cam_-4!set_cam.2.status_1!add_cameras_1!time^		<i>закончить</i>|<i>beenden</i>

	install.cam.3@4@<i>Конечно, с точки зрения морали ставить камеру в ванной сомнительно. Однако, тут и так окно во всю стену. Так что, формально я лишь приоткрыл это окно...</i>|<i>Natürlich ist es aus moralischer Sicht zweifelhaft, eine Kamera ins Badezimmer zu stellen. Aber es hat sowieso schon ein großes Fenster. Ich mache dieses Fenster nur noch größer, sozusagen.</i>
		leave!set_item.cam_-4!set_cam.3.status_1!add_cameras_1!time^		<i>закончить</i>|<i>beenden</i>


	install.cam.5@4@<i>Уж не знаю, будет ли какой-то толк от этой камеры... Тут так редко что-то происходит... Ну пусть будет. Раз уж взялся всё подключать...</i>|<i>Ich bin mir nicht sicher, ob es einen Grund gibt, eine Kamera in diesen Raum zu stellen, hier passiert nicht viel. Aber da ich beschlossen habe, überall Kameras aufzustellen, werde ich auch hier eine installieren.</i>
		leave!set_item.cam_-4!set_cam.5.status_1!add_cameras_1!time^		<i>закончить</i>|<i>beenden</i>

	install.cam.6@4@<i>Бассейн... Тут почти всё время кто-то есть и что-то делает, пока светит солнце. Думаю, тут зрители будут зависать постоянно в надежде увидеть кого-то с голыми сиськами...</i>|<i>Der Pool. Solange die Sonne aufgeht, ist wahrscheinlich jemand hier. Ich denke, die Zuschauer werden die ganze Zeit hier sein, in der Hoffnung, ein paar Titten zu sehen.</i>
		leave!set_item.cam_-4!set_cam.6.status_1!add_cameras_1!time^		<i>закончить</i>|<i>beenden</i>




