# --- Алиса спит|Alice schläft.

		leave!lock^																				<i>уйти</i>|<i>verlassen</i>

	girlsshower.1.knock@121@Хм... Никто не отвечает. Они так громко разговаривают друг с другом, что меня не слышат! Врываться через дверь опасно - получу от обеих. Но вот если одним глазком взглянуть с улицы...|Hm, niemand antwortet. Sie reden so laut, dass sie mich nicht mal hören können! Ich sollte nicht reinplatzen, sonst bekomme ich es von beiden. Aber ich könnte einen kurzen Blick durch das Fenster werfen....
		girlsshower.1.voyeur^																	<i>подглядывать с улицы</i>|<i>nach außen spionieren</i>
		leave!lock^																				<i>уйти</i>|<i>verlassen</i>

	girlsshower.1.voyeur@120@e-alisa-kira-shower-1@Ого! Кира и Алиса разделись и собираются принять душ вместе! Если меня кто-то заметит, болеть будет всё... И очень долго. Пора уносить ноги!|Wow! Tante Kira und Alice sind nackt und gehen zusammen duschen! Wenn mich jemand erwischt, sterbe ich langsam und schmerzhaft, aber ich sollte verschwinden.
		leave!lock^																				<i>уйти</i>|<i>verlassen</i>



# --- 0.3: Макс ловит Эрика, подглядывающего за Алисой ночью|Max erwischt Eric beim wichsen auf Alice

	alisa.beric@6@e-beric-1@<i>Что этот подонок делает возле комнаты Алисы? Дрочит?! Ну, Эрик, ты попался!</i>|<i>Was macht dieses Arschgesicht neben Alices Zimmer? Holt er sich einen runter!? Jetzt hab ich dich, Eric!</i>
		random.luck.50=1&item.photo=-5&alisa.beric.trygetphoto!set_dcd.ericnight_3^			<i>попытаться сбегать за фотоаппаратом</i> [skill.luck_50]|<i>versuchen, vor eine Kamera zu flüchten</i> [skill.luck_50]
		random.luck.50=0&item.photo=-5&alisa.beric.nobody!set_dcd.ericnight_5^				<i>попытаться сбегать за фотоаппаратом</i> [skill.luck_50]|<i>versuchen, vor eine Kamera zu flüchten</i> [skill.luck_50]
		alisa.beric.hey^																	<i>поднять шум</i>|<i>Lärm machen</i>
		leave!set_com.ericnight_1!set_dcd.ericnight_3!sleep^								<i>уйти и лечь спать</i>|<i>schlafen gehen</i>

	alisa.beric.nobody@2@e-alisa-sleep-1@<color=orange><i>В этот раз не повезло...</i></color>\n<i>Блин, пока я бегал, Эрик уже ушёл... Ну ничего, поймаю его в следующий раз...</i>|<color=orange><i>Du hast Pech gehabt!</i></color>\nScheiße, sieht aus, als wäre er gegangen, während ich weg war. Nächstes Mal kriege ich ihn.
		leave!sleep^								<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey@82@e-beric-2@Макс! Что ты тут делаешь? Подглядываешь?!|Was machst du hier, Max? Spionierst du Alice nach?
		alisa.beric.hey.1^							Вот ты и попался!|Jetzt habe ich dich!

	alisa.beric.hey.1@83@Тише! Давай сделаем вид, что ты меня не видел, а я тебя...|Ruhe! Tun wir so, als hätten wir uns nicht gesehen.
		random.dex.3=1&alisa.beric.hey.ask^										У меня есть условия! [skill.dex_3]|Ich habe einige Bedingungen! [skill.dex_3]
		random.dex.3=0&alisa.beric.hey.Mom!set_max.pun_1!set_max.punreason_1^	У меня есть условия! [skill.dex_3]|Ich habe einige Bedingungen! [skill.dex_3]
		alisa.beric.hey.Mom!set_max.pun_1!set_max.punreason_1^					Так не пойдёт! Пусть все увидят, что ты делаешь!|Auf keinen Fall, lass jeden sehen, was du getan hast!

	alisa.beric.hey.Mom@69@e-beric-3@<color=orange><i>Мама вас услышала!</i></color>\nЧто здесь происходит? Эрик? Ты почему голый тут ходишь, дети же могут увидеть...|<color=orange><i>Mom hat dich gehört!</i></color>\nWas ist hier los? Eric? Was machst du hier nackt, die Kinder könnten dich sehen.
		alisa.beric.hey.mom.1^									А я и так видел достаточно!|Ich habe schon genug gesehen!

	alisa.beric.hey.mom.1@64@e-beric-4@Макс! А что ты тут делаешь в такое время?!|Was machst du so spät noch hier, Max?
		random.social.1=1&alisa.beric.hey.mom.2a^				Я видел, как Эрик подглядывал за Алисой... и дрочил! [skill.social_1]|Ich habe Eric dabei erwischt, wie er Alice ausspioniert und sich einen runtergeholt hat! [skill.social_1]
		random.social.1=0&alisa.beric.hey.mom.2b^				Я видел, как Эрик подглядывал за Алисой... и дрочил! [skill.social_1]|Ich habe Eric dabei erwischt, wie er Alice ausspioniert und sich einen runtergeholt hat! [skill.social_1]
		alisa.beric.hey.mom.2c^									Я просто... вышел подышать...|Ich bin nur gekommen, um etwas frische Luft zu schnappen
		eric.status=2&alisa.beric.hey.mom.bad.2d^				Я... подглядывал за Алисой и Эрик меня поймал...|Ich habe Alice ausspioniert und Eric hat mich erwischt

	alisa.beric.hey.mom.2c@62@Подышать? В такое время, да ещё и на наш балкон? Наверняка, подглядывал и Эрик тебя поймал?|So spät? Hat Eric dich beim Spionieren erwischt?
		alisa.beric.hey.mom.2c.1^								Нет...|Nein....
		alisa.beric.hey.mom.2c.1^								Ну...|Nun....
		alisa.beric.hey.mom.2c.1^								Да...|Ja...

	alisa.beric.hey.mom.bad.2d@62@Эрик, это правда?|Ist das wahr, Eric?
		alisa.beric.hey.mom.2c.1^								<i>промолчат?</i>|<i>schweigen</i>

	alisa.beric.hey.mom.2c.1@87@Да, дорогая. Всё именно так и было... Да, накажешь его завтра, а теперь иди, ложись спать, мы с Максом ещё потолкуем...|Ja, Liebes, das ist passiert. Du wirst ihn morgen bestrafen. Jetzt geh schlafen, ich werde mich mit Max unterhalten....
		eric.status<2&alisa.beric.hey.mom.notbad.war^			<i>промолчать</i>|<i>schweigen</i>
		eric.status>1&alisa.beric.hey.mom.notbad.peace^			<i>промолчать</i>|<i>schweigen</i>

	alisa.beric.hey.mom.2a@60@<color=lime><i>Убеждение удалось!</i></color>\nЭрик, что такое он говорит? Это правда, ты подглядывал з? Алисой?!|<color=lime><i>Überzeugungsarbeit erfolgreich!</i></color>\nWovon redet er, Eric? Ist das wahr, hast du Alice ausspioniert?
		alisa.beric.hey.mom.bad^					Да да, я всё видел!|Ja, ich habe es mit eigenen Augen gesehen!

	alisa.beric.hey.mom.bad@89@На самом деле, всё было не так. Я увидел, как Макс крался мимо и спугнул его. А потом ты проснулась и дальше сама всё видишь...|Nein, was wirklich passiert ist, ist, dass ich Max erwischt habe und jetzt versucht er, aus dieser Situation herauszukommen.
		alisa.beric.hey.mom.bad.1^					Всё было не так, он всё врёт!|Das ist nicht passiert, er lügt!

	alisa.beric.hey.mom.2b@62@<color=orange><i>Убеждение не удалось!</i></color>\nСерьёзно, Макс? Это всё, что ты смог выдумать? Прокрался на балкон и когда Эрик тебя поймал, во всём об?инил его?|<color=orange><i>Überzeugungsarbeit fehlgeschlagen!</i></color>\nWirklich, Max? Das ist das Beste, was dir eingefallen ist? Du hast nur Alice ausspioniert und jetzt versuchst du, die Schuld auf Eric abzuwälzen!
		alisa.beric.hey.mom.bad.2^					Но мам, я говорю правду!|Ich sage die Wahrheit, Mom!

	alisa.beric.hey.mom.bad.1@72@Ты знаешь, Макс, твоя версия не выдерживает никакой критики. Вот скажи, что ты вообще делаешь на этом балконе? Случайно залез?|Und was hast du überhaupt auf dem Balkon gemacht?
		alisa.beric.hey.mom.bad.2^					Ну... я...|Nun.... Ich...

	alisa.beric.hey.mom.bad.2@62@Всё ясно с тобой, Макс. Сейчас уже слишком поздно, так что, накажу тебя завтра перед завтраком!|Ich kann sehen, was los ist. Es ist spät, also werde ich dich morgen früh bestrafen!
		alisa.beric.hey.mom.bad.3^					Но мам...|Aber Mom!

	alisa.beric.hey.mom.bad.3@83@Ань, иди ложись спать. Мы сейчас с Максом ещё потолкуем и я отправлю его спать, затем вернусь к тебе.|Geh schalfen, Ann, es ist spät. Ich werde mich mit Max unterhalten und dann komme ich zu dir.
		alisa.beric.hey.mom.bad.4^					Блин...|Scheiße....

	alisa.beric.hey.mom.bad.4@84@e-beric-2@Ну что, Макс, облом вышел? |Also, Max, sind die Dinge nicht so gelaufen, wie du gehofft hast?
		eric.status=2&alisa.beric.hey.mom.bad.peace^	Но я же видел!|Aber ich habe alles gesehen!
		eric.status<2&alisa.beric.hey.mom.bad.war^		Но я же видел!|Aber ich habe alles gesehen!

	alisa.beric.hey.mom.bad.war@81@И что с того, что видел? Кому ты что теперь докажешь? Вали уже нахрен отсюда, я спать хочу!|Na und? Niemand wird dir glauben. Jetzt verschwinde, ich will schlafen.
		max.pun=0&alisa.beric.hey.mom.bad.war.want^		У меня требование!|Ich habe eine Forderung!
		leave!sleep^									<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.bad.war.want@87@Требование? У тебя? Ко мне? Ну и какое?|Du hast eine Forderung? An mich? Sprich.
		alisa.beric.hey.mom.bad.war.want.family^		Я хочу, чтобы ты отвалил от моей семьи!|Lass meine Familie in Ruhe!
		alisa.beric.hey.mom.bad.war.want.inf^			Перестань настраивать семью против меня!|Hör auf, meine Familie gegen mich aufzubringen!

	alisa.beric.hey.mom.bad.war.want.family@81@Серьёзно? Вот так вот и отвалю из-за того, что ты можешь что-то рассказать маме? Попробуй. Ещё и за враньё получишь по голой заднице перед сёстрами! А теперь свалил!|Erwartest du ernsthaft, dass ich deine Familie verlasse, weil du mich verrätst? Geh und versuch es, du wirst vor deiner Familie verhauen. Und jetzt verschwinde!
		leave!sleep^									<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.bad.war.want.inf@81@А с чего ты взял, что я кого-то настраиваю против тебя? Мне вообще плевать на тебя с высокой колокольни... Но я тебя понял, ладно... А теперь вали отсюда.|Warum denkst du überhaupt, dass ich deine Familie gegen dich aufbringe? Deine Existenz ist mir auch egal. Aber Schön, ich werde darüber nachdenken. Und jetzt verschwinde.
		leave!sleep!add_liza.inf_-5!add_alisa.inf_-5!add_mom.inf_-5^	<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.bad.peace@81@Ну видел, и что? Вообще, я не понимаю, Макс. Вроде бы мы с тобой уже обо всём договорились и ты так себя ведёшь. Неужели, хочешь со мной поссориться?|Na und? Ich verstehe dich nicht, Max. Hatten wir nicht eine Abmachung? Willst du dich mit mir streiten?
		alisa.beric.hey.mom.bad.peace.good^				Нет...|Nein...
		alisa.beric.hey.mom.bad.peace.bad^				Да! Ты подонок!|Ja! Ich hasse Dich!

	alisa.beric.hey.mom.bad.peace.bad@84@Понятно... Ну что же, будь по твоему. Уговаривать тебя я не собираюсь. Честно говоря, мне плевать на тебя и чем раньше ты загремишь в лагерь, тем лучше. А теперь свалил отсюда!\n\n<color=orange><i><b>Внимание:</b> Ваши отношения значительно ухудшились!</i></color>|Ich verstehe. Nun, wenn es das ist, was du willst, werde ich nicht versuchen, deine Meinung zu ändern. Ich kümmere mich nicht wirklich um dich und je eher du ins Lager gehst, desto besser. Und jetzt verschwinde.\n\n<color=orange><i><b>Achtung:</b> deine Beziehungen zu Eric ist drastisch zurückgegangen!</i></color>
		leave!sleep!ericwar^							<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.bad.peace.good@86@Вот и отлично. И не вздумай на меня катить бочку! А теперь вали отсюда, я спать хочу.|Gut. Und komm nicht auf dumme Gedanken! Jetzt verschwinde, ich will schlafen.
		leave!sleep^									<i>идти спать</i>|<i>schlafen gehen</i>


	alisa.beric.hey.mom.notbad.war@86@e-beric-2@Ты сделал правильный выбор, Макс. Хотя ты меня и удивил. Мы же с тобой вроде бы не ладим, а тут такое самопожертвование... С чего бы это? Чего-то хочешь?|Du hast die richtige Wahl getroffen, Max. Du hast mich aber überrascht. Es ist nicht so, als wären wir auf dem besten Weg, warum würdest du dich so unter den Bus werfen?
		random.social.3=1&alisa.beric.hey.mom.notbad.war.inf^				Я просто хочу, чтобы ты поменьше всех настраивал против меня! [skill.social_3]|Ich will, dass du aufhörst, meine Familie gegen mich aufzubringen! [skill.social_3]
		random.social.3=0&alisa.beric.hey.mom.notbad.war.noinf^				Я просто хочу, чтобы ты поменьше всех настраивал против меня! [skill.social_3]|Ich will, dass du aufhörst, meine Familie gegen mich aufzubringen! [skill.social_3]

	alisa.beric.hey.mom.notbad.war.inf@81@<color=lime><i>Убеждение удалось!</i></color>\nСправедливо... Ну ладно. Будем считать, что это шаг к перемирию. А теперь иди спать.|<color=lime><i>Überzeugungsarbeit erfolgreich!</i></color>\nScheint fair.... Sicher. Ich nehme das als Friedensangebot. Jetzt schlafen gehen.
		leave!sleep!add_liza.inf_-10!add_alisa.inf_-10!add_mom.inf_-10^		<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.notbad.war.noinf@81@<color=orange><i>Убеждение не удалось!</i></color>\nТы знаешь... Я подумаю, но ничего не обещаю. Я тебе не нравлюсь, ты мне не нравишься. С чего мне идти тебе навстречу?|<color=orange><i>Überzeugungsarbeit fehlgeschlagen!</i></color>\nNee. Ich mag dich nicht, du magst mich nicht, warum sollte ich dir helfen wollen?
		alisa.beric.hey.mom.notbad.war.noinf.bad^							Подонок!|Fuck you!

	alisa.beric.hey.mom.notbad.war.noinf.bad@84@Это всё, что ты можешь сказать? Хотя, тебе только это и остаётся, верно? Ладно, иди спать, а я буду считать, что ничего не слышал...|Ist das alles, was du zu sagen hast? Ich schätze, das ist alles, was du hast, oder? Du solltest schlafen gehen, ich tue dir einen Gefallen und tue so, als hättest du nichts gesagt.
		leave!sleep^														<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.notbad.peace@86@e-beric-2@Ну что, Макс, я рад, что ты всё ещё на моей стороне. Раз уж ты идёшь мне навстречу, то пожалуй, увеличу твоё жалованье. А теперь иди спать!|Ich bin froh, dass wir noch auf der gleichen Seite stehen, Max. Und da du mir hilfst, werde ich dein Taschengeld erhöhen. Jetzt schlafen gehen.
		random.social.3=1&alisa.beric.hey.mom.notbad.peace.inf^				А можешь ещё и не настраивать семью против меня? [skill.social_3]|Könntest du aufhören, meine Familie gegen mich aufzubringen? [skill.social_3]
		random.social.3=0&alisa.beric.hey.mom.notbad.peace.noinf^			А можешь ещё и не настраивать семью против меня? [skill.social_3]|Könntest du aufhören, meine Familie gegen mich aufzubringen? [skill.social_3]
		leave!sleep!add_eric.fee_10^										<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.notbad.peace.inf@81@<color=lime><i>Убеждение удалось!</i></color>\nА я разве настраиваю? Но если ты так считаешь, то попробую не говорить о тебе что-то плохое... какое-то время. Шутка! Ладно, иди спать!|<color=lime><i>Überzeugungsarbeit erfolgreich!</i></color>\nIch bin nicht sicher, ob ich verstehe, was du meinst, aber sicher, ich werde versuchen, keine schlechten Dinge über dich zu erzählen.... für einige Zeit. Ich mache nur Spaß. Jetzt geh schlafen.
		leave!sleep!add_liza.inf_-10!add_alisa.inf_-10!add_mom.inf_-10^		<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.mom.notbad.peace.noinf@81@<color=orange><i>Убеждение не удалось!</i></color>\nНе понимаю о чём речь, Макс. Мы же с тобой, вроде бы, ладим? С чего мне кого-то настраивать... Ну всё, иди спать!|<color=orange><i>Überzeugungsarbeit fehlgeschlagen!</i></color>\nIch weiß nicht, wovon du redest, Max. Wir sind Freunde, warum sollte ich versuchen, deine Familie gegen dich aufzubringen? schlafen gehen, Max.
		leave!sleep^														<i>идти спать</i>|<i>schlafen gehen</i>


	alisa.beric.trygetphoto@4@e-beric-1@<color=lime><i>В этот раз мне повезло!</i></color>\n<i>Эрик до сих пор дрочит, глядя на Алису... Сейчас получится шикарный кадр!</i>|<color=lime><i>Du hast Glück gehabt!</i></color>\n<i>Eric ist immer noch hier, holt sich einen runter und schaut Alice an.... Jetzt kann ich eine tolle Aufnahme machen!</i>
		random.dex.2=1&alisa.beric.trygetphoto.good^		Сделать кадр [skill.dex_2]	|Take a pic [skill.dex_2]
		random.dex.2=0&alisa.beric.trygetphoto.bad^			Сделать кадр [skill.dex_2]	|Take a pic [skill.dex_2]

	alisa.beric.trygetphoto.good@3@e-beric-5@<color=lime><i>Удалось сделать кадр!</i></color>\n<i>Ну всё, Эрик, теперь ты попался! Так, нужно сваливать, пока меня не поймали, а то и камеру заберут и обвинят во всём...</i>|<color=orange><i>Du hast es geschafft, einen guten Schuss abzugeben!</i></color>\n<i>Jetzt habe ich dich, Eric! Jetzt muss ich raus, bevor er mich bemerkt, oder er nimmt mir die Kamera weg und gibt mir die Schuld für alles.</i>
		leave!sleep!set_com.ericnight_2^					<i>Уйти спать</i>|<i>schlafen gehen</i>

	alisa.beric.trygetphoto.bad@88@e-beric-2@<color=orange><i>Эрик вас заметил!</i></color>\nМакс, какого хрена ты делаешь? Ну-ка, давай сюда фотоаппарат... ага, не успел сфоткать, отлично. А теперь вали отсюда!|<color=orange><i>Eric hat dich erwischt!</i></color>\nWas zum Teufel machst du hier, Max? Gib mir deine Kamera.... Sieht aus, als hättest du keine Zeit gehabt, ein Foto zu machen, bevor ich dich erwischt habe. Gut. Und jetzt verschwinde!
		leave!sleep^										Блин! <i>(уйти спать)</i>|Shit <i>(schlafen gehen)</i>


	alisa.beric.hey.ask@88@<color=lime><i>Кажется, никто не проснулся...</i></color>\nКакие ещё условия? Ты нашёл время, чтобы болтать... Иди спать!|<color=lime><i>Niemand hat dich gehört</i></color>\nWelche Voraussetzungen? Das ist nicht die Zeit zum Reden, schlafen gehen!
		alisa.beric.hey.ask.now^							Ну уж нет, давай сейчас обсудим!|Auf keinen Fall, wir reden gerade!

	alisa.beric.hey.ask.now@81@Ну и чего ты хочешь?|Schön, was willst du denn?
		eric.status=2&alisa.beric.hey.ask.now.money^		Надбавку $20 к карманным деньгам!|Ich will 20$ mehr Taschengeld!
		lizas.mentor=2&alisa.beric.hey.ask.now.liza^		Я хочу сам обучать Лизу!|Ich will Lisa unterrichten!
		alisa.beric.hey.mom.bad.war.want.inf^				Хочу, чтобы ты поменьше настраивал семью против меня!|Ich will, dass du aufhörst, meine Familie gegen mich aufzubringen!

	alisa.beric.hey.ask.now.money@83@А жирно не будет? Добавлю $5 и иди спать...|Du verlangst zu viel, ich gebe dir $5, gen schlafen.
		random.social.2=1&alisa.beric.hey.ask.now.money.10^	Нет, давай $10! [skill.social_2]|Nein, gib mir $10! [skill.social_2]
		random.social.2=0&alisa.beric.hey.ask.now.money.no^	Нет, давай $10! [skill.social_2]|Nein, gib mir $10! [skill.social_2]

	alisa.beric.hey.ask.now.money.10@84@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, ладно... Буду платить тебе больше. А теперь вали спать!|<color=lime><i>Überzeugungsarbeit erfolgreich!</i></color>\nSchön, Schön. Ich zahle Dir mehr. Jetzt geh schlafen!
		leave!sleep!add_eric.fee_10^						<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.ask.now.money.no@84@<color=orange><i>Убеждение не удалось!</i></color>\nПросил бы уже сразу $100, чего мелочиться? Нет, $5 тебе хватит, вали уже отсюда!|<color=orange><i>Überzeugungsarbeit fehlgeschlagen!</i></color>\nNee, $5 sind genug für dich. Jetzt geh schlafen!
		leave!add_eric.fee_5!sleep^							<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.ask.now.liza@84@Макс, мы же с тобой договорились: Лиза - моя. Как и все женщины в твоей семье. И если тебе нечего возразить, то вали уже отсюда!|Hatte ich nicht einen Deal mit dir, Max? Lisa gehört mir. Genau wie alle anderen Frauen in der Familie. Raus hier.
		alisa.beric.hey.ask.now.liza.tell^					А если я маме расскажу про то, что видел?|Und was, wenn ich Mom erzähle, was ich gesehen habe?

	alisa.beric.hey.ask.now.liza.tell@81@Я не понял. Ты воевать со мной собрался?|Versuchst du, einen Krieg mit mir anzufangen?
		alisa.beric.hey.ask.now.liza.tell.no^				Нет, я просто спросил...|Nein, ich habe nur gefragt.
		alisa.beric.hey.ask.now.liza.tell.yes^				Да ты меня достал, подонок!|Ja, ich kann dich nicht mehr ausstehen!

	alisa.beric.hey.ask.now.liza.tell.no@82@Ну вот я просто и ответил. А теперь вали спать!|Und ich habe nur geantwortet. Jetzt geh schlafen.
		leave!sleep^										<i>идти спать</i>|<i>schlafen gehen</i>

	alisa.beric.hey.ask.now.liza.tell.yes@82@Ну что же, это твой выбор. А теперь вали спать, иначе я тебя с балкона сброшу!\n\n<color=orange><i><b>Внимание:</b> Ваши отношения значительно ухудшились!</i></color>|Nun, es ist deine Entscheidung. Jetzt geh schlafen, bevor ich dich vom Balkon werfe!\n\n\n<i><b>Achtung:</b>Deine Beziehung zu Eric hat sich drastisch verschlechtert!</i>
		leave!sleep!ericwar^								<i>идти спать</i>|<i>schlafen gehen</i>



# --- 0.3: Эрик дарит Алисе различные наряды|Eric gibt Alice einen Haufen Dessous

	alisa.eshow@121@<i>Кажется, в комнате Алиса с Эриком... Через балкон заглянуть не получится, точно заметят... А вот если аккуратно приоткрыть дверь...</i>|<i>Sieht aus, als wäre Alice bei Eric.... Ich kann nicht vom Balkon aus schauen, aber wenn ich eine Tür ein wenig öffnen könnte....</i>
		alisa.inf<60&eshow=1&alisa.eshow.1!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=2&alisa.eshow.2!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=3&alisa.eshow.3!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=4&alisa.eshow.4!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=5&alisa.eshow.5!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=6&alisa.eshow.6!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=7&alisa.eshow.7!add_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf<60&eshow=8&alisa.eshow.8!set_eshow_1!max_alisa.talk.eric.under_1^		<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf>59&alisa.inf<100&alisa.massx.low!max_alisa.talk.eric.mass_1^			<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		alisa.inf>99&alisa.massx.high!max_alisa.talk.eric.mass_1^						<i>приоткрыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.1@120@e-eshow-1-1@<i>Ого! Видимо, Эрик опять что-то купил для Алисы, а она рада покрутить задницей... И развалился так, как будто король... Вот сволочь!</i>|<i>Wow! Sieht so aus, als hätte Eric wieder etwas für Alice gekauft, und sie ist glücklich, ihm ihren Arsch zu zeigen.... Er liegt da, als ob ihm der Laden gehört.... Verdammtes Arschloch!</i>
		alisa.eshow.1.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.1.next.1@22@e-eshow-1-2@Эрик, ну ты скажи, тебе нравится или нет? Лично мне очень, а ты чего сидишь? Челюсть отвисла?|Also, Eric, gefällt es dir oder nicht? Ich liebe es wirklich, du etwa? Hat's dir die Sprache verschlagen?
		alisa.eshow.1.next.2^	<i>набл?да?ь</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.1.next.2@87@Алиса, на твоей чудесной попке что угодно будет смотреться шикарно. И да, мне нравится, как это выглядит!|Alles wird gut aussehen auf deinem Arsch, der so gut ist wie meiner! Und ja, ich mag es wirklich.
		leave!lock^				<i>уйти</i>|<i>verlassen</i>


	alisa.eshow.2@21@e-eshow-2-1@И что, ты просто решил мне подарить вот этот комплект? Просто так? Или я что-то должна?|Also was, du hast dich einfach entschieden, es für mich zu kaufen, ohne besonderen Grund? Oder schulde ich dir jetzt etwas?
		alisa.eshow.2.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.2.next.1@87@Нет, ничего. Просто так. Но если покажешь себя со всех сторон, чтобы я убедился, что он тебе подходит, будет чудесно!|Nein, du schuldest mir nichts. Aber wenn du mir zeigst, wie es an dir aussieht, damit ich sicherstellen kann, dass es passt, wenn du willst.
		alisa.eshow.2.next.2^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.2.next.2@25@e-eshow-2-2@Ну как, посмотрел? Нравится? Мне очень... Спасибо тебе, Эрик! Вот именно таких маленьких радостей мне и нехватает!|Also, wie gefällt es dir? Es ist perfekt, danke, Eric!
		leave!lock^				<i>уйти</i>|<i>verlassen</i>


	alisa.eshow.3@22@e-eshow-3-1@Эй! Эрик! Ты обещал не подглядывать. Я же вижу краем глаза, что ты пялишься на меня! Отвернись, быстро!|Hey, Eric, du hast versprochen, nicht hinzusehen. Ich kann sehen, dass du mich anstarrst! Dreh dich sofort um!
		alisa.eshow.3.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.3.next.1@87@e-eshow-3-2@О да, Алиса, сидит отлично. Правда, цвет не нравится. Слишком ярко. Хотя, если ты хочешь, чтобы все смотрели на твою попку, то всё отлично!|Es passt perfekt, Alice. Ich bin mir nicht sicher, ob mir die Farbe gefällt. Es ist ein bisschen zu hell, es sei denn, du willst, dass alle auf deinen Arsch starren. Dann ist es einfach perfekt.
		leave!lock^				<i>уйти</i>|<i>verlassen</i>


	alisa.eshow.4@33@e-eshow-4-1@Эй, Эрик! Не смешно! Куда дел верхнюю часть? Отдавай! А то не буду её примерять и ничего больше не увидишь!|Hey, Eric, das ist nicht lustig! Wo hast du das Oberteil gelassen? Gib es zurück oder ich werde nichts anprobieren und du wirst nichts mehr sehen!
		alisa.eshow.4.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.4.next.1@11@<i>Блин, у них отношения уже явно вышли на какой-то новый, дебильный уровень. Ему что, моей мамы нехватает? Эх, Алиска... надеюсь, ты знаешь что делаешь...</i>|<i>Scheiße, ihre Beziehung hat sich auf eine neue dumme Ebene gewandelt. Er hat bereits Mutter, ist sie nicht genug? Oh, Alice.... Ich hoffe, Du weisst, was du tust....</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>


	alisa.eshow.5@21@e-eshow-5-1@Эрик! Только не подглядывай, ты обещал! Сейчас оденусь и скажу, когда можно будет смотреть...|Eric! Versprich mir, nicht hinzusehen! Ich sage Dir, wann Du schauen kannst.
		alisa.eshow.5.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.5.next.1@30@e-eshow-5-2@Эй, я же тебя просила! Хватит подглядывать! Это тебе не стриптиз... И вообще...|Hey, ich habe dir gerade gesagt, dass du nicht hinsehen kannst! Das ist kein Striptease!
		alisa.eshow.5.next.2^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.5.next.2@86@e-eshow-5-3@На такую красивую девушку я не могу не смотреть... Попка что надо, грудь красивая... Мне нравится! И комплект, кстати, тоже!|Dich nicht anzuschauen ist unmöglich, du bist zu hübsch! Ich mag das hier, es steht dir gut.
		leave!lock^				<i>вот сволочь!</i>|<i>Dieser Bastard!</i>


