# --- Шаблон ужина по умолчанию|Standard-Frühstück

	dinner.default@0@z-dinner-family-1@<i>Шаблон ужина по умолчанию. Данный эвент пока отсутствует.</i>|<i>Die Probe des Abendessens ist standardmäßig. Dieses Ereignis ist noch nicht da.</i>
		dn.11.next.10^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.10@87@Лиза, что за глупый вопрос. Конечно! В нашем мире без этого ни за что не удалось бы занять такую высокую должность в компании. Да и в жизни без образования пробиваются только единицы...|Natürlich habe ich das, Lisa. Du wirst ohne sie nicht weit kommen können. Nicht viele Menschen erzielen gute Ergebnisse ohne Hochschulbildung.
		dn.11.next.11^							<i>промолчать</i>|<i>sei ruhig</i>
		dn.11.next.11^							Может быть, я такой...|Vielleicht bin ich einer von ihnen.

	dn.11.next.11@62@Да, Эрик полностью прав. А ты, Макс, даже школу бросил. Прежде, чем думать о высшем образовании, неплохо было бы закончить среднее. Как считаешь?|Ja, Eric hat Recht. Du hast nicht mal die High School beendet. Denkst du nicht, du solltest das in Ordnung bringen?
		dn.11.next.12a^							Сдалось оно мне...|Ich brauche es nicht.
		dn.11.next.12b^							Я подумаю...|Ich werde darüber nachdenken.

	dn.11.next.12a@87@Ну, тогда у тебя одна дорога. В тот самый военный лагерь. Ну или какой-то другой. И это хорошо. Тебя подготовят, натренируют, научат дисциплине и субординации. Станешь настоящим мужиком!|Nun, dann hast du nur noch einen Weg vor dir. Zum Militärlager. Was gut ist, die machen einen Mann aus dir.
		dn.11.next.14^							Да я уже мужик!|Ich bin schon ein Mann!

	dn.11.next.12b@87@Ты знаешь, думать нужно быстрее. Потому-что выбор у тебя либо школа, либо военный лагерь, а потом и армия... Я бы выбрал армию на твоём месте, но с твоими физическими данными...|Dann solltest du schnell denken, denn du hast die Wahl zwischen Schule und Militärlager, und dann die Armee. Ich würde die Armee an deiner Stelle wählen, aber ich bin mir nicht sicher, ob sie dich mit deinem Körperbau aufnehmen....
		dn.11.next.13a^							А что с моими данными?|Was ist mit meinem Körperbau?

	dn.11.next.13a@86@Ну, они не очень. Хотя, тебя подготовят, натренеруют. А главное - научат дисциплине и субординации. Мама за тебя порадуется, когда увидишь, что мужиком стал!|Es ist nicht so toll. Aber sie werden dich trainieren. Und sie werden dir Disziplin und Unterordnung beibringen. Mom wird sich für dich freuen, wenn sie sieht, wie du dich in einen echten Mann verwandelst.
		dn.11.next.14^							Да я уже мужик!|Ich bin schon ein Mann!

	dn.11.next.14@81@Ну ладно, думай так... Заблуждаться никто не мешает...|Ja ja, richtig....
		dn.11.next.15^							Знаешь, что?|Weißt du was....!

	dn.11.next.15@64@Макс! Что за тон? Уважительно разговаривай с Эриком! А не то накажу. В общем, мы сейчас поехали, а вы приберитесь тут. Завтра я вернусь. Всем спасибо за ужин!|Was ist das für ein Ton, Max? Du solltest Eric mit Respekt behandeln oder ich werde dich bestrafen! Wie auch immer, wir gehen jetzt. Ich komme morgen früh zurück. Danke für das Essen, Leute.
		eric.week^								Да, спасибо...|Ja, danke


# --- 12й ужин (воскресенье), мама упоминает приезд Киры|12. Abendessen, Sonntag, Ann erwähnt Kira's Ankunft

	dn.12@75@z-dinner-family-1@Всем приятного аппетита!|Guten Appetit, euch allen!
		dn.12.next.1^							Приятного аппетита...|Guten Appetit

	dn.12.next.1@67@У меня для вас отличная новость! Это связано с кем-то, кого вы очень любите...|Ich habe eine tolle Nachricht für euch! Es geht um jemanden, den ihr sehr liebt.
		dn.12.next.2a^							Ты беременна?|Bist du schwanger?
		dn.12.next.2b^							Опять про Эрика?|Geht es wieder um Eric?
		dn.12.next.2c^							Не знаю даже...|Ich weiß nicht einmal.

	dn.12.next.2a@62@Макс! Не неси ерунду. Как тебе такое в голову могло прийти только...|Max! Reden Sie keinen Unsinn. Wie konntest du nur daran denken?
		dn.12.next.2b^							Ну, значит, точно про Эрика...|Dann geht es definitiv um Eric.

	dn.12.next.2b@75@Нет, в этот раз речь не о нём. Ну, ещё варианты есть? Лиза? Алиса?|Nein, diesmal geht es nicht um ihn. Habt ihr noch andere Möglichkeiten? Lisa, Alice?
		dn.12.next.3^							Ну, у меня есть один вариант...|Ich habe vielleicht eine Idee.

	dn.12.next.2c@62@Макс, ну ты даёшь. Лиза, Алиса, может быть вы догадались о ком речь?|Wow, Max. Lisa, Alice, irgendwelche Vorschläge?
		dn.12.next.3^							Ну, у меня есть один вариант...|Ich habe vielleicht eine Idee.

	dn.12.next.3@71@Ну что же вы. К нам едет ваша тётя в гости!|Oh, kommt schon, ihr alle. Die Tante Kira wird uns besuchen!
		dn.12.next.4^							Я так и знал!|Ich wusste es!
		dn.12.next.4^							Тётя Кира?|Tante Kira?

	dn.12.next.4@50@Да ладно?! А на долго? Просто в гости или по делам? Мам, ну расскажи!|Wow! Für wie lange? Kommt sie nur zu Besuch oder ist sie geschäftlich hier? Erzähl uns alles, Mom.
		dn.12.next.5^							Ого, сколько вопросов...|Wow, so viele Fragen.

	dn.12.next.5@75@Лиза, я знаю, что ты очень её любишь, как и все мы, но успокойся. Она не завтра приедет, но скоро. На сколько - тоже не знаю, но думаю, что погостит какое-то время... А по делам или нет - сама спросишь.|Ich weiß, du liebst sie sehr, Lisa, genau wie wir alle, aber entspann dich ein wenig. Sie wird bald hier sein. Ich weiß auch nicht, wie lange, ich hoffe, sie bleibt für einige Zeit. Du kannst sie selbst nach ihren Gründen fragen.
		dn.12.next.6^							Первая хорошая новость...|Das sind die ersten guiten Nachichten
		dn.12.next.6^							<i>промолчать</i>|<i>sei ruhig</i>

	dn.12.next.6@31@Да, это здорово. Я так соскучилась по тёте Кире... Кстати, она говорила, что сменила работу, но мне не сказала на какую. Ты не в курсе, мам?|Das ist großartig, ich habe sie so sehr vermisst. Ich glaube, sie sagte etwas davon, ihren Job zu wechseln, aber sie hat mir nicht gesagt, was sie jetzt macht. Weißt du es, Mom?
		dn.12.next.7^							<i>далее</i>|<i>fortsetzen</i>

	dn.12.next.7@69@Нет, мне она тоже ничего не сказала. Но ты же знаешь, что у неё шило в заднице. Кажется, она ни на одной работе не продержалась дольше полугода. Наверняка, опять связалась с чем-то незаконным...|Nein, sie hat mir auch nichts gesagt. Du kennst sie, sie kann nie einen Job für zu lange halten, ich glaube nicht, dass sie jemals länger als 6 Monate durchhält. Ich frage mich, ob sie wieder in etwas Illegales verwickelt ist.
		dn.12.next.8a^							Почему ты так говоришь?|Wie kommst du darauf?
		dn.12.next.8b^							А на кого она училась?|Was war ihr Hauptfach an der Universität?

	dn.12.next.8a@62@Ты что, забыл ту историю, когда мы её забирали из полиции? Или когда она в новости попала в... хм... таком виде. Хотя, вам это знать не обязательно...|Hast du vergessen, wie wir ihr aus der Patsche helfen mussten? Oder wie sie nackt in die Nachrichten kam?
		dn.12.next.9a^							В каком виде?!|Nackt?
		dn.12.next.9b^							Её арестовывали?|Sie wurde verhaftet?

	dn.12.next.8b@62@На искательницу приключений на свою задницу. Она училась на юриста, но бросила первый курс и решила, что хочет стать журналистом. Поступила снова, но и там ей быстро всё наскучило...|Sie hat große Probleme mit ihrem Arsch. Sie studierte Jura, verließ aber nach ihrem ersten Jahr und beschloss, Journalistin zu werden. Aber dann wurde ihr wieder langweilig.
		dn.12.next.9c^							Я не в курсе этой истории|Ich habe noch nichts davon gehört.
		dn.12.next.9d^							Понятно...|Ich verstehe

	dn.12.next.9a@31@В каком, в каком... В голом, конечно! Если бы наш провайдер не блокировал всё подряд, я бы показала то видео...|Ja, ja, ja. Ich hätte Ihnen das Video zeigen können, wenn nicht unser Provider alle Inhalte für Erwachsene blockiert hätte.
		dn.12.next.10a^							Есть видео?!|Es gibt ein Video!?

	dn.12.next.9b@48@Тётя Кира же рассказывала, Макс! Она любит эту историю, правда, каждый раз рассказывает её по-новому. Вот спросишь у неё и узнаешь новую версию!|Tante Kira hat diese Geschichte unzählige Male erzählt, Max! Sie liebt es, es zu erzählen. Sie ändert jedoch jedes Mal die Geschichte. Du kannst sie fragen und du wirst eine neue Version hören, wenn sie vorbeikommt.
		dn.12.next.9d^							Ага, спрошу...|Ja ja, werde ich

	dn.12.next.9c@75@Ну и очень хорошо. Это плохой пример для подражания. За что Кира не берётся, всё у неё получается... особым образом. И когда за ум только возьмётся...|Gut. Sie ist nicht gerade ein Vorbild. Alles, was sie versucht, funktioniert nicht so, wie sie es sich erhofft hat.
		dn.12.next.9d^							Понятно...|Ich verstehe

	dn.12.next.9d@75@В общем, к нам едет генератор проблем, зато точно не соскучитесь!|Also, im Grunde werden wir einen Problementwickler haben, aber das Leben wird viel aufregender!
		dn.12.next.11^							Супер!|Großartig!

	dn.12.next.10a@62@Макс! Ну что за вопросы. Всё, проехали. В общем, скоро тётя Кира нас навестит. Хотя проблемы неизбежны, но точно не соскучитесь!|Was ist das für eine Frage, Max? Wie auch immer, wir werden einen Problementwickler haben, aber das Leben wird viel aufregender!
		dn.12.next.11^							Отлично!|Großartig!

	dn.12.next.11@60@Да, она сказала, что приедет в ближайшие выходные, если решит какие-то очередные свои проблемы. Так что, ничего не планируйте. Да, спасибо всем за ужин. Хорошо поболтали.|Sie sagte, sie wird versuchen, nächstes Wochenende hier zu sein. Also plant nichts am Samstag. Danke für das Essen, Leute.
		leave!time^								Да, всем спасибо!|ja, danke euch allen


# --- 17й ужин (пятница) перед приездом Киры|17. Abendessen, Freitag, vor Kira's Ankunft

	dn.17@75@z-dinner-family-1@Всем приятного аппетита!|Guten Appetit, alle zusammen!
		dn.17.next.1^							Приятного!|Dasselbe

	dn.17.next.1@67@Ну что, все помнят какой завтра день?|Also erinnert sich jeder daran, was morgen passieren wird?
		dn.17.next.2a^							День шоппинга?|Einkaufen?
		dn.17.next.2b^							Тётя Кира приезжает?|Tante Kira's Ankunft?

	dn.17.next.2a@75@Верно, Макс, но это не самое главное. Напоминаю, что завтра утром приедет ваша тётя Кира!|Das auch, aber es ist nicht das, wovon ich rede. Deine Tante Kira kommt morgen früh.
		dn.17.next.3^							А как же шоппинг?|Was ist mit dem Einkaufen?

	dn.17.next.2b@75@Именно! Она звонила и сказала, что приедет рано утром. Так что, ложитесь пораньше сегодня. Я сейчас к Эрику, но до приезда Киры вернусь.|Ja. Sie hat angerufen und gesagt, dass sie früh am Morgen hier sein wird. Also bleib nicht zu lange auf. Ich gehe zu Eric, aber ich bin vor ihrer Ankunft zurück.
		dn.17.next.3b^							А без Эрика сегодня никак?|Musst du zu ihm gehen?
		dn.17.next.3^							А как же шоппинг?|Was ist mit dem Einkaufen?

	dn.17.next.3b@62@Макс. Я же сказала, что успею до приезда Киры. Вы тут и без меня справитесь, верно?|Max, ich habe dir gerade gesagt, dass ich rechtzeitig nach Hause komme. Du wirst ohne mich überleben, oder?
		dn.17.next.5^							Верно, верно. А где тётя Кира будет спать?|Sicher. Wo wird Tante Kira schlafen?

	dn.17.next.3@21@Макс! Да сдался тебе этот шоппинг. Это же наша тётя Кира!|Wen interessiert's? Wir reden über Tante Kira!
		dn.17.next.4^							Да я просто спросил...|Ich habe nur gefragt.

	dn.17.next.4@67@А шоппинг и не отменяется. Эрик заедет за нами как обычно, часов в 10. Может быть, и Киру с собой возьмём, если она согласится.|Wir gehen auch einkaufen. Eric holt uns gegen 10 Uhr ab, wie immer. Vielleicht nehmen wir Kira auch mit, wenn sie will.
		dn.17.next.5^							А где она будет спать?|Und wo wird sie schlafen?

	dn.17.next.5@68@Ой. Хороший вопрос, Макс. Я как-то об этом не подумала. Может быть, она поспит на твоей кровати с Лизой в комнате, а ты в гостиной как-нибудь?|Ich weiß es nicht, Max. Ich habe nicht darüber nachgedacht. Vielleicht schläft sie in deinem Bett und du ziehst in das Wohnzimmer?
		dn.17.next.6a^							Ну, я не против|Ich schätze
		dn.17.next.6b^							Может быть, наоборот?|Was ist mit der anderen Seite?

	dn.17.next.6b@67@Может быть и наоборот. Спросим у неё, как ей комфортнее. Ладно, это всё мелочи. Всем спасибо за ужин. Я побежала, Эрик прислал за мной машину. Вернусь утром.|Vielleicht. Wir werden sie fragen. Wie auch immer, danke für das Essen, ich gehe zu Eric. Das Auto ist schon da. Ich bin morgen früh zu Hause.
		leave!time^								Хорошо...|Fein

	dn.17.next.6a@67@Вот и хорошо. А вообще, спросим у неё, как ей комфортнее. Ладно, это всё мелочи. Всем спасибо за ужин. Я побежала, Эрик прислал за мной машину. Вернусь утром.|Großartig. Wir werden sie fragen. Wie auch immer, danke für das Essen, ich gehe zu Eric. Das Auto ist schon da. Ich bin morgen früh zu Hause.
		leave!time^								Хорошо...|Fein



# --- 18й ужин (суббота) Кира уже приехала|18. Abendessen, Kira ist da.

	dn.18@75@z-dinner-family-1@Всем приятного аппетита!|Guten Appetit, alle zusammen!
		dn.18.next.1^		Приятного!|Ebenfalls

	dn.18.next.1@41@Мам, а где тётя Кира? Она тебе не рассказывала куда ушла? Или она этой, горничной работает?|Mom, wo ist Tante Kira? Hat sie dir gesagt, wo sie hingegangen ist? Oder ging sie als Dienstmädchen arbeiten oder so?
		dn.18.next.2^		<i>далее</i>|<i>fortsetzen</i>

	dn.18.next.2@60@Я не знаю, Лиза. Может быть и правда взялась за ум и работает горничной, но что-то сомневаюсь. Это на неё не очень похоже...|Ich weiß nicht, Lisa. Vielleicht hat sie tatsächlich ihr Leben geändert und sie hat einen normalen Job gefunden, aber ich bezweifle es. Sieht ihr nicht ähnlich....
		dn.18.next.3^		Почему?|Warum?

	dn.18.next.3@62@У вашей тёти шило в заднице! Она не может сосредоточиться на чём-то одном и делать работу. Ей просто скучно. Поэтому, она всё время ищет развлечения, неприятности и, конечно, их находит!|Im Gegensatz zu normalen Menschen könnte deine Tante nie einen Job haben. Sie langweilt sich. Deshalb ist sie immer auf der Suche nach der nächsten großen Sache, und normalerweise findet sie stattdessen nur Probleme.
		dn.18.next.4^		Расскажи!|Sag es uns, bitte!

	dn.18.next.4@75@Я бы могла многое рассказать, но пусть это сделает она... Хотя... Там такие истории, которые вам точно лучше не слышать...|Ich könnte dir viele Geschichten erzählen, aber du solltest sie bitten, sie selbst zu erzählen. Obwohl du jetzt, da ich darüber nachdenke, wahrscheinlich besser dran wärst ohne sie.
		dn.18.next.5^		Что, всё так плохо?|Warum, ist es wirklich so schlimm?

	dn.18.next.5@67@Если опустить разврат, разгульный образ жизни, вызывающее поведение, то мне не о чём рассказывать... Но как я уже сказала, надеюсь, она взялась за ум и вы ничего из этого не увидите...|Nun, man muss nichts über ihre genusssüchtige Art und ihr provozierendes Verhalten wissen, dann gibt es wirklich nichts mehr zu erzählen. Ich hoffe wirklich, dass sie sich zum Besten verändert hat, und Sie werden in nichts davon verwickelt sein.
		dn.18.next.6^		<i>далее</i>|<i>fortsetzen</i>

	dn.18.next.6@49@Мам, я хотела поговорить насчёт наказаний... Мне кажется, что делать это перед всеми неправильно. Ты вот даже запрещаешь нам смотреть всякое, а тут заставляешь других глазеть...|Mom, ich wollte über unsere Strafen reden. Ich denke nicht, dass es eine gute Idee ist, sie öffentlich zu machen. Du lässt uns nicht mal Erotik sehen, aber du zwingst alle dazu....
		dn.18.next.7!add_liza.mood_-50^		А я не прочь поглазеть!|Es macht mir nichts aus, zuzusehen, wie du bestraft wirst.
		dn.18.next.7!add_liza.mood_50^		Верно!|Ja!

	dn.18.next.7@62@Лиза. Мы уже об этом разговаривали. Тот факт, что ты этого боишься и стесняешься, говорит лишь о том, что этот стимул очень эффективен. Да, многие родители бы меня осудили за это, но это моя семья и мне решать!|Wir haben schon darüber gesprochen, Lisa. Sie funktionieren genau, weil du dich schämst und Angst hast. Vielleicht würden mich einige Leute dafür verurteilen, aber ihr seid meine Familie und das ist meine Entscheidung!
		dn.18.next.8^		Разве это не Эрик решил?|Hat Eric das nicht entschieden?

	dn.18.next.8@72@Макс, и ты туда же... Повторю в последний раз: это моё решение и я согласна с доводами Эрика. А то, как вы себя ведёте, лишний раз доказывает, что это правильное решение. Всё. Больше никаких разговоров на эту тему.|Du auch, Max? Zum letzten Mal: Das ist meine Entscheidung und ich stimme Eric zu. Und dein Verhalten beweist, dass mein Strafsystem funktioniert. Wir werden das nicht noch einmal besprechen.
		dn.18.next.9^		Диктатура!|Tyrann!

	dn.18.next.9@62@А кто спорит? Пока вы живёте со мной в одном доме, вы обязаны слушаться. И не важно, что кто-то из вас уже взрослый. Я ваша мать и вы будете меня слушаться. Всё ясно?|Na und? Das ist keine Demokratie, solange du unter meinem Dach lebst, befolgst du meine Regeln. Es ist mir egal, ob ihr alle erwachsen seid, ich bin eure Mutter und ihr werdet mir zuhören. Verstanden?
		dn.18.next.10^		Ясно...|Ja...

	dn.18.next.10@75@Вот и хорошо. Всем большое спасибо за ужин!|Gut.\nDanke für das Essen, Leute.
		leave!time^			Да, спасибо...|Ja, Danke



# --- 19й ужин (воскресенье)|19. Abendessen, Sonntag

	dn.19@75@z-dinner-family-1@Всем приятного аппетита!|Guten Appetit, alle zusammen!
		dn.19.next.1^		Приятного...|Guten Appetit

	dn.19.next.1@41@Мам, мне кажется, что ты зря ругаешь тётю Киру. Она такая классная! Весёлая и забавная. А то, что она нам рассказывает, так это же про жизнь, нам нужно знать!|Ich weiß nicht, wovon du gesprochen hast, Mom, Tante Kira ist so großartig! Sie ist so witzig! Und das, was sie uns erzählt, ist wichtig, wir müssen über diese Art von Sachen Bescheid wissen, wir können nicht für den Rest unseres Lebens in einer Blase leben.
		dn.19.next.2^		Полностью согласен с Лизой!|Ich stimme Lisa zu.

	dn.19.next.2@62@Мне кажется, что вам ещё рано. А когда станете взрослыми, сами всё узнаете!|Ich denke, es ist zu früh für dich, um davon zu erfahren.
		dn.19.next.3^		Ну вот, опять...|Jetzt geht's wieder los

	dn.19.next.3@21@Мам, да хватит нас оберегать. Мы и правда большие! Макс только и озабочен, как бы за нами подглядывать. Лиза тоже уже не девочка и явно посматривает на мальчиков...|Du musst aufhören, uns zu verhätscheln, Mom. Wir sind keine Kinder mehr. Max ist ein großer Perverser, der nur daran denkt, uns anzugucken. Und Lisa ist auch kein kleines Mädchen, sie ist eindeutig an Jungs interessiert.
		dn.19.next.4a^		А ты? Что насчёт тебя, Алиса?|Und was ist mit dir, Alice?
		dn.19.next.4b^		Точно!|Richtrig!

	dn.19.next.4a@22@А что такого? Я тоже не маленькая и могу делать что угодно. Может быть, даже и делаю... но тебя, Макс, это точно не касается. К тому же, я вас защищаю!|Was ist mit mir? Ich bin auch kein Kind und ich kann machen, was ich will. Und Vielleicht tue ich.... Aber das geht dich nichts an, Max. Besonders jetzt, wo ich versuche, für dich einzustehen.
		dn.19.next.4b^		Ну да, согласен...|Du hast Recht, tut mir leid.

	dn.19.next.4b@62@Взрослые все уже, значит? А в чём проявляется это? Лиза учится на двойки. Макс сидит дома и палец о палец не ударяет. Ты, Алиса, тоже не ясно чем занята... Какие же вы взрослые?|Erwachsene, huh. Und wie zeigt man das? Lisa hängt in der Schule in den Seilen, Max sitzt zu Hause und tut nichts, und du auch, Alice.
		dn.19.next.5^		Да речь про возраст!|Wir reden über unser Alter!

	dn.19.next.5@60@А я про поведение. Если вы называете себя взрослыми, то должны и вести себя соответственно. Покажите, что вы можете отвечать за свои поступки и можете чего-то добиться. И я изменю свою отношение!|Und ich rede von deinem Verhalten. Wenn man als Erwachsener behandelt werden will, sollte man entsprechend handeln. Beweist euch und ich höre auf, euch wie kleine Kinder zu betrachten.
		dn.19.next.6^		Справедливо...|Ich schätze, es ist fair.

	dn.19.next.6@41@Мам, мы постараемся тебе показать, что мы уже выросли и нас не нужно так опекать. Макс, Алиса, верно я говорю?|Okay, Mom, wir zeigen dir, dass wir keine kleinen Kinder mehr sind. Max, Alice, stimmt ihr mir zu?
		dn.19.next.7^		Верно!|Ja!

	dn.19.next.7@62@Ну вот и посмотрим. Я буду рада, если это случится. Ну а пока вы обязаны меня слушаться... Ну всё, всем спасибо за ужин.|Wir werden sehen. Ich werde glücklich sein, wenn das passiert, aber fürs Erste wirst du tun, was ich sage. Danke für das Essen, Leute.
		leave!time^			Ага, спасибо всем...|Ja, Danke






















