# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

		random.social.4=1&liza.secret.alisa.2.ok^			Лиза, мне можно рассказать! [skill.social_4]|Du kannst es mir sagen, Lisa! [skill.social_4]
		random.social.4=0&liza.secret.alisa.2.no^			Лиза, мне можно рассказать! [skill.social_4]|Du kannst es mir sagen, Lisa! [skill.social_4]

	liza.secret.alisa.2.no@48@<color=orange><i>Убеждение не удалось!</i></color>\nНет, Макс, не расскажу. Я обещала. Ты же не хочешь, чтобы твои секреты кто-то узнал, верно?|<color=orange><i>Überzeugung gescheitert!</i></color>\nNein, Max, ich sage nichts. Du willst doch nicht, dass ich jemandem all deine Geheimnisse erzähle, oder?
		leave!set_liza.talkcooldown_3!set_dcd.tryaskaboutalisa_2^						Верно...|Richtig...

	liza.secret.alisa.2.ok@43@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, расскажу... В общем, год назад Алиса тоже как-то пошла в ночной клуб...|<color=lime><i>Überzeugung erfolgreich!</i></color>\nSchön, Ich sage dir.... Vor etwa einem Jahr ging Alice auch in einen Club....
		liza.secret.alisa.2.ok.1^							Ого, любопытно...|Okay, ich höre zu....

	liza.secret.alisa.2.ok.1@41@Видимо, там она первый раз и попробовала алкоголь. Как рассказывала её лучшая подружка, Алиса выпила буквально один глоток шампанского, но её как подменили!|Ich glaube, sie hat zum ersten Mal etwas Alkohol probiert. Ihre beste Freundin sagte, dass sie sich nach nur einem Champagner-Schluck völlig verändert hat, als ob jemand sie ersetzt hätte!
		liza.secret.alisa.2.ok.2^							И что случилось?|Und was ist dann passiert?

	liza.secret.alisa.2.ok.2@43@Похоже, когда она выпивает любое количество алкоголя, даже каплю, у неё отключаются какие-то внутренние ограничители и Алиса начинает делать что попало. Причём, она не выглядит пьяной, но ведёт себя... странно. И на утро ничего не помнит, представляешь!|Ich denke, nachdem sie jede Menge Alkohol genommen hat, egal wie wenig, schalten einige ihrer Hemmungen ab und Alice ändert ihr Verhalten. Und da sie nicht viel trinkt, sieht man es nicht sofort, aber sie benimmt sich.... seltsam. Und sie kann sich am nächsten Morgen an nichts erinnern, kannst du dir das vorstellen?
		liza.secret.alisa.2.ok.3^							Спасибо, Лиза, это и правда интересно...|Danke, Lisa, das ist wirklich interessant....

	liza.secret.alisa.2.ok.3@48@Но это всё ещё секрет. Ты же меня понимаешь?|Aber das ist immer noch ein Geheimnis, du verstehst das, oder?
		leave!max_poss.nightclub_6^							Конечно! Я тебя не выдам...|Aber natürlich! Ich werde es nicht verraten....



# --- Разговор с Лизой в рамках "возможности" "наставник"|Erstes Gespräch in der Mentor-Chance

	liza.about.dom.1.init@0@Насчёт моей помощи...|Über meine Hilfe....
	liza.about.dom.1@41@Насчёт какой помощи?|Hilfe womit?
		liza.about.dom.1.next.1^					Ну, с твоей подготовкой к взрослой жизни...|Ich rede davon, dich auf das Erwachsenenleben vorzubereiten.

	liza.about.dom.1.next.1@40@Думаешь, меня надо готовить и сама я не справлюсь?|Denkst du, du musst mir etwas beibringen?
		liza.about.dom.1.next.2^					Ты многого не знаешь...|Es gibt vieles, was du nicht weißt....

	liza.about.dom.1.next.2@43@Да ты тоже на эксперта не тянешь, Макс. Ну ладно, допустим, я согласна слушать твои советы... И с чего мы начнём?|Du siehst nicht wie ein Experte aus, Max.... Aber ich schätze, ich könnte mir anhören, was du zu sagen hast.... Womit willst du anfangen?
		liza.about.dom.1.next.3^					Для меня было важно получить согласие, а учебный план я подготовлю.|Mach dir keine Sorgen, jetzt, wo ich deine Zustimmung habe, werde ich den Stundenplan in kürzester Zeit beginnen.

	liza.about.dom.1.next.3@41@И когда ждать этот твой... учебный план?|Und wie lange muss ich auf deinen.... Unterricht warten?
		liza.about.dom.1.next.4^					Скоро. Очень.|Nicht lange. Überhaupt nicht lange

	liza.about.dom.1.next.4@43@Хорошо, Макс. Будет любопытно понаблюдать за тем, как ты... обучаешь...|Okay, Max. Ich werde sehen, was du mir beibringen willst.
		leave!set_poss.sed_3!set_lizas.mentor_1!add_liza.mood_50!set_dcd.lizamentor_1^		Договорились!|Deal!



# --- Разговор с Лизой насчёт изменения в поведении мамы|Max fragt Lisa nach Anns Verhalten

	liza.about.momcontrol.init@0@Насчёт мамы...|Über Mom....
	liza.about.momcontrol@41@А что насчёт мамы? Что-то случилось?|Was ist mit ihr? Ist etwas passiert?
		liza.about.momcontrol.next.1^							Ты не заметила, что она ведёт себя как-то странно в последнее время?|Hast du bemerkt, wie sie sich jetzt anders verhält?

	liza.about.momcontrol.next.1@40@В каком смысле? Вроде, всё как обычно. Ну, немного приподнятое настроение, но я думаю, что это всё из-за Эрика.|Was meinst du damit? Sie sieht schön aus. Vielleicht etwas glücklicher, jetzt wo sie mit Eric zusammen ist.
		liza.about.momcontrol.next.2^							Вот именно! Я об этом и говорю.|Das ist es, wovon ich rede!

	liza.about.momcontrol.next.2@41@Ну, мама счастлива, вот и ведёт себя иначе. А что не так?|Also, Mom ist jetzt glücklicher und verhält sich ein bisschen anders, was ist das Problem?
		liza.about.momcontrol.next.3a^							Мне кажется, что мама под контролем Эрика|Ich glaube, sie steht unter Erics Kontrolle.
		liza.about.momcontrol.next.3b^							По-моему, Эрик на неё как-то влияе?...|Ich  fürchte, Eric hat Mom irgendwie beeinflusst....

	liza.about.momcontrol.next.3a@40@Это как контроль разума у пришельцев? Макс, ты слишком много смотришь сериалов!|Du meinst, wenn Außerirdische jemanden kontrollieren? Du siehst zu viel fern, Max.
		liza.about.momcontrol.next.4^							Я не о том. Вот скажи, наша мама разрешила бы, например, мне, смотреть как они с Эриком... развлекаются?|Davon rede ich nicht. Denkst du, Mom würde mich, sagen wir, auf sich selbst und Eric aufpassen lassen.... im Schlafzimmer?

	liza.about.momcontrol.next.3b@43@Ну да, влияет! Делает её жизнь лучше. Они же влюблены друг в друга. Конечно, они влияют друг на друга, глупый!|Nun, ja. Er macht ihr Leben besser, weil sie sich lieben. Natürlich die gegenseitige Beeinflussung, Dummkopf!
		liza.about.momcontrol.next.4^							Я не о том. Вот скажи, наша мама разрешила бы, например, мне, смотреть как они с Эриком... развлекаются?|Davon rede ich nicht. Denkst du, Mom würde mich, sagen wir, auf sich selbst und Eric aufpassen lassen.... im Schlafzimmer?

	liza.about.momcontrol.next.4@42@В каком смысле... развлекаются?|Was meinst du damit?
		liza.about.momcontrol.next.5^							<i>рассказать всё про тот случай с подглядыванием</i>|<i>erzähle ihr von deiner Beobachtung</i>

	liza.about.momcontrol.next.5@48@Очень смешно, Макс. Мне кажется, ты фантазируешь. Причём, фантазии какие-то больные. Зачем ты вообще за мамой подглядываешь?|Sehr witzig, Max. Ich glaube, du bildest dir Dinge ein. Und deine Fantasien sind beunruhigend. Warum hast du überhaupt auf Mom aufgepasst?
		liza.about.momcontrol.next.6!add_liza.talkcooldown_3^	Да речь не об этом!|Davon rede ich nicht!

	liza.about.momcontrol.next.6@40@А я об этом. Всё, не хочу больше слышать твои истории об Эрике. Мама счастлива и я не буду ей мешать. Да, и тебе не советую.|Und ich rede davon. Genug, ich will deine Geschichten über Eric nicht mehr hören. Mom ist glücklich und ich werde ihr nicht im Weg stehen. Und das solltest du auch nicht.
		poss.control=1&leave!set_poss.control_3^				Эх, Лиза, Лиза...|Oh, Lisa...
		poss.control=2&leave!set_poss.control_4^				Эх, Лиза, Лиза...|Oh, Lisa...



# --- 0.3: Разговор с Лизой, возможность "одноклассник", настаиваем, чтобы Лиза перестала думать об Алексе|Klassenkameradin Gelegenheit, "Lisa sollte Alex vergessen" Option

	odn.alone.begin.init@0@Больше не страдаешь по Алексу?|Hast du Alex schon aufgegeben?
	odn.alone.begin@40@Ну, так. Я приняла решение и поняла, что смысла мне его отбивать у Оливии нет. Так что, просто найду себе другого парня...|Nun ja.... Mir wurde klar, dass es keinen Sinn macht, ihn Olivia wegzunehmen. Ich schätze, ich werde jemand anderen finden.
		odn.alone.begin.next.1^				Отличная идея! Я как раз это и хотел предложить!|Das ist eine tolle Idee! Ich wollte das gerade anbieten!

	odn.alone.begin.next.1@41@Что, есть кто-то на примете?|Hast du jemanden im Sinn?
		odn.alone.begin.next.2^				Именно!|Genau!

	odn.alone.begin.next.2@43@О, супер! Рассказывай, какой он, как выглядит, какого роста, возраста, накачанный?|Großartig! Erzähl mir alles über ihn, wie er ist, wie groß er ist? Wie alt ist er? Ist er ein Liebhaber?
		odn.alone.begin.next.3^				Ну, роста примерно с меня...|Nun, er ist ungefähr so groß wie ich....

	odn.alone.begin.next.3@41@Ну, сойдёт... Конечно, лучше бы повыше...|Eh, gut genug. Ich möchte, dass er etwas größer wird, aber....
		odn.alone.begin.next.4^				Возраст примерно твой, чуть постарше...|Er ist ungefähr in deinem Alter, vielleicht ein bisschen älter....

	odn.alone.begin.next.4@43@Идеально. Вот это то что нужно! А как с мышцами? Я просто балдею, когда вижу накачанных парней!|Perfekt! Ist er ein Liebhaber? Ich liebe muskulöse Typen!
		odn.alone.begin.next.5^				А это важно?|Spielt das eine Rolle?

	odn.alone.begin.next.5@41@Ты знаешь, оказывается, да. Я в этого Алекса влюбилась, когда увидела его в нашем школьном бассейне. Считай, это моя слабость... Теперь ты знаешь мой криптонит...|Es stellte sich heraus, dass es das ist. Ich habe mich in Alex verliebt, als ich ihn in unserem Schulpool sah. Ich schätze, man könnte es mein Kryptonit nennen.
		odn.alone.begin.next.6^				Только не говори, что если бы я был накачан, то ты бы и на меня запала...|Würdest du mich mögen, wenn ich ein Liebhaber wäre?

	odn.alone.begin.next.6@43@Как знать, Макс, как знать... Ну а зовут то этого чудо-парня как?|Wer weiß, Max.... Jedenfalls, wie heißt dein Wunderkerl?
		odn.alone.begin.next.7^				Макс...|Max...
		odn.alone.begin.next.7^				Как и меня...|Genauso wie ich....

	odn.alone.begin.next.7@46@Это что, всё шутка была? Макс, ну какой же ты... А я тебе ещё и рассказала про свою слабость...|Willst du mich verarschen? Max, wie konntest du.... Ich habe dir sogar von meiner Schwäche erzählt....
		odn.alone.begin.next.8^				Зря ты так. Я же идеально тебе подхожу!|Sag das nicht. Ich bin perfekt für dich!

	odn.alone.begin.next.8@40@Макс! Ты мой брат. Это во-первых. Во-вторых, ты никакой не накачанный. А в-третьих... да вот, хотя бы, во-вторых. Так что нет, Макс.|Max! Zuerst bist du mein Bruder! Zweitens, und du bist nicht schwabbelig. Und auch.... nun, der zweite Grund ist genug. Also nein, Max.
		leave!set_poss.swap_20!set_dcd.lizatalkswap_2!set_can.yoga_1^	Ну ладно...|Okay...



# --- 0.3: 2й разговор с ЛИзой, "одноклассник", 1й путь|Klassenkameradin, Route 1, 2. Gespräch

	odn.alone.2.init@0@Какие новости в школе?|Wie läuft es in der Schule?
	odn.alone.2@40@Ты знаешь, не очень... Я решила отказаться от всяких мыслей насчёт мальчиков и сосредоточиться на учёбе, но это не помогает...|Nicht großartig. Ich beschloss, nicht mehr an Jungs zu denken und mich auf das Lernen zu konzentrieren, aber es ist viel schwieriger, als ich dachte.
		odn.alone.2.next.1^					В каком смысле? Не справляешься с учёбой?|Was meinst du damit? Versagst du in der Schule?

	odn.alone.2.next.1@41@Нет! Про мальчиков не могу перестать думать... Может быть, со мной что-то не то и я какая-то извращенка?|Nein! Ich kann nicht aufhören, an Jungs zu denken. Stimmt etwas nicht mit mir? Bin ich eine Art Nymphomanin?
		odn.alone.2.next.2^					Ты как раз в порядке!|Nein, dir geht es gut.

	odn.alone.2.next.2@46@Почему ты так думаешь? Мне же учиться надо, а в голове непойми что...|Denkst du, ja? Ich sollte lernen, aber mein Kopf ist voller....
		odn.alone.2.next.3^					Во-первых, все об этом думают...|Jeder denkt darüber nach

	odn.alone.2.next.3@41@Ты по себе судишь, Макс? Есть же другие девочки, которые хорошо учатся и не бегают за парнями...|Nach dir selbst zu urteilen, Max? Es gibt Mädchen, die gute Noten haben und keine Jungs jagen.
		odn.alone.2.next.4^					Это потому, что они все страшненькие, а ты красавица!|Weil sie hässlich sind und du nicht!

	odn.alone.2.next.4@48@Спасибо, Макс. Иногда ты можешь меня утешить...|Danke, Max. Manchmal heiterst du mich wirklich auf.
		odn.alone.2.next.5^					Может быть, тебе завести парня и тогда сможешь думать об учёбе?|Vielleicht solltest du dir einen Freund suchen, damit du wieder lernen kannst?

	odn.alone.2.next.5@41@Ага, легко сказать... Мне какой попало не нужен. Меня только мускулистые привлекают, а у них у всех есть девчонки...|Leichter gesagt als getan. Ich will nicht irgendeinen Freund. Ich will jemanden, der mich verführt, und die sind alle schon vergeben.
		odn.alone.2.next.6^					А что лучше? Умный или мускулистый?|Was ist deiner Meinung nach besser? Kluge Köpfe?

	odn.alone.2.next.6@49@А обязательно нужно выбирать?|Muss ich mich entscheiden?
		odn.alone.2.next.7^					Ну как правило, качки тупые...|Stärkere Kerle sind normalerweise dumm.
		odn.alone.2.next.7^					Конечно. Мышцы можно накачать, а умнее качок уже не станет...|Natürlich! Ein kluger Kerl kann ein stark werden, aber ein starker Kerl bleibt dumm.

	odn.alone.2.next.7@41@А тебе то откуда знать? Ты же ни с кем не общаешься?|Woher willst du das wissen? Du redest mit niemandem.
		odn.alone.2.next.8^					Ну, я знаю. А вот с умными всегда весело и интересно...|Ich weiß, kluge Jungs sind lustig und interessant.

	odn.alone.2.next.8@43@Ну, не знаю, не встречала... Кроме Алекса, конечно...|Keine Ahnung, habe noch nie einen getroffen. Außer natürlich Alex.
		odn.alone.2.next.9^					А как же я?|Was ist mit mir?

	odn.alone.2.next.9@41@Ты мой брат. Это другое... Да и с мышцами у тебя не очень...|Du bist mein Bruder und zu dünn.
		odn.alone.2.next.10^				А если накачаю?|Was, wenn ich anfange zu trainieren?

	odn.alone.2.next.10@48@Макс, я не пойму. Ты всё время шутишь или это у тебя такие намёки на что-то?|Ich verstehe dich nicht, Max. Machst du Witze oder versuchst du ernsthaft etwas anzudeuten?
		odn.alone.2.next.11a^				Может быть...|Vielleicht....
		odn.alone.2.next.11b^				Какие уж тут намёки, прямо говорю!|Ich weiß nicht, wie ich noch klarer sein kann!
		odn.alone.2.next.11c^				А ты как думаешь?|Was meinst du dazu?

	odn.alone.2.next.11a@41@Ну вот сначала разберись. А если накачаешь мышцы, то все девчонки будут твои...|Nun, finde heraus, was du willst. Und wenn du dich verbessert hast, kriegst du jedes Mädchen.
		odn.alone.2.next.12^				Мне нужна только ты...|Ich will nur dich.

	odn.alone.2.next.11b@41@Что ты прямо говоришь? Что накачаешь мышцы? Ну и правильно. Все девчонки будут твои...|Mehr Klarheit über was? Wird's spannend? Du solltest das tun, alle Mädchen werden deine sein.
		odn.alone.2.next.12^				Мне нужна только ты...|Ich will nur dich.

	odn.alone.2.next.11c@41@Я думаю, что ты ходишь вокруг, да около. И я никак не могу понять, что ты хочешь...|Ich denke, du bist zu zweideutig und ich verstehe nicht, was du willst.
		odn.alone.2.next.12^				Ты мне нужна...|Ich will dich

	odn.alone.2.next.12@40@Нужна? В каком плане?|Was meinst du damit?
		odn.alone.2.next.13^				Тебе нужен парень. Ну а мне девушка...|Ich meine, ich will dein Freund sein.

	odn.alone.2.next.13@50@Макс, ты с ума сошёл? Я думала, ты всё шутишь...|Bist du verrückt, Max? Ich dachte immer, du machst Witze.
		odn.alone.2.next.14^				Я серьёзно! я даже готов мышцы накачать, чтобы тебе нравиться!|Ich meine es ernst. Ich bin sogar bereit, für dich zu trainieren!

	odn.alone.2.next.14@46@Что, всё так запущено? А другую девушку не думал поискать?|Hast du überhaupt daran gedacht, nach jemand anderem zu suchen?
		odn.alone.2.next.15^				Я только о тебе думаю...|Ich denke nur an dich.

	odn.alone.2.next.15@40@Да уж... Очень странно это всё. В любом случае, мне нужно ещё переварить это всё. Так что, поболтаем в другой раз...|Wow. Es ist alles so seltsam.... Ich muss das durchdenken. Wir reden ein andermal....
		leave!set_can.talk.liza.bf_1!set_dcd.lizatalkswap_2^		Хорошо...|Okay



# --- 0.3: 3й разговор с ЛИзой, "одноклассник", 1й путь|Klassenkameradin, Route 1, 3. Konversation

	odn.alone.3.init@0@Ну как, подумала насчёт моего предложения?|Also, was hältst du von meinem Vorschlag?
	odn.alone.3@41@Насчёт твоего предложения руки и сердца?|Redest du über deinen Vorschlag zur Freundschaft?
		odn.alone.3.next.1^				Ого, ну не совсем...|Nun, vielleicht sollten wir nicht <i>so weit</i> gehen....
		odn.alone.3.next.1^				Ну, образно...|Sozusagen, schätze ich.

	odn.alone.3.next.1@48@В общем, я подумала. Скажи, а на что ты готов, чтобы... получить меня?|Das habe ich. Also sag mir, was willst du mir beibringen?
		odn.alone.3.next.2a^			Цену себе набиваешь?|Du gibst dir selbst einen Preis?
		odn.alone.3.next.2b^			Ради тебя на всё, конечно!|Alles für dich!
		odn.alone.3.next.3^				А что ты хочешь?|Und was willst du?

	odn.alone.3.next.2a@43@Конечно! Если уж ты такой озабоченный, то точно не отстанешь. Так почему бы не выторговать побольше? Но учти, я ни на что не согласилась!|Natürlich! Da du so darauf aus bist, mein Freund zu sein, kann ich mir genauso gut etwas davon holen. Und ich habe mich noch auf nichts geeinigt!
		odn.alone.3.next.3^				А что ?ы хочешь?|Und was willst du?
	odn.alone.3.next.2b@43@Ого! Очень громкие слова! Но учти, я ни на что не согласилась. Просто, любопытно что ты можешь для меня сделать...|Das sind ein paar kühne Worte, Max. Und denk dran, ich habe mich noch auf nichts geeinigt! Ich bin nur neugierig, was du bereit bist zu tun, um mich zu kriegen.
		odn.alone.3.next.3^				А что ты хочешь?|Und was willst du?

	odn.alone.3.next.3@41@Я подумала, что даже эта ситуация может быть весёлой. Так вот. У меня для тебя будут условия. Если ты их будешь выполнять, то...|Ich habe beschlossen, dass, wenn du meine Anforderungen erfüllst....
		odn.alone.3.next.4!set_count.fiz_2!set_liza.fiz_1^		То ты станешь моей девушкой!|Du wirst meine Freundin sein!

	odn.alone.3.next.4@49@Кажется, дурацкая была идея... Но может быть, ты ещё условия не выполнишь. И тогда от меня отстанешь и больше не будешь такое предлагать. Договорились?|Ich fange an, meine Entscheidung zu bereuen. Vielleicht erfüllst du meine Anforderungen nicht, oder du brichst deine Versprechen, dann lässt du mich in Ruhe und wirst es nicht mehr erwähnen. Abgemacht?
		odn.alone.3.next.5^				Я выполню любые условия!|Ich werde allen Anforderungen gerecht!
		odn.alone.3.next.5^				Договорились!|Deal!

	odn.alone.3.next.5@41@Только учти, условия будут сложные. И не жульничать!|Es wird nicht leicht sein. Und schummel nicht!
		odn.alone.3.next.6^				Ладно, ладно, говори уже, что нужно?|Okay, okay, sag mir einfach, was du willst.

	odn.alone.3.next.6@49@Итак, первое условие. Оно самое лёгкое, потому-что, ты и так готов был это делать. Тебе нужно как минимум 2 раза в неделю делать зарядку, хотя бы по часу.|Regel Nummer eins. Es ist das einfachste, weil du sowieso schon bereit warst, es zu tun. Du musst mindestens zweimal pro Woche Yoga machen!
		odn.alone.3.next.7^				И всего-то?|Das ist alles?

	odn.alone.3.next.7@41@Я знаю какой ты ленивый и если окажется, что ты нарушил обещание, то всё. Больше никаких разговоров. Кроме того, мой парень должен быть в хорошей форме... Отсчёт начнётся со следующей недели.|Ich weiß, wie faul du bist. Wenn du es nicht tust, ist der Deal geplatzt, keine Fragen mehr. Mein Freund muss in guter Verfassung sein. Die Regel beginnt in der nächsten Woche.
		odn.alone.3.next.8^				Отличный стимул! Что дальше?|Ich habe eine große Motivation. Was kommt als nächstes?

	odn.alone.3.next.8@49@Это даже не условие, а такое одноразовое испытание. И ты его не пройдёшь, потому-что всё время сидишь дома и занимаешьс ерундой. Ты должен доказать, что сможешь меня обеспечивать!|Das ist nicht einmal eine Voraussetzung, das ist ein einmaliger Versuch. Und du wirst scheitern, weil du das Haus nie verlässt. Du musst mir beweisen, dass du für mich sorgen kannst!
		odn.alone.3.next.9^				Всмысле, деньги нужны?|Du brauchst also Geld?

	odn.alone.3.next.9@43@Ага. Парни балуют своих девушек, верно? А если ты бедный, то с тобой скучно. Мне не нужен скучный парень. Если принесёшь $1000, то я расскажу про следующее условие...|Yep. Freunde sollen ihre Freundinnen verwöhnen, richtig? Wenn du mir $1000 besorgst, sage ich dir deine nächste Anforderung....
		money>999&odn.alone.3.next.10a!add_money_-1000^		Держи $1000 прямо сейчас!|Ich habe $1000 bei mir.
		odn.alone.3.next.10b^			И давно ты стала такой меркантильной?|Und wann bist du so kaufmännisch geworden?

	odn.alone.3.next.10b@49@Это не я, Макс, такая. Это жизнь такая. Приходится крутиться... Ну, так у нас девочки в классе говорят...|Es geht nicht nur um mich, Max, es geht um das Leben. Ich muss irgendwie Geld bekommen.... Zumindest sagen das die Mädchen in der Schule.
		odn.alone.3.next.10c^			Ладно, будут тебе деньги...|Okay, du bekommst dein Geld.

	odn.alone.3.next.10c@41@И напоминаю: если не будешь делать два раза в неделю зарядку, со мной можешь попрощаться и на эту тему больше не разговариваем...|Nur zur Erinnerung, vergiss nicht zwei Yoga-Übungen pro Woche!
		leave!set_poss.swap_21!set_can.talk.liza.bf_2^			Я всё понял...|Ja, ich verstehe.

	odn.alone.3.next.10a@49@Чёрт! Я думала, что эта задача будет для тебя невыполнимой... Нужно было больше просить... А где ты их взял, Макс?|Scheiße! Ich war Sicher, dass du das nie schaffen wirst. Ich hätte mehr verlangen sollen.... Woher hast du das Geld, Max?
		odn.alone.3.next.11^			Это не важно...|Es spielt keine Rolle.
		odn.alone.3.next.11^			Заработал!|Ich habe es verdient

	odn.alone.3.next.11@48@Если ты хочешь стать моим парнем, то у тебя не должно быть от меня секретов!|Wenn du mein Freund sein willst, darfst du keine Geheimnisse vor mir haben!
		odn.alone.3.next.12^			Ну ты же ещё не моя девушка...|Du bist noch nicht meine Freundin.

	odn.alone.3.next.12@40@Верно. Ладно. Надеюсь, ты их не украл. Я могла бы потребовать, чтобы ты мне приносил деньги каждую неделю, например... Но я не настолько меркантильная, чтобы требовать конкретную сумму...|Oh, richtig. Schön. Ich hoffe, du hast nichts gestohlen. Ich könnte dich um ein Taschengeld bitten, aber ich bin nicht kaufmännisch genug, um jede Woche eine bestimmte Summe zu verlangen.
		odn.alone.3.next.13^			О, я рад!|Gut zu wissen

	odn.alone.3.next.13@41@Поэтому, ты будешь отдавать мне все свои деньги!|Deshalb wirst du mir immer dein ganzes Geld geben!
		odn.alone.3.next.14^			Чт??!|Was!!?

	odn.alone.3.next.14@43@Да я шучу, расслабься! Будешь мне покупать всякие штучки иногда и я буду счастлива, а деньгами распоряжайся как хочешь...|Ich mach nur Spaß, entspann dich! Du kannst mir ein paar Sachen kaufen und ich werde glücklich sein. Du kannst dein Geld behalten.
		odn.alone.3.next.15^			Успокоила... Что-то ещё?|Okay. Sonst noch etwas?

	odn.alone.3.next.15@41@Конечно! Я только начала. Ты должен будешь делать за меня уроки. Защищать меня перед мамой, если она захочет меня наказать... Что же ещё...|Natürlich habe ich gerade erst angefangen. Du machst meine Hausaufgaben, verteidigst mich vor Mama, wenn sie mich bestrafen will.... Was noch....
		odn.alone.3.next.16^			Мне кажется, что этот список никогда не закончится...|Sieht so aus, als ob deine Wunschliste endlos ist.

	odn.alone.3.next.16@48@А кто говорил, что он закончится? Может быть, это мой план! А если серьёзно, то я ещё подумаю, потом скажу. Хорошо? Но не забывай делать зарядку!|Ich habe nie gesagt, dass meine Anforderungsliste endlich ist. Vielleicht war es die ganze Zeit mein Plan? Wie auch immer, ich denke mir etwas anderes aus und lasse es dich wissen. Vergiss nicht, zu trainieren.
		leave!set_poss.swap_22!set_dcd.lizatalkswap_2!set_can.talk.liza.bf_2^			Ладно, думай...|Okay



# --- 0.3: Разговор с Лизой насчёт фейла с зарядкой по утрам|Max hat seine Ausübungsvoraussetzungen nicht erfüllt.

	liza.fail.init@0@Насчёт зарядки...|Über Übungen
	liza.fail@41@Ага, я уже в курсе. Мне мама сказала, что ты пропустил занятия... Ну что, не быть нам больше парой...|Ja, das weiß ich schon. Mom hat mir gesagt, dass du sie vermisst. Also sind wir wohl nicht mehr Freund und Freundin....
		liza.fail.wait^		Что я могу для тебя сделать, чтобы ты передумала?|Kann ich etwas tun, um deine Meinung zu ändern?

	liza.fail.wait@43@Сомневаюсь, что у тебя получится... За $350 я готова закрыть на это глаза один раз. Что скажешь?|Ich bezweifle, dass du das kannst.... Ich könnte dir diesmal verzeihen, wenn du mir $350 gibst. Was meinst du dazu?
		money>349&liza.fail.wait.ok!add_money_-350^			Бери деньги...|Hier ist das Geld.
		leave^												Я подумаю...|Ich werde darüber nachdenken.

	liza.fail.wait.ok@41@Ох, Макс... Не буду спрашивать откуда у тебя такие деньги, ну да ладно. Ты прощён на неделю. Но если опять облажаешься, я обижусь.|Wow, Max.... Ich werde dich nicht fragen, woher du das Geld hast. Dir wurde eine Woche lang vergeben. Aber wenn du es wieder vermasselst, bin ich beleidigt.
		leave!set_count.fiz_2!set_fiz.fail_0^				Не облажаюсь!|Ich werde es nicht vermasseln!



# --- 0.3: Разговор с Лизой по поводу денег для её требования $1000|giving Lisa a grand she asked for

	odn.alone.got1000.init@0@У меня есть $1000!|Ich habe das Geld!
	odn.alone.got1000@50@Да ладно?! Шутишь, Макс?|Komm schon! Willst du mich verarschen, Max?
		odn.alone.3.next.10a!add_money_-1000^	Нет, держи...|Nein, Hier
		leave!add_liza.mood_-50^				Ага, пошутил...|Ja, Ich habe nur Spaß gemacht



# --- 0.3: Разговор с Лизой, возможность "одноклассник", выбираем путь войны с Оливией за Алекса|Klassenkameradin Gelegenheit, die Wahl Krieg mit Olivia

	odn.war.begin.init@0@Какие новости насчёт Алекса?|Irgendwelche Neuigkeiten über Alex?
	odn.war.begin@40@Ну, кое-что узнала... А тебе правда это всё интересно?|Einige.... Kümmert es dich wirklich?
		odn.war.begin.next.1a^				Конечно. Ты же моя сестрёнка!|Natürlich! Du bist meine Schwester!
		odn.war.begin.next.1b^				Очень. Я же хочу помочь!|Ja. Ich möchte helfen.

	odn.war.begin.next.1a@41@Ну, если ты у нас становишься таким заботливым, то расскажу кое-что...|Okay, da du plötzlich so aufmerksam bist, sage ich es dir.
		odn.war.begin.next.2^				Слушаю...|Ich höre zu....

	odn.war.begin.next.1b@41@Интересно. Что-то задумал или и правда приступ альтруизма? Хотя, не важно. Если ты такой любопытный, то расскажу кое-что...|Ich frage mich, ob du etwas planst oder ob es dich wirklich interessiert? Eh, was auch immer, ich werde es dir sagen, da du es wissen willst.
		odn.war.begin.next.2^				Слушаю...|Ich höre zu....

	odn.war.begin.next.2@49@В общем, моё первое впечатление об Оливии было ошибочное, похоже. Я почему-то подумала, что она такая тихая, скромная девочка, но когда она с кем-то наедине, то она ведёт себя совсем иначе...|Ich denke, mein erster Eindruck von Olivia war falsch. Ich nahm an, sie sei schüchtern und ruhig, aber wenn sie mit jemandem allein ist, verhält sie sich ganz anders.
		odn.war.begin.next.3^				Насколько... иначе?|Was meinst du damit?

	odn.war.begin.next.3@41@Она хитрая двуличная стерва, вот что я тебе хочу сказать. Более того, она даже трусы не носит, представляешь!|Sie ist eine gemeine, doppelzüngige Schlampe, das sage ich. Sie trägt nicht mal ein Höschen!
		odn.war.begin.next.4^				Ну теперь понятно, почему за ней все парни бегают...|Jetzt verstehe ich, warum sie so beliebt ist.

	odn.war.begin.next.4@46@Думаешь, всё дело в этом? Не может быть!|Denkst du, das ist der Grund?
		odn.war.begin.next.5^				Точно тебе говорю. Наверняка, каждый пытается под юбку заглянуть...|Auf jeden Fall. Jeder versucht nur, unter ihren Rock zu gucken.

