# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
		11.cd.3^		<i>продолжать</i>|<i>fortfahren</i>

	11.cd.3@4@b-ak-3@<i>Хотя, Катя и делает вид, что ревнует, но судя по её взгляду она очень хотела бы оказаться на месте Алисы... Кажется, даже её трусики намокли...</i>|<i>Kate might act like she's all superior, but I see how she's looking at us. She definitely wants to be in Alice's place right now... Her panties are wet too...</i>
		11.cd.4^		<i>продолжать</i>|<i>fortfahren</i>

	11.cd.4@3@b-ak-5@<i>Алиса так приятно пахнет... И она так стонет от удовольствия... Что я сам чуть ли не кончаю от возбуждения... Ну ничего, отыграюсь на Катюхе...</i>|<i>Alice's smell is driving me mad... And her moans... I hope I don't cum right now... Can't wait to use Kate soon...</i>
		11.cd.5^		<i>продолжать</i>|<i>fortfahren</i>

	11.cd.5@25@Ох, Макс... Как же приятно... Можешь остановиться... Кажется, ты слишком увлёкся... Я уже кончила... Ох... как классно...|Oh, Max... So good... You can stop... I think you got carried away here... I already came. That felt incredible!
		11.cd.6^		<i>далее</i>|<i>fortfahren</i>

	11.cd.6@33@b-ak-6@Ну что, Кать... Теперь твоя очередь... Отблагодарить Макса. Причём так, как он попросит... А теперь раздевайтесь оба...|Looks like it's your turn, Kate. Be a good girl and show my gratitude to Max. Get naked, both of you.
		11.cd.7^		<i>раздеться</i>|<i>undress</i>

	11.cd.7@21@b-ak-14@Как быстро... Ну, Макс, что ты хочешь сделать с моей Катюшей? Не стесняйся, она уже ручная и почти не ворчит...|So quickly... Well, Max, what do you want to do to my Kate? Don't worry, she's trained and shouldn't complain too much anymore.
		11.cd.8^		Пусть отсосёт!|I want her to blow me
		11.cd.8b^		Хочу трахнуть её!|I want to fuck her

	11.cd.8b@25@Отличный выбор, Макс! А куда? Но учти, только один вариант... Нам с Катей ещё развлекаться. Не хочу, чтобы ты её слишком растянул...|Great choice, Max. Where do you want to fuck her? Remember, you can only pick one hole, we want to be able to go on after you're done with her.
		11.cd.16^		Ну, как обычно, в киску...|I want her pussy
		11.cd.20^		В попку, куда же ещё!|I want to fuck her ass!


	11.cd.8@153@b-ak-15@Может быть ты, Алисик, порадуешь своего непутёвого братика? А то почему всё я, да я?|Don't you want to pleasure your brother yourself? Why does it have to be me?
		11.cd.9^		<i>далее</i>|<i>fortfahren</i>

	11.cd.9@21@Катюша, это что, шутка? Хочешь, чтобы наказала как в тот раз? Я тебе говорю: соси его член! И чтобы ему понравилось. Очень понравилось... Начинай!|Do you want me to punish you again, Kate? Start sucking my brother's cock, and he better like it!
		11.cd.10^		<i>далее</i>|<i>fortfahren</i>

	11.cd.10@4@b-ak-17@<i>Интересно, как же Алиса наказывает Катю, если этот довод так хорошо работает? Хотя, сейчас это не важно... Сосёт она и правда классно...</i>|<i>I wonder how Alice is punishing Kate if it works so effectively. Eh, who cares, I have better things to think about. Like Kate's incredible mouth!</i>
		11.cd.11^		<i>наслаждаться</i>|<i>Genießen</i>

	11.cd.11@25@b-ak-17@Катя! Я за вами смотрю... Старайся лучше. Макс должен остаться доволен... Да, и не забудь всё проглотить!|I'm watching you, Kate. Do better. Max better enjoy your blowjob, and don't forget to swallow everything.
		11.cd.12^		Ох...|Oh...

	11.cd.12@4@b-ak-18@<i>Ну как тут сдерживаться? Такие нежные горячие губки, очень опытные губки, надо заметить... И так старается... Ох, я кончаю...</i>|<i>How am I supposed to hold off in this situation? Such gentle, hot and experienced lips... Kate's definitely trying her best... I'm cumming!</i>
		11.cd.13^		<i>кончить Кате в ротик</i>|<i>cum in Kate's mouth</i>

	11.cd.13@25@b-ak-19@Молодец, Катюша... Судя по довольному лицу Макса ты и правда хорошо постаралась... Ну всё, глотай всё до капли!|Looks like you did a great job, Kate. Now swallow everything.
		11.cd.14^		<i>далее</i>|<i>fortfahren</i>

	11.cd.14@153@b-ak-20@Значит, теперь мы можем с тобой разлечься и Макс нам больше не нужен?|Does this mean we can have our fun without Max now?
		11.cd.15^		<i>далее</i>|<i>fortfahren</i>

	11.cd.15@21@Думаю, да... Я, глядя на вас опять возбудилась. Макс, можешь одеваться. А мы с Катюшей продолжим. Есть у меня ещё пара идей...|I think so. I'm so wet right now... You can go, Max, I have a couple ideas about Kate and me...
		leave!max_cam.1.grow_300!set_dcd.glz_3!time!lock_sisroom_5^		Развлекайтесь!|Have fun!


	11.cd.16@151@b-ak-20@Алисик, а ты точно хочешь, чтобы мою киску растянул член твоего брата? Может быть, я ему отсосу и мы продолжим с тобой вдвоём развлекаться?|Are you sure you want him so stretch me? Maybe I give him a quick blowjob so we will have our private fun?
		11.cd.17^		Ложись!|Lie down!

	11.cd.17@4@b-ak-21@<i>Ого, сразу подчинилась. Видимо, Алиса и правда как-то жёстко её воспитывает... Интересно, как именно? Хотя, какая разница?</i>|<i>Well, that was quick. I'm glad Alice's training is working. I wonted how she does it... Oh well, I have more important matters on my hands.</i>
		11.cd.18^		<i>трахать Катю</i>|<i>fuck Kate</i>

	11.cd.18@3@b-ak-22@<i>А вот и Алиса завелась... Похоже, смотреть ей нравится не меньше, чем трахаться. Иначе почему она не присоединяется? Уж я бы постарался...</i>|<i>Alice is so horny right now... I think she likes to watch as much as the fucking itself. Is this why she won't join us? I'd love to work on both of them...</i>
		11.cd.19^		<i>продолжать</i>|<i>fortfahren</i>

	11.cd.19@157@b-ak-23@Макс... У тебя получается всё лучше и лучше... Кажется, я не совсем лесбиянка... О да, Макс... хорошо... можешь кончать куда хочешь...|You're getting better and better, Max... It's like you're changing me from the inside... I'm thinking I might not be a lesbian after all... Yes, Max... You can cum anywhere...
		11.cd.20a^		<i>кончить на животик</i>|<i>cum on Kate's stomach</i>
		11.cd.20b^		<i>кончить в киску</i>|<i>cum inside</i>

	11.cd.20a@4@b-ak-24@<i>Ох... Как же это приятно... Кате, очевидно, тоже... Даже похвалила меня? Похоже, она и правда меняется...</i>|<i>This is so nice... Kate likes it too... Did she just give me a compliment? Maybe she really is changing.</i>
		11.cd.20a.2^	<i>далее</i>|<i>fortfahren</i>

	11.cd.20b@4@b-ak-25@<i>Ох... Как же это приятно... Кате, очевидно, тоже... Даже похвалила меня? Похоже, она и правда меняется...</i>|<i>This is so nice... Kate likes it too... Did she just give me a compliment? Maybe she really is changing.</i>
		11.cd.20a.2^	<i>далее</i>|<i>fortfahren</i>

	11.cd.20a.2@152@b-ak-20@Ну что, Алисик, понравилось шоу? Давай теперь с тобой развлечёмся, а? Макс же нам больше не нужен?|Did you like the show, Alice? Is it our turn now? Without Max?
		11.cd.15^		Вот как...|So that's how it is
		11.cd.15^		Как это не нужен?|There's always more fun with Max!


	11.cd.20@156@b-ak-27@Ну давай... Только смазки побольше, а то после прошлого раза я пару дней не могла нормально сидеть...|Schön... But use a lot of lube, I couldn't sit straight after our last time...
		11.cd.21^		Угу...|Yeah

	11.cd.21@4@b-ak-30@<i>О да... Как хорошо... Вошло даже легче, чем в прошлый раз... Похоже, дело не только в смазке...</i>|<i>Kate's ass feels so good... I slid in even easier than the last time... And I'm sure it's not because of lube...</i>
		11.cd.22^		<i>трахать Катю в попку</i>|<i>fuck Kate in the ass</i>

	11.cd.22@21@b-ak-29@Макс, поработай над ней как следует... Я хочу, чтобы Катя уяснила что бывает с теми, кто меня не слушается...|If you won't listen to me, Kate, next time we'll be doing this with no lube! Work on her properly, Max.
		11.cd.23^		Похоже, ей нравится!|She's enjoying it too much, I'm not sure this will work as a punishment even without the lube...

	11.cd.23@25@b-ak-32@Да, похоже на то. Вот тебе и наказание... Ну что же, всё равно не останавливайся, наоборот, давай быстрее!|Oh, it will... But let's not dwell on it, you're not punishing her right now. Faster, Max!
		11.cd.24^		<i>ускориться</i>|<i>speed up</i>

	11.cd.24@4@b-ak-30@<i>Кажется, Катя и правда очень приятно... Она сама помогает мне своей попкой... Ох, я так долго не смогу сдерживаться...</i>|<i>Yeah, definitely not a punishment... She's even pushing towards me... I can't hold off anymore...</i>
		11.cd.25a^		<i>кончить в её попку</i>|<i>cum in Kate's ass</i>
		11.cd.25b^		<i>кончить Кате на спину</i>|<i>cum on Kate's back</i>

	11.cd.25a@33@b-ak-31@Макс, кончаешь? Давай, наполни её попку как следует, чтобы вытекать начало... Но только не на кровать!|Are you cumming, Max? Fill her ass with your cum, I want to see her leaking... Not on my bed, though!
		11.cd.25a.2^	<i>далее</i>|<i>fortfahren</i>

	11.cd.25a.2@153@b-ak-27b@Да, Макс... Не ожидала я, что это будет так приятно... Похоже, я скоро не смогу без тебя обходиться...|Wow, Max... I can't believe it's actually enjoyable... I hope I don't get addicted to your cock...
		11.cd.25a.3^	Обращайся!|I hope you do!

	11.cd.25a.3@21@b-ak-14@Ну всё, Макс, ты хорошо поработал. Одевайся и... тебе пора. А мы с Катюшей сейчас продолжим... У меня появилась пара интересных идей.|That's enough, Max, good job. You can go now. Kate and I are going to have some private fun now.
		leave!max_cam.1.grow_300!set_dcd.glz_3!time!lock_sisroom_5^		Ладно, пока!|Okay, bye

	11.cd.25b@25@b-ak-28@Да, вот так, Макс... Пусть вся её попка будет в сперме... Но только не промахнись и не испачкай мою кровать!|Yes, yes... cover her entire ass in sperm... Don't get it on my bed, though!
		11.cd.25b.2^	Хорошо...|Okay

	11.cd.25b.2@21@b-ak-27c@Ну всё, Макс, ты хорошо поработал. Одевайся и... тебе пора. А мы с Катюшей сейчас продолжим... У меня появилась пара интересных идей.|That's enough, Max, good job. You can go now. Kate and I are going to have some private fun now.
		leave!max_cam.1.grow_300!set_dcd.glz_3!time!lock_sisroom_5^		Ладно, пока!|Okay, bye


	11.cd.25@153@b-ak-13@Ага, сомневаешься, что сможешь лучше? Ну и правильно! Вот сиди тогда там и смотри как работает опытный язычок...|Giving up, Max? I'm glad you know your place. Now sit tight and watch the maestro at work...
		11.cd.26^		<i>смотреть</i>|<i>watch</i>

	11.cd.26@21@b-ak-9@Ты знаешь, Кать, Макс тоже отлично справляется... Так что, тебе придётся постараться, чтобы сохранить титул лучшей... даже не знаю как сказать...|You're too hard on Max, Kate, he's amazingly good... You better work hard to keep your title...
		11.cd.27^		<i>далее</i>|<i>fortfahren</i>

	11.cd.27@4@b-ak-10@<i>Конечно, с Катей бесполезно соревноваться в этом, но Алисе точно нравится как мы оба это делаем. Уж насчёт этого она врать не стала бы...</i>|<i>I may not be as good as Kate, but we all know how much Alice likes when I do it. She doesn't have a reason to lie about it.</i>
		11.cd.28^		<i>далее</i>|<i>fortfahren</i>

	11.cd.28@25@b-ak-11@Макс, смотри не перевозбудись... Хотя, когда Катя закончит со мной, она вся в твоём распоряжении...|Don't get too worked up, Max... At least until I'm done with Kate. After that she's all yours.
		11.cd.29^		Супер!|Super!

	11.cd.29@33@b-ak-12@Да, Катюша, да... Я тебя люблю... Я вас обоих просто обожаю... Как же хорошо-то... Да...|Yes, Kate, yes... I love you... I love you both... So good... Yes...!
		11.cd.30^		<i>далее</i>|<i>fortfahren</i>

	11.cd.30@154@b-ak-13@Постой, я не поняла... Сначала ты, а теперь я и его должна обслужить?|Wait, so first you and now him? When it's gonna be my turn?
		11.cd.31^		Раздевайся!|Undress!

	11.cd.31@22@b-ak-14@Кать, это я не поняла. У тебя какие-то возражения? Любишь наказания? Нет, тогда дай Максу решить что он будет с тобой делать...|Are you refusing my word, Kate? Do you love our punishments that much? If you don't, then let Max do whatever he wants with you.
		11.cd.8^		Пусть Катя отсосёт у меня!|I want her to blow me
		11.cd.8b^		Хочу трахнуть её!|I want to fuck her



# --- 0.11: Ответвление из диалога у ТВ с Алисой насчёт наказания

	11.da.0@22@Ой, Макс... Опять ты со своими глупостями? Отвали! Я сейчас не в настроении. Просто забудь и займись чем-нибудь...|No, Max, I'm not in the mood. Go make yourself useful somewhere.
		11.da.1!set_spun.alisa_0^		Но...|But...

	11.da.1@20@Никаких но. Просто забудь. Или мне опять напоминать тебе кое о чём? Я бы не хотела. Так что, сделаем вид, что ты уже меня наказал. Все будут довольны...|No buts. Do I have to remind you about the shift in our relationships? I don't want to lord it over you every time we have a conversation, but I don't feel like being punished right now. Just tell mom you did it.
		11.da.2^		Блин...|Misst...

	11.da.2@21@Ты знаешь, у меня есть идея получше... Может быть, пока никого нет, немного развлечёмся вместо твоих дурацких наказаний?|Besides, I have a better idea. Since we're alone, how about we do something more interesting than your stupid punishments?
		11.da.3a^		Ну давай...|Sure
		leave!lock^		Не, я пойду...|No, I should go



# --- 0.11: Первое ответвление у ТВ с Алисой

	11.da.3a@25@Хм... Любопытно. И что именно ты предлагаешь? Массаж?|That's better! I'm sure we can come up with something fun. What do you want to do?
		11.da.4^		Давай свои ножки...|Well, we usually do massages here...

	11.da.3@25@Хм... Любопытно. И что именно ты предлагаешь? Массаж?|Sure. What do you have in mind? Massage?
		11.da.4^		Давай свои ножки...|Yeah

	11.da.4@33@Вот только я бы хотела немного другой массаж... Ты же сделаешь это для меня?|Actually, I was thinking about something else. Would you be so kind?
		11.da.5^		Что именно?|What do you have in mind?

	11.da.5@21@Макс, ну не тупи... Ты же всё понял... Хочу, чтобы массаж был... язычком... И совсем не ножек... Давай...|I want you to... “massage” me... but not my legs. Preferably with your tongue, if you catch my drift...
		11.da.6^		Ну хорошо...|Oh, okay

	11.da.6@25@b-tv-5@Если хочешь, я даже разденусь для тебя... Только смотри, чтобы никто не зашёл в гостиную, а то даже не знаю как это объяснить...|I can even get naked, if you want... But keep watch, I don't want to get caught like this.
		11.da.7^		Это ты смотри, я буду занят...|Like I could look away from you... You keep watch, you have a better vantage point anyway

	11.da.7@33@b-tv-6@Ну что, я готова, как видишь... Моя киска только и ждёт твоего язычка... Ты же меня любишь? Покажи как сильно... Только нежно...|Thanks, Max... My pussy is ready for you... Show me how much you love me... And be gentle...
		11.da.8^		<i>ласкать Алису</i>|<i>pleasure Alice</i>

	11.da.8@4@b-tv-7@<i>Ого, Алиса и правда очень возбуждена... Если бы я ей отказал, думаю, она бы сама накинулась на меня... Похоже, ей очень нравится...</i>|<i>Wow, Alice is so worked up already... I wonder if she'd jump my cock if I'd refused to do this... Not that I mind helping her out...</i>
		11.da.9^		<i>продолжать</i>|<i>fortfahren</i>

	11.da.9@26@b-tv-8@Макс... Я уже кончаю... Ты... такой классный... да, да... вот так... Ох, Макс...|I'm so close already... Yes, yes... Just like this... Oh, Max...
		11.da.10^		Так быстро?!|Already!?

	11.da.10@25@b-tv-6@Ну... Да. Такая обстановка, я голая, кто-то может войти, а мы тут таким занимаемся... Это очень заводит... Спасибо тебе, было классно!|I guess... We're here, I'm naked, we can get caught at any moment... This is a very exhilarating setting... Thank you, Max.
		11.da.11^		Обращайся!|Anytime, sis!
		11.da.11b^		Может, и меня порадуешь?|Maybe you could return the favor?

	11.da.11b@21@Может быть... Но не сегодня. Что-то уже расхотелось продолжать... Давай в другой раз...|Definitely, but not today. I don't want to get caught.
		leave!max_cam.4.grow_300!time^		Ну ладно...|Fine, another time then

	11.da.11@21@Ну если ты настаиваешь... То обращусь... И не раз... А на сегодня это всё, а то нас чуть не поймали...|Maybe I will... Many times over... But we should stop for today, I don't want to get caught.
		leave!set_atv_1!max_cam.4.grow_300!time^		Хорошо...|Okay



# --- 0.11: Второе ответвление у ТВ с Алисой

	11.da.12@33@Какая? Хочешь повторить то, что было в прошлый раз? Я только за. Такой массаж мне особенно нравится!|Oh... Do you want to repeat our last time? I liked it more than our usual massage...
		11.da.13^		Ну давай...|Sure...
		11.da.13b^		Может быть, теперь твоя очредь?|Don't you think it's my turn?

	11.da.13b@22@Моя очередь? Что за глупости! Ты же любишь меня? Вот и покажи насколько. А то я уже начинаю забывать как это было в прошлый раз...|Aw, but I already worked myself up in anticipation... I'm sure you don't want to let me down. Please, Max?
		11.da.13b.2^	Так нечестно!|Don't you think we'd both win if we properly motivated each other to do our best?

	11.da.13b.2@21@Макс, я сама решаю что честно, а что нет. Ну сделай это для меня, чего тебе стоит? А в следующий раз так уж и быть, будет моя очередь...|Okay, I promise I'll make it up to you next time. But could it be your turn again today? Pretty please?
		11.da.13^		Ну ладно...|Fine. It's better be worth it

	11.da.13@25@b-tv-5@Мне снять футболку, как в прошлый раз? Нравится смотреть на моё тело, трогать его... возбуждает?|Should I take my shirt off again? I'm sure you like seeing me... Touching me... Does it turn you on?
		11.da.14^		Снимай!|Take it off!

	11.da.14@21@b-tv-6@Как скажешь, Макс... А теперь приступай, моя киска очень, очень влажная и ждёт твой ловкий и нежный язычок...|Okay... You can start, Max. My pussy is very, <i>very</i> wet for you... Please don't make me wait...
		11.da.15^		<i>ласкать Алису</i>|<i>pleasure Alice</i>

	11.da.15@4@b-tv-7@<i>Похоже, у Алисы уже зависимость от моих ласк. Конечно, я бы лучше её оттрахал как следует, но это опасно сейчас... Так что, будем работать с тем, что есть...</i>|<i>At least Alice seems to really crave this. I'd prefer to just fuck her, of course, but it's too dangerous here.</i>
		11.da.16^		<i>продолжать</i>|<i>fortfahren</i>

	11.da.16@21@b-tv-8@Ох, Макс... ЭТо так классно... У тебя получается всё лучше и лучше... А то, что нас могут поймать... Это так заводит... И я обсолютно голая... Ещё чуть-чуть...|So good, Max... I can't believe you're still getting better at this... And the chance to get caught... naked, like this... Almost...
		11.da.17^		<i>продолжать</i>|<i>fortfahren</i>

	11.da.17@4@b-tv-7@<i>Кажется, она кончает! Опять... И так быстро... Ну да, в такой ситуации и я бы долго не продержался... А если нас поймают? Как это объяснить?</i>|<i>I think she's cumming! So quickly... I wouldn't be able to hold off either... I don't even want to think about getting caught like this...</i>
		11.da.18^		<i>далее</i>|<i>fortfahren</i>

	11.da.18@25@b-tv-6@Макс! Ты лучший... Честно! Мне жаль, что приходится иногда намекать на тот компромат... Я бы хотела, чтобы ты был готов для меня на всё и без всяких угроз...|You're the best, Max! I'm really sorry I have to remind you about the tape sometimes. I'd very much prefer you wanting to do this without any tapes.
		11.da.19^		Так удали его!|That's easy, just delete the video

	11.da.19@33@Ну а вдруг ты передумаешь? Кто будет ласкать мою киску? Катя? Ну я уже и не знаю кто из вас лучше это делает, если честно... Лиза? Так она пока не очень опытная в этих делах...|What if you won't do it anymore? Who's going to give me such an amazing cuni then? I'm not even sure Kate does it better than you anymore. And Lisa doesn't have much experience in this...
		11.da.20^		Хм...|Didn't we just talk about proper motivation for the best results?

	11.da.20@21@Вот и остаёшься только ты... Ладно, в следующий раз я сделаю для тебя кое-что, обещаю... Всё, надо одеться...|I promise, I'll make it up for you next time. I should get dressed, though, we don't want to get caught like this.
		leave!set_atv_2!max_cam.4.grow_300!time^		Договорились!|We'll see



# --- 0.11: Третье ответвление у ТВ с Алисой

	11.da.21@33@p-alisa-tv-mx1@Ой, Макс, хочешь повторить? Я за. Даже очень! Только тебя и ждала... Порадуешь меня?|Oh, do you want to make me happy again? I'm ready!
		11.da.22^		Мы о другом договаривались...|That's not what you said last time

	11.da.22@22@p-alisa-tv-mx2@О чём? Что-то я не помню... Ну Макс, ты же такой классный... И так ловко работаешь язычком...|What did I say last time? I don't remember anything... You're so great, Max... And so skillful...
		11.da.23^		Ты обещала!|Didn't you promise me a blowjob, like, five times?

	11.da.23@21@p-alisa-tv-mx3@Обещала? Хм...  Ну... Да, это будет честно. К тому же, ты так быстро довёл меня до оргазма тогда... Ну всё, снимай шорты!|Awwww... Fine, I guess it's only fair... And if it will motivate you to be even better... How could I possibly say no to that? Take off your shorts!
		11.da.24^		<i>снять шорты</i>|<i>take off shorts</i>

	11.da.24@25@p-alisa-tv-mx4@Сейчас я буду немножко занята, а ты смотри по сторонам. Если услышишь, что кто-то идёт, дай мне знать. Не хочу объясняться...|Keep your eyes open, Max, I'm going to be too busy to be lookout. Let me know if you hear something, I don't want to explain this to anyone.
		11.da.25^		Хорошо!|Okay

	11.da.25@21@p-alisa-tv-mx5@И Макс... Раз уж мы решили друг дружку так баловать, давай это будет по очереди. Один раз ты, один раз я... Так будет честно...|And about best results... I think taking turns would be for the best. You do me, then I do you, etc.
		11.da.26^		Договорились!|Deal

	11.da.26@4@p-alisa-tv-mx6@<i>По очереди? Это значит, что я смогу претендовать на гарантированный минет у ТВ через день? Вот это отличный договор!</i>|<i>Taking turns? Sounds like I can have a guaranteed blowjob every other day! Sign me up!</i>
		11.da.27^		<i>наслаждаться</i>|<i>Genießen</i>

	11.da.27@3@p-alisa-tv-mx7@<i>Сестрёнка отлично справляется... И так старается... Явно хочет, чтобы мне это запомнилось... И надолго... Как же это классно...</i>|<i>I think Alice really took the idea of motivation to heart. She's definitely trying her best... The day just keeps getting better and better...</i>
		11.da.28^		<i>далее</i>|<i>fortfahren</i>

	11.da.28@4@p-alisa-tv-mx6@<i>Ого... Она так ускорилась... и язычком помогает и рукой... Кажется, я больше не смогу сдерживаться... О да...</i>|<i>She's speeding up... And the things she does with her tongue... I don't think I can hold off anymore...</i>
		11.da.29^		<i>кончить Алисе в ротик</i>|<i>cum in Alice's mouth</i>

	11.da.29@21@p-alisa-tv-mx8@Ну как, ты доволен, Макс? Твои прошлые старания оказались достаточно хорошо вознаграждены?|Are you happy now? Do you think you were adequately rewarded for our last time?
		11.da.30^		Да...|Yeah...

	11.da.30@25@Ну всё. В следующий раз - твоя очередь. Я буду ждать... Если честно, то и сейчас бы на тебя набросилась... Но боюсь, что нас могут поймать. Так что, до следующего раза...|Okay. It's your turn next time. I'll be waiting... To be honest, I'd like to jump you right now... But this isn't a good place for it. Until next time...
		leave!set_atv_3!max_cam.4.grow_300!time^		Хорошо!|Sure!



# --- 0.11: Четвёртое ответвление (периодическое). Макс делает куни Алисе

	11.da.31@33@b-tv-5@Ой, Макс... Ты что, ещё и спрашиваешь? Да я только этого и ждала... Моя киска уже влажная и на мне ничего нет кроме этой футболки... И её я сейчас сниму...|Do you even have to ask? I've been waiting for you, Max... My pussy is all wet and I'm not wearing anything under this shirt... And I'm going to take it off now...
		11.da.32^		Ну так чего ждёшь?|What are you waiting for, then?

	11.da.32@25@b-tv-6@Как я тебе? Возбуждает? Ну давай уже, присупай... А то я так завелась, что могу кончить только от одного ожидания...|How do I look? Am I making you hard? Start already... I'm almost ready to cum from a single touch...
		acmh=3&mom.athome=1&random.luck.20=1&11.db.47^		<i>ласкать Алису</i>|<i>pleasure Alice</i>
		acmh=3&mom.athome=1&random.luck.20=0&11.da.33^		<i>ласкать Алису</i>|<i>pleasure Alice</i>
		acmh=3&mom.athome=0&11.da.33^						<i>ласкать Алису</i>|<i>pleasure Alice</i>
		acmh<3&11.da.33^									<i>ласкать Алису</i>|<i>pleasure Alice</i>
		acmh>3&11.da.33^									<i>ласкать Алису</i>|<i>pleasure Alice</i>


	11.da.33@4@b-tv-8@<i>Она такая горячая, влажная, невозможно удержаться... Так бы и набросился на неё... Но не стоит рисковать, во всяком случае, сейчас...</i>|<i>She's so hot, wet and irresistible... Too bad I can't jump her right now...</i>
		it1<1&11.da.34^		<i>продолжать</i>|<i>fortfahren</i>
		it1=1&11.db.0^		<i>продолжать</i>|<i>fortfahren</i>
		it1>1&11.da.34^		<i>продолжать</i>|<i>fortfahren</i>

	11.da.34@3@b-tv-7@<i>Надеюсь, стоны Алисы никто не услышит, ну или подумают, что это по ТВ... Очень на это надеюсь... Но её стоны всё громче и кромче...</i>|<i>I hope no one hears Alice's moans. Maybe they'll think it's from TV... I hope, at least... She's getting even louder...</i>
		it1<3&11.da.35^		<i>продолжать</i>|<i>fortfahren</i>
		it1=3&11.db.13^		<i>продолжать</i>|<i>fortfahren</i>
		it1>3&11.da.35^		<i>продолжать</i>|<i>fortfahren</i>

	11.da.35@26@b-tv-8@Да, Макс... Я... кончаю... да... как же хорошо... о да... да...|Yes, Max... I'm... I'm cumming...! Yes...! So good... Yes...
		11.da.36^		<i>далее</i>|<i>fortfahren</i>

	11.da.36@25@b-tv-6@Ну что, я могу сказать Макс... Ты - лучший! Это было так классно! И да, я помню, что в следующий раз моя очередь... Ты будешь очень доволен!|What can I say, Max... You're the best! It was incredible! I'm going to blow your mind next time!
		leave!set_atv_4!add_it1_1!max_cam.4.grow_300!time^		Договорились!|Deal!



# --- 0.11: Пятое ответвление (периодическое). Алиса делает минет Максу

	11.da.37@33@p-alisa-tv-mx1@Конечно, помню! Ты ласкаешь меня, пока я не сойду с ума от удовольствия... Да шучу, расслабься...|Of course I do! You're going to lick me into oblivion... I'm just joking, relax.
		11.da.38^		Хм...|Oh, I'm going to relax, all right. I'm going to relax right in your mouth

	11.da.38@25@p-alisa-tv-mx2@Но... Может быть, всё-таки порадуешь сестрёнку, а? Ой, у тебя такой взгляд... Ладно, ладно...|Are you sure you don't want to switch...? Okay, don't look at me like that. You can't blame a girl for trying.
		11.da.39^		<i>далее</i>|<i>fortfahren</i>

	11.da.39@21@p-alisa-tv-mx3@Может быть, я просто хочу тебя подразнить... Ты же вечно так легко разводишься... Ну и чего ждём? Снимай свои шорты!|Besides, there's nothing wrong with a touch of teasing. Doesn't it makes it all the better in the end...? You can take off your shorts now.
		11.da.40^		<i>снять шорты</i>|<i>take off shorts</i>

	11.da.40@25@p-alisa-tv-mx4@Кажется, я никогда не смогу привыкнуть к размеру твоего члена... Ну всё, Поглядывай по сторонам... Не хочу, чтобы нас заметили...|I don't think I'll ever get used to your cock's size. Keep a lookout, I don't want to get caught with your cock in my mouth...
		11.da.41^		Ага...|Sure

	11.da.41@33@p-alisa-tv-mx5@И ещё... Я это делаю не потому, что моя очередь или должна, а потому, что сама этого хочу... Надеюсь, тебе это придаст нужный настрой...|And one more thing... I'm not doing this because of our agreement or because I have to or whatever. I'm doing this because I want to suck you nice fat cock. I hope this will get you in the right mood...
		acmh=3&mom.athome=1&random.luck.20=1&11.db.57^		Конечно!|Of course!
		acmh=3&mom.athome=1&random.luck.20=0&11.da.42^		Конечно!|Of course!
		acmh=3&mom.athome=0&11.da.42^						Конечно!|Of course!
		acmh<3&11.da.42^									Конечно!|Of course!
		acmh>3&11.da.42^									Конечно!|Of course!

	11.da.42@4@p-alisa-tv-mx6@<i>Алисе, похоже, секс нужен ещё больше, чем мне... Столько страсти, да и с навыками у неё полный порядок... Как же мне повезло...</i>|<i>I think Alice may crave sex even more than I do... So much passion... And with plenty of skill on top... I'm so lucky...</i>
		it2<2&11.da.43^		<i>наслаждаться</i>|<i>Genießen</i>
		it2=2&11.db.9^		<i>наслаждаться</i>|<i>Genießen</i>
		it2>2&11.da.43^		<i>наслаждаться</i>|<i>Genießen</i>

	11.da.43@3@p-alisa-tv-mx7@<i>Она очень старается... И всё время экспериментирует... То так язычком поработает, то так ручкой поможет... И получается всё лучше и лучше!</i>|<i>I like how she's always trying something new every time... Whether it's something with her tongue or her hand... And she keeps improving, too!</i>
		11.da.44^		<i>далее</i>|<i>fortfahren</i>

	11.da.44@4@p-alisa-tv-mx6@<i>О да, сестрёнка... На этот раз получается даже ещё лучше, чем можно было себе представить... Это просто непередаваемо... Я сейчас кончу...</i>|<i>We're reaching unbelievable levels of pleasure here, sister... I can't describe this... I'm gonna...</i>
		11.da.45^		<i>кончить ей в ротик</i>|<i>cum in Alice's mouth</i>

	11.da.45@25@p-alisa-tv-mx8@Ну как? Понравилось? Я очень старалась...|Did you like it? I've tried to put my best licks today.
		11.da.46^		Да... Просто нет слов!|I'm not sure I'll be able to properly thank you enough

	11.da.46@21@Ну, я рада... Следующий раз - твой, помнишь? Я буду ждать... Очень ждать...|I'm very happy to hear that. Can't wait till you try...
		leave!set_atv_3!add_it2_1!max_cam.4.grow_300!time^		Договорились!|Deal



