# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

	mom.eric.tv.voyeur.3@120@e-momeric-tv-3-0@Ого! Если меня заметят, пока я подглядываю за ТАКИМ, меня точно накажут. Нужно срочно уходить!|Wow! Wenn sie mich fangen, <i>das</i> zu sehen, werde ich definitiv bestraft. Ich gehe jetzt besser!
		mom.eric.tv.closer.1^							<i>подойти ближе</i>|<i>näher kommen</i>
		leave!set_cd.lizamomerictv_1!art_e-momeric-tv-0-0_e-momeric-tv-2-0_1!lock^				<i>тихо уйти</i>|<i>leise verlassen</i>

	mom.eric.tv.closer.1@120@e-momeric-tv-suck-1@Что она делает?! Нужно это срочно прекратить! Может быть, включить свет, чтобы подумали, что я их не заметил?|Was macht sie da!? Ich muss das sofort beenden! Vielleicht könnte ich das Licht anmachen, damit sie denken, ich hätte sie nicht bemerkt?
		eric.voy.stage>5&mom.eric.tv.can^				Ма-а-ам?|Mom?
		eric.voy.stage<6&mom.eric.tv.closer.1.light^	<i>включить свет</i>|<i>Licht anschalten</i>
		leave!set_cd.lizamomerictv_1!art_e-momeric-tv-0-0_e-momeric-tv-3-0_1!lock^				<i>тихо уйти</i>|<i>leise verlassen</i>

	mom.eric.tv.can@81@Макс! Чего хотел? Не видишь, мы заняты? Если хочешь смотреть, делай это тихо и нам не мешай. А ты, Ань, не отвлекайся...|Was willst du, Max? Siehst du nicht, dass wir beschäftigt sind? Wenn Du zusehen willst, mach das ruhig, ohne uns zu unterbrechen. Mach weiter, Ann.
		leave!set_cd.lizamomerictv_1!art_e-momeric-tv-0-0_e-momeric-tv-3-0_1!lock^		Охренеть!|Heilige Scheiße!

	mom.eric.tv.closer.1.light@68@e-momeric-tv-light-1@Что? Кто здесь? Макс?! Выйди немедленно, не видишь...|Was? Wer ist da? Max!? Verschwinde sofort, siehst du das nicht?
		mom.eric.tv.closer.1.light.stay^		Как раз всё вижу. Не стыдно?|Ich kann alles sehen, schämst du dich nicht?
		mom.eric.tv.closer.1.light.stay^		Хорошо. А вы тут продолжайте...|Okay, weitermachen....
		mom.eric.tv.closer.1.light.good^		Извини, мам. Я не заметил вас...|Es tut mir leid, Mom, ich habe dich nicht gesehen.

	mom.eric.tv.closer.1.light.stay@69@e-momeric-tv-light-2@Макс, нам надо поговорить...|Wir müssen reden, Max.
		mom.eric.tv.closer.1.light.stay.about^	О чём?|Worüber?

	mom.eric.tv.closer.1.light.stay.about@73@Понимаешь, взрослым иногда нужно уединяться. Мы думали, что все наверху и что мы тут всем и так понятно... В общем...|Sieh, manchmal brauchen Erwachsene etwas Privatsphäre. Wir dachten, alle wären im zweiten Stock und ihr wisst alle, dass wir hier sind.... also....
		mom.eric.tv.closer.1.light.stay.about.room^		Хотите потрахаться - идите в свою комнату. Нечего этим на виду у всех заниматься!|Wenn du ficken willst, dann geh einfach auf dein Zimmer, tu das nicht im Wohnzimmer!
		mom.eric.tv.closer.1.light.stay.about.ok^		Да всё в порядке. Это ты извини, что включил свет...|Es ist okay, Mom. Es tut mir leid, dass ich das Licht angemacht habe.
		mom.eric.tv.closer.1.light.stay.about.see^		А вы не против, если я посмотрю?|Darf ich zusehen?

	mom.eric.tv.closer.1.light.stay.about.room@68@Макс! Что за слова? И как ты со мной разговариваешь? А ну-ка марш в свою комнату. Чтобы не видела тебя тут, пока мы смотрим фильмы!|So redest du nicht mit mir, Max! Geh auf dein Zimmer! Ich will nicht, dass Du hier bist, während wir uns Filme ansehen!
		leave!lock^										Ладно, ладно. Так бы сразу и сказала...|Gut, gut

	mom.eric.tv.closer.1.light.stay.about.ok@75@Макс! Ты у меня такой умница. Хорошо, что ты всё понимаешь. Ладно, иди в свою комнату, мы больше не будем... Тебя смущать...|Schön, dass du das verstehst, Max. Jetzt geh bitte in dein Zimmer, das werden wir nicht mehr .... machen.
		leave!lock^										Хорошо, мам...|Okay, Mom

	mom.eric.tv.closer.1.light.stay.about.see@68@Посмотришь? На что? На нас? Или фильм? В любом случае нет! Ты ещё маленький. И, вообще, почему я перед тобой отчитываюсь. Дай взрослым отдохнуть. А ты иди в свою комнату!|Was soll ich mir ansehen? Wir? Oder den Film? Auf jeden Fall ist die Antwort nein! Und ich muss dir nicht antworten, Eric und ich wollen uns entspannen, also geh in dein Zimmer!
		leave!lock^										Ладно, уже ухожу...|Gut, ich gehe.

	mom.eric.tv.closer.1.light.good@75@e-momeric-tv-light-2@Я рада, Макс, что ты всё понимаешь. Сделаем вид, что ничего не было и ты ничего не видел, хорошо?|Schön, dass du das verstehst, Max. Lass uns so tun, als hättest du nichts gesehen, okay?
		leave!lock^										Конечно, мам!|Natürlich, Mom!



# --- Макс разговаривает с мамой о планах Эрика|Max erzählt Ann von Erics Plänen

	talk.mom.aboutericplans.init@0@Я хотел поговорить об Эрике...|Ich wollte über Eric reden....
	talk.mom.aboutericplans@60@Да, Макс, слушаю...|Klar, Max, ich höre zu.
		talk.mom.aboutericplans.next.1^						Ты знаешь, что он задумал?|Weißt du, was er vorhat?

	talk.mom.aboutericplans.next.1@62@Кроме того, чтобы сделать меня счастливой? Нет, не знаю. Расскажи...|Außer mich glücklich zu machen? Nein, tue ich nicht, sag es mir.
		talk.mom.aboutericplans.next.2a^					Он собирается вас всех настроить против меня!|Er wird euch alle gegen mich aufbringen!
		talk.mom.aboutericplans.next.2b^					Он собирается поиметь вас всех!|Er wird euch alle ficken!

	talk.mom.aboutericplans.next.2b@64@Макс! Что за слова?! И что за бред ты тут несёшь?! Ещё раз услышу что-то такое от тебя, накажу! У тебя есть какие-то доказательства своих слов или это просто домыслы?|Wovon zum Teufel redest du, Max!? Wenn ich so etwas noch einmal höre, werde ich dich bestrafen! Hast Du irgendwelche Beweise?
		talk.mom.aboutericplans.next.3^						Ну он мне сам говорил, что...|Er hat es mir selbst gesagt.

	talk.mom.aboutericplans.next.2a@75@Макс, ну что за ерунда? Эрик очень чуткий, отзывчивый мужчина. Ему очень понравилась вся наша семья и о тебе он хорошо отзывался. Даже вот лагерь нашёл для тебя...|Das ergibt keinen Sinn. Er ist sehr nachdenklich und sanftmütig. Er mag unsere Familie und hat Gutes über dich gesagt. Er hat sogar das Lager für Dich gefunden....
		talk.mom.aboutericplans.next.3^						Вот именно! Он хочет от меня избавиться!|Genau! Er will mich loswerden!
		talk.mom.aboutericplans.next.3^						Он всё врёт!|Er ist ein verlogener Bastard!

	talk.mom.aboutericplans.next.3@62@Так, всё, Макс. Не хочу больше об этом слышать. Ты вбил себе в голову какую-то ерунду и теперь пытаешься всех в этом убедить. Я знаю какой Эрик и не надо мне тут рассказывать сказки. Всё, разговор окончен.|Das reicht, Max, ich will nichts davon hören. Du hast dir irgendeinen Unsinn eingebildet und jetzt versuchst du, es allen aufzuzwingen. Ich weiß, dass Eric und ich das nicht mehr hören wollen. Diese Unterhaltung ist vorbei.
		leave!set_tell.mom.eric.plan_2!add_mom.mood_-50!add_mom.talkcooldown_5^			Но мам...|Aber Mom...



# --- Разговор с мамой насчёт последней сцены (с Эриком)|Gespräch über Eric und Handschellen

	talk.mom.abouthard.init@0@Тебя Эрик не обижает?|Missbraucht Eric dich?
	talk.mom.abouthard@60@В каком смысле, Макс?|Wovon redest du, Max?
		talk.mom.abouthard.see^							Ну, я видел вас ночью, ты была в наручниках...|Nun, ich habe dich nachts gesehen und du warst in Handschellen....

	talk.mom.abouthard.see@69@Нет, Макс, всё в порядке... Это часть игры...|Nein, Max, es ist okay.... Es war nur ein Spiel....
		talk.mom.abouthard.see.game^					Часть какой игры?|Was für ein Spiel?

	talk.mom.abouthard.see.game@73@Ну, взрослые иногда играют в такие... игры. Эрик был главным, а я... Ну ты сам всё видел, видимо...|Nun, es ist die Art von Spiel, das Erwachsene in ihren Schlafzimmern spielen.... Eric dominierte, und ich.... Nun, du hast es selbst gesehen....
		talk.mom.abouthard.see.game.wtf^				Какая-то странная игра, мам...|Das war ein seltsames Spiel, Mom....

	talk.mom.abouthard.see.game.wtf@69@Мне жутко стыдно за всё это, Макс, но не могу ничего с собой поделать...|Es ist mir furchtbar peinlich, Max, aber ich kann mir nicht helfen....
		talk.mom.abouthard.see.game.wtf.dom^			Он тебя заставляет? Чем-то угрожает? Почему ты это делаешь?|Zwingt er dich dazu? Droht er Dir? Warum tust Du das?

	talk.mom.abouthard.see.game.wtf.dom@73@Ну, мне это всё нравится, если честно. О боже... Неужели я об этом говорю с тобой, Макс? Кажется, я во сне...|Ich mag es eigentlich, um ehrlich zu sein.... Warum führe ich dieses Gespräch mit dir, Max? Das ist ein Alptraum....
		talk.mom.abouthard.see.game.wtf.dom.drug^		Он тебе таблетки не давал никакие? Или уколы не делал?|Hat er dir Drogen gegeben?
		talk.mom.abouthard.see.game.wtf.dom.drug^		Может быть, он тебя загипнотизировал? Ты в трансе?|Vielleicht bist du hypnotisiert?

	talk.mom.abouthard.see.game.wtf.dom.drug@69@Нет, Макс, ничего такого. Я же говорю, мне нравится ему подчиняться. Не знаю. Как будто я создана для этого...|Nein, Max, nichts dergleichen. Ich sage dir, ich gehorche ihm gern. Ich weiß nicht, ich fühle mich, als wäre ich dafür geboren....
		talk.mom.abouthard.see.us^						Постой, если тебе нравится подчиняться, то почему ты нас наказываешь?|Warte, wenn du dich unterwerfen willst, warum bestrafst du uns?
		talk.mom.abouthard.see.bad^						Это всё очень плохо. Может быть, к врачу обратиться?|Das ist sehr schlimm. Vielleicht solltest du zum Arzt gehen?

	talk.mom.abouthard.see.us@62@А что я по твоему должна делать, Макс? Давать вам меня наказывать, что ли? Не говори глупостей. Я ваша мать и должна вас воспитывать. Это не имеет ничего общего с нашими с Эриком... играми.|Welche anderen Möglichkeiten habe ich? Mich bestrafen lassen? Sei nicht albern, Max. Ich bin deine Mutter und ich muss dich großziehen. Es hat nichts mit Eric und meinen.... Spielen zu tun.
		talk.mom.abouthard.see.bad^						Это всё очень плохо. Может быть, к врачу обратиться?|Das ist sehr schlimm. Vielleicht solltest du zum Arzt gehen?

	talk.mom.abouthard.see.bad@60@Макс, хватит. Я тебе пытаюсь объяснить, а ты всё заладил. Я себя контролирую и осознаю всё, что происходит. И мне нравится, то что у нас происходит с Эриком. Жаль, что это вас коснулось...|Das reicht, Max. Ich versuche, die Situation zu erklären, aber Du hörst nicht zu. Ich kontrolliere mich selbst und verstehe alles, was passiert. Und mir gefällt, was ich mit Eric haben. Es tut mir leid, dass du es sehen musstest, aber....
		talk.mom.abouthard.see.bad.plan^				Ещё как! Он собирается трахнуть и моих сестёр!|Das ist schrecklich, er will auch meine Schwestern ficken!

	talk.mom.abouthard.see.bad.plan@63@Макс! Опять ты начинаешь? Всё, не хочу больше об этом разговаривать! И ещё раз начнёшь наговаривать на Эрика, накажу! То что ты видел ещё цветочками покажется!|Starrst du wieder, Max? Ich will nicht mehr darüber reden! Das nächste Mal, wenn du das über Eric sagst, werde ich dich bestrafen, und es wird schlimmer als das, was du gesehen hast!
		leave!set_talk.mom.abouthard_2^					Ого, мам... Хорошо...|Wow, Mom...



# --- 0.3: Пытаемся попросить маму, чтобы она научила Макса целоваться|Mom nach dem Kussunterricht zu fragen.

	mom.ask.kiss.init@0@Мам, а как учатся целоваться?|Mom, wie lernen die Leute, wie man küsst?
	mom.ask.kiss@62@Вот это вопрос, Макс. Неожиданный, я бы сказала... А зачем тебе? Нашёл девушку и хочешь её впечатлить?|Warum fragst du? Hast du eine Freundin?
		mom.ask.kiss.next.1^				Да, точно!|Yep, das ist richtig!

	mom.ask.kiss.next.1@75@Ого! Поздравляю, Макс. Наконец-то ты нашёл кого-то. Расскажи, какая она?|Wow! Glückwunsch, Max. Endlich hast du jemanden gefunden. Erzählen Sie mir von ihr.
		mom.ask.kiss.next.2a^				Да это не важно...|Es ist nicht wichtig.
		mom.ask.kiss.next.2b^				Ну, красивая...|Nun, sie ist hübsch.

	mom.ask.kiss.next.2a@72@Макс, что-то ты хитришь. Кстати, а где ты с нею познакомился? Ты же всё время дома сидишь... Через интернет?|Hm, scheint so, als ob du etwas vor mir verheimlichst. Übrigens, wo hast du sie getroffen? Du verlässt nie das Haus.... Im Internet?
		mom.ask.kiss.next.3^				Типа того...|So was Ähnliches....

	mom.ask.kiss.next.2b@71@И где ты с этой девушкой познакомился? В интернете?|Und wo hast du sie getroffen? Im Internet?
		mom.ask.kiss.next.3^				Типа того...|So was Ähnliches....

	mom.ask.kiss.next.3@60@Понятно. Ну что я могу тебе сказать. Буть естественным, будь самим собой. Девушки это ценят. Если ты попытаешься выдавать себя за ловеласа, она это раскусит и бросит тебя...|Ich verstehe. Nun, was soll ich sagen.... Verhalte dich natürlich, sei du selbst, bei Mädchen. Wenn du vorgibst, ein Frauenheld zu sein, wird sie dich durchschauen und dann wird sie dich abservieren.
		mom.ask.kiss.next.4^				Ну мне всё равно надо научиться...|Okay, aber ich muss noch lernen, wie man küsst....

	mom.ask.kiss.next.4@62@Ну вот с этой девушкой и научишься целоваться. Лучше учителя тебе всё равно не найти!|Und das kannst du mit deiner Freundin machen. Du wirst keinen besseren Lehrer finden!
		mom.ask.kiss.next.5^				Эх... Спасибо, мам...|Oh... Danke, Mom

	mom.ask.kiss.next.5@75@Не за что, Макс. Обращайся, если будет нужен ещё какой-то совет...|Gern geschehen, Max. Du Kannst mich jederzeit um Rat fragen.
		leave!set_ask.mom.teachkiss_2^		Ага, обязательно...|Sicher, sicher



# --- 0.3: Разговор с мамой во время йоги|erstes Gespräch während des Yoga

	mom.yoga.together.init@0@Учеников берёшь?|Nimmst Du Schühler?
	mom.yoga.together@75@Учеников? Ты решил заняться йогой? Вот это да, Макс! Не ожидала! Но я буду рада твоей компании... Прямо сейчас планируешь начать?|Schüler? Hast du dich entschieden, Yoga zu machen? Wow, Max, das habe ich nicht von dir erwartet! Ich helfe Dir gerne. Willst du jetzt gleich anfangen?
		tier=1&mom.yoga.together.next.1a^			Ага. Что для этого нужно?|Ja. Was brauche ich dafür?
		tier=2&mom.yoga.together.next.1b^			Ага. Что для этого нужно?|Ja. Was brauche ich dafür?

	mom.yoga.together.next.1a@62@Ну мне кажется, что тебе лучше заниматься в шортах, а то жарко будет в этой одежде.|Ich denke, du solltest dich in Shorts umziehen, es wirst dir zu heiß in deinen aktuellen Sachen werden.
		mom.yoga.together.next.1c^					<i>сбегать переодеться</i>|<i>in Shorts umziehen</i>

	mom.yoga.together.next.1c@75@Ну вот, молодец. В шортах тебе будет комфортно. Ну что, приступим? Только старайся не разговаривать. Просто смотри на меня и повторяй...|Toll, du wirst dich in kurzen Hosen viel wohler fühlen. Also, sollen wir anfangen? Versuch nicht zu reden, sprich mir einfach nach.
		mom.yoga.start^								Хорошо!|Okay!

	mom.yoga.together.next.1b@60@Да ничего. Можно в таком виде заниматься, вполне. Ну что, приступим? Только старайся не разговаривать. Просто смотри на меня и повторяй...|Du brauchst wirklich nichts. Du bist schon gut angezogen. Also, soll es losgehen? Versuch nicht zu reden, sprich mir einfach nach.
		mom.yoga.start^								Хорошо!|Okay!



# --- 0.3: Периодический разговор с мамой насчёт совместной йоги|Periodische Konversation während des Yoga

	mom.yoga.again.init@0@С тобой можно?|Kann ich mich Dir anschließen?
	mom.yoga.again@75@Конечно, Макс, зачем спрашиваешь... Ты уже всё знаешь, как будешь готов, приступим... Только не разговаривать во время занятия. Смотри на меня и повторяй движения...|Natürlich, Max, du musst nicht fragen. Komm einfach dazu, wenn du bereit bist. Und rede nicht während des Yoga. Versuchen, mir alles nachahmen.
		momy=1&07.aga.0^							Тебе не жарко, мам?|Ist Dir nicht heiß, Mom?
		tier=1&mom.yoga.start^						<i>переодеться и начать</i>|<i>beginnen</i>
		tier=2&yocan=0&mom.yoga.start^				Я готов!|Ich bin bereit!
		tier=2&yocan>0&13.ga.0^						Я готов!|Ich bin bereit!



# --- 0.3: Макс занимается йогой с мамой|Yoga mit Mom

	mom.yoga.start@4@e-yoga-x@<i>Ох и долгий же это будет час... Ну ничего, когда цель - впечатлить Лизу своими мышцами, это того стоит!</i>|<i>Das wird eine lange Stunde. Aber wenn ich es schaffe, Lisa mit meinen Muskeln zu beeindrucken, ist es das alles wert!</i>
		leave!add_mom.inf_-10!add_mom.mood_50!add_count.fiz_1!add_mom.yoga.first_1!max_cam.6.grow_130!time^		<i>закончить</i>|<i>beenden</i>



# --- 0.3: Новые наказания: Первый диалог на эту тему перед наказанием кого-то|neue Strafen, erster Dialog

	newpun.1st@60@e-momabouts-1-t2@Да, напоминаю всем. С сегодняшнего дня все наказания будут в обнажённом виде. Да, я понимаю, что это непедагогично, но очень эффективно.|Übrigens, ich erinnere daran, dass Ihr von jetzt an nackt bestraft werden. Ich verstehe, dass es erniedrigend ist, aber das macht es extrem effektiv.
		newpun.1st.next.1^		Но мам...|Aber Mom...

	newpun.1st.next.1@62@Я знаю, Макс, но уговаривать и пытаться вас убедить другим способом у меня нет ни сил ни времени. Чем более унизительно наказание, тем у вас будет меньше желания нарушить правила.|Ich weiß, Max, aber ich habe keine Zeit, dich davon zu überzeugen, deine Fehler nicht zu wiederholen. Peinlichere Bestrafung bedeutet mehr Grund, keine Regeln zu brechen.
		newpun.1st.next.2^		<i>далее</i>|<i>fortsetzen</i>

	newpun.1st.next.2@46@Мам, и что, нам с Алисой придётся раздеваться догола прямо перед Максом? А если он разденется, нам смотреть на этот... его... ну...|Also was, jetzt sollen Alice und ich uns vor Max komplett ausziehen? Und wenn er sich auszieht, müssen wir uns seine.... du weißt schon.
		newpun.1st.next.3^		Что, страшно?|Was, hast du Angst?

	newpun.1st.next.3@60@Да, Лиза. Видишь, ты уже боишься. Значит, приложишь все усилия, чтобы тебя не наказали. Уже правила работают, а стоит один раз вам быть униженными перед всей семьёй...|Ja, Lisa, das ist genau der Punkt. Siehst du, wie viel Angst du hast? Es bedeutet, dass du dein Bestes versuchst, nicht bestraft zu werden. Das System funktioniert bereits, und ich denke, nach Ihrer ersten Bestrafung wird es noch besser funktionieren.
		newpun.1st.next.4^		А если ты накосячишь? Кто тебя будет наказывать?|Und was ist, wenn du es vermasselst?

	newpun.1st.next.4@62@Макс, ну что за ерунда. Что я могу нарушить? Я же ваша мама и всегда даю вам пример для подражания...|Wovon redest du, Max? Welche Regeln könnte ich brechen? Ich bin deine Mutter, ich bin ein Vorbild.
		newpun.1st.next.5^		Э... Ты уверена?|Bist Du sicher?

	newpun.1st.next.5@60@Да, Макс, я уверена. Но даже если я и совершу ошибку, то меня сможет наказать, допустим, Эрик... Но этого не случится. Я соблюдаю свои же правила!|Ja, Max, ich bin sicher. Und wenn ich etwas falsch mache, dann könnte ich von Eric bestraft werden.... Aber das wird nicht passieren. Ich folge meinen eigenen Regeln.
		newpun.1st.next.6!set_first.newpun_1^		Ага, уж он то накажет...|Ja, er wird dich bestrafen....

	newpun.1st.next.6@62@Макс, ты слишком много говоришь... И вот ещё что... Больше никаких предупреждений. С сегодняшнего дня всё строго.|Max, du redest zu viel. Und nebenbei bemerkt. Es wird keine Warnungen mehr geben. Wenn du es vermasselst, bekommst du die Strafe.
		needpunish>0&newpun.start^						Эх...|Oh...
		needpunish=0&hour=9&breakfast.default^			Эх...|Oh...
		needpunish=0&hour=19&dinner.default^			Э?...|Oh...


# --- 0.3: Новые наказания: универсальный эвент|neue Strafe, universelles Ereignis

	newpun.start@60@e-momabouts-1-t2@Итак...|So...
		dcd.paymom=0&max.pun=1&puntabu=0&newpun.max.start!set_max.pun_0!add_count.max.spanked_1!max_cam.5.grow_150^			<i>Макс</i>|<i>Max</i>
		dcd.paymom>0&max.pun=1&puntabu=0&newpun.max.start.private!set_max.pun_0!add_count.max.spanked_1!max_cam.2.grow_200^	<i>Макс</i>|<i>Max</i>
		alisa.pun=1&newpun.alisa!set_alisa.pun_0!add_count.alisa.spanked_1!max_cam.5.grow_250^						<i>Алиса</i>|<i>Alice</i>
		liza.pun=1&newpun.liza!set_liza.pun_0!add_count.liza.spanked_1!max_cam.5.grow_250^							<i>Лиза</i>|<i>Lisa</i>
		needpunish=0&hour=9&breakfast.default^																		<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^																		<i>начать ужин</i>|<i>Essen anfangen</i>

	newpun.max.start.private@62@e-nsp-max-0@Так, Макс... Пойдём в комнату, поговорим с тобой наедине...|Max, lass uns auf mein Zimmer gehen und ein privates Gespräch führen.
		random.luck.50=0&newpun.max.start.private.1a^		Ну, пойдём...|Okay...
		random.luck.50=1&newpun.max.start.private.1b^		Ну, пойдём...|Okay...

	newpun.max.start.private.1a@32@Мам, а почему это нас ты наказываешь перед Максом, а ему какие-то особые условия? Так не честно!|Mom, warum bestrafst du uns in der Öffentlichkeit, aber Max darf das privat machen? Das ist nicht fair!
		newpun.max.start.private.2^							Всё честно!|Ja, das ist es!

	newpun.max.start.private.1b@49@Мам, а куда вы пошли? Нас же шлёпают у всех на глазах, а Макса наедине? Это же не честно!|Wo gehst du hin, Mom? Warum müssen wir in der Öffentlichkeit versohlt werden und Max darf das privat machen? Das ist nicht fair!
		newpun.max.start.private.2^							Всё честно!|Ja, das ist es!

	newpun.max.start.private.2@62@Это наше с Максом дело и я бы на вашем месте не завидовала ему. Ну всё, Макс, пойдём, сейчас получишь...|Es ist unsere Sache und an deiner würde ich ihn nicht Stelle beneiden. Okay, Max, mach dich bereit.
		newpun.max.start.private.3^							Эх...|Oh...

	newpun.max.start.private.3@60@e-mpr-1@Так, Макс, снимай шорты. Быстро! Нас все ждут...|Okay, Max, zieh deine Hose runter. Schnell, alle warten.
		newpun.max.start.private.4^							<i>Снять шорты</i>|<i>Hose runter ziehen</i>

	newpun.max.start.private.4@62@e-mpr-2@Что прикрываешься? Я твоя мама и видела тебя голым кучу раз. Давай, ложись на колени, я тебя отшлёпаю.|Warum bedeckst Du Dich? Ich bin deine Mutter und ich habe dich schon eine Million Mal nackt gesehen. Jetzt leg dich auf meine Knie, damit ich dich versohlen kann.
		max.imp=0&newpun.max.start.private.5^				Но... мам...|Aber... Mom...
		max.imp>0&newpun.max.start.private.new.1^			Но... мам...|Aber... Mom...

	newpun.max.start.private.new.1@15@n-msp-1@<i>Блин... Что-то сегодня меня даже не возбуждает вся эта ситуация... Да ещё так больно... Эх...</i>|<i>Mist.... Diese Situation erregt mich heute nicht einmal.... Und es tut auch sehr weh....</i>
		newpun.max.start.private.new.2^						<i>далее</i>|<i>fortsetzen</i>

	newpun.max.start.private.new.2@62@n-msp-2@Ну вот, с тобой закончили. А теперь надевай шорты и пойдём, а то нас там все ждут...|Okay, wir sind hier fertig. Zieh deine Hose an und lass uns gehen, alle warten auf uns....
		needpunish>0&newpun.start^							Да, мам...|Ja, Mom
		needpunish=0&hour=9&breakfast.default^				<i>ид?и к столу</i>|<i>zum Tisch gehen</i>
		needpunish=0&hour=19&dinner.default^				<i>идти к столу</i>|<i>zum Tisch gehen</i>

	newpun.max.start.private.5@69@e-mpr-3@Что мам? Ах... Макс! Ты почему так возбудился?! Когда куча зрителей была, ты не так реагировал... Что случилось?|Was? Oh.... Max! Warum bist du so hart!? Du hattest diese Reaktion nicht, als du das Publikum hattest.... Was hat sich geändert?
		newpun.max.start.private.6a^						Ну, тут такая обстановка...|Ich schätze, es ist die Atmosphäre....
		newpun.max.start.private.6b^						Просто, мы тут наедине...|Wir sind allein
		newpun.max.start.private.6c^						Я не знаю...|Ich weiß es nicht.

	newpun.max.start.private.6a@62@Какая обстановка? Я тебя наказывать собираюсь, а не что ты тут себе вообразил...|Welche Atmosphäre? Ich werde dich bestrafen, nicht.... was auch immer du dir vorgestellt hast.
		newpun.max.start.private.7^							Ничего не вообразил... Хотя...|Ich habe mir nichts vorgestellt.... bis jetzt, als du das gesagt hast....

	newpun.max.start.private.6b@62@И что с того, что наедине, Макс? Ты сам этого хотел, даже семейный бюджет пополняешь... Надеюсь, не только ради таких вот наказаний...|Na und? Du bist derjenige, der darum gebeten hat, du gibst sogar etwas Geld für das Familienbudget.... Ich hoffe, du gibst mir kein Geld, nur damit ich dich privat bestrafe....
		newpun.max.start.private.7^							Нет, что ты...|Nein, natürlich nicht.

	newpun.max.start.private.6c@62@Макс, я же твоя мама! Тебя не должно смущать и тем более возбуждать моё присутствие... Ну, будем считать, гормоны шалят...|Ich bin deine Mutter, Max! Du solltest dich nicht schämen und du solltest definitiv nicht.... aufgeregt sein... nur weil ich da bin. Lassen Sie es uns auf die Hormone anrechnen, schätze ich.
		newpun.max.start.private.7^							Да, да, они...|Ja, lass uns das machen.

	newpun.max.start.private.7@60@Так, ладно. На колени я тебя не могу положить, будешь упираться своим... ну ты понял. Так что, подходи к столу и повернись ко мне спиной.|Okay, genug. Ich will nicht, dass du mich mit deinem Ding berüherst, also kannst du nicht auf meinen Knien liegen.... Leg deine Hände auf diesen Tisch und wir können anfangen.
		newpun.max.start.private.8^							Хорошо...|Schön

	newpun.max.start.private.8@4@e-mpr-4@<i>Ух... Мама меня не щадит. Но эта обстановка и ситуация... Так возбуждает... И маму уже почти не смущает мой стояк на неё... Это всё так классно! Ух... Но больно!</i>|<i>Wow, Mom geht wirklich nicht nachsichtig mit mir um. Aber diese Atmosphäre und Situation ist so mitreißend.... Und Mom reagiert nicht mehr auf meine harte Tour.... Das ist ziemlich cool! Autsch! Und schmerzhaft....</i>
		can.momhj=0&newpun.max.start.private.9^				<i>далее</i>|<i>fortsetzen</i>
		can.momhj>0&05.mpun.0^								<i>далее</i>|<i>fortsetzen</i>


	newpun.max.start.private.9@69@e-mpr-5@Ну всё, Макс, мы закончили... Постой, ты всё ещё возбуждён? Мне начинает казаться, что ты получаешь какое-то извращённое удовольствие от этих наказаний...|Okay, Max, wir sind fertig.... Wie kannst du immer noch hart sein? Ich fange an zu glauben, dass du etwas perverses Vergnügen an dieser ganzen Situation hast.
		newpun.max.start.private.10a^						Нет, ты что, просто я голый, перед тобой...|Nein, es ist nur.... Ich bin nackt, vor dir....
		newpun.max.start.private.10b^						Ну, может быть и так...|Well, maybe I do
		newpun.max.start.private.10a^						<i>Промолчать</i>|<i>sei ruhig</i>

	newpun.max.start.private.10a@62@И что мне с тобой делать? Нас все заждались там за столом... И так слишком долго с тобой провозилась, ещё подумают что-то... В общем, приводи себя в порядок и выходи к столу.|Und was soll ich mit dir machen? Alle warten auf uns.... Wir nehmen uns schon zu viel Zeit, was werden die denken.... Du solltest dich vorzeigbar machen und an den Tisch gehen.
		needpunish>0&newpun.start^							Да, мам...|Ja, Mom
		needpunish=0&hour<17&breakfast.default^				<i>идти к столу</i>|<i>zum Tisch gehen</i>
		needpunish=0&hour>16&dinner.default^				<i>идти к столу</i>|<i>zum Tisch gehen</i>

	newpun.max.start.private.10b@68@Что? Макс, надеюсь, у тебя такой странный юмор. Я тебя наказываю не для того, чтобы ты получал удовольствие, а наоборот! В этом весь смысл...|Was? Ich hoffe, das war ein schlechter Witz, Max. Ich bestrafe dich nicht, damit du Freude daran hast, du sollst davon abgehalten werden, in dieser Situation zu sein, nicht umgekehrt.
		newpun.max.start.private.11^						Значит, система дала сбой и меня не надо наказывать...|Dann funktioniert das System nicht und du solltest mich nicht mehr bestrafen.

	newpun.max.start.private.11@62@Вот уж  нет, даже не надейся. Я тебя раскусила. Просто, буду пороть ещё сильнее, раз ты так храбришься...|Fette Chance, träum nicht mal davon. Ich sehe, was los ist. Ich werde dich nur noch härter verhauen, um das aus dir rauszuprügeln.
		newpun.max.start.private.10a^						Это не поможет...|Es wird nicht helfen.

