# --- Шаблон завтрака по умолчанию|Standard-Frühstück

	bf.5.next.11b@69@Ну пока рано об этом говорить. Мы только познакомились. Посмотрим, может быть, однажды...|Es ist zu früh, um darüber zu reden, wir haben uns gerade erst kennengelernt. Aber wir werden sehen, vielleicht eines Tages.
		bf.5.next.12b^					Ого!|Wow!

	bf.5.next.11c@62@Макс! Не говори глупостей. Я ваша мать и буду рядом с вами, конечно. Никуда я не уеду. Не переживай.|Natürlich nicht, Max! Ich bin deine Mutter und ich werde bei dir wohnen. Keine Sorge, ich werde dich nicht verlassen.
		bf.5.next.12c^					Это хорошо...|Das ist gut

	bf.5.next.11d@75@В любом случае, для вас ничего не изменится. А если вы подружитесь с Эриком, я буду очень рада!|Wie auch immer, es wird nichts für dich ändern. Und wenn du dich mit Eric verträgst, wirst du mich sehr glücklich machen.
		bf.5.next.12c^					Может быть...|Vielleicht...
		bf.5.next.12d^					Никогда!|Niemals!

	bf.5.next.12a@60@Да, Алиса. Если вы все подружитесь с Эриком, я буду очень рада. Для меня это очень важно. Ну а пока, хватит о нём. Думаю, завтрак окончен. Всем большое спасибо!|Ja. Und wenn du dich mit Eric verträgst, wirst du mich sehr glücklich machen. Es ist sehr wichtig für mich. Aber das reicht jetzt. Sieht aus, als wäre das Frühstück vorbei. Ich danke euch allen.
		leave!time^						Спасибо...|Danke

	bf.5.next.12b@62@Макс, я уже сказала, что это возможно, но будет ли и когда - неизвестно. Так что, не будем гадать. Кстати, завтрак затянулся... Всем большое спасибо!|Ich sagte nur, dass es möglich ist, Max. Aber es ist noch zu früh, um zu vermuten, ob es tatsächlich jemals passieren wird. Übrigens, sieht aus, als wäre das Frühstück vorbei. Ich danke euch allen.
		leave!time^						Спасибо...|Danke

	bf.5.next.12c@75@Конечно, я буду очень рада, если вы все найдёте общий язык с Эриком и подружитесь. Но хватит о нём. Думаю, завтрак окончен. Всем большое спасибо!|Wenn du dich mit Eric verträgst, wirst du mich sehr glücklich machen. Aber genug von ihm. Sieht aus, als wäre das Frühstück vorbei. Danke euch allen.
		leave!time^						Спасибо...|Danke

	bf.5.next.12d@60@Очень жаль, Макс, что ты так настроен. Эрик очень хороший человек и мне кажется, ты просто в нём не разглядел то, что вижу я. Но хватит об Эрике. Завтрак затянулся. Всем большое спасибо!|Schade, dass du das denkst, Max. Eric ist ein sehr netter Mensch und ich denke, du hast ihn nur noch nicht gesehen. Aber genug von Eric. Das Frühstück ist vorbei, danke.
		leave!time^						Спасибо...|Danke



# --- Шестой завтрак (понедельник)|6. Frühstück


# --- Седьмой завтрак (вторник)|7. Frühstück

	bf.7@75@z-breakfast-family-1@Всем доброе утро, приятного аппетита...|Guten Morgen, alle zusammen, Guten Appetit.
		bf.7.next.1!set_poss.alpha_2^	Приятного аппетита...|Guten Appetit

	bf.7.next.1@41@А где Эрик? Подождём его, прежде, чем начать?|Wo ist Eric? Warten wir nicht auf ihn?
		bf.7.next.2^					Никогда не ждали и вот опять...|Jetzt müssen wir auf ihn warten....

	bf.7.next.2@75@Нет, Лиза. Эрик уже убежал. Он начинает работу раньше меня. Всё-таки, ответственная должность, много работы... А за мной позже машина подъедет. Так что, завтракаем без него...|Nein, Lisa. Eric ist schon weg. Er beginnt seine Arbeit vor mir. Er hat einen wichtigen Job, es gibt viel zu tun.... Das Auto holt mich später ab. Also frühstücken wir ohne ihn.
		bf.7.next.3^					Отлично...|Großartig

	bf.7.next.3@22@Мам, а что там про эти... наказания вы с Эриком обсуждали? Это же всё не серьёзно, да?|Mom, was hast du gemeint, als du über diese Strafen gesprochen hast? Das war nicht dein Ernst, oder?
		bf.7.next.4^					Зачем напомнила...|Ugh, warum musst du uns an sie erinnern....

	bf.7.next.4@60@Почему же, вполне серьёзно. Он меня убедил, что я вас не так наказывала всё это время, как полагается. Конечно, я ещё сомневаюсь, но он точно знает о чём говорит. Так что...|Natürlich meinte ich es ernst. Er hat mich überzeugt, dass ich deine Strafen ändern sollte, damit sie effektiver sind. Ich bin mir aber immer noch nicht sicher....
		bf.7.next.5^					Мам, ты о чём, вообще?|Wovon redest du, Mom?

	bf.7.next.5@69@Эрик считает, что наказание в том случае эффективно, если оно затрагивает не только тело, но и... кое-что внутри. Я имею в виду чувство стыда, когда стыд от поступка переплетается со стыдом от наказания...|Eric denkt, dass die Strafen effektiver sind, wenn sie nicht nur physisch, sondern auch psychisch sind. Ich spreche vom Schamgefühl, wenn sich dein Schamgefühl von dem, was du getan hast, mit deinem Schamgefühl von der Strafe verbindet....
		bf.7.next.6^					Мам, ну что за бред?!|Klingt blöd.

	bf.7.next.6@62@Бред, говоришь? А вот проверим. Эрик предложил отложить новую методику до следующей недели, чтобы у вас было время морально подготовиться и обдумать все свои поступки. Может быть, вы сами не захотите косячить, чтобы и не получать наказание...|Wir werden sehen. Eric hat angeboten, dir etwas Zeit zu geben, dich vorzubereiten und über deine Taten nachzudenken. Wir werden ab nächster Woche ein neues Strafsystem haben. Vielleicht benimmst du dich besser, damit du keine Strafen bekommst.
		bf.7.next.7^					Новую методику?|Neues Strafsystem?

	bf.7.next.7@49@Мам, ты меня пугаешь. Что за новая методика? Это ремнём, что ли? Ты и ладошкой очень больно шлёпаешь, а ремнём я не выдержу, умру сразу!|Du machst mir Angst, Mom. Welches neue System? Willst du uns mit dem Gürtel auspeitschen? Deine Handfläche ist schon schmerzhaft genug, ich werde den Gürtel nicht überleben können!
		bf.7.next.8^					<i>далее</i>|<i>fortfahren</i>

	bf.7.next.8@62@Нет, Лиза, дело не в этом. Эрик считает, что если вас наказывать без одежды, то вам будет жутко стыдно друг перед другом и вы не захотите повторения наказания. К счастью или нет, вы разных полов и это обычно очень действует...|Nein, Lisa, davon rede ich nicht. Eric denkt, wenn ihr ohne eure Kleidung bestraft werdet, dann werdet ihr euch voreinander sehr schämen und euch sehr bemühen, nicht wieder bestraft zu werden. Zum Glück oder nicht, wir haben verschiedene Geschlechter, also sollte das sehr effektiv sein....
		bf.7.next.9^					Я бы сказал, на что именно это действует...|Ich kann Dir sagen, welche Wirkung es haben wird....

	bf.7.next.9@60@Что, Макс? Я не поняла, о чём ты? Хотя, это не важно. В любом случае, до следующей недели это вам не грозит. У Лизы будет время подтянуть уроки, чтобы не получать больше двоек, ну а вы старайтесь не косячить и не будете наказаны...|Ich weiß nicht, wovon du redest, Max. Wie auch immer, du hast bis nächste Woche Zeit, darüber nachzudenken. Lisa wird etwas Zeit haben, um zu lernen und ihre Noten zu verbessern, und ihr zwei versucht euch zu benehmen und ihr werdet nicht bestraft.
		bf.7.next.10^					Что, Алиса, всё ещё в восторге от своего Эрика?|Also, Alice, liebst du Eric immer noch?

	bf.7.next.10@22@Ты знаешь, а я не буду делать ничего плохого и меня не накажут. Это ты подумай, прежде чем через балконы лезть за нами подглядывать... Так что, мне всё равно. Я хорошо себя веду...|Ich werde einfach nichts Schlechtes tun, damit ich nicht bestraft werde. Ihr müsst nur nachdenken, bevor ihr auf unsere Balkone klettert und auf uns schaut.... Also ist es mir egal.
		bf.7.next.11^					Посмотрим...|Wir werden sehen....

	bf.7.next.11@75@В общем, я вам рассказала, а дальше вы думайте. Время ещё есть. Просто ведите себя прилично и вас это не коснётся... Думаю, завтрак закончен. Всем больше спасибо.|Wie auch immer, das ist alles, was ich zu sagen habe, jetzt denke über dein Verhalten nach. Danke an alle.
		leave!time^						Ага, спасибо за завтрак...|Ja, Danke für das Frühstück



# --- 12й завтрак (понедельник, 3я неделя)|12. Frühstück, Montag, 3. Woche

	bf.12@75@z-breakfast-family-1@Всем доброе утро, приятного аппетита... Я хочу рассказать вам кое-что по секрету...|Guten Morgen, alle zusammen, Guten Appetit. Ich möchte euch ein Geheimnis verraten....
		bf.12.next.1^					По секрету от кого?|Ein Geheimnis von wem?

	bf.12.next.1@67@Ты прав, Макс. Здесь же все свои. В общем, мы с Эриком решили пожениться!|Du hast Recht, Max, Schätze ich es ist nicht wirklich ein Geheimnis. Wie auch immer, Eric und ich werden heiraten!
		bf.12.next.2a^					Какого хрена, мам?|Was zum Teufel, Mom?
		bf.12.next.2b^					Отличная идея, мам!|Tolle Idee, Mom!

	bf.12.next.2a@62@Макс! Сейчас выпорю перед всеми за такие слова. Я думала, ты порадуешься за свою маму, но такой реакции точно не ожидала...|Max! Ich werde dich dafür bestrafen! Ich hatte gehofft, du würdest dich für mich freuen, ich habe das nicht erwartet....
		bf.12.next.2a.1!add_mom.mood_-100!set_max.pun_1!set_max.punreason_5^				Да он козёл!|Er ist ein Idiot!
		bf.12.next.2a.2^				Извини, мам...|Es tut mir leid, Mom.

	bf.12.next.2b@75@Спасибо, Макс! Не думала, что ты поддержишь эту идею... Ну а что думают остальные?|Danke, Max! Ich hatte nicht erwartet, dass du so froh sein würdest, davon zu hören. Aber was ist mit euch, Mädels?
		bf.12.next.3^					<i>далее</i>|<i>fortfahren</i>

	bf.12.next.2a.1@63@Ну всё, Макс. Ты договорился. Вечером, перед ужином, тебя ждёт наказание. У тебя есть время всё обдумать. Ты сказал достаточно и теперь сиди и молчи. Я хочу выслушать твоих сестёр.|Das reicht, Max. Du wirst vor dem Abend bestraft. Denk über dein Verhalten nach. Ich habe deine Meinung gehört und jetzt will ich wissen, was deine Schwestern denken, also sei still.
		bf.12.next.3^					<i>далее</i>|<i>fortfahren</i>

	bf.12.next.2a.2@60@Ну вот, так уже лучше. Вообще, не понимаю почему ты не можешь найти с ним общий язык... Ладно, твою точку зрения я уже поняла. Давай выслушаем твоих сестёр.|So ist es besser. Ich verstehe nicht, warum du nicht mit ihm auskommen kannst.... Wie auch immer, ich habe deine Meinung gehört und jetzt will ich wissen, was deine Schwestern denken.
		bf.12.next.3^					<i>далее</i>|<i>fortfahren</i>

	bf.12.next.3@41@Ну мне кажется, это прикольная идея. Правда, как-то неожиданно и слишком быстро... Нет?|Ich mag diese Idee. Es ist aber noch etwas früh, oder?
		bf.12.next.4^					<i>далее</i>|<i>fortfahren</i>

	bf.12.next.4@21@Да, мам, даже я немного в шоке от такой поспешности. Ты не хочешь его узнать чуть-чуть получше? Хотя, лично мне Эрик нравится, но обычно люди встречаются несколько месяцев перед свадьбой, так?|Ja, Mom, ich bin schockiert, davon zu hören. Willst du ihn nicht besser kennen lernen? Ich mag Eric, aber normalerweise gehen die Leute ein paar Monate vor der Hochzeit aus, damit sie sich kennen lernen können, oder?
		bf.12.next.5^					<i>далее</i>|<i>fortfahren</i>

	bf.12.next.5@69@Так, но... Ты знаешь, это любовь с первого взгляда. Когда я рядом с ним, я счастлива и не могу думать ни о чём. И когда он сделал мне предложение, я сразу согласилась!|Du hast Recht, aber.... Das ist eine Liebe auf den ersten Blick. Ich bin glücklich mit ihm. Als er mir einen Antrag machte, habe ich sofort zugesagt!
		bf.12.next.6^					Так он уже и предложение сделал?!|Hat er schon einen Antrag gemacht?

	bf.12.next.6@31@Ну, если так, мам, то я очень счастлива за тебя. Да, какого чёрта, конечно я поддерживаю тебя. Эрик классный. Рада за вас очень!|Nun, dann freue ich mich für dich, Mom. Ach, was soll's, Natürlich, ich freue mich für dich. Eric ist großartig.
		bf.12.next.7^					Э...|Eh...

	bf.12.next.7@43@Да, мам, поздравляю. Я тоже очень рада!|Ja, Mom, Glückwunsch. Ich bin auch sehr glücklich!
		bf.12.next.8^					<i>далее</i>|<i>fortfahren</i>

	bf.12.next.8@67@Спасибо, мои любимые. Ваша поддержка очень важна для меня!|Vielen Dank, ich liebe dich. Eure Unterstützung ist mir sehr wichtig!
		bf.12.next.9^					И когда свадьба?|Wann ist die Hochzeit?

	bf.12.next.9@69@Ну, мы ещё не решили как это будет и где. Главное, что решили, что это будет! Но думаю, что скоро...|Wir haben noch keine Details festgelegt. Wir wollten gerade heiraten! Aber ich denke bald....
		bf.12.next.10^					Понятно...|Ich verstehe

	bf.12.next.10@75@Ладно, ещё раз всем спасибо за вашу поддержку и за завтрак. Побегу на работу, а то уже соскучилась по Эрику!|Okay, danke nochmal für deine Unterstützung und für das Frühstück. Ich gehe zur Arbeit, ich vermisse Eric bereits!
		leave!time^						Ага, спасибо...|Ja ja, Danke



# --- 18й завтрак (суббота, 3я неделя, приезд Киры)|Kira's Ankunft

	bf.18@75@z-breakfast-family-3@Ну что, все переоделись в новую одежду? Смотрю, даже Макс шорты натянул. Ну как, легче стало?|Ich verstehe, jeder hat sich umgezogen. Sogar Max hat sich in Shorts ausgezogen. Also, wie fühlt ihr euch?
		bf.18.next.1^					Ага. Давно надо было...|Es ist großartig! Wir hätten es schon vor langer Zeit tun sollen.

	bf.18.next.1@43@Ага, согласна с Максом. Так намного комфортнее и легче. Эта жара просто убивает...|Ich stimme Max zu, das ist so viel besser. Diese Hitze hat mich umgebracht.
		bf.18.next.2^					Кстати, мне показалось или стало ещё более жарко?|Übrigens, bin ich es oder wird es noch heißer?

	bf.18.next.2@101@Само собой. Начинается самый жаркий сезон. Вот я и удивилась, что вы все в джинсах по дому ходите, да ещё и кондиционеров нет. Кстати, дом у вас шикарный. А если были бы кондиционеры - был бы идеальным!|Natürlich. Die heißeste Jahreszeit beginnt gerade erst. Deshalb war ich so überrascht, dich in Jeans herumlaufen zu sehen, und du hast nicht mal eine Klimaanlage. Übrigens, du hast ein tolles Haus!
		bf.18.next.3^					Ну, тут есть бассейн...|Wir haben einen Pool.

	bf.18.next.3@103@А вот это я обожаю. После пары лет жизни в тех холодных краях, я бы целыми днями под солнцем валялась...|Und ich liebe es. Nach einigen Jahren im kalten Klima würde ich gerne den ganzen Tag am Pool liegen....
		bf.18.next.4^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.4@75@Кстати, об этом. Ты бы рассказала, где была, что делала, что планируешь...|Übrigens, du hast uns nicht gesagt, was du vorhast.
		bf.18.next.5^					Ага, нам всем интересно...|Ja, wir alle möchten das wissen.

	bf.18.next.5@101@Да не о чем рассказывать. Работала то тут, то там... Скукота. А сюда я приехала по работе, точнее, хочу устроиться кое-куда. И так здорово, что моя семья уже тут!|Ich habe nicht wirklich viel zu sagen. Ich mache gelegentlich Auftritte hier und da. Langweilig. Ich bin hierher gezogen, weil ich hier eine Jobmöglichkeit habe. Und ich bin sehr glücklich, dass du auch hierher gezogen bist, damit wir zusammenleben können!
		bf.18.next.6^					А кем ты хочешь утроиться?|Und was willst du tun?

	bf.18.next.6@111@Ну... Я не знаю как об этом рассказать...|Nun.... Ich weiß nicht, wie ich es sagen soll....
		bf.18.next.7^					О чём?|Was meinst du damit?

	bf.18.next.7@62@Да ладно, Кир, можешь рассказать. Я видела в твоих вещах форму горничной. Наверняка, решила устроиться в какой-то богатый дом, чтобы платили много, а тебе только пыль сдувать. Угадала?|Oh, komm schon, Kira, du kannst es uns sagen. Ich habe ein Dienstmädchen-Outfit unter deinen Sachen gesehen. Ich schätze, du willst ein reiches Haus zum Putzen finden, oder?
		bf.18.next.8^					Горничной?|Ein Dienstmädchen?

	bf.18.next.8@101@Ну... Да. Просто подумала, что это не то, чем стоит гордиться. Ты вот работаешь в такой компании крупной, да ещё... Кстати, кем ты работаешь сейчас?|Nun.... ja. Ich wollte es nicht sagen, weil es nichts ist, worauf man stolz sein kann. Du arbeitest zum Beispiel in einer großen Firma.... was machst du übrigens?
		bf.18.next.9a^					Горничной Эрика!|Sie ist Eric's Dienstmädchen!
		bf.18.next.9b^					Секретаршей|Sie ist eine Sekretärin.
		bf.18.next.9c^					<i>промолчать</i>|<i>sei still</i>

	bf.18.next.9a@62@Макс! Как тебе не стыдно. Я личный ассистент руководителя регионального отделения компании...|Max! Wie konntest du das sagen? Ich bin die persönliche Assistentin eines Regionalmanagers.
		bf.18.next.10a^					В общем, секретарша...|Also, eine Sekretärin.
		bf.18.next.10^					<i>промолчать</i>|<i>sei still</i>

	bf.18.next.9b@62@Макс! Я не секретарша, а личный ассистент руководителя регионального отделения компании...|Max! Ich bin keine Sekretärin, ich bin die persönliche Assistentin eines Regionalmanagers.
		bf.18.next.10a^					Ну я так и сказал - секретарша...|Ja, wie ich schon sagte, eine Sekretärin.
		bf.18.next.10^					<i>промолчать</i>|<i>sei still</i>

	bf.18.next.9c@62@Я же тебе рассказывала, что я сейчас личный ассистент руководителя регионального отделения компании...|Habe ich dir nicht gesagt, dass ich die persönliche Assistentin eines Regionalmanagers bin?
		bf.18.next.10a^					В общем, секретарша...|Also, eine Sekretärin.
		bf.18.next.10^					<i>промолчать</i>|<i>sei still</i>

	bf.18.next.10a@72@Макс! Сейчас выпорю у всех на глазах, если будешь продолжать в подобном духе!|Max! Ich versohle dich vor allen, wenn du nicht aufhörst!
		bf.18.next.10^					Ладно, ладно...|Gut, gut

	bf.18.next.10@101@Ну, то есть, сфера обслуги, верно? Да шучу я, Ань, шучу. Ладно, а что там с этим вашим Эриком? Какой он?|Also, eine Dienstleistungsbranche? Ich mache nur Spaß, Ann. Erzähl mir von Eric, wie er ist?
		eric.status<2&bf.18.next.11a^	Подонок, каких мало...|Er ist ein riesiges Stück Scheiße.
		eric.status>1&bf.18.next.11b^	Нормальный мужик|Er ist ein toller Kerl.
		bf.18.next.11c^					<i>промолчать</i>|<i>sei still</i>

	bf.18.next.11c@67@Ну, он сильный, мужественный, внимательный, ответственный... В общем, мужчина моей мечты... Я же тебе рассказывала уже о нём?|Er ist stark, männlich, aufmerksam, verantwortlich.... Im Grunde ist er der Mann meiner Träume.... Habe ich dir nicht schon von ihm erzählt?
		bf.18.next.12d^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.11a@71@Макс! Да как ты разговариваешь! Снимай штаны!|Max! So kannst du nicht reden! Hosen runter!
		bf.18.next.12a^					Извини, мам, я пошутил...|Es tut mir leid, Mom, das war ein Witz.
		bf.18.next.12b^					Ну и сниму. От своих слов я не отказываюсь!|Und das werde ich. Ich werde meine Meinung nicht ändern!

	bf.18.next.11b@103@А ты, Макс, я вижу, нашёл с ним общий язык? Значит, Эрик и правда хороший парень. Нужно будет с ним познакомиться...|Sieht aus, als hätten Sie eine gemeinsame Sprache gefunden, Max. Er muss ein toller Kerl sein. Ich sollte ihn kennen lernen.
		bf.18.next.12c^					А ещё он маме предложение сделал...|Er hat Mom auch einen Antrag gemacht.
		bf.18.next.12d^					Ну, не настолько хороший...|So gut ist er nicht.
		bf.18.next.12d^					<i>промолчать</i>|<i>sei still</i>

	bf.18.next.12a@62@Так то лучше. И следи за своим языком. В этот раз прощаю, но чтобы такого больше не было!|So ist es besser. Du solltest auf deine Sprache achten. Ich verzeihe dir fürs Erste, aber es ist besser das letzte Mal!
		bf.18.next.13a^					Хорошо...|Okay

	bf.18.next.12b@72@Макс! Если бы не твоя тётя, я бы тебя точно выпорола бы прямо здесь и сейчас. Но отложим это на другой раз. Считай, что сегодня тебе повезло.|Max! Ich würde dich jetzt verhauen, wenn deine Tante nicht hier wäre. Ich lasse es diesmal durchgehen, es ist dein Glückstag.
		bf.18.next.13a^					Хорошо...|Okay

	bf.18.next.12c@108@Так это же здорово! Поздравляю, сестрёнка! Когда свадьба?|Das ist großartig! Herzlichen Glückwunsch, Schwester! Wann ist die Hochzeit?
		bf.18.next.13b^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.13b@69@Да рано ещё о свадьбе говорить. Мы недавно только познакомились. Да, сделал предложение, да, я приняла, но ничего конкретного ещё не решили...|Es ist zu früh, um darüber zu reden. Wir haben uns gerade erst kennengelernt. Sicher, er hat mir einen Antrag gemacht und ich habe zugestimmt, aber wir haben noch nichts entschieden.
		bf.18.next.14^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.13a@104@Ого! У вас снова в моде физические наказания? Прямо как у нас в детстве, да Ань? Неужели, дети перестали слушаться обычных голосовых команд?|Wow. Du hast körperliche Strafen? Wie in der Kindheit, nicht wahr, Ann? Haben die Kinder aufgehört, Sprachkommandos zu befolgen?
		bf.18.next.13e^					Очень смешно, тётя Кира...|Sehr lustig, Tante Kira.
		bf.18.next.13f^					Вас тоже пороли?|Du wurdest auch verprügelt?

	bf.18.next.13e@101@Да ладно, расслабься Макс, я же шучу. Ты разве забыл, что я умная, весёлая и красивая?|Entspann dich, Max, ich mach nur Spaß. Hast du vergessen, wie lustig, klug und schön ich bin?
		bf.18.next.12d^					Да помню, помню...|Sicher, ich erinnere mich

	bf.18.next.13f@100@Да. Бывает, получишь двойку и думаешь. Идти домой или нет. Кушать хочется, а дома сначала накормят десертом - ремнём по голой заднице... Ух, вот это были времена...|Ja, manchmal bekam ich eine 6 und überlegte, ob ich nach Hause gehen sollte oder nicht. Ich möchte nicht verprügelt werden, aber auch nicht verhungern.
		bf.18.next.14^					Хорошего мало...|Ich verstehe dich....

	bf.18.next.12d@101@Ну, так или иначе, нужно будет познакомиться с этим вашим Эриком. Столько разговоров, историй. Хочу всё знать!|Ich sollte wirklich deinen Eric treffen, ich habe schon so viele Geschichten über ihn gehört.
		bf.18.next.14^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.14@75@Да успеешь ещё. Кстати, мы сегодня едем на шоппинг, за нами Эрик пришлёт машину, там и познакомитесь. Если хочешь, поехали с нами!|Übrigens, wir gehen einkaufen, willst du mit uns kommen? Eric wird ein Auto schicken, du wirst ihn treffen können.
		bf.18.next.15^					А может быть, я хочу с тётей пообщаться...|Was, wenn ich meine Tante einholen will?

	bf.18.next.15@101@Ну если племянник настаивает, его нельзя обижать. А если серьёзно, то я бы на солнышке повалялась. К тому же, у меня новый купальник...|Wie könnte ich meinen Neffen zurücklassen? Aber im Ernst, ich würde lieber am Pool liegen. Ich habe mir gerade einen neuen Bikini gekauft.
		bf.18.next.16^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.16@62@С каких пор ты носишь купальники? Ты меня удивляешь всё больше, Кира. Но я рада, что ты за ум взялась. К тому же, тут дети...|Seit wann trägst du einen Bikini? Schön, eine positive Veränderung zu sehen. Und ich bin froh, dass du dich um die Kinder kümmerst.
		bf.18.next.17^					Я уже взрослый!|Wir sind keine Kinder mehr.

	bf.18.next.17@103@Только из-за твоих детей и купила этот самый купальник. А так я не очень люблю все эти верёвки...|They are the only reason I bought it. I really hate all those strings.
		bf.18.next.18^					Какие верёвки?|Strings?

	bf.18.next.18@62@Верёвки? Наверняка, опять супермини-бикини? Ох, Кира... Я уж думала ты и правда повзрослела... Ладно, спасибо всем за завтрак. Пора собираеться на шоппинг.|Strings? Hast du dir wieder Superminibikini gekauft? Ich hatte gehofft, du wärst erwachsen geworden.... Jedenfalls, danke für das Frühstück. Machen wir uns bereit zum Einkaufen.
		bf.18.next.19^					Да, спасибо...|Ja ja, Danke

	bf.18.next.19@100@Совсем забыла сказать, что сегодня я вернусь домой поздно. Где мне лечь спать?|Oh, ich habe etwas vergessen. Ich komme spät nach Hause, wo soll ich schlafen gehen?
		bf.18.next.20^					Вернёшься? Откуда?|Und woher wirst du kommen?

	bf.18.next.20@60@Ну, либо с Лизой в комнате на кровати Макса, а он в гостиной поспит, либо...|Du kannst entweder bei Lisa in Max' Bett schlafen, und er wird in der Lounge schlafen müssen, oder....
		bf.18.next.21^					Мне без разницы, если что...|Es ist mir egal, wie es ist.

	bf.18.next.21@103@Ой, а давай я в гостиной буду спать, чтобы никого не тревожить, а?|Ich würde lieber in der Stube schlafen, damit ich niemanden mitten in der Nacht belästige.
		bf.18.next.22^					<i>далее</i>|<i>fortfahren</i>

	bf.18.next.22@75@Как хочешь, Кир. Где тебе будет удобнее. Постельное под диваном. Его можно раздвинуть, ну, сама разберёшься тогда. Всё, мы побежали...|Es ist deine Entscheidung. Die Bettwäsche wird im Sofa liegen, das ausziehbar ist. Nun, du wirst es herausfinden.
		leave!addkira!time^				Давайте, удачи...|Viel Glück beim Einkaufen



# --- 19й завтрак (воскресенье), после первой ночи Киры|Nach Kira's erster Nacht

	bf.19@75@z-breakfast-family-3@Всем приятного аппетита! Я рада, Кира, что ты смогла проснуться. Как я понимаю, ты вернулась совсем поздно?|Guten Appetit, alle zusammen! Ich bin froh, dass du es geschafft hast, aufzustehen, Kira. Wie spät bist du nach Hause gekommen?
		bf.19.next.1^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.1@107@Ага... часа в 3 ночи... Никак не могу открыть глаза...|Ich kam um drei Uhr morgens nach Hause.... Ich kann kaum die Augen offen halten.
		bf.19.next.2^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.2@67@Кира, я не могла не заметить, в каком виде ты спишь на диване в гостиной. Ты точно не хочешь надеть пижаму или что-то... более приличное?|Kira, ich habe bemerkt, was du getragen hast, als du in der Stube geschlafen hast. Bist du sicher, dass du nicht in etwas weniger aufschlussreichem schlafen willst?
		bf.19.next.3^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.3@101@Аня, ты забыла, что я обычно сплю голой и то, что надела на себя что-то уже о многом говорит! К тому же, я поздно прихожу и все уже спят. Могу раздеться и никто всё равно не заметит...|Erinnerst du dich nicht, dass ich normalerweise nackt schlafe? Dass ich überhaupt etwas zum Schlafen trage, ist schon eine Leistung! Und ich gehe sowieso spät ins Bett, niemand ist da, um mich zu sehen, also kann ich genauso gut nackt schlafen.
		bf.19.next.4^			Я не против!|Es macht mir nichts aus.

	bf.19.next.4@62@Вот не удивил ты меня, Макс! В общем, Кира, постарайся сильно не светить своими... Кстати, мне казалось, что у тебя грудь была чуть меньше. Хотя, момент я выбрала неудачно для таких вопросов...|Ich bin sicher, das tust du nicht, Max. Bitte zeig nicht zu viel, Kira. Hattest du auch einen kleineren Busen? Warte, ich bin mir nicht sicher, ob das der richtige Zeitpunkt für dieses Gespräch ist.
		bf.19.next.5^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.5@113@Может быть, это всем интересно? Да, я увеличила себе грудь. Хотела ещё на размер больше, но вовремя одумалась. Такая меня устраивает сейчас полностью!|Ich habe nichts zu verbergen. Ja, ich habe meine Brüste vergrößert. Ich wollte es noch größer machen, aber dann habe ich meine Meinung geändert. Ich denke, diese Größe ist perfekt für mich!
		bf.19.next.6^			Меня тоже...|Ich auch
		bf.19.next.6^			<i>промолчать</i>|<i>sei still</i>

	bf.19.next.6@67@Думаю, такая грудь всех устраивает. Вот только тебе же пришлось менять гардероб, видимо?|Ich bin sicher, alle stimmen dir zu. Aber musstest du nicht deine Kleidung ersetzen?
		bf.19.next.7^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.7@112@Ты знаешь, не особо. Нижнее бельё я вообще не ношу. Сплю голая. Так, пара тройка нарядов сменилась, а всё остальное... просто стало более обтягивающим...|Nicht wirklich. Du weißt, ich trage niemals Unterwäsche und schlafe nackt. Ich musste ein paar neue Sachen kaufen, aber der Rest ist nur etwas enger geworden, das ist alles.
		bf.19.next.8^			Не носишь нижнее бельё?|Du trägst keine Unterwäsche?

	bf.19.next.8@62@Так и знала, что момент неудачный. Макса, как всегда, интересует только одно... Это выбор вашей тёти что носить, а что нет. И тебя точно не должно это всё интересовать...|Ich wusste, das ist nicht die Zeit, das zu diskutieren.... Natürlich Max kümmert sich nur um eine Sache. Die Kleidung deiner Tante ist ihre eigene Wahl und persönliche Angelegenheit, also sollte es dich in keiner Weise betreffen.
		bf.19.next.9^			Но мам...|BAber Mom!

	bf.19.next.9@114@Да всё в порядке. Ну мальчику интересно, почему бы и не ответить. Когда нет нижнего белья, то ощущения очень волнующие. Особенно, если кто-то знает, что его нет... И тогда...|Es ist okay, Neugier ist eine ganz natürliche Reaktion und ich habe keine Probleme mit seinen Fragen. Keine Unterwäsche zu tragen ist aufregend. Besonders, wenn jemand davon weiß....
		bf.19.next.10^			<i>далее</i>|<i>fortfahren</i>

