# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!

	06.phmn.1@100@А конкретнее?|Was meinst du damit?
		06.phmn.2^		Ну, мне каждый раз искать деньги или как?|Muss ich jedes Mal nach Geld suchen?

	06.phmn.2@113@Что ты, конечно, нет. Я даже думаю, что эти кадры окажутся достаточно интересными, чтобы заинтриговать кое-кого. Это займёт время, поэтому долларов 700 тебе всё же придётся найти для мамы. Но думаю, это в последний раз.|Nein, Natürlich nicht. Ich denke, dass die letzte Sitzung bereits interessant genug war, damit einige Leute für sie zahlen können, aber es wird einige Zeit dauern, also mußt du noch $700 für deine Mom auftreiben. Aber ich denke, es wird wahrscheinlich das letzte Mal sein.
		06.phmn.3^		Ладно...|Okay

	06.phmn.3@101@И не вздумай как-то об этом проговориться. Если твоя мама узнает, что всё это - подстава, пусть и с благими намерениями, она точно больше не будет позировать. А то и меня куда подальше отправит...|Und lass es dir nicht entwischen, wenn deine Mom das mitbekommt wird sie nie wieder für dich posieren. Und mich vielleicht sogar rauswerfen.
		06.phmn.4^		Я же не дурак...|Ich verstehe, ich bin kein Vollidiot.

	06.phmn.4@100@Да, что правда, то правда... В общем, как накопишь долларов 700, приноси, потом передам их маме при тебе, как оплату её работы, так сказать...|Dem kann ich nicht widersprechen.... Wie auch immer, sobald du das Geld hast, gebe ich es deiner Mom, wenn du da bist.
		leave!set_momlust_9^		Конечно!|Sicher



# --- 0.6: Макс приносит деньги Кире за вторую фотосессию мамы|kiratalk Max bringt Kira Geld für die 2. Sitzung der Mutter

	06.phmn.5.init@0@Насчёт денег за фотосессию...|Wegen des Geldes für die Session....
	06.phmn.5@100@Что, накопил? Отлично. Давай сюда...|Hast du es schon? Großartig, gib es mir.
		money>699&06.phmn.6!add_money_-700^		Держи!|Hier
		06.phmn.6a^								У меня их ещё нет...|Ich habe es noch nicht.

	06.phmn.6a@101@Понимаю. Деньги не малые. Я бы тебе помогла, но у меня очень плохо получается копить... Лишних сейчас нет, к сожалению... В общем, как найдёшь, приноси.|Ich verstehe, es ist nicht gerade ein Taschengeld. Ich würde dir gerne helfen, aber ich bin nicht gut darin, das Geld aufzutreiben.... Wie auch immer, bring es mir, wenn du genug hast.
		leave^			Конечно!|Sicher

	06.phmn.6@113@Очень хорошо, Макс. Даже боюсь спросить откуда у тебя деньги, ведь, мама не может их давать... Видимо, что-то в интернете делаешь?|Sehr gut, Max. Ich frage mich, woher du es hast, denn du kannst nicht einfach Mom um Geld bitten.... Ich schätze, du machst etwas im Netz?
		06.phmn.7^		Ну да, типа того...|So was Ähnliches....
		06.phmn.7a^		Нет, просто дурью торгую!|Ich schiebe Gras.
		06.phmn.7b^		По дому куча скрытых камер и я зарабатываю на шоу.|Es gibt einen Haufen versteckter Kameras im Haus, die die Show ins Internet streamen.

	06.phmn.7a@114@Ага, я так и подумала сразу. Ну, не хочешь говорить, не надо... Но если передумаешь, то знай, что мне всегда можно довериться...|Ja, richtig. Wenn du es mir nicht sagen willst, ist das in Ordnung. Aber wenn du deine Meinung änderst, kannst du mir immer vertrauen.
		06.phmn.7^		Конечно, тётя Кира...|Natürlich, Tante Kira

	06.phmn.7b@114@Ого! Да у тебя ещё и шоу своё... Как интересно... Ну а если серьёзно, то как захочешь рассказать, то знай, что я - как рыба об лёд. Никому ничего не скажу.|Oh, du hast also deine eigene Show.... Wie interessant.... Aber im Ernst, du kannst es mir sagen, ich werde es niemandem sagen.
		06.phmn.7^		Ага, не сомневаюсь...|Bestimmt nicht!
		06.phmn.7^		Ну я и рассказал...|Ich habe es gerade

	06.phmn.7@100@Ладно. Ты как увидишь нас с твоей мамой вместе, подходи, я при тебе передам деньги, заодно обсудим что там дальше...|Okay. Nun, komm doch mal zu deiner Mom und mir, wenn wir zusammen sind. Ich gebe ihr das Geld und wir besprechen den nächsten Schritt....
		leave!set_momlust_10^		Хо?ошо!|Perfekt



# --- 0.6: Разговор с мамой и Кирой у бассейна по поводу денег за вторую фотосессию|kiratalk Ann und Kira sprechen über Geld für die 2. Sitzung

	06.phmb.0@114@О, вот и Макс. А мы тут загораем...|Und hier ist Max. Komm her, wir sonnen uns hier drüben....
		06.phmb.1^		Ага, вижу...|Ja, Ich sehe es

	06.phmb.1@101@Ой, я как раз вспомнила. За вторую фотосессию мне заплатили... Ну, точнее тебе. Держи, Ань.|Oh, übrigens. Ich wurde für eine zweite Fotosession bezahlt. Oder, genauer gesagt, du wurdest bezahlt. Hier, Ann.
		06.phmb.2^		<i>далее</i>|<i>fortfahren</i>

	06.phmb.2@68@t-mk-2@Ой... Кира, это же большие деньги! И это всё за тот раз, когда мы... Ох, как вспомню, до сих пор стыдно...|Oh.... Kira, das ist eine Menge Geld! Und das ist nur für die Zeit, als.... Ich kann nicht mal darüber reden....
		06.phmb.3^		Ну мам...|Komm schon, Mom....

	06.phmb.3@62@Да, да. Что было, то было... Ну я не ожидала, если честно. Теперь понятно, почему ты занимаешься, Кира... ну, тем чем занимаешься... Просто я не ожидала, что за какие-то кадры и вот так...|Ja, ja. Was geschehen ist, ist geschehen.... Ich habe nicht so viel erwartet, um ehrlich zu sein. Jetzt verstehe ich, warum du.... was du tust.... Ich habe nicht so viel erwartet für ein paar Fotos....
		06.phmb.4^		Вот видишь!|Siehst du!

	06.phmb.4@114@Вот именно! За дом же нужно платить. А если какие-то непредвиденные расходы? Куда идти? В банк за кредитом? А так ты можешь сама зарабатывать и обеспечивать свою семью!|Genau! Wir müssen das Haus irgendwie bezahlen! Was, wenn wir unerwartete Ausgaben haben? Irgendwo hingehen? Was müssten wir tun, zur Bank gehen, um Kredite aufnehmen zu können, ohne sie zurückzahlen zu können? Auf diese Weise kannst du deine Familie unterstützen!
		06.phmb.5^		<i>далее</i>|<i>fortfahren</i>

	06.phmb.5@67@Ты права. Вот только бы не пришлось краснеть перед сыном, было бы совсем замечательно...|Du hast Recht. Wenn ich es nur nicht vor meinem Sohn tun müsste, wäre es perfekt.
		06.phmb.6^		Ну тут я - самый лучший и бесплатный фотограф...|Ich habe eine entscheidende Position als bester und freier Fotograf.

	06.phmb.6@113@Это точно. У Макса получаются шикарные кадры. Он прямо чувствует, какой ракурс выбрать и всегда в фокусе именно то, что нужно. Не каждый профессионал так умеет. К тому же, Макс не посторонний и его можно не стесняться!|Das ist richtig. Max macht tolle Fotos. Es ist, als könne er genau spüren, was zu tun ist, er wählt immer den besten Winkel und alles. Das kann nicht jeder professionelle Fotograf. Und Max ist Familie, es gibt keinen Grund, sich zu schämen!
		06.phmb.7^		Ага, сплошные плюсы!|Jeder gewinnt, wie auch immer man das sieht!

	06.phmb.7@60@Да, вы правы. Ладно, я согласна иногда... так подрабатывать. Может быть, нужно встретиться с этими людьми, которые платят? Ну там... контракт подписать или что делают в таких случаях?|Ja, du hast Recht. Okay, ich stimme zu.... ein paar extra Pennys zu verdienen. Vielleicht sollte ich die Leute treffen, die für diese ganze Sache bezahlen? Ich weiß nicht, einen Vertrag unterschreiben oder so?
		06.phmb.8^		<i>далее</i>|<i>fortfahren</i>

	06.phmb.8@100@Ой, Ань, к чему тебе эти условности, бумаги. Это такой бизнес, тут всё строится на доверии. Ты мне доверяешь, я доверяю тем людям. Все счастливы и довольны. Ну и налоги можешь не платить. Зачем отдавать лишние деньги? Они же не лишние?|Wozu die Mühe, Ann? Alles ist auf Vertrauen aufgebaut. Du vertraust mir, ich vertraue Leuten, die deine Fotos kaufen. Alle sind glücklich und niemand muss Steuern zahlen. Warum das Geld verschenken? Du hast nicht zu viel, oder?
		06.phmb.9^		Хм...|Hm

	06.phmb.9@60@Ладно. Посмотрим. В любом случае, я бы хотела понимать весь процесс, откуда деньги, за что, как всё устроено. Это же меня будет кто-то разглядывать, я хочу знать где они увидят эти кадры...|Gut. Auf jeden Fall möchte ich noch lernen, wie alles funktioniert. Die Leute werden mich anschauen, ich will wissen, wer mich sehen wird.
		06.phmb.10^		<i>далее</i>|<i>fortfahren</i>

	06.phmb.10@101@Хорошо, хорошо. Я тебе всё объясню. Максу не обязательно знать всю эту кухню. Потом я тебе, Ань, всё объясню и расскажу. Сама захочешь продолжить!|Okay, okay. Ich bringe dich da rein. Max, das musst du nicht alles wissen. Ich erkläre dir alles später, Ann. Du wirst noch mehr arbeiten müssen!
		leave!set_kirabed_1!set_momlust_11!set_dcd.momlust_4!set_can.talk.mom.ps_1^			Намёк понял... ухожу...|Ich hab's verstanden, ich lass euch in Ruhe.



# --- 0.6: Разговор с Кирой насчёт мамы и дальнейших планов с фотосессиями|kiratalk über Ann und zukünftige Fotosessions

	06.phmb.11.init@0@Значит, убедила маму?|Also, hast du Mom überzeugt?
	06.phmb.11@101@Насчёт заработка на фотографиях? Ну да. Думаю, что всё получится. Конечно, придётся делать более откровенные кадры, но раз уж мы вступили на эту дорожку, то всё пойдёт как надо...|Darüber, mehr Geld mit Fotos zu verdienen? Ja. Ich denke, alles wird gut gehen. Wir müssen etwas deutlicher machen, aber wir sind auf dem richtigen Weg.
		06.phmb.12^		Значит, больше не придётся искать деньги?|Also muss ich nicht mehr nach dem Geld suchen?

	06.phmb.12@113@Нет, зачем? Мы же это всё делали для того, чтобы твоя мама плавно вошла в колею, так сказать. Скажи ей сразу, что придётся фотографироваться с голым сыном, она бы ни за что даже слушать дальше не стала...|Nein, Warum? Wir haben es getan, um deiner Mom den Einstieg ins Geschäft zu erleichtern, sozusagen. Hätten wir nur gesagt, dass sie Fotos mit ihrem nackten Sohn machen muss, würde sie das nie tun....
		06.phmb.13^		Да, было забавно...|Ja, das würde ich gerne sehen.

	06.phmb.13@114@Забавно? Не то слово! Ты видел её глаза, когда ты снял шорты и вытащил свой член? Она чуть не закричала от неожиданности! Я еле сдерживалась, чтобы не рассмеяться...|Darauf kannst du wetten! Hast du ihre Augen gesehen, als du deine Hose runtergezogen hast? Sie schrie fast vor Überraschung! Ich habe es kaum geschafft, nicht zu lachen....
		06.phmb.14^		Ну... да...|Ja

	06.phmb.14@113@Но твоя мама не выгнала меня из дома и тебя в лагерь этот военный не отправила. Значит, всё будет хорошо. Я буду постепенно её обрабатывать, подготавливать психологически. Глядишь, дойдём и до ещё более откровенных сцен...|Die Hauptsache ist, sie hat mich nicht rausgeschmissen und dich nicht ins Militärlager geschickt, also wird alles gut. Ich werde weiter an ihr arbeiten, um sie darauf vorzubereiten. Vielleicht kommen wir in etwas noch Deutlicheres....
		06.phmb.15^		Было бы круто!|Das wäre dann Großartig!

	06.phmb.15@114@Я так понимаю, твой нездоровый интерес к своей маме тебя не волнует? Ну и правильно. В конце концов, кто знает что нормально, а что - нет. Так или иначе, она уже не та, что раньше. То ли ещё будет...|Und es stört dich nicht, wie sehr du dich für deine eigene Mutter interessierst? Gut. Wer weiß, was gut ist und was nicht. Wie auch immer, wir haben angefangen, deine Mom zu verändern, wer weiß, wohin uns das führen wird....
		06.phmb.16^		Надеюсь...|Ich hoffe es

	06.phmb.16@101@Ну всё, пока придётся потерпеть некоторое время, пока я всё организую и сделаю так, чтобы не мы платили твоей маме, а вполне конкретные люди и она на самом деле начала зарабатывать.|Okay. Jetzt muss ich etwas Zeit damit verbringen, echte Zahler für Moms Fotos zu finden.
		06.phmb.17^		Хорошо бы...|Das wäre schön....

	06.phmb.17@113@Как что-то будет известно, я дам знать.|Ich lasse es dich wissen, wenn es Neuigkeiten gibt.
		leave!set_momlust_12!set_dcd.momlust_3^			Ага...|Ja



# --- 0.6: Разговор с мамой после 2й фотосессии и получения ею денег|Momtalk nach der 2. Sitzung

	06.phmg.0.init@0@Мам, я про фотографии хотел поговорить...|Mom, ich wollte über Fotos reden....
	06.phmg.0@60@Да, Макс, я тебя слушаю... Только давай не будем вспоминать тот случай, когда ты шорты снял...|Okay, ich höre zu.... Aber lass uns nicht über die Zeit reden, als du deine Shorts ausgezogen hast....
		06.phmg.1^		Ну, я как раз об этом...|Darüber wollte ich eigentlich reden.

	06.phmg.1@69@Мне так стыдно, что вообще всё так далеко зашло тогда. Неужели, ты сам не стеснялся, когда стягивал их с себя? Да ещё перед своей тётей...|Ich schäme mich so, dass alles so weit ging. Hast du dich nicht geschämt, sie auszuziehen? Vor deiner Tante?
		06.phmg.2^		Ну она тоже была почти голая... И ты...|Sie war sowieso praktisch nackt.... Und du auch....

	06.phmg.2@62@Да уж. Вот у нас семейка каких-то извращенцев. Даже не знаю, как это всё назвать... Ну что же. Какие есть... Так что ты хотел сказать?|Ja. Wir haben eine perverse Familie. Ich weiß nicht mal, wie ich es nennen soll. Nun, ich schätze, das ist es, was wir sind.... Worüber willst du reden?
		06.phmg.3^		Я хотел спросить, почему ты стесняешься.|Ich wollte dich fragen, warum du dich schüchtern fühlst.

	06.phmg.3@67@Макс, ну это же нормально, когда один человек стесняется другого. К тому же, я твоя мать, а ты мой сын. Это же очевидно... Конечно, то что ты голый меня не смущает, но когда ты... такой возбуждённый. Я то ладно, но твоя тётя...|Ich denke, schüchtern zu sein ist eine ganz normale Reaktion auf diese Situation. Außerdem bin ich deine Mutter. Ich bin nicht besorgt, dass du nackt bist, aber du warst so hart.... Und deine Tante ist da....
		06.phmg.4^		Но я же не стесняюсь!|Aber ich schäme mich nicht!

	06.phmg.4@62@Вот хотела бы я знать почему... Ну ладно. С другой стороны, это же даже хорошо, что ты такой уверенный в себе и не зажатый, как некоторые дети. Далеко пойдёшь...|Und ich würde gerne wissen, warum.... Aber gut. Andererseits ist es gut, dass du so zuversichtlich bist, dass es dir im Leben helfen wird.
		06.phmg.5^		Спасибо. Но я думаю, что и тебе не надо стесняться!|Danke. Aber ich finde, du solltest auch nicht so schüchtern sein.

	06.phmg.5@69@Ну я не то, чтобы стесняюсь. Мне просто кажется, что нужно быть скромнее. Одно дело снять верх купальника, хотя и это для многих - перебор. Ты знаешь, твоя тётя мне весь мозг проела на эту тему. Не удивлюсь, если скоро убедит меня полностью раздеться...|Ich bin nicht gerade schüchtern, ich denke nur, wir sollten bescheidener sein. Deine Tante hat so viel Zeit damit verbracht, mich davon zu überzeugen, mein Oberteil auszuziehen.... Ich wäre nicht überrascht, wenn sie mich überreden würde, auch ganz nackt zu gehen....
		06.phmg.6^		Ого!|Wow!

	06.phmg.6@73@Вот тебе и ого, Макс... Но раз уж мы все такие бесстыдники, а деньги очень нужны... Кто знает, может это и не такая большая проблема, как я себе представляю. В конце концов, кому нас судить...|Ja.... Nun, da wir alle so schamlos sind und dringend Geld brauchen.... Wer weiß, vielleicht sollte ich mir keine Sorgen um die ganze Sache machen, es ist ja nicht so, dass irgendjemand urteilt....
		06.phmg.7^		Верно!|Ja, genau!

	06.phmg.7@62@Ладно, хватит об этом, а то тебя, похоже, даже разговоры на эту тему возбуждают. Иди охладись, тебе не помешает...|Nun, genug davon, du wirst wieder überdreht. Geh und nimm eine kalte Dusche.
		leave!set_can.talk.mom.ps_2^			Ага. Ну, я рад, что мы всё выяснили...|Okay. Ich bin froh, dass wir dieses Gespräch hatten.



# --- 0.6: Разговор с Эриком после того, как Макс решил его пока оставить|erictalk, nachdem Max sich entschieden hatte, ihn zu behalten.

	06.erka.0.init@0@Мне нужно кое-что от тебя...|Ich will etwas von dir.
	06.erka.0@80@Ну ладно. И чего же ты хочешь?|Gut, was willst du?
		can.talk.eric.aa=0&06.erka.alice.1^								Расскажи, что у вас было с Алисой?|Sag mir, was du mit Alice machst.
		poss.wallet=57&ertype=0&06.erka.mom.1^							Ты должен мне помочь с мамой...|Ich will deine Hilfe mit Mom.
		poss.wallet=57&ertype=2&ermom=0&06.erka.1^						Я хочу ещё кое о чём поговорить насчёт мамы...|Ich brauche mehr Hilfe mit Mom.
		poss.wallet=57&ertype=2&ermom=1&dcd.ermom=0&06.erka.6^			Моё требование в силе!|Ich verlange immer noch, dass du mich meine Mutter anfassen lässt!
		poss.wallet=57&ertype=4&06.erka.12^								Насчёт мамы...|Wegen Mom...
		poss.wallet=57&ertype=6&06.erka.17^								Я опять насчёт мамы...|Ich will noch mal über Mom reden.
		leave^															Нет, ничего... пока...|Nichts für den Moment

	06.erka.alice.1@81@В каком смысле? Ничего у нас не было...|Was meinst du damit? Ich habe nichts gemacht.
		06.erka.alice.2!set_can.talk.eric.aa_1^		Ну, ты же приходил к ней в комнату...|Aber du bist oft in ihr Zimmer gekommen.

	06.erka.alice.2@86@Ну да, пытался наладить отношения. Шмотки всякие дарил. Иногда она их мерила при мне, но ничего не было. Если ты на что-то намекаешь...|Ich habe versucht, eine Beziehung aufzubauen. Gab ihr einen Haufen Klamotten. Manchmal probierte sie sie sie vor meinen Augen an, aber das war's. Wenn du etwas andeuten willst....
		06.erka.alice.3^		Ладно, спрошу прямо. Ты её трахал?|Okay, ich frage sofort. Hast du sie gefickt?

	06.erka.alice.3@91@Вот это вопрос! У тебя там что, диктофон где-то припрятан? Ну так я тебя обломаю. Нет, ничего такого не было! Сам можешь у неё спросить, если не веришь...|Das ist eine interessante Frage.... Trägst du ein Kabel oder so was? Dann tut es mir leid, dich zu enttäuschen. Nein, habe ich nicht. Du kannst sie fragen, wenn du mir nicht glaubst.
		06.erka.alice.4^		Не убедил. Вы же закрывались в комнате!|Warum hast du dann die Tür geschlossen?

	06.erka.alice.4@87@Дверь она закрывала, чтобы никто не подглядывал, пока она примеряет шмотки, которые я же ей и дарил... Ну да, бывало подглядывал, но ничего больше...|Weil sie nicht wollte, dass jemand nachsieht, wie sie sich umzieht. Manchmal habe ich selbst einen Blick drauf geworfen, aber das war's.
		leave^					Ну, ладно...|Schön
		06.erka.alice.5^		А хотел бы?|Würdest du gerne?

	06.erka.alice.5@81@У тебя точно нигде микрофон не спрятан? Хотя... У тебя наверняка есть инстинкт выживания, ты бы не стал... Насчёт Алисы. Конечно, я хотел бы её трахнуть. Да всех баб в этом доме! Они же все, как на подбор! А что, хочешь помочь мне с этим?|Bist du sicher, dass du nicht verkabelt bist? Du solltest genug Verstand haben, um nicht.... Ja, ich würde sie gerne ficken. Genau wie jede andere Tussi im Haus. Sie sind alle Großartig! Was, willst du mir dabei helfen?
		06.erka.alice.6^		Обойдёшься!|Fette Chance!

	06.erka.alice.6@83@Так и знал. Ты у нас собственник. Всё лучшее только тебе. Сам то заглядываешься на всех, а ведь они - твоя семья! И кто ещё из нас извращенец?|Ich habe es auch nicht erwartet. Das Beste ist nur für dich. Schämst du dich nicht, deine eigene Familie ficken zu wollen? Wer ist der Perverse hier?
		leave^					Да пош?л ты!|Fick dich!



# --- 0.6: Макс требует позволить ему смотреть `из первого ряда`, так сказать|erictalk Max will die erste Reihe der Aktion

	06.erka.mom.1@87@Это каким же, интересно, образом? Мы же с тобой вроде бы разделили территории. Анна - моя, остальное - твоё. Или ты уже передумал? Можем поменять эти территории, так сказать...|Und was willst du? Waren wir uns nicht schon einig? Ann gehört mir und der Rest gehört dir. Oder hast du deine Meinung geändert?
		06.erka.mom.2^			Ты не в том положении, чтобы торговаться!|Du bist nicht in der Position zu verhandeln.

	06.erka.mom.2@81@Ну ты же не думаешь, что я буду позволять собой управлять? Я не хочу уходить, потому что тут комфортно. Ну да, у тебя есть на меня компромат, но я могу уйти в любой момент. Попутно свернув кое-кому шею...|Du glaubst doch nicht, dass du mich herumkommandieren kannst, oder? Ich will nicht gehen, weil es mir hier gefällt. Sicher, du hast etwas gegen mich in der Hand, aber ich kann jeden Moment abhauen oder ich kann dir das Genick brechen....
		06.erka.mom.3^			Зря угрожаешь...|Vergeude nicht meine Zeit mit deinen leeren Drohungen

	06.erka.mom.3@87@Да я так, чтобы ты не расслаблялся и не сел на шею, свесив ножки, так сказать. Короче, чего ты хочешь?|Ich will nicht, dass du dich zu wohl fühlst, du wirst zu sehr von dir eingenommen. Wie auch immer, was willst du?
		06.erka.mom.4^			Ну для начала, я бы хотел присутствовать в комнате, когда вы с мамой...|Für den Anfang will ich im Zimmer sein, wenn du mit Mom zusammen bist.

	06.erka.mom.4@83@Да, Макс... А ты у нас любитель наблюдать, похоже... Конечно, я могу убедить твою маму в чём угодно, даже чтобы разрешила тебе находиться в комнате... Но не хочу, чтобы она подумала, что я извращенец какой-то...|Wow, Max.... Ich schätze, du schaust gerne zu, huh.... Ich könnte deine Mom überzeugen, dem zuzustimmen, aber ich will nicht, dass sie denkt, dass ich eine Art Perverser bin.
		06.erka.mom.4a^			А ты не такой?|Als ob du nicht
		06.erka.mom.4b^			Это значит нет?|Heißt das nein?

	06.erka.mom.4a@87@Конечно, нет! Я не мечтаю трахнуть свою маму. Да и сестёр тоже... Хотя, может и мечтал бы, если бы они у меня были... Но это не важно...|Natürlich nicht! Ich will meine Mom nicht ficken. Oder meine Schwestern.... Obwohl, wenn ich sie dann vielleicht.... Das spielt keine Rolle.
		06.erka.mom.4b^			Это значит нет?|Heißt das nein?

	06.erka.mom.4b@86@Ну я не сказал нет. Я сказал, что не хочу убеждать в этом твою маму.|Nein. Ich habe gerade gesagt, dass ich deine Mom von nichts überzeugen werde.
		06.erka.mom.5^			Да какого хрена, Эрик?|Was zum Teufel, Eric?
		06.erka.mom.5^			И как тогда?|Wie denn dann?

	06.erka.mom.5@83@Если ты наблюдал за нашими... играми, то мог заметить, что иногда твоя мама в наручниках, кляпе и я могу надеть ей что-то на глаза, чтобы она не видела что происходит... Если придёшь в такой момент в комнату, я жестом покажу, что можно войти.|Wenn du unsere.... Spiele gesehen hast, hast du vielleicht bemerkt, dass deine Mom manchmal in Handschellen liegt und geknebelt ist. Ich kann ihr eine Augenbinde anlegen und sie wird nicht sehen, was los ist. Ich kann dir ein Zeichen geben, dich in den Raum zu schleichen.
		06.erka.mom.6^			И что, можно будет трогать?|Und ich werde in der Lage sein, sie anzufassen?

	06.erka.mom.6@91@Э... Что трогать?|Em.... anfassen Was?
		06.erka.mom.7^			Ну, маму...|Mom

	06.erka.mom.7@83@Макс! Ты хотел в комнате быть. Я это и предлагаю. Трогать никого не надо. Да и как ты себе это представляешь? Думаешь, она не заметит, что три-четыре руки это необычно? Хочешь смотреть - сможешь смотреть, мне пофигу.|Max! Du wolltest im Raum sein, ich gebe dir die Möglichkeit, das zu tun. Du fasst niemanden an. Und wie stellst du dir das überhaupt vor? Denkst du, sie wird nicht ein paar zusätzliche Hände bemerken? Es ist mir egal, ob du zuschaust.
		06.erka.mom.8^			Ну, ладно. Договорились!|Schön, deal

	06.erka.mom.8@87@Если больше закидонов у тебя никаких не будет, то я думаю, что мы поладим. А то как-то не с той ноты начали...|Wenn du keine Überraschungen erleben willst, werden wir uns gut verstehen. Wir haben mit dem falschen Fuß angefangen....
		leave!set_ertype_1!set_poss.control_5^		Посмотрим...|Wir werden sehen.



# --- 0.6: Макс хочет не только смотреть|erictalk Max will mehr als nur zuschauen

	06.erka.1@83@Ого! Уже просто смотреть недостаточно? Захотел чего-то ещё? Не слишком ли губу раскатал?|Also reicht es nicht mehr, nur zu gucken? Willst du mehr? Bist du nicht etwas zu gierig?
		06.erka.2^		Так ты мне поможешь или что?|Wirst du helfen oder nicht?

	06.erka.2@87@Ага. Значит, вариант «или что» доступен?|Oder, damit ich die Option "oder nicht" wählen kann?
		06.erka.3^		Нет! Я хочу больше!|Nein, das kannst du nicht.

	06.erka.3@81@Ну и чего же ты тогда хочешь, Макс? Только не говори, что потрогать...|Was willst du dann? Sag mir nicht, dass du sie anfassen willst.
		06.erka.4^		Да, именно это и хочу!|Das ist genau das, was ich will!

	06.erka.4@86@Ты хоть представляешь, что нам устроит твоя мама, если поймёт что происходит? Даже я не уверен, что смогу как-то это всё объяснить...|Kannst du dir die Reaktion deiner Mom vorstellen, wenn sie dich erwischt? Ich bin mir nicht mal sicher, ob ich mich da rausreden kann....
		06.erka.5^		Тем не менее, ты обязан мне помочь!|Du hast keine andere Wahl.

	06.erka.5@87@Ну не знаю, Макс. Лучше, подумай ещё. Идея явно не из лучших...|Ich weiß nicht.... Denk darüber nach, Max. Das ist keine gute Idee.
		leave!set_ermom_1!set_dcd.ermom_1^		Блин!|Mist!



# --- 0.6: Макс пытается убедить Эрика, что тот должен помочь Максу с его задачей насчёт мамы|erictalk überzeugte Eric, Max Ann berühren zu lassen.

	06.erka.6@86@Смотрите-ка, у него требования!|Oh, das du verlangst jetzt?
		06.erka.7^		Именно!|Ja!

	06.erka.7@87@Может, тебе порнуху какую-нибудь посмотреть и успокоишься? Нафига меня впутывать в эти свои сомнительные фантазии?|Wie wäre es, wenn du dir einfach ein paar Pornos anschaust und dich beruhigst? Warum musst du mich in deine dubiosen Fantasien hineinziehen?
		random.social.2=1&06.erka.8^		Эрик, если не хочешь неприятности, ты мне поможешь! [skill.social_2]|Hilf mir, wenn du keinen Ärger willst, Eric [skill.social_2]
		random.social.2=0&06.erka.8bad^		Эрик, если не хочешь неприятности, ты мне поможешь! [skill.social_2]|Hilf mir, wenn du keinen Ärger willst, Eric [skill.social_2]

	06.erka.8bad@81@<color=orange><i>Убеждение не удалось!</i></color>\nНу не знаю, Макс. Я тебе уже намекал, что угрожать мне - опасная затея. Конечно, можешь ещё попытаться, но твои шансы выжить в сложившейся ситуации стремительно тают...|<color=orange><i>Überzeugung gescheitert!</i></color>\nIch weiß nicht, Max. Ich habe dir schon mal gesagt, du sollst mir nicht drohen, wenn du leben willst.
		leave!set_dcd.ermom_1^			Вот гад...|Mist

	06.erka.8@81@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, ладно. Конечно, ты меня начинаешь бесить, но так уж и быть, я тебе помогу. Вот только если твоя мать всё поймёт - сам будешь всё объяснять!|<color=lime><i>Überzeugung erfolgreich!</i></color>\nGut, gut, gut. Du gehst mir auf die Nerven, aber ich helfe dir. Aber wenn deine Mom uns erwischt, bist du derjenige, der die Situation erklärt!
		06.erka.9^		Вот. Другое дело!|So ist es besser!

	06.erka.9@86@Хорошо. Давай тогда так договоримся. Я тебя позову посмотреть, когда придёт подходящий момент, ты тихо войдёшь, а когда я подам сигнал, ты подойдёшь и потрогаешь свою мать, но без фанатизма, чтобы она ничего не поняла!|Okay, ich rufe dich im richtigen Moment, du schleichst dich ins Zimmer, ich gebe dir ein weiteres Zeichen und du berührst deine Mom. Aber sei vorsichtig, sie darf nicht wissen, was los ist!
		06.erka.10^		Ага, понял!|Ja, Ich verstehe

	06.erka.10@81@И это... Смотри, чтобы руки были тёплые, а то явно почувствует же, что что-то не то... И ни одного звука! В общем, не тупи. И сразу же отходи, я не хочу, чтобы ты начал её лапать вдруг посреди секса, это ненормально...|Und sorge dafür, dass deine Hände warm sind, sonst merkt sie, dass etwas nicht stimmt. Und kein einziges Geräusch! Sei einfach kein Idiot. Und lass sie, wenn ich es dir sage, ich will nicht, dass du sie anfasst, wenn wir mitten im Geschehen sind, es ist seltsam.
		06.erka.11^		Да понял я всё, понял!|Ich verstehe, ich verstehe!

	06.erka.11@87@Отлично. Тогда, лови момент. А пока вали отсюда.|Großartig, dann warte auf den richtigen Moment. Und jetzt verschwinde.
		leave!set_ermom_2!set_ertype_3!set_poss.control_6^			Угу...|Ja



# --- 0.6: Макс хочет ещё больше|erictalk Max will noch mehr

	06.erka.12@86@Да ты издеваешься, Макс? Ты и так смотришь, лапаешь мать во время секса! Чего ещё захотел?|Ist das dein Ernst, Max? Du beobachtest und berührst sie schon mitten im Sex! Was willst du noch?
		06.erka.13^		Ну, ты же понимаешь...|Du weißt schon....

