myroom=МОЯ\nКОМНАТА|Mein \nZimmer
poss.control.step.7=Кажется, Эрик в моих руках. Он согласился на то, чтобы я иногда не только смотрел и трогал, но даже мог полапать маму в любом месте, где только захочу! Правда, не очень долго, чтобы она не заметила подозрительного поведения. Наконец-то, я могу прикоснуться к киске мамы! Эх, ещё бы это было возможно при других обстоятельствах...|Ich glaube, ich kann mit Eric alles tun was mir einfaellt. Er hat zugestimmt Mum überall dort anzufassen, wo ich es sage. Ich sollte es nur nicht zulange machen sonst wird Mum misstrauisch, aber ich kann jetzt ihre Muschi anfassen! Ach...wenn ich es nur auch in anderen Situationen koennte.
poss.control.step.8=Ну что же, я потребовал от Эрика, чтобы он помог с самой главной задачей - трахнуть свою маму. Похоже, это будет самая сложная задача, так как киска мамы может быть просто не готова к моему члену. И конечно, она заметит подмену, если я поменяюсь с Эриком в процессе.\n\n\nДа, Эрик сказал, что может быть, он сможет мне помочь, но только в обмен на Алису. Другими словами, если я устрою всё так, чтобы он смог её наконец-то трахнуть... Придётся сделать выбор... Но кто знает, как всё сложится?\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры. Продолжение следует...</i>|Auf geht's zum Hauptpreis, ich habe von Eric verlangt mir dabei zuhelfen meine Mutter zuficken. Sicherlich wird das nicht einfach werden, gerade weil Mum nicht an meine Groesse gewoehnt ist und sie ganz sicher merken wird das jemand anderes Sie gerade fickt.\n\n\nEric ist aber dabei und meint er überzeugt Mum mit mir zuschlafen, wenn er Alice haben darf. Ich denke ich muss mich also zwischen Alice und Mum entscheiden, wer wird das Rennen wohl machen....\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>
poss.control.step.100=Эрик? Какой такой Эрик? Не слышал ни о каком Эрике... Кажется, его и не было никогда. Даже вспоминать не буду!\n\n\n<i><b>Внимание:</b> Вы достигли финала этой возможности. Поздравляем!</i>|Hm...Eric, nein der Name sagt mir nichts, wer war das nochmal? Ich werde ihn wohl kaum vermissen!\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.aunt.name=Любимая тётя|Lieblingstante
poss.aunt.step.1=Итак, к нам приехала тётя Кира, мамина младшая сестра. Конечно, и раньше не были замечены у неё какие-либо комплексы, но сейчас она стала такой... такой... А ещё она увидела мой член, в первый же день! Так неловко. Но и себя тётя Кира показала во всей красе, в таком купальнике, если его можно назвать купальником... Да ещё такие намёки на моего папу. Неужели, они были настолько... знакомы? Нужно выпытать у неё всё, что только возможно.|Tante Kira lebt jetzt mit uns zusammen, sie ist die juengere Schwester von Mum. Und schon immer alled andere als schuechtern, aber jetzt ist sie irgendwie noch expliziter oder bilde ich mir das nur ein? Sie hat aufjeden Fall gleich am ersten Tag hier meinen Schwanz gesehen, ich konnte mal wieder nichts dagegen machen, irgendwie alles komisch. Und dann der Bade Anzug, den man bei so wenig Stoff eigentlich nicht so nennen kann. Oder die Anspielung auf meinen Vater, kannen sich die beiden gut, ich würde es gerne wissen.
poss.aunt.step.2=Я рассказал тёте Кире всё про Эрика, вот как есть, так и сказал. Кажется, она сомневается в моих словах, но пообещала аккуратно всё выяснить и разузнать. Может быть, даже с самим Эриком пообщается...|Ich habe mit Tante Kira über mein Problem mit Eric gesprochen, bin mir aber nicht sicher ob sie mir glaubt, aber sie schaut sich die ganze Sache aufjedenfall mal an. Vielleicht redet sie sogar mit Eric darüber.
poss.aunt.step.3=Вот это да! Моя тётя снимается в порно! Неужели, я живу рядом с порнозвездой? Теперь понятно, почему меня к ней так и тянет. Её просто окружает аура секса!\n\n\nДа, она меня застукала, когда я дрочил, глядя на неё в душе... Так неловко... Хотя... Она же порнозвезда, и не такое видела! А вот я ещё нет. Поэтому, нужно как-то сблизиться с ней... Очень...|Meine Tante ist ein Porno Star, unglaublich ich lebe also zusammen mit einen Porno Star. Jetzt wird mir alles klar, und warum ich mich so sehr zu ihr hingezogen fuehle, sie ist ja pratisch purer Sex!\n\n\nSie hat mich auch schon erwischt, wie ich in der Dusche zu ihr gewichst habe, das war schin einbisschen komisch...wobei sie ist ja ein Pprno Star und sollte ganz andere Dinge gewoehnt sein. Zwar ist das bei mir noch was anderes, aber das will ich aendern, also muss ich ihr noch naeher kommen, viel naeher!
poss.aunt.step.4=Кира предложила мне немного заработать. Нужно лишь её пофотографировать. Вот только для этих целей нужен фотоаппарат. Конечно, вряд-ли она заплатит мне столько, сколько стоит фотоаппарат, зато есть шанс, что мне что-нибудь обломится другое за эту фотосессию...|Tante Kira hat mir angeboten für sie zuarbeiten, als ihr persoenlicher Fotograf. Zuerst brauche ich natuerlich eine Kamera, die werde ich wohl investieren müssen, auch wenn schon klar ist, dass ich nie soviel Geld von ihr bekommen werde um die Kosten dafür abzudecken.  Aber wer weis, vielleicht zeigt sie ihr Dankbarkeit ja anders..
poss.aunt.step.5=Ничего не обломилось. Во-первых, тётя позировала почти одетой. Тоже мне порнозвезда... А во-вторых, она так ничего и предложила мне после фотосессии! Видимо, она не знает, что фотомодели должны как-то благодарить фотографов. Да, денег она тоже не дала...|Dankbarkeit sieht anders aus! Als erstes war sie nicht mal nackt und das als sogenannter Porno-Star und eine Belohnung habe ich fier meine gute Arbeit auch nicht bekommen.
poss.aunt.step.6=Кира предложила мне выбрать: деньги или поработать ещё. Я выбрал деньги. Вот только меня не покидает ощущение, что я что-то сделал не так.\n\n\nКажется, она упомянула, что если я передумаю, то можно подойти к ней снова по этому вопросу. Вот только те $300, видимо, придётся вернуть...|Tante Kira hat mir heute die Wahl gegeben, zwischen Geld oder noch mehr Fotoshoots mit ihr. Ich habe mich fier das Geld entschieden, auch wenn ich mir nicht sicher bin ob es das Richtige war.\n\n\nSie hat mir angeboten, falls ich meine Meinung aendere kann ich jederzeit das Geld zurueckgeben und wir machen weiter.
poss.aunt.step.7=Итак, мы договорились с Кирой на новую фотосессию в ближайшую субботу, пока никого не будет дома. Интересно, какой наряд она наденет в этот раз? Может быть, удастся убедить её позировать... голой? Ах, мечты, мечты...|Wir haben uns geeinigt noch ein Fotoshooting zumachen, wieder wie gewohnt am Samstag, damit wir alleine sind. Ich frage mich was sie dieses Mal tragen wird, vielleicht kann ich dir ja überzeugen nackt für mich zuposen. Das waer schon was...
poss.aunt.step.8=Больше я не девственник, если можно так сказать... Тётя Кира проявила себя как страстная, горячая женщина с нездоровым интересом к моему члену... Чем я очень рад! Не обошлось без верёвок, но так даже интереснее! Посмотрим, к чему это всё приведёт...|Ich bin keine Jungfrau mehr! Tante Kira hat bewiesen eine sehr leidenschaftlichr Frau zusein, mit einen unnatuerlich grossem Interesse an meinen Schwanz... Aber mich soll das nicht stoeren, ganz im Gegenteil und wer weis wo es uns noch hinfürt.
poss.aunt.step.9=После того первого секса я поболтал с тётей Кирой и она сказала, что ей тоже всё очень понравилось, но не обещает продолжение, так как нас могут поймать на этом и тогда я поеду в военный лагерь, а она будет вынуждена жить в гостинице...\n\n\nОднако, если никто не увидит, то она не прочь развлечься со мной! А уж я насколько не против!|Ich habe mit Tante Kira nochmals über mein erstes Mal besprochen, sie hat den Sex mit mir auch sehr genossen. für sie was es aich etwas besonderes, da sie Angst hatte wir beide werden jeden Moment erwischt und das würde katastrophal enden!\n\n\nAber sie würde es wieder riskieren, natuerlich wenn niemand Zuhause ist und da kann ich schwer nein dazu sagen!
poss.aunt.step.10=Я пообщался с тётей Кирой насчёт поведения мамы и она намекнула, что знает причины, но не может мне рассказать, пока мама не даст согласия на это. А может быть, она и сама всё расскажет мне. Нужно лишь намекнуть про какую-то историю из её детства...|Ich habe mich mit Kira über das auffaellige Verhalten meine Mum unterhalten und sie meinte die Ursache koennte in Mum's Vergangenheit begruendet sein. Damals gab es einen misterioesen Zwischenfall der alles erklaeren koennte, jedoch wird mir Tante Kira nicht darüber verraten ohne das Mum ihr Zustimmung gibt. Vielleicht erzaehlt Mum mir es auch einfach gleich selbst, wie dem auch sein ich sollte Mum darauf ansprechen und sehen wie sie reagiert.
poss.aunt.step.11=Мама категорически отказалась со мной общаться на тему какого-то случая из её детства, на который намекала тётя Кира. Теперь я знаю где копать, но не знаю кто может что-то объяснить... Может быть, удастся убедить тётю Киру мне всё рассказать по секрету?|Mum wird mir definitiv nichts über den Vorfall erzaehlen, ich schliesse daraus, dass es etwas sehr wichtiges sein muss! Somit komme ich bei Mum nicht viel weiter, also muss ich Tante Kira umstimmen, damit sie mir die ganze Geschichte erzaehlt.
poss.aunt.step.12=Наконец-то, мне удалось убедить тётю Киру рассказать о том, что случилось с мамой в детстве. Очевидно, что психологиеская травма, которую нанёс ей тот похититель в лесу, оказала серьёзное влияние на то, какой она стала. Ну и Эрик, её босс, оказался идеальной причиной, чтобы все последствия той травмы вновь проявились, но уже таким... странным образом...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры. Продолжение следует...</i>|Ich habes es endlich geschafft Tante Kira zu überzeugen mir von dem Vorfall zu erzaehlen. Sie hat mir erzaehlt was mit Mum passiert ist als beide noch Kinder waren. So wie es scheint hat das Kidnapping ihr einige schwere psychische Probleme bereitet und sie so geformt wie ich sie jetzt kenne.  Eric hat scheinbar so eine mentale Wunde gefunden und nutzt sie für sich aus, daher das sonderbare Verhalten von ihr.\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.ganja.name=Травка|Gras
poss.ganja.step.1=Катя попросила меня раздобыть немного травки для неё. За это она готова разрешить мне поучаствовать в их ночных играх с Алисой. Кажется, сделка выгодная! Вот только где её берут, эту травку?|Kate hat mir aufgetragen Gras für sie zuorganisieren, als Ausgleich darf ich bei ihrem Spass mit Alice mitmachen. Wenn das nicht mal ein klasse Deal ist, aber wo bekomme ich jetzt das Gras her?
poss.ganja.step.2=Я погуглил немного про эту травку, где её берут, как выращивают. Но вот какого-то простого способа её купить я не нашёл. Да и рискованно это делать через интернет. Может быть поспрашивать у кого-то, кого я знаю? У Лизы, например? В школах всё время кто-то торгует...|Ich habe nach einen Weg gesucht an Gras zukommen, aber keinen einfachen finden koennen. Online bestellen geht auch nicht so einfach. Ich werde wohl Lisa danach fragen müssen, in der Schule wird sowas doch vertickt oder?
poss.ganja.step.3=Поговорил с Лизой насчёт травки. Как-то она на меня странно посмотрела. Неодобрительно. Ну да ладно. Она сказала, что поспрашивает, но идея ей не понравилась, так как если кто-то из учителей узнает, что она этим интересуется, её сразу выгонят из школы. Будем надеяться, что всё получится...|Ich habe Lisa gefragt ob sie an Gras rankommt, sie hat mich erst belustigt angeschaut und dann aber verneint, ist ja auch gut so. Sie will sich aber für mich in der Schule umhoeren, wobei sie befürchtet, dass die Lehrer vielleicht Wind davon bekommen und sie Probleme bekommt. Aber hoffen wir einfach auf das es alles klappt.
poss.ganja.step.4=Две новости - хорошая и плохая. Хорошая: вопросы Лизы не дошли до учителей. Плохая: не удалось найти дурака, который стал бы торговать травкой в школе. Ну или Лиза не очень старалась. В любом случае, этот путь тупиковый. Что ещё остаётся? Может быть, Кира? Но она моя тётя и у меня такие вопросы... Как она к этому отнесётся?|Wie sagt man, ich habe eine gute unf eine schlechte Nachricht, die Gute zuerst: Lisa ist nicht aufgeflogen wegen der Gras Geschichte, und die Schlechte: Sie hat aber auch niemanden gefunden der welches verkauft. Also eine Sackgasse, ich brauche eine andere Idee, vielleicht kennt Tante Kira ja jemanden. Wobei ich keine Ahnung habe wie sie auf diese Art von Frage reagieren wird.
poss.ganja.step.5=Любопытно. Киру даже не насторожил мой вопрос насчёт травки. Как будто спросил про жевательную резинку... Странно. Она согласилась поспрашивать у «своих» и даст знать, когда будет что-то конкретное... Подожду.|Tante Kira hat Null Problem mit der ganzen Geschichte, als haette ich sie einfach nach ein paar Suessigkeiten gefragt...schon komisch. Sie macht sich schlau wer sowas verkauft und gibt mir dann Bescheid, ich muss also nur abwarten.
poss.ganja.step.6=Кира рассказала, что один её знакомый торгует через инет травкой для «своих». И в число этих «своих» Кира записала и меня! Также, она дала мне адрес сайта, где можно купить небольшой пакетик. Надеюсь, это то, что нужно Кате...|Tante Kira hat Kontakt zu jemanden hergestellt der für seine engen Freunde Gras online verkauft und sie hat mich zu einen von denen gemacht. Sie hat mir die Hompage von ihm gegeben, so dass ich nur noch Gras für Kate bestellen muss und dann wird es frei Haus geliefert. Hoffen wir die Qualitaet sagt ihr auch zu...
poss.ganja.step.7=Удивительно, но это сработало! Я заказал, оплатил и мне доставили обычным курьером пакетик с травой. Не знал, что всё так просто. Теперь нужно отдать Кате «товар» и получить обещанное...|Es hat alles wie am Schnuerrchen geklappt. Ich hab das Gras online bestellt und ein ganz normaler Kurier hat es vorbeigebracht, war wirklich kinderleicht. Jetzt muss ich das Paeckchen nur noch Kate geben und hoffen, dass sie sich an unseren Deal haelt.
poss.ganja.step.8=Катя оценила мои навыки доставать то, что нужно и теперь у меня есть... своеобразный подход к Алисе. Главное, чтобы никто не спалил меня за этим всем...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Kate weis zuschaetzen, dass ich ihre neue Quelle für Gras bin und ich habe nun "Zugriff" auf Alice. Hoffen wir mal das es weiterhin so gut klappt und uns niemand erwischt...\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.guest.name=Коварный план|Kate's durchtriebener Plan
poss.guest.step.1=Катя пожаловалась, что ей приходится пробираться к Алисе ночами, когда мамы нет дома, так как она не поддержит их отношения. Я вызвался помочь решить эту проблему. Остался пустяк - убедить маму, что если девочки спят друг с дружкой, то это нормально... Ох, не знаю...|Kate hat mir erzaehlt, dass sie immer mitten in der Nacht heimlich in Alice's Zimmer schleichen muss, da unsere Mutter die Beziehung der beiden nicht gutheisst. Ich habe ihr angeboten auszuhelfen und das Problem für sie zuloesen, ich muss Mum nur davon überzeugen das lesbisch sein vollkommend normal ist.
poss.guest.step.2=Пообщался с мамой, прощупал почву насчёт Алисы, Кати и их однополой любви. Кажется, она категорична в этом вопросе. Теперь ясно, почему Алиса даже не пыталась привести Катю официально в дом... Что же делать? Может быть, спросить мнение у Киры?|Ich habe Mum indirekt nach ihrer Meinung gefragt und muss zugeben, ich kann nun verstehen warum Alice noch nicht gefragt hat. Mum ist in Bezug auf Homoselualitaet sehr ablehnend und uneinsichtig, ich dollte Tante Kira fragen vielleicht weis sie warum und wieso.
poss.guest.step.3=Киру позабавила моя проблема, а точнее то, что я взялся решать проблему Алисы и Кати. Однако, пообещала поговорить с мамой. Не знаю на что можно расчитывать... В прошлый мой разговор об этом, мама совершенно однозначно дала понять, что она не одобрят однополую любовь...|Tante Kira fande es hoechst amuesant, dass ich Alice und Kate helfen will, aber sie word trotzdem mit Mum sprechen um uns zuhelfen. Ich frage mich ob sie etwas bewirken kann, gerade weil Mum mir gegenüber sehr deutlich gewesen ist, was ihren Standpunkt zu dem Thema betrifft.
poss.guest.step.4=Кира показалась мне немного озадаченной. Кажется, она поговорила с мамой, но всё прошло не очень. Однако, она постаралась меня приободрить, сказала, что ещё подумает и всегда можно пойти в какой-то ва-банк... Ну, посмотрим, что она ещё придумает...|So wie es scheint war das Gespraech zwischen Mum und Tante Kira nicht sehr erfolgreich. Aber Tante Kira gibt sich immer noch sehr zuversichlich, sie muss jetzt gruendlich über ihren narchsten Schritt nachdenken und im schlimmsten Fall haben wir immer noch eine "All in" Option zur verfuegung.
poss.guest.step.5=Кажется, Киру посетила ещё одна странная мысль. Она с каким-то воодушевлением подошла к решению моей маленькой просьбы. Как будто сама очень заинтересована в этом всём.\n\n\nКира составила коварный план и собралась постепенно развращать мою маму. Идея шикарна, но сомневаюсь, что из этого что-то выйдет...|Tante Kira hat sich einen lustigen Plan einfallen lassen, sie ist wirklich mit vollem Einsatz dabei, ich frage mich ob es vielleicht aus persoenlichem Interesse ist...\n\nSie hat sich einen ausgefallenen Plan erdacht um Mum Stueck für Stueck zu korrupieren, die Idee dahinter ist echt clever. Ich bin mir aber nicht sicher ob Tante Kira das auch durch ziehen kann...
poss.guest.step.6=Наконец-то, Кира определилась со своим планом по развращению мамы. План включает в себя три этапа: во-первых, мама должна стать менее стеснительной. Для этого Кира будет продвигать идеи нудизма, натуризма и всего такого. Во-вторых, Кира планирует создавать пикантные ситуации, которые подействуют дополнительно. Ну а в-третьих, изначальный план - напоить и совратить.\n\n\nГлавная проблема для первого этапа это я сам. Мне нужно сделать так, чтобы мама перестала меня стесняться, а для этого мне потребуется научиться эротическому массажу...|Tante Kira hat endlich ihren Plan verfeinert, nun haben wir drei Phasen welche wir durchlaufen werden. Als erstes müssen wir etwas gegen die Schuechternheit unserer Mum machen, hierfür will Kira sie von Naturismus überzeugen. Als zweites werden wir Mum hin und wieder aufreizenden Situationen ausetzten, welche sie hoffentlich stimulieren. Und die letzte Stufe des Plan's ist der Hauptteil vom Altem: Mum betrunken machen und mit ihr schlafen.\n\n\nIch werde die Hauptarbeit in dem ersten Teil des Plan's machen müssen, dafür werde ich lernen wie man sinnliche Massagen gibt, damit sich Mum daran gewoehnt halb nackt in meiner Anwesenheit zusein.
poss.guest.step.7=Я рассказал Кире, что прошёл кое-какие онлайн-курсы эротического массажа. Она предложила мне продемонстрировать свои навыки на Алисе, пока та загорает. Кира намекнёт маме, что я хорошо это делаю, а положительный отзыв от Алисы добавит мне очки.\n\n\nПосле этого нужно будет подгадать подходящий момент и сделать массаж маме. Например, вечером после душа, в её комнате, чтобы без посторонних глаз.|Ich habe Tante Kira mitgeteilt, dass ich den Kurs für die sinnlichen Massagen erfolgreich abgeschlossen habe. Sir hat vorgeschlagen, dass ich mein Koennen an Alice beweisen bzw. testen soll, am besten waehrend sie sich in der Sonne braeunt. Danach wird Kira Mum erzaehlen, dass ich gut bin im Massagen geben und Alice wird dem beipflichten, womit wir Mum überzeugen sollten.\n\nDanach muss ich nur einen guten Moment abwarten, um Mum so eine Massage schmackhaft zumachen. Ich denke nach der abendlichen Dusche waere der perfekte Zeitpunkt, sie ist da auch immer allein in ihrem Zimmer.
poss.guest.step.8=Итак, мама согласилась на массаж. Правда, пока у меня не очень получается... Но я буду стараться! Рано или поздно это может к чему-то привести...|Mum hat den Massagen zugestimmt und mich gleich probieren lassen. Naja was soll ich sagen, ich bin leoder noch nicht gut genug darin! Aber Uebung macht den Meister, daher werde ich immer wieder probieren bis ich es  zu ihrer vollsten Zufriedenheit mache.
poss.guest.step.9=Ура! Маме нравится мой массаж ног. Интересно, получится её развести на что-то большее? Ну там... Массаж спины, груди, ещё чего-то? Ах, мечты, мечты... Но всё равно стоит продолжать. Пусть привыкает к моим рукам...|Yippiayay, Mum war super zufrieden mit meiner Fussmassage. Vielleicht darf ich bald mehr massieren als nur ihre Fuesse, z.B. ihren Ruecken, Po oder sogar die Brueste! Das waere zuschoen um wahr zusein...also weitermachen und sie wird sich schon bald an meine Haende gewoehnt haben...
poss.guest.step.10=Кажется, мама уже согласна попробовать массаж спины! Она согласилась попробовать в следующий раз. Эх, хоть бы ей понравилось... Но даже если не получится в первый раз, всегда можно попробовать ещё, верно?|Ich denke ich habe Mum soweit um ihr eine Rieckenmassage geben zuduerfen. Sie hat zugestimmt mich es bei unseren nächsten Session probieren zulassen. Hoffentlich mag sie es auf Anhieb, aber selbst wenn nicht, kann ich es ja immer wieder probieren oder?!?
poss.guest.step.11=К сожалению, мой хвалёный массаж спины маме не понравился... Что тут остаётся? Только пробовать снова и снова! К тому же, она меня почти не стесняется и позвляет себя лапать... э... трогать, лёжа в одних трусиках!|Bloed, Mum mochte diese Art der Massage absolut nicht, wie kann ich es nur verbessern, damit sie es mag? Wenigstens gewoehnt sie sich an meine Beruehrungen, sie traegt nur noch ihren Slip und sonst garnichts!
poss.guest.step.12=Маме очень понравился массаж спины! Нужно делать это почаще. Кажется, я всё делаю правильно. Ещё чуть-чуть и... хм... и так вроде больше, чем я планировал... Она и так всего в одном полотенце! Ну и трусиках... Но может быть, получится добиться чего-то ещё этими сеансами массажа?|Endlich, nun hat meine Rueckenmassage Mum gefallen, ich sollte es also nun oefters machen duerfen. Laueft ja ganz gut soweit, um ehrlich zu sein, ich darf schon viel mehr mit und an ihr machrn, als ich mir je getraeumt haette. Sie hat nur noch ein Handtuch um und ab und zu noch einen Slip, aber ich sollte es schon schaffen, da noch mehr heraus zuschlagen.
poss.guest.step.13=Что может быть лучше мамы в одних трусиках? Правильно! Только мама без трусиков! Похоже, мама решила, что чем больше она скрывает своё тело, тем больше меня это возбуждает... Как же она ошибается!|Ich frage mich, gibt es etwas besseres als Mum nur in ihrem Slip? Natuerlich gibt es das, Mum ohne ihren Slip! Denn irgendwie glaub Mum, umso mehr sie unter Stoff verhuelllt, umso geiler würde es mich machen, wie falsch sie da nur liegt...
poss.guest.step.14=Кира опять придумала какую-то безумную идею про какой-то синдром туннелей. Я уж не знаю, что это за болезнь такая, при которой нельзя дрочить... Если бы у меня была такая, я бы наверное был бы и правда совсем озабоченным... Ну, сильнее, чем сейчас...\n\n\nЛадно, подождём, чем её разговор с мамой закончится. Видимо, надо подождать несколько дней...|Tante Kira ist mit der nächsten verueckten Idee gekommen, irgend etwas mit einem Karpaltunnelsyndrom. Keine Ahnung was es genau dein soll, sie meinte nur es waere die perfekte Ausrede warum ich mich nicht mehr selbstbbefreidigen kann und Mum mir dann helfen müsste. Ein Glueck habe ich es nicht wirklich, sonst waere ich <b>total</b> gefickt...\n\n\nWie dem auch sein, ich sollte Tante Kira ein paar Tage Zeit geben mit Mum zureden.
poss.guest.step.15=Невероятно. Просто не может быть, чтобы Кире удалось убедить маму, что у меня проблема с руками и поэтому она должна мне помогать... Не поверю, пока не попробую, ну, она не попробует... В общем, если это получится, то я буду обязан Кире чем угодно!|Fantastisch, ich kann es immer noch nicht glauben, dass Tante Kira es geschafft hat Mum zu überzeugen mir bei meinen Problem zur Hamd zugehen... Ich denke mir bleibt nur ein Weg herauszufinden ob es stimmt... Aber wenn es tatsächlich klappt habe ich Null Ahnung wie ich das Tante Kira je wieder zurueckzahlen soll.
poss.guest.step.16=Просто нет слов... Мама это делает так ловко... нежно и приятно... Очевидно, у неё очень большой опыт в таких делах... Да, жизнь удалась! Интересно, какой синдром нужен, чтобы она мне... ну...|Ich bin sprachlos...Mum ist so gut darin...so sanft...sie scheint darin echt eine Menge Erfahrung zuhaben. Das nenne ich ein gutes Leben! Ich frage mich zugleich, was für ein Snydrom ich brauche damit sie...naja ihr wisst schon was macht...
poss.guest.step.17=Мы с тётей Кирой неожиданно вспомнили, с чего начался наш коварный план. Изначально была задача всего лишь убедить маму, что её дочь может открыто встречаться с лесбиянкой в нашем доме... Но всё так завертелось... Не без личного интереса моей тёти, конечно. Вышло всё отлично, но план надо довести до ума.\n\n\nТётя намекнула, что стоит посмотреть с мамой фильм на эту тему и заодно убедить её, что Алиса может делать что хочет. Стоит попробовать!|Tante Kira und mirsind aufgefallen, dass wir unser eigentliches Ziel aus den Aufgen verloren haben. Eigentlich wollten wir Mum nur davon überzeugen, dass es okay ist, wenn Alice mit Kate in unseren Haus zusammenlebt. Aber iegendwie sind wir von Kurs abgekommen und haben uns ganz auf die persoenlichen Interessen von uns beiden fokusiert. Aber da wir diese jetzt befriedet haben, koennen wir uns ganz auf den urspruenglichen Plan fokussieren.\n\n\nTante Kira hat hierfür vorgeschlagen, dass sie sich mit Mum deswegen unterhaelt, am Besten mit einen passenden Film als Untermalung. Also lasst es uns so probieren.
poss.guest.step.18=Блин, это нечто! Я и не рассчитывал на такое развитие событий. Похоже, маму фильм особо не заинтересовал, да и её дочь лесбиянка её не сильно удивила. Может быть, подозревала? Не знаю... Важно другое: мама мне подрочила прямо в гостиной, да ещё и абсолютно голая! А ведь кто-то мог войти и нас увидеть... Да, это было... круто!\n\n\nДа, теперь надо развести Алису на что-то. Нельзя же просто взять и дать им с Катей всё, что они хотят?|Das hat ja wie am Schnuerrchen geklappt,ich haette nicht gedacht, dass es so reibungslos funktionieren würde. Wir haben zwar wenig vom Film gesehen, aber Mum schien auch nicht sonderlich überrascht gewesen zusein, als wir ihr von Alice und Kate erzaehlt haben. Und als I-Tuepfelchen habe ich von Mum noch einen runtergeholt bekommen, mitten im Wohnzimmer und komplett nackt. Haette uns dabei jemand erwischt, waere es bestimmt lustig gewesen Mum Erklaerungversuche zulauschen...\n\n\nJetzt muss ich mir nur noch überlegen, was ich von Alice haben moechte, ich kannes ihr ja nicht einfach umsonst gebrn, dieses grosse Geschenk, oder?
poss.guest.step.19=Ха! Алису удалось развести. И неплохо так. Теперь она должна по дому ходить без своих коротеньких шортиков. То есть, в одной майке! Теперь я могу глазеть на её голую попку в любое время! Да, я просто гениальный манипулятор! Теперь нужно что-то выторговать у Кати. Она больше всех была заинтересована в легализации своего положения, так скзать...|Haha, ich habe es geschafft mit Alice einen grossartigen Deal abzuschliessen! Sie darf im kompletten Wohnbereich keine Unterwaesche mehr tragen, bedeutet ich kann ihren hübschen Arsch die ganze Zeit sehen. Ich würde sagen, ich bin einfach genial! Jetzt muss ich mir nur noch meine Belohnung von Kate holen, schliesslich war sie ja diejenige welche die ganze Geschichte ins Rollen gebracht hat...
poss.guest.step.20=Ну что же, и Катю удалось развести кое на что. Теперь я могу приходить к ним раз в неделю и... посмотрим, что именно. Но теперь я не буду марионеткой в её руках. Кто знает, может быть я начну полностью рулить ситуацией однажды...|Ich habe mit Kate ausgemacht, dass ich die beiden einmal in der Woche zu unserer gemeinsamen naechtlichen Aktivitaet besuchen darf. Ich bin gespannt wie sie mir ihre Schuld zurueckzahlen wird, aner dieses Mal werde ich mich definitiv nicht an einen Stuhl fesseln lassen. Vielleicht bin ich ja auch mal eines schoenen Tages dran mit bestimmen...
poss.guest.step.21=Определённо новые условия мне нравятся! В качестве благодарности девчонки меня порадовали. Ну, Алиса в основном. А что, меня устраивает! Посмотрим, что удастся получить в следующий раз...|Ich mag die Veraenderungen definitiv, die Maedels zeigen sich sehr erkenntlich bei mir. Auch wenn es hauptsaelich Alice bis dato gewesen ist, habe ich wenig Grund mich zubeschweren. Ich bin gespannt, was wor das nächste Mal machen werden...
poss.guest.step.22=Вот это сюрприз! Оказывается, Катя не стопроцентная лесбиянка. У неё раньше были парни... Более того, у неё до Алисы были только парни! Но что приятное в этой истории, так это то, что я трахнул Катьку! Да, ещё и на глазах у сестрёнки! Похоже, им предстоит многое друг о друге узнать...|Wenn das nicht eine nette überraschung gewesen ist, ich dachte Kate ist eine Hardcore Lesbe, aber dem ist nicht so. Sie hat also Erfahrung mit Ketlen gemacht, aber das Beste daran ist, ich durfe sie ficken, vor den Augen von Alice. Scheint so als würden sie noch eine Menge übereinander lernen müssen.
poss.guest.step.23=Мне определённо нравится, как всё складывается! Если захочу, Алиса отсосёт, а не захочу, так Катьку трахну. Сказка, а не жизнь! Ну и что, что раз в неделю, зато не надоедает ни капли! Но я думаю, что удастся добиться большего, намного большего... со временем. Так или иначе...|Ich finde den neuen Deal echt spitze, entweder Alice blaesst mir einen oder ich kann Kate ficken! Zwar darf ich es nur einmal in der Woche, aber dadurch wird es nicht zur Gewohnheit. Ich koennte mir gut vorstellen, dass sich da noch mehr herausschlagen laesst, sehr viel mehr...
poss.guest.step.24=Похоже, Алисе очень нравится, что теперь Катя у неё под каблуком. Ну и я не оказался в пролёте. Теперь вместо Алисы я могу трахаться с Катей у сестрёнки на глазах... Остаётся только догадываться, что ещё может прийти Алисе в голову...|Alice geniesst es foermlich die Kontrolle über Kate zuhaben. Und ich darf Kate im Gegenzug vor den Augen meiner Schwester ficken, ein netter Bonus. Und ich frage mich was ihr noch so alles einfaellt.
